k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,1,1,0.1759392367395458
1,ELECTRICITY,GERMANY,1,2,0.1769549729437873
1,ELECTRICITY,GERMANY,1,3,0.17719225648442496
1,ELECTRICITY,GERMANY,1,4,0.18522657097349834
1,ELECTRICITY,GERMANY,1,5,0.18715319745288478
1,ELECTRICITY,GERMANY,1,6,0.19165763866669502
1,ELECTRICITY,GERMANY,1,7,0.19021054299971046
1,ELECTRICITY,GERMANY,1,8,0.19040478260563856
1,ELECTRICITY,GERMANY,1,9,0.18638838814787395
1,ELECTRICITY,GERMANY,1,10,0.1854248474501508
1,ELECTRICITY,GERMANY,1,11,0.18659259226268515
1,ELECTRICITY,GERMANY,1,12,0.18241824633086587
1,ELECTRICITY,GERMANY,2,1,0.17740748282183544
1,ELECTRICITY,GERMANY,2,2,0.1788050373172063
1,ELECTRICITY,GERMANY,2,3,0.17835973348638448
1,ELECTRICITY,GERMANY,2,4,0.18497421845485187
1,ELECTRICITY,GERMANY,2,5,0.18699690441550187
1,ELECTRICITY,GERMANY,2,6,0.19051560525128342
1,ELECTRICITY,GERMANY,2,7,0.190024190735974
1,ELECTRICITY,GERMANY,2,8,0.19027718598908297
1,ELECTRICITY,GERMANY,2,9,0.18629653403328936
1,ELECTRICITY,GERMANY,2,10,0.18494156956832475
1,ELECTRICITY,GERMANY,2,11,0.18805427136435196
1,ELECTRICITY,GERMANY,2,12,0.18343392672233694
1,ELECTRICITY,GERMANY,3,1,0.1774277279216136
1,ELECTRICITY,GERMANY,3,2,0.1796800744806373
1,ELECTRICITY,GERMANY,3,3,0.17794209473174083
1,ELECTRICITY,GERMANY,3,4,0.18346587083660484
1,ELECTRICITY,GERMANY,3,5,0.18491567158628452
1,ELECTRICITY,GERMANY,3,6,0.18897073171002055
1,ELECTRICITY,GERMANY,3,7,0.18805555538563123
1,ELECTRICITY,GERMANY,3,8,0.18935306217874368
1,ELECTRICITY,GERMANY,3,9,0.1851669750660343
1,ELECTRICITY,GERMANY,3,10,0.1830335634956799
1,ELECTRICITY,GERMANY,3,11,0.18857998086458114
1,ELECTRICITY,GERMANY,3,12,0.183049899013046
1,ELECTRICITY,GERMANY,4,1,0.1768374614298584
1,ELECTRICITY,GERMANY,4,2,0.17957279829820752
1,ELECTRICITY,GERMANY,4,3,0.17734449135045308
1,ELECTRICITY,GERMANY,4,4,0.17919742223512547
1,ELECTRICITY,GERMANY,4,5,0.18026994799042573
1,ELECTRICITY,GERMANY,4,6,0.18429435080057865
1,ELECTRICITY,GERMANY,4,7,0.18399394505694092
1,ELECTRICITY,GERMANY,4,8,0.1835764519045191
1,ELECTRICITY,GERMANY,4,9,0.17942239252222322
1,ELECTRICITY,GERMANY,4,10,0.17921874433479917
1,ELECTRICITY,GERMANY,4,11,0.18909175951041213
1,ELECTRICITY,GERMANY,4,12,0.18152836687516435
1,ELECTRICITY,GERMANY,5,1,0.1737788220547423
1,ELECTRICITY,GERMANY,5,2,0.17692363209609246
1,ELECTRICITY,GERMANY,5,3,0.1734367716103832
1,ELECTRICITY,GERMANY,5,4,0.16992788747514873
1,ELECTRICITY,GERMANY,5,5,0.1718478636418697
1,ELECTRICITY,GERMANY,5,6,0.1748063010294672
1,ELECTRICITY,GERMANY,5,7,0.17491097118780718
1,ELECTRICITY,GERMANY,5,8,0.17408370461388983
1,ELECTRICITY,GERMANY,5,9,0.17066616808323257
1,ELECTRICITY,GERMANY,5,10,0.1692794569536458
1,ELECTRICITY,GERMANY,5,11,0.1894220832447321
1,ELECTRICITY,GERMANY,5,12,0.1772833377964078
1,ELECTRICITY,GERMANY,6,1,0.16559793257790492
1,ELECTRICITY,GERMANY,6,2,0.1684922620238889
1,ELECTRICITY,GERMANY,6,3,0.16456297730275338
1,ELECTRICITY,GERMANY,6,4,0.1646664247594887
1,ELECTRICITY,GERMANY,6,5,0.165333367152908
1,ELECTRICITY,GERMANY,6,6,0.16828121835860635
1,ELECTRICITY,GERMANY,6,7,0.1682536085945244
1,ELECTRICITY,GERMANY,6,8,0.16778080635922651
1,ELECTRICITY,GERMANY,6,9,0.16485143593697213
1,ELECTRICITY,GERMANY,6,10,0.16298785118744666
1,ELECTRICITY,GERMANY,6,11,0.18719063034561742
1,ELECTRICITY,GERMANY,6,12,0.16742470974459614
1,ELECTRICITY,GERMANY,7,1,0.15829615442909162
1,ELECTRICITY,GERMANY,7,2,0.16148153585599653
1,ELECTRICITY,GERMANY,7,3,0.158622402106333
1,ELECTRICITY,GERMANY,7,4,0.1616251681365942
1,ELECTRICITY,GERMANY,7,5,0.16143258869983318
1,ELECTRICITY,GERMANY,7,6,0.16524423338204902
1,ELECTRICITY,GERMANY,7,7,0.16522030125838616
1,ELECTRICITY,GERMANY,7,8,0.16432467233202033
1,ELECTRICITY,GERMANY,7,9,0.16113723820703565
1,ELECTRICITY,GERMANY,7,10,0.15980241603049636
1,ELECTRICITY,GERMANY,7,11,0.1830897073209433
1,ELECTRICITY,GERMANY,7,12,0.16003920024446863
1,ELECTRICITY,GERMANY,8,1,0.15508117324109547
1,ELECTRICITY,GERMANY,8,2,0.15933581553310733
1,ELECTRICITY,GERMANY,8,3,0.1574146899645436
1,ELECTRICITY,GERMANY,8,4,0.16088632039857548
1,ELECTRICITY,GERMANY,8,5,0.16020383621943912
1,ELECTRICITY,GERMANY,8,6,0.16444268652505944
1,ELECTRICITY,GERMANY,8,7,0.1637881836830107
1,ELECTRICITY,GERMANY,8,8,0.16284165028371753
1,ELECTRICITY,GERMANY,8,9,0.1597629539027429
1,ELECTRICITY,GERMANY,8,10,0.15902499139023182
1,ELECTRICITY,GERMANY,8,11,0.17645129512824143
1,ELECTRICITY,GERMANY,8,12,0.157814781490068
1,ELECTRICITY,GERMANY,9,1,0.1553114195165273
1,ELECTRICITY,GERMANY,9,2,0.1587003530824388
1,ELECTRICITY,GERMANY,9,3,0.15782447069395095
1,ELECTRICITY,GERMANY,9,4,0.15972324661005882
1,ELECTRICITY,GERMANY,9,5,0.1592172569099155
1,ELECTRICITY,GERMANY,9,6,0.16280026062001277
1,ELECTRICITY,GERMANY,9,7,0.16088699169582227
1,ELECTRICITY,GERMANY,9,8,0.16108365418950452
1,ELECTRICITY,GERMANY,9,9,0.15788495821167856
1,ELECTRICITY,GERMANY,9,10,0.15837625690915094
1,ELECTRICITY,GERMANY,9,11,0.17302398479079906
1,ELECTRICITY,GERMANY,9,12,0.1569925845339396
1,ELECTRICITY,GERMANY,10,1,0.15388198927977156
1,ELECTRICITY,GERMANY,10,2,0.15777242134642508
1,ELECTRICITY,GERMANY,10,3,0.1571387124681757
1,ELECTRICITY,GERMANY,10,4,0.15917282647369285
1,ELECTRICITY,GERMANY,10,5,0.15777371247813327
1,ELECTRICITY,GERMANY,10,6,0.16095509033258376
1,ELECTRICITY,GERMANY,10,7,0.15916822710565534
1,ELECTRICITY,GERMANY,10,8,0.15932830992259353
1,ELECTRICITY,GERMANY,10,9,0.15619510616120982
1,ELECTRICITY,GERMANY,10,10,0.1568477489431237
1,ELECTRICITY,GERMANY,10,11,0.1705769279893621
1,ELECTRICITY,GERMANY,10,12,0.1564540630368858
1,ELECTRICITY,GERMANY,11,1,0.15244173841842487
1,ELECTRICITY,GERMANY,11,2,0.1574134047022042
1,ELECTRICITY,GERMANY,11,3,0.15746894717287713
1,ELECTRICITY,GERMANY,11,4,0.15939746729443907
1,ELECTRICITY,GERMANY,11,5,0.1580366391353853
1,ELECTRICITY,GERMANY,11,6,0.160212889043653
1,ELECTRICITY,GERMANY,11,7,0.16140623443296104
