ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.466201802011454
ELECTRICITY,GERMANY,1,2,-0.3050826327569354
ELECTRICITY,GERMANY,1,3,-0.3046740873133444
ELECTRICITY,GERMANY,1,4,-0.2914586645839847
ELECTRICITY,GERMANY,1,5,2.685691029095274
ELECTRICITY,GERMANY,1,6,-0.2816787757618755
ELECTRICITY,GERMANY,1,7,-0.2838217491850941
ELECTRICITY,GERMANY,1,8,-0.2835322111607113
ELECTRICITY,GERMANY,1,9,-0.2896419115106781
ELECTRICITY,GERMANY,1,10,6.135408794641052
ELECTRICITY,GERMANY,1,11,-0.2893249317822679
ELECTRICITY,GERMANY,1,12,6.236576684694498
ELECTRICITY,GERMANY,2,1,6.412686026445186
ELECTRICITY,GERMANY,2,2,-0.3019259962439023
ELECTRICITY,GERMANY,2,3,-0.3026798031603022
ELECTRICITY,GERMANY,2,4,-0.2918562893646666
ELECTRICITY,GERMANY,2,5,2.660650546122035
ELECTRICITY,GERMANY,2,6,-0.2833672808784087
ELECTRICITY,GERMANY,2,7,-0.2841000865127654
ELECTRICITY,GERMANY,2,8,-0.2837223429949063
ELECTRICITY,GERMANY,2,9,-0.2897847204015136
ELECTRICITY,GERMANY,2,10,6.151441684699087
ELECTRICITY,GERMANY,2,11,-0.2870761117829161
ELECTRICITY,GERMANY,2,12,6.202044187649577
ELECTRICITY,GERMANY,3,1,6.41195430784461
ELECTRICITY,GERMANY,3,2,-0.3004556247080856
ELECTRICITY,GERMANY,3,3,-0.3033902073871744
ELECTRICITY,GERMANY,3,4,-0.2942557587444341
ELECTRICITY,GERMANY,3,5,2.490923443749871
ELECTRICITY,GERMANY,3,6,-0.2856838650947964
ELECTRICITY,GERMANY,3,7,-0.2870741516617699
ELECTRICITY,GERMANY,3,8,-0.2851070291771478
ELECTRICITY,GERMANY,3,9,-0.291552470452217
ELECTRICITY,GERMANY,3,10,6.215567346810161
ELECTRICITY,GERMANY,3,11,-0.2862758219613113
ELECTRICITY,GERMANY,3,12,6.215055835679252
ELECTRICITY,GERMANY,4,1,6.433357077131419
ELECTRICITY,GERMANY,4,2,-0.3006351158829474
ELECTRICITY,GERMANY,4,3,-0.3044125510336855
ELECTRICITY,GERMANY,4,4,-0.3012648750973881
ELECTRICITY,GERMANY,4,5,2.555116848919802
ELECTRICITY,GERMANY,4,6,-0.2929329563856058
ELECTRICITY,GERMANY,4,7,-0.2934112261733048
ELECTRICITY,GERMANY,4,8,0.028123992559415
ELECTRICITY,GERMANY,4,9,-0.3008871315774826
ELECTRICITY,GERMANY,4,10,6.347872640197167
ELECTRICITY,GERMANY,4,11,-0.2855010137261758
ELECTRICITY,GERMANY,4,12,6.267149637302616
ELECTRICITY,GERMANY,5,1,6.546590539431079
ELECTRICITY,GERMANY,5,2,-0.3051366761259047
ELECTRICITY,GERMANY,5,3,-0.3112712980222341
ELECTRICITY,GERMANY,5,4,-0.3176988181851215
ELECTRICITY,GERMANY,5,5,2.68034045745955
ELECTRICITY,GERMANY,5,6,-0.3088326262115544
ELECTRICITY,GERMANY,5,7,-0.3086478147201319
ELECTRICITY,GERMANY,5,8,-0.3101145460236694
ELECTRICITY,GERMANY,5,9,-0.3163244926233943
ELECTRICITY,GERMANY,5,10,6.720594706873726
ELECTRICITY,GERMANY,5,11,-0.2850031427315116
ELECTRICITY,GERMANY,5,12,6.417217328330523
ELECTRICITY,GERMANY,6,1,6.870010255938027
ELECTRICITY,GERMANY,6,2,-0.3204057466952293
ELECTRICITY,GERMANY,6,3,-0.3280561029526581
ELECTRICITY,GERMANY,6,4,-0.3278500101429529
ELECTRICITY,GERMANY,6,5,2.785951737207569
ELECTRICITY,GERMANY,6,6,-0.3208075717052736
ELECTRICITY,GERMANY,6,7,-0.3208602149975661
ELECTRICITY,GERMANY,6,8,-0.321764391284745
ELECTRICITY,GERMANY,6,9,-0.3274820672329923
ELECTRICITY,GERMANY,6,10,6.98002440408338
ELECTRICITY,GERMANY,6,11,-0.2884005942383041
ELECTRICITY,GERMANY,6,12,6.795092228719795
ELECTRICITY,GERMANY,7,1,7.18690950624169
ELECTRICITY,GERMANY,7,2,-0.3343161726826622
ELECTRICITY,GERMANY,7,3,-0.3403421478147379
ELECTRICITY,GERMANY,7,4,-0.3340190741946572
ELECTRICITY,GERMANY,7,5,2.853270118356221
ELECTRICITY,GERMANY,7,6,-0.3267036187585148
ELECTRICITY,GERMANY,7,7,-0.3267509417220822
ELECTRICITY,GERMANY,7,8,-0.07022014917778563
ELECTRICITY,GERMANY,7,9,-0.3350304971566942
ELECTRICITY,GERMANY,7,10,7.1191631075137
ELECTRICITY,GERMANY,7,11,-0.2948603163853036
ELECTRICITY,GERMANY,7,12,7.10867607273596
ELECTRICITY,GERMANY,8,1,7.335902873367814
ELECTRICITY,GERMANY,8,2,-0.338818292960184
ELECTRICITY,GERMANY,8,3,-0.3429533103712998
ELECTRICITY,GERMANY,8,4,-0.3355530096886525
ELECTRICITY,GERMANY,8,5,2.875154505252553
ELECTRICITY,GERMANY,8,6,1.055249240054209
ELECTRICITY,GERMANY,8,7,-0.3296079595842372
ELECTRICITY,GERMANY,8,8,2.828580898011921
ELECTRICITY,GERMANY,8,9,-0.3379124365703206
ELECTRICITY,GERMANY,8,10,7.153966964177116
ELECTRICITY,GERMANY,8,11,-0.305953486985544
ELECTRICITY,GERMANY,8,12,7.208874684257722
ELECTRICITY,GERMANY,9,1,7.325027401398202
ELECTRICITY,GERMANY,9,2,-0.340174977419835
ELECTRICITY,GERMANY,9,3,-0.34206285493444
