ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.12990648187483
ELECTRICITY,GERMANY,1,2,63.9874470252856
ELECTRICITY,GERMANY,1,3,63.90175948856121
ELECTRICITY,GERMANY,1,4,61.12998204088763
ELECTRICITY,GERMANY,1,5,63.47483597005015
ELECTRICITY,GERMANY,1,6,59.0787668880381
ELECTRICITY,GERMANY,1,7,59.52823002621979
ELECTRICITY,GERMANY,1,8,59.46750287544246
ELECTRICITY,GERMANY,1,9,60.74893972534828
ELECTRICITY,GERMANY,1,10,67.4911709946617
ELECTRICITY,GERMANY,1,11,60.6824570032164
ELECTRICITY,GERMANY,1,12,68.6035990355806
ELECTRICITY,GERMANY,2,1,70.54122595704096
ELECTRICITY,GERMANY,2,2,63.32538012905041
ELECTRICITY,GERMANY,2,3,63.48348215023285
ELECTRICITY,GERMANY,2,4,61.21337909511896
ELECTRICITY,GERMANY,2,5,63.50060338752012
ELECTRICITY,GERMANY,2,6,59.43291071703598
ELECTRICITY,GERMANY,2,7,59.58660796420053
ELECTRICITY,GERMANY,2,8,59.50738076265697
ELECTRICITY,GERMANY,2,9,60.77889218849698
ELECTRICITY,GERMANY,2,10,67.66753497125188
ELECTRICITY,GERMANY,2,11,60.2107938040992
ELECTRICITY,GERMANY,2,12,68.22373804446643
ELECTRICITY,GERMANY,3,1,70.53317695661116
ELECTRICITY,GERMANY,3,2,63.01698721925376
ELECTRICITY,GERMANY,3,3,63.6324809718183
ELECTRICITY,GERMANY,3,4,61.71663920634059
ELECTRICITY,GERMANY,3,5,64.0156322395532
ELECTRICITY,GERMANY,3,6,59.91878665357059
ELECTRICITY,GERMANY,3,7,60.21038269185902
ELECTRICITY,GERMANY,3,8,59.79780219458348
ELECTRICITY,GERMANY,3,9,61.14965669802575
ELECTRICITY,GERMANY,3,10,68.37292596915422
ELECTRICITY,GERMANY,3,11,60.04294254982479
ELECTRICITY,GERMANY,3,12,68.36686748631406
ELECTRICITY,GERMANY,4,1,70.76861021940262
ELECTRICITY,GERMANY,4,2,63.05463335430897
ELECTRICITY,GERMANY,4,3,63.84690536977239
ELECTRICITY,GERMANY,4,4,63.1867178437551
ELECTRICITY,GERMANY,4,5,65.66537439850757
ELECTRICITY,GERMANY,4,6,61.43919717514112
ELECTRICITY,GERMANY,4,7,61.53950856151718
ELECTRICITY,GERMANY,4,8,62.00166541411303
ELECTRICITY,GERMANY,4,9,63.1074906422136
ELECTRICITY,GERMANY,4,10,69.82830203587112
ELECTRICITY,GERMANY,4,11,59.88043575466115
ELECTRICITY,GERMANY,4,12,68.93990454590791
ELECTRICITY,GERMANY,5,1,72.01419304477383
ELECTRICITY,GERMANY,5,2,63.99878197702179
ELECTRICITY,GERMANY,5,3,65.28544582540383
ELECTRICITY,GERMANY,5,4,66.633541588369
ELECTRICITY,GERMANY,5,5,68.8835658279881
ELECTRICITY,GERMANY,5,6,64.77396346938657
ELECTRICITY,GERMANY,5,7,64.7352014582386
ELECTRICITY,GERMANY,5,8,65.04283087388221
ELECTRICITY,GERMANY,5,9,66.34529317830328
ELECTRICITY,GERMANY,5,10,73.92829403947448
ELECTRICITY,GERMANY,5,11,59.77601324587879
ELECTRICITY,GERMANY,5,12,70.59066412563627
ELECTRICITY,GERMANY,6,1,75.57185132979532
ELECTRICITY,GERMANY,6,2,67.20128759085128
ELECTRICITY,GERMANY,6,3,68.80585866085252
ELECTRICITY,GERMANY,6,4,68.76263314538558
ELECTRICITY,GERMANY,6,5,71.59772906951514
ELECTRICITY,GERMANY,6,6,67.28556559991323
ELECTRICITY,GERMANY,6,7,67.29660690003944
ELECTRICITY,GERMANY,6,8,67.48624710299859
ELECTRICITY,GERMANY,6,9,68.68546150504076
ELECTRICITY,GERMANY,6,10,76.78205420716607
ELECTRICITY,GERMANY,6,11,60.48858821722609
ELECTRICITY,GERMANY,6,12,74.74732498744353
ELECTRICITY,GERMANY,7,1,79.05778272586123
ELECTRICITY,GERMANY,7,2,70.11883369252581
ELECTRICITY,GERMANY,7,3,71.38271017678713
ELECTRICITY,GERMANY,7,4,70.05652082310414
ELECTRICITY,GERMANY,7,5,73.32778172567902
ELECTRICITY,GERMANY,7,6,68.52219121573114
ELECTRICITY,GERMANY,7,7,68.53211663977676
ELECTRICITY,GERMANY,7,8,69.16395317775516
ELECTRICITY,GERMANY,7,9,70.26865473858675
ELECTRICITY,GERMANY,7,10,78.31259765455721
ELECTRICITY,GERMANY,7,11,61.84343796700039
ELECTRICITY,GERMANY,7,12,78.19677716764113
ELECTRICITY,GERMANY,8,1,80.6967281002933
ELECTRICITY,GERMANY,8,2,71.06309977587873
ELECTRICITY,GERMANY,8,3,71.93037040985526
ELECTRICITY,GERMANY,8,4,70.37824551551705
ELECTRICITY,GERMANY,8,5,73.8902008025402
ELECTRICITY,GERMANY,8,6,70.23973586295327
ELECTRICITY,GERMANY,8,7,69.13134209371714
ELECTRICITY,GERMANY,8,8,72.69327967934163
ELECTRICITY,GERMANY,8,9,70.87310719099825
ELECTRICITY,GERMANY,8,10,78.69544448080717
ELECTRICITY,GERMANY,8,11,64.17009832016078
ELECTRICITY,GERMANY,8,12,79.29897130706715
ELECTRICITY,GERMANY,9,1,80.57709657662005
ELECTRICITY,GERMANY,9,2,71.34764817579457
ELECTRICITY,GERMANY,9,3,71.74360799257508
ELECTRICITY,GERMANY,9,4,70.8907262869673
ELECTRICITY,GERMANY,9,5,74.34805659493453
ELECTRICITY,GERMANY,9,6,72.7117609179925
ELECTRICITY,GERMANY,9,7,70.3779518639168
ELECTRICITY,GERMANY,9,8,73.48662213525647
ELECTRICITY,GERMANY,9,9,71.71612220284472
ELECTRICITY,GERMANY,9,10,79.01779397962602
ELECTRICITY,GERMANY,9,11,65.44119863375768
ELECTRICITY,GERMANY,9,12,79.71427390688312
ELECTRICITY,GERMANY,10,1,81.3255887645521
ELECTRICITY,GERMANY,10,2,71.76727631148084
ELECTRICITY,GERMANY,10,3,72.056699327965
ELECTRICITY,GERMANY,10,4,71.96618420004367
ELECTRICITY,GERMANY,10,5,75.57860428070828
ELECTRICITY,GERMANY,10,6,73.58034529541139
ELECTRICITY,GERMANY,10,7,71.13792220343436
ELECTRICITY,GERMANY,10,8,74.29623544836377
ELECTRICITY,GERMANY,10,9,72.49200845904691
ELECTRICITY,GERMANY,10,10,79.78783669404788
