pt,n,h,td,val
CCGT,GERMANY,1,1,1.593445624903989e-11
CCGT,GERMANY,1,2,3.010701910496971e-10
CCGT,GERMANY,1,3,2.73840840783467e-10
CCGT,GERMANY,1,4,3.48415453596143e-10
CCGT,GERMANY,1,5,2.059879214844644e-11
CCGT,GERMANY,1,6,2.938734906901883e-10
CCGT,GERMANY,1,7,3.539927423253302e-10
CCGT,GERMANY,1,8,3.791694669847591e-10
CCGT,GERMANY,1,9,3.202662636590732e-10
CCGT,GERMANY,1,10,1.652436486455059e-11
CCGT,GERMANY,1,11,3.464174319952197e-10
CCGT,GERMANY,1,12,9.305962502594449e-12
CCGT,GERMANY,2,1,1.593443401092522e-11
CCGT,GERMANY,2,2,3.010718887556892e-10
CCGT,GERMANY,2,3,2.73841552402501e-10
CCGT,GERMANY,2,4,3.484155374492284e-10
CCGT,GERMANY,2,5,2.072066020501005e-11
CCGT,GERMANY,2,6,2.938742886438231e-10
CCGT,GERMANY,2,7,3.539930041580108e-10
CCGT,GERMANY,2,8,3.791709632269823e-10
CCGT,GERMANY,2,9,3.20267097695041e-10
CCGT,GERMANY,2,10,1.652435798137805e-11
CCGT,GERMANY,2,11,3.464169489121334e-10
CCGT,GERMANY,2,12,9.305888607464946e-12
CCGT,GERMANY,3,1,1.593441101947567e-11
CCGT,GERMANY,3,2,3.010731488207745e-10
CCGT,GERMANY,3,3,2.738422603964591e-10
CCGT,GERMANY,3,4,3.484154208703369e-10
CCGT,GERMANY,3,5,2.164218001007396e-11
CCGT,GERMANY,3,6,2.938750376424873e-10
CCGT,GERMANY,3,7,3.539932793421541e-10
CCGT,GERMANY,3,8,3.791585739164349e-10
CCGT,GERMANY,3,9,3.202679245060296e-10
CCGT,GERMANY,3,10,1.652435075120738e-11
CCGT,GERMANY,3,11,3.464164412436776e-10
CCGT,GERMANY,3,12,9.305840408718129e-12
CCGT,GERMANY,4,1,1.593438723059505e-11
CCGT,GERMANY,4,2,3.010741999586188e-10
CCGT,GERMANY,4,3,2.738429476518742e-10
CCGT,GERMANY,4,4,3.484157176680611e-10
CCGT,GERMANY,4,5,2.164221905329169e-11
CCGT,GERMANY,4,6,2.938758678431165e-10
CCGT,GERMANY,4,7,3.539935405529537e-10
CCGT,GERMANY,4,8,2.146003615439537e-10
CCGT,GERMANY,4,9,3.202687521383754e-10
CCGT,GERMANY,4,10,1.65243435127434e-11
CCGT,GERMANY,4,11,3.46415864943742e-10
CCGT,GERMANY,4,12,9.305789544999692e-12
CCGT,GERMANY,5,1,1.593436282010888e-11
CCGT,GERMANY,5,2,3.01075191168988e-10
CCGT,GERMANY,5,3,2.738436093036935e-10
CCGT,GERMANY,5,4,3.483844323477856e-10
CCGT,GERMANY,5,5,2.164247081388532e-11
CCGT,GERMANY,5,6,2.938766511890196e-10
CCGT,GERMANY,5,7,3.539938398231141e-10
CCGT,GERMANY,5,8,3.791187185668326e-10
CCGT,GERMANY,5,9,3.202695724080726e-10
CCGT,GERMANY,5,10,1.652433633811295e-11
CCGT,GERMANY,5,11,3.464153230883218e-10
CCGT,GERMANY,5,12,9.305741746283623e-12
CCGT,GERMANY,6,1,1.593433885477905e-11
CCGT,GERMANY,6,2,3.010762090785239e-10
CCGT,GERMANY,6,3,2.738442731832228e-10
CCGT,GERMANY,6,4,3.484160666334063e-10
CCGT,GERMANY,6,5,2.164249778036703e-11
CCGT,GERMANY,6,6,2.938773212548142e-10
CCGT,GERMANY,6,7,3.539941580686125e-10
CCGT,GERMANY,6,8,3.791783116582987e-10
CCGT,GERMANY,6,9,3.202703780831274e-10
CCGT,GERMANY,6,10,1.652432892307238e-11
CCGT,GERMANY,6,11,3.464148005206094e-10
CCGT,GERMANY,6,12,9.305691067022327e-12
CCGT,GERMANY,7,1,1.593431519966016e-11
CCGT,GERMANY,7,2,3.010772460287914e-10
CCGT,GERMANY,7,3,2.738449314671994e-10
CCGT,GERMANY,7,4,3.484153689751164e-10
CCGT,GERMANY,7,5,2.164218547184001e-11
CCGT,GERMANY,7,6,2.938775625869152e-10
CCGT,GERMANY,7,7,3.539944455816645e-10
CCGT,GERMANY,7,8,2.905229987670535e-10
CCGT,GERMANY,7,9,3.202711444484949e-10
CCGT,GERMANY,7,10,1.652432144011614e-11
CCGT,GERMANY,7,11,3.464142970598427e-10
CCGT,GERMANY,7,12,9.305638931777983e-12
CCGT,GERMANY,8,1,1.59342915292682e-11
CCGT,GERMANY,8,2,3.010782837400253e-10
CCGT,GERMANY,8,3,2.738455763932812e-10
CCGT,GERMANY,8,4,3.484125222627109e-10
CCGT,GERMANY,8,5,2.164217776395599e-11
CCGT,GERMANY,8,6,8.868115015152801e-11
CCGT,GERMANY,8,7,3.539948613429427e-10
CCGT,GERMANY,8,8,1.394961455630898e-11
CCGT,GERMANY,8,9,3.202719015697683e-10
CCGT,GERMANY,8,10,1.6524313564063e-11
