p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,1.599090034930723,27,1,0.05922555684928604,59.22555684928604
AMMONIA,GERMANY,1,2,1.006834482869446,17,1,0.05922555781584976,59.22555781584976
AMMONIA,GERMANY,1,3,0.5922555587216851,10,1,0.05922555587216851,59.22555587216851
AMMONIA,GERMANY,1,4,2.0728945179979,35,1,0.05922555765708285,59.22555765708285
AMMONIA,GERMANY,1,5,2.132120125512717,36,1,0.05922555904201992,59.22555904201992
AMMONIA,GERMANY,1,6,0.8883833694247957,15,1,0.05922555796165305,59.225557961653045
AMMONIA,GERMANY,1,7,2.250571361933795,38,1,0.059225562156152496,59.2255621561525
AMMONIA,GERMANY,1,8,3.375857049242756,57,1,0.05922556226741677,59.22556226741677
AMMONIA,GERMANY,1,9,1.362187935431279,23,1,0.0592255624100556,59.2255624100556
AMMONIA,GERMANY,1,10,1.539864538462786,26,1,0.05922555917164562,59.22555917164562
AMMONIA,GERMANY,1,11,2.013669006199368,34,1,0.05922555900586376,59.22555900586376
AMMONIA,GERMANY,1,12,2.783601231827486,47,1,0.05922555812398907,59.22555812398907
AMMONIA,GERMANY,2,1,1.599090034899278,27,1,0.05922555684812141,59.225556848121414
AMMONIA,GERMANY,2,2,1.006834482838356,17,1,0.05922555781402094,59.22555781402094
AMMONIA,GERMANY,2,3,0.5922555587196316,10,1,0.05922555587196317,59.22555587196317
AMMONIA,GERMANY,2,4,2.072894518068618,35,1,0.059225557659103374,59.22555765910337
AMMONIA,GERMANY,2,5,2.132120125592866,36,1,0.05922555904424628,59.225559044246275
AMMONIA,GERMANY,2,6,0.8883833694534715,15,1,0.05922555796356477,59.22555796356477
AMMONIA,GERMANY,2,7,2.250571361928687,38,1,0.059225562156018076,59.22556215601808
AMMONIA,GERMANY,2,8,3.375857049287607,57,1,0.059225562268203635,59.22556226820363
AMMONIA,GERMANY,2,9,1.362187935449667,23,1,0.05922556241085509,59.22556241085509
AMMONIA,GERMANY,2,10,1.539864538443668,26,1,0.05922555917091031,59.22555917091031
AMMONIA,GERMANY,2,11,2.013669006131186,34,1,0.05922555900385841,59.22555900385841
AMMONIA,GERMANY,2,12,2.783601231737391,47,1,0.05922555812207215,59.22555812207215
AMMONIA,GERMANY,3,1,1.59909003486799,27,1,0.05922555684696259,59.22555684696259
AMMONIA,GERMANY,3,2,1.006834482807464,17,1,0.05922555781220377,59.22555781220377
AMMONIA,GERMANY,3,3,0.5922555587175812,10,1,0.059225555871758116,59.22555587175812
AMMONIA,GERMANY,3,4,2.072894518139299,35,1,0.05922555766112282,59.22555766112282
AMMONIA,GERMANY,3,5,2.132120125674939,36,1,0.05922555904652608,59.22555904652608
AMMONIA,GERMANY,3,6,0.8883833694825042,15,1,0.05922555796550028,59.22555796550028
AMMONIA,GERMANY,3,7,2.25057136192346,38,1,0.059225562155880526,59.225562155880525
AMMONIA,GERMANY,3,8,3.375857049334522,57,1,0.059225562269026706,59.2255622690267
AMMONIA,GERMANY,3,9,1.362187935468092,23,1,0.05922556241165617,59.22556241165617
AMMONIA,GERMANY,3,10,1.53986453842471,26,1,0.05922555917018116,59.22555917018116
AMMONIA,GERMANY,3,11,2.013669006062865,34,1,0.05922555900184897,59.22555900184897
AMMONIA,GERMANY,3,12,2.783601231647462,47,1,0.05922555812015877,59.225558120158766
AMMONIA,GERMANY,4,1,1.599090034836862,27,1,0.059225556845809706,59.225556845809706
AMMONIA,GERMANY,4,2,1.006834482777235,17,1,0.05922555781042559,59.22555781042559
AMMONIA,GERMANY,4,3,0.5922555587157847,10,1,0.059225555871578475,59.22555587157848
AMMONIA,GERMANY,4,4,2.072894518209973,35,1,0.05922555766314208,59.225557663142084
AMMONIA,GERMANY,4,5,2.132120125755074,36,1,0.059225559048752055,59.225559048752054
AMMONIA,GERMANY,4,6,0.8883833695119379,15,1,0.059225557967462525,59.22555796746253
AMMONIA,GERMANY,4,7,2.25057136191801,38,1,0.059225562155737106,59.22556215573711
AMMONIA,GERMANY,4,8,3.37585704935206,57,1,0.05922556226933439,59.22556226933439
AMMONIA,GERMANY,4,9,1.362187935486331,23,1,0.05922556241244918,59.22556241244918
AMMONIA,GERMANY,4,10,1.539864538405908,26,1,0.059225559169458,59.225559169458
AMMONIA,GERMANY,4,11,2.013669005994382,34,1,0.05922555899983477,59.22555899983477
AMMONIA,GERMANY,4,12,2.783601231557688,47,1,0.059225558118248686,59.225558118248685
AMMONIA,GERMANY,5,1,1.59909003480589,27,1,0.059225556844662595,59.2255568446626
AMMONIA,GERMANY,5,2,1.006834482747086,17,1,0.05922555780865212,59.22555780865212
AMMONIA,GERMANY,5,3,0.5922555587139404,10,1,0.05922555587139404,59.225555871394036
AMMONIA,GERMANY,5,4,2.072894518280616,35,1,0.05922555766516046,59.22555766516046
AMMONIA,GERMANY,5,5,2.132120125835366,36,1,0.059225559050982396,59.2255590509824
AMMONIA,GERMANY,5,6,0.8883833695418573,15,1,0.05922555796945715,59.22555796945715
AMMONIA,GERMANY,5,7,2.25057136191249,38,1,0.05922556215559185,59.225562155591845
AMMONIA,GERMANY,5,8,3.375857049424543,57,1,0.05922556227060602,59.22556227060602
AMMONIA,GERMANY,5,9,1.362187935504636,23,1,0.059225562413245045,59.225562413245044
AMMONIA,GERMANY,5,10,1.539864538387264,26,1,0.05922555916874092,59.22555916874092
AMMONIA,GERMANY,5,11,2.013669005925773,34,1,0.05922555899781685,59.22555899781685
AMMONIA,GERMANY,5,12,2.783601231468061,47,1,0.059225558116341726,59.22555811634172
AMMONIA,GERMANY,6,1,1.599090034775077,27,1,0.05922555684352137,59.22555684352137
AMMONIA,GERMANY,6,2,1.00683448271675,17,1,0.05922555780686764,59.22555780686764
AMMONIA,GERMANY,6,3,0.5922555587122081,10,1,0.05922555587122082,59.22555587122082
AMMONIA,GERMANY,6,4,2.072894518351482,35,1,0.0592255576671852,59.2255576671852
AMMONIA,GERMANY,6,5,2.132120125915716,36,1,0.05922555905321433,59.22555905321433
AMMONIA,GERMANY,6,6,0.8883833695723712,15,1,0.05922555797149141,59.22555797149141
AMMONIA,GERMANY,6,7,2.250571361906796,38,1,0.059225562155442,59.225562155442
AMMONIA,GERMANY,6,8,3.375857049468324,57,1,0.059225562271374106,59.22556227137411
AMMONIA,GERMANY,6,9,1.362187935523365,23,1,0.05922556241405935,59.225562414059354
