st,n,h,td,val
AMMONIA,GERMANY,1,1,5.290815700863868e-11
AMMONIA,GERMANY,1,2,8.403062659816047e-11
AMMONIA,GERMANY,1,3,1.428519743535918e-10
AMMONIA,GERMANY,1,4,4.081483999980152e-11
AMMONIA,GERMANY,1,5,3.968109853328465e-11
AMMONIA,GERMANY,1,6,9.523464737129087e-11
AMMONIA,GERMANY,1,7,3.759264151686255e-11
AMMONIA,GERMANY,1,8,2.506175821576056e-11
AMMONIA,GERMANY,1,9,6.210957751855049e-11
AMMONIA,GERMANY,1,10,5.49430904887063e-11
AMMONIA,GERMANY,1,11,4.201531536543696e-11
AMMONIA,GERMANY,1,12,3.039405283091479e-11
AMMONIA,GERMANY,2,1,5.290815694838353e-11
AMMONIA,GERMANY,2,2,8.403062633603024e-11
AMMONIA,GERMANY,2,3,1.428519762896908e-10
AMMONIA,GERMANY,2,4,4.081483997704412e-11
AMMONIA,GERMANY,2,5,3.968109849356343e-11
AMMONIA,GERMANY,2,6,9.523464721470227e-11
AMMONIA,GERMANY,2,7,3.75926415215841e-11
AMMONIA,GERMANY,2,8,2.506175822546504e-11
AMMONIA,GERMANY,2,9,6.210957762720563e-11
AMMONIA,GERMANY,2,10,5.494309044312203e-11
AMMONIA,GERMANY,2,11,4.201531533224717e-11
AMMONIA,GERMANY,2,12,3.039405281006487e-11
AMMONIA,GERMANY,3,1,5.29081569050525e-11
AMMONIA,GERMANY,3,2,8.403062612549623e-11
AMMONIA,GERMANY,3,3,1.428519781710767e-10
AMMONIA,GERMANY,3,4,4.081483998214617e-11
AMMONIA,GERMANY,3,5,3.968109847438939e-11
AMMONIA,GERMANY,3,6,9.52346472344024e-11
AMMONIA,GERMANY,3,7,3.759264155344875e-11
AMMONIA,GERMANY,3,8,2.506175825358753e-11
AMMONIA,GERMANY,3,9,6.21095776295846e-11
AMMONIA,GERMANY,3,10,5.494309041311192e-11
AMMONIA,GERMANY,3,11,4.201531533513568e-11
AMMONIA,GERMANY,3,12,3.039405279062778e-11
AMMONIA,GERMANY,4,1,5.290815687010578e-11
AMMONIA,GERMANY,4,2,8.403062598503434e-11
AMMONIA,GERMANY,4,3,1.428519801488721e-10
AMMONIA,GERMANY,4,4,4.081484002253575e-11
AMMONIA,GERMANY,4,5,3.968109854029583e-11
AMMONIA,GERMANY,4,6,9.523464742864426e-11
AMMONIA,GERMANY,4,7,3.759264160609714e-11
AMMONIA,GERMANY,4,8,2.50617583019412e-11
AMMONIA,GERMANY,4,9,6.210957771856607e-11
AMMONIA,GERMANY,4,10,5.494309039703153e-11
AMMONIA,GERMANY,4,11,4.201531537929389e-11
AMMONIA,GERMANY,4,12,3.039405277552347e-11
AMMONIA,GERMANY,5,1,5.290815684517786e-11
AMMONIA,GERMANY,5,2,8.403062593591305e-11
AMMONIA,GERMANY,5,3,1.42851982312095e-10
AMMONIA,GERMANY,5,4,4.081484009904665e-11
AMMONIA,GERMANY,5,5,3.968109858823591e-11
AMMONIA,GERMANY,5,6,9.523464799277482e-11
AMMONIA,GERMANY,5,7,3.759264170812326e-11
AMMONIA,GERMANY,5,8,2.506175836915459e-11
AMMONIA,GERMANY,5,9,6.210957793216727e-11
AMMONIA,GERMANY,5,10,5.494309052248174e-11
AMMONIA,GERMANY,5,11,4.201531544766533e-11
AMMONIA,GERMANY,5,12,3.039405278748615e-11
AMMONIA,GERMANY,6,1,5.290815696146291e-11
AMMONIA,GERMANY,6,2,8.403062596738562e-11
AMMONIA,GERMANY,6,3,1.42851984783049e-10
AMMONIA,GERMANY,6,4,4.081484022791808e-11
AMMONIA,GERMANY,6,5,3.968109869377754e-11
AMMONIA,GERMANY,6,6,9.523464872273855e-11
AMMONIA,GERMANY,6,7,3.75926418606686e-11
AMMONIA,GERMANY,6,8,2.506175847381279e-11
AMMONIA,GERMANY,6,9,6.21095783257398e-11
AMMONIA,GERMANY,6,10,5.49430906302733e-11
AMMONIA,GERMANY,6,11,4.201531554829351e-11
AMMONIA,GERMANY,6,12,3.039405286391764e-11
AMMONIA,GERMANY,7,1,5.29081570322034e-11
AMMONIA,GERMANY,7,2,8.40306262653096e-11
AMMONIA,GERMANY,7,3,1.428519875614891e-10
AMMONIA,GERMANY,7,4,4.081484043711205e-11
AMMONIA,GERMANY,7,5,3.968109885876698e-11
AMMONIA,GERMANY,7,6,9.52346500375653e-11
AMMONIA,GERMANY,7,7,3.759264209683031e-11
AMMONIA,GERMANY,7,8,2.506175859271834e-11
AMMONIA,GERMANY,7,9,6.210957917136324e-11
AMMONIA,GERMANY,7,10,5.494309065903602e-11
AMMONIA,GERMANY,7,11,4.201531569367546e-11
AMMONIA,GERMANY,7,12,3.039405290710639e-11
AMMONIA,GERMANY,8,1,5.290815701492856e-11
AMMONIA,GERMANY,8,2,8.403062687648358e-11
AMMONIA,GERMANY,8,3,1.428519909944077e-10
AMMONIA,GERMANY,8,4,4.081484048995566e-11
AMMONIA,GERMANY,8,5,3.968109869454847e-11
AMMONIA,GERMANY,8,6,9.523465121707191e-11
AMMONIA,GERMANY,8,7,3.759264229833813e-11
AMMONIA,GERMANY,8,8,2.506175872911216e-11
AMMONIA,GERMANY,8,9,6.210957983486466e-11
AMMONIA,GERMANY,8,10,5.494309081081374e-11
AMMONIA,GERMANY,8,11,4.201531590976151e-11
AMMONIA,GERMANY,8,12,3.039405296925909e-11
AMMONIA,GERMANY,9,1,5.290815700597516e-11
AMMONIA,GERMANY,9,2,8.403062823437666e-11
AMMONIA,GERMANY,9,3,1.42851997181143e-10
