j,h,td,val
AMMONIA_STORAGE,1,1,2.350433210969406e-06
AMMONIA_STORAGE,1,2,2.350405194762322e-06
AMMONIA_STORAGE,1,3,2.350417257707149e-06
AMMONIA_STORAGE,1,4,2.350405675855135e-06
AMMONIA_STORAGE,1,5,2.350425810676571e-06
AMMONIA_STORAGE,1,6,2.350406605729693e-06
AMMONIA_STORAGE,1,7,2.350406173817483e-06
AMMONIA_STORAGE,1,8,2.350408835521348e-06
AMMONIA_STORAGE,1,9,2.350404110548006e-06
AMMONIA_STORAGE,1,10,2.350433825229785e-06
AMMONIA_STORAGE,1,11,2.35040550836162e-06
AMMONIA_STORAGE,1,12,2.350426535084626e-06
AMMONIA_STORAGE,2,1,2.350433210970707e-06
AMMONIA_STORAGE,2,2,2.350405194556323e-06
AMMONIA_STORAGE,2,3,2.350417257534977e-06
AMMONIA_STORAGE,2,4,2.350405675746389e-06
AMMONIA_STORAGE,2,5,2.350425770090005e-06
AMMONIA_STORAGE,2,6,2.350406605681121e-06
AMMONIA_STORAGE,2,7,2.350406173827024e-06
AMMONIA_STORAGE,2,8,2.350408835798254e-06
AMMONIA_STORAGE,2,9,2.350404110516781e-06
AMMONIA_STORAGE,2,10,2.350433825230435e-06
AMMONIA_STORAGE,2,11,2.350405508352513e-06
AMMONIA_STORAGE,2,12,2.350426535097853e-06
AMMONIA_STORAGE,3,1,2.350433210971357e-06
AMMONIA_STORAGE,3,2,2.350405194449638e-06
AMMONIA_STORAGE,3,3,2.350417257327353e-06
AMMONIA_STORAGE,3,4,2.350405675689252e-06
AMMONIA_STORAGE,3,5,2.350425469613889e-06
AMMONIA_STORAGE,3,6,2.350406605684916e-06
AMMONIA_STORAGE,3,7,2.350406173817049e-06
AMMONIA_STORAGE,3,8,2.350408836045885e-06
AMMONIA_STORAGE,3,9,2.350404110498024e-06
AMMONIA_STORAGE,3,10,2.350433825231519e-06
AMMONIA_STORAGE,3,11,2.350405508348393e-06
AMMONIA_STORAGE,3,12,2.350426535108153e-06
AMMONIA_STORAGE,4,1,2.350433210971141e-06
AMMONIA_STORAGE,4,2,2.350405194395102e-06
AMMONIA_STORAGE,4,3,2.350417257093924e-06
AMMONIA_STORAGE,4,4,2.350405675704973e-06
AMMONIA_STORAGE,4,5,2.350425469602722e-06
AMMONIA_STORAGE,4,6,2.35040660568665e-06
AMMONIA_STORAGE,4,7,2.350406173824314e-06
AMMONIA_STORAGE,4,8,2.350413024565208e-06
AMMONIA_STORAGE,4,9,2.350404110484255e-06
AMMONIA_STORAGE,4,10,2.350433825238783e-06
AMMONIA_STORAGE,4,11,2.350405508351212e-06
AMMONIA_STORAGE,4,12,2.350426535111514e-06
AMMONIA_STORAGE,5,1,2.350433210971574e-06
AMMONIA_STORAGE,5,2,2.350405194359757e-06
AMMONIA_STORAGE,5,3,2.350417256822765e-06
AMMONIA_STORAGE,5,4,2.350405675690553e-06
AMMONIA_STORAGE,5,5,2.35042546951913e-06
AMMONIA_STORAGE,5,6,2.350406605708118e-06
AMMONIA_STORAGE,5,7,2.350406173829301e-06
AMMONIA_STORAGE,5,8,2.350408835637466e-06
AMMONIA_STORAGE,5,9,2.350404110468317e-06
AMMONIA_STORAGE,5,10,2.350433825238024e-06
AMMONIA_STORAGE,5,11,2.350405508357283e-06
