j,h,td,val
AMMONIA_STORAGE,1,1,2.350402539661139e-06
AMMONIA_STORAGE,1,2,2.350430555814447e-06
AMMONIA_STORAGE,1,3,2.350418495527108e-06
AMMONIA_STORAGE,1,4,2.350430074723911e-06
AMMONIA_STORAGE,1,5,2.350409939861492e-06
AMMONIA_STORAGE,1,6,2.350429144846642e-06
AMMONIA_STORAGE,1,7,2.350429576752021e-06
AMMONIA_STORAGE,1,8,2.350426915054011e-06
AMMONIA_STORAGE,1,9,2.350431640113656e-06
AMMONIA_STORAGE,1,10,2.350401925389485e-06
AMMONIA_STORAGE,1,11,2.350430242261769e-06
AMMONIA_STORAGE,1,12,2.350409215487806e-06
AMMONIA_STORAGE,2,1,2.35040253966244e-06
AMMONIA_STORAGE,2,2,2.3504305560263e-06
AMMONIA_STORAGE,2,3,2.350418495366538e-06
AMMONIA_STORAGE,2,4,2.3504300748358e-06
AMMONIA_STORAGE,2,5,2.350409980466598e-06
AMMONIA_STORAGE,2,6,2.350429144908008e-06
AMMONIA_STORAGE,2,7,2.35042957675625e-06
AMMONIA_STORAGE,2,8,2.350426914749675e-06
AMMONIA_STORAGE,2,9,2.350431640140978e-06
AMMONIA_STORAGE,2,10,2.350401925390244e-06
AMMONIA_STORAGE,2,11,2.350430242251361e-06
AMMONIA_STORAGE,2,12,2.350409215466989e-06
AMMONIA_STORAGE,3,1,2.350402539662982e-06
AMMONIA_STORAGE,3,2,2.350430556133962e-06
AMMONIA_STORAGE,3,3,2.350418495177453e-06
AMMONIA_STORAGE,3,4,2.350430074863014e-06
AMMONIA_STORAGE,3,5,2.350410280933714e-06
AMMONIA_STORAGE,3,6,2.350429144905731e-06
AMMONIA_STORAGE,3,7,2.350429576743781e-06
AMMONIA_STORAGE,3,8,2.350426914499875e-06
AMMONIA_STORAGE,3,9,2.350431640163963e-06
AMMONIA_STORAGE,3,10,2.350401925391111e-06
AMMONIA_STORAGE,3,11,2.350430242249193e-06
AMMONIA_STORAGE,3,12,2.350409215475012e-06
AMMONIA_STORAGE,4,1,2.350402539662657e-06
AMMONIA_STORAGE,4,2,2.350430556193701e-06
AMMONIA_STORAGE,4,3,2.350418494950963e-06
AMMONIA_STORAGE,4,4,2.350430074892504e-06
AMMONIA_STORAGE,4,5,2.350410280953664e-06
AMMONIA_STORAGE,4,6,2.3504291449092e-06
AMMONIA_STORAGE,4,7,2.35042957674389e-06
AMMONIA_STORAGE,4,8,2.350422725958977e-06
AMMONIA_STORAGE,4,9,2.350431640201801e-06
AMMONIA_STORAGE,4,10,2.350401925398375e-06
AMMONIA_STORAGE,4,11,2.350430242256023e-06
AMMONIA_STORAGE,4,12,2.350409215475229e-06
AMMONIA_STORAGE,5,1,2.350402539663091e-06
AMMONIA_STORAGE,5,2,2.350430556225251e-06
AMMONIA_STORAGE,5,3,2.350418494689453e-06
AMMONIA_STORAGE,5,4,2.350430074890661e-06
AMMONIA_STORAGE,5,5,2.350410281048857e-06
AMMONIA_STORAGE,5,6,2.350429144891311e-06
AMMONIA_STORAGE,5,7,2.350429576750178e-06
AMMONIA_STORAGE,5,8,2.350426914904825e-06
AMMONIA_STORAGE,5,9,2.350431640219365e-06
AMMONIA_STORAGE,5,10,2.350401925397833e-06
AMMONIA_STORAGE,5,11,2.350430242264155e-06
AMMONIA_STORAGE,5,12,2.350409215488999e-06
AMMONIA_STORAGE,6,1,2.350402539662766e-06
AMMONIA_STORAGE,6,2,2.350430556273498e-06
AMMONIA_STORAGE,6,3,2.350418494378938e-06
AMMONIA_STORAGE,6,4,2.350430074948991e-06
AMMONIA_STORAGE,6,5,2.350410281053844e-06
AMMONIA_STORAGE,6,6,2.350429144843606e-06
AMMONIA_STORAGE,6,7,2.350429576770344e-06
AMMONIA_STORAGE,6,8,2.350426914703922e-06
