j,n,h,td,val
BATT_LI,GERMANY,1,1,1.540883360353412e-09
BATT_LI,GERMANY,1,2,1.541810679904295e-09
BATT_LI,GERMANY,1,3,1.541249707830948e-09
BATT_LI,GERMANY,1,4,1.472408886129632e-09
BATT_LI,GERMANY,1,5,1.609091489532909e-09
BATT_LI,GERMANY,1,6,1.440393449329367e-09
BATT_LI,GERMANY,1,7,1.518508382125908e-09
BATT_LI,GERMANY,1,8,1.334900820327441e-09
BATT_LI,GERMANY,1,9,1.539715427910005e-09
BATT_LI,GERMANY,1,10,1.54088345113692e-09
BATT_LI,GERMANY,1,11,1.545149888760639e-09
BATT_LI,GERMANY,1,12,1.550918362605228e-09
BATT_LI,GERMANY,2,1,1.525321021855841e-09
BATT_LI,GERMANY,2,2,1.525727492808056e-09
BATT_LI,GERMANY,2,3,1.525262437319041e-09
BATT_LI,GERMANY,2,4,1.382475808785341e-09
BATT_LI,GERMANY,2,5,1.641278477912861e-09
BATT_LI,GERMANY,2,6,1.315174070025886e-09
BATT_LI,GERMANY,2,7,1.476521061585929e-09
BATT_LI,GERMANY,2,8,1.100010703070552e-09
BATT_LI,GERMANY,2,9,1.52083231381372e-09
BATT_LI,GERMANY,2,10,1.525321151538279e-09
BATT_LI,GERMANY,2,11,1.531025983443898e-09
BATT_LI,GERMANY,2,12,1.546525652702524e-09
BATT_LI,GERMANY,3,1,1.514168740080688e-09
BATT_LI,GERMANY,3,2,1.513182549176425e-09
BATT_LI,GERMANY,3,3,1.51322241802453e-09
BATT_LI,GERMANY,3,4,1.288427977276801e-09
BATT_LI,GERMANY,3,5,1.508952732534609e-09
BATT_LI,GERMANY,3,6,1.176594468521816e-09
BATT_LI,GERMANY,3,7,1.434977127699781e-09
BATT_LI,GERMANY,3,8,8.416773902686253e-10
BATT_LI,GERMANY,3,9,1.504804953986596e-09
BATT_LI,GERMANY,3,10,1.514168954091821e-09
BATT_LI,GERMANY,3,11,1.519616568291252e-09
BATT_LI,GERMANY,3,12,1.548881265650048e-09
BATT_LI,GERMANY,4,1,1.506180940762733e-09
BATT_LI,GERMANY,4,2,1.503269596922971e-09
BATT_LI,GERMANY,4,3,1.504068141758739e-09
BATT_LI,GERMANY,4,4,1.185403802890963e-09
BATT_LI,GERMANY,4,5,1.379155501678856e-09
BATT_LI,GERMANY,4,6,1.012290703313931e-09
BATT_LI,GERMANY,4,7,1.392237434327793e-09
BATT_LI,GERMANY,4,8,9.720115677972375e-10
BATT_LI,GERMANY,4,9,1.49066625076318e-09
BATT_LI,GERMANY,4,10,1.50618107974824e-09
BATT_LI,GERMANY,4,11,1.510430379494626e-09
BATT_LI,GERMANY,4,12,1.55822761049751e-09
BATT_LI,GERMANY,5,1,1.500467757847161e-09
BATT_LI,GERMANY,5,2,1.495274644635923e-09
BATT_LI,GERMANY,5,3,1.496994664592858e-09
BATT_LI,GERMANY,5,4,1.067349031690587e-09
BATT_LI,GERMANY,5,5,1.241287135430655e-09
BATT_LI,GERMANY,5,6,8.05491369859498e-10
BATT_LI,GERMANY,5,7,1.346589756053678e-09
BATT_LI,GERMANY,5,8,6.281155928327128e-10
BATT_LI,GERMANY,5,9,1.477566441582465e-09
BATT_LI,GERMANY,5,10,1.500467615614235e-09
BATT_LI,GERMANY,5,11,1.503073725138061e-09
BATT_LI,GERMANY,5,12,1.575566483523253e-09
BATT_LI,GERMANY,6,1,1.496393922717087e-09
BATT_LI,GERMANY,6,2,1.488622086648426e-09
BATT_LI,GERMANY,6,3,1.491381332358764e-09
BATT_LI,GERMANY,6,4,9.257668112643764e-10
BATT_LI,GERMANY,6,5,1.083620585926633e-09
BATT_LI,GERMANY,6,6,5.307176706962509e-10
BATT_LI,GERMANY,6,7,1.296151141694853e-09
BATT_LI,GERMANY,6,8,2.090438782231977e-10
BATT_LI,GERMANY,6,9,1.464719476015291e-09
BATT_LI,GERMANY,6,10,1.496393500746872e-09
BATT_LI,GERMANY,6,11,1.497232260485737e-09
BATT_LI,GERMANY,6,12,1.602773959470763e-09
BATT_LI,GERMANY,7,1,1.493507123862751e-09
BATT_LI,GERMANY,7,2,1.482834354373486e-09
BATT_LI,GERMANY,7,3,1.486736336239218e-09
BATT_LI,GERMANY,7,4,7.470699520723504e-10
BATT_LI,GERMANY,7,5,8.911858043609764e-10
BATT_LI,GERMANY,7,6,1.453094244787443e-10
BATT_LI,GERMANY,7,7,1.238739414288587e-09
BATT_LI,GERMANY,7,8,1.602719202400062e-11
BATT_LI,GERMANY,7,9,1.451357127824421e-09
BATT_LI,GERMANY,7,10,1.493506321503698e-09
BATT_LI,GERMANY,7,11,1.492656885122479e-09
BATT_LI,GERMANY,7,12,1.642776040640818e-09
BATT_LI,GERMANY,8,1,1.491487160479222e-09
BATT_LI,GERMANY,8,2,1.477498506346675e-09
BATT_LI,GERMANY,8,3,1.482653715133902e-09
BATT_LI,GERMANY,8,4,5.058933624667066e-10
BATT_LI,GERMANY,8,5,6.421760767554157e-10
BATT_LI,GERMANY,8,6,1.706839901363019e-10
BATT_LI,GERMANY,8,7,1.17167909559175e-09
BATT_LI,GERMANY,8,8,3.499002497343049e-10
BATT_LI,GERMANY,8,9,1.436678962823792e-09
BATT_LI,GERMANY,8,10,1.491486217124547e-09
BATT_LI,GERMANY,8,11,1.48915270122495e-09
BATT_LI,GERMANY,8,12,1.699836672848201e-09
BATT_LI,GERMANY,9,1,1.490110131470125e-09
BATT_LI,GERMANY,9,2,1.472228935160751e-09
BATT_LI,GERMANY,9,3,1.478782314166545e-09
BATT_LI,GERMANY,9,4,1.494284402748957e-10
BATT_LI,GERMANY,9,5,3.017226079823385e-10
BATT_LI,GERMANY,9,6,5.399767799347253e-10
BATT_LI,GERMANY,9,7,1.091444147008671e-09
BATT_LI,GERMANY,9,8,5.216827125520615e-10
BATT_LI,GERMANY,9,9,1.419800670087696e-09
BATT_LI,GERMANY,9,10,1.490109682401632e-09
BATT_LI,GERMANY,9,11,1.486570875886166e-09
BATT_LI,GERMANY,9,12,1.779955852170257e-09
BATT_LI,GERMANY,10,1,1.489223649385839e-09
