p,n,h,td,dual_raw
AMMONIA,GERMANY,1,1,1.601276981684963
AMMONIA,GERMANY,1,2,1.00821144848321
AMMONIA,GERMANY,1,3,0.5930655397495169
AMMONIA,GERMANY,1,4,2.075729454670246
AMMONIA,GERMANY,1,5,2.135036058651827
AMMONIA,GERMANY,1,6,0.8895983422498742
AMMONIA,GERMANY,1,7,2.253649284452363
AMMONIA,GERMANY,1,8,3.380473934468442
AMMONIA,GERMANY,1,9,1.364050889164907
AMMONIA,GERMANY,1,10,1.541970486840465
AMMONIA,GERMANY,1,11,2.016422936185103
AMMONIA,GERMANY,1,12,2.787408136071562
AMMONIA,GERMANY,2,1,1.601276981656575
AMMONIA,GERMANY,2,2,1.008211448454507
AMMONIA,GERMANY,2,3,0.5930655397484403
AMMONIA,GERMANY,2,4,2.075729454740512
AMMONIA,GERMANY,2,5,2.135036058729157
AMMONIA,GERMANY,2,6,0.889598342280556
AMMONIA,GERMANY,2,7,2.253649284445638
AMMONIA,GERMANY,2,8,3.380473934513071
AMMONIA,GERMANY,2,9,1.364050889181067
AMMONIA,GERMANY,2,10,1.541970486822199
AMMONIA,GERMANY,2,11,2.016422936118433
AMMONIA,GERMANY,2,12,2.787408135984583
AMMONIA,GERMANY,3,1,1.60127698162835
AMMONIA,GERMANY,3,2,1.008211448425236
AMMONIA,GERMANY,3,3,0.5930655397473907
AMMONIA,GERMANY,3,4,2.075729454810889
AMMONIA,GERMANY,3,5,2.135036058808563
AMMONIA,GERMANY,3,6,0.8895983423108078
AMMONIA,GERMANY,3,7,2.253649284438595
AMMONIA,GERMANY,3,8,3.380473934554885
AMMONIA,GERMANY,3,9,1.364050889197541
AMMONIA,GERMANY,3,10,1.541970486804107
AMMONIA,GERMANY,3,11,2.016422936051746
AMMONIA,GERMANY,3,12,2.787408135897757
AMMONIA,GERMANY,4,1,1.60127698160029
AMMONIA,GERMANY,4,2,1.008211448395913
AMMONIA,GERMANY,4,3,0.5930655397466525
AMMONIA,GERMANY,4,4,2.075729454881121
AMMONIA,GERMANY,4,5,2.135036058885946
AMMONIA,GERMANY,4,6,0.8895983423406583
AMMONIA,GERMANY,4,7,2.253649284431625
AMMONIA,GERMANY,4,8,3.380473934565497
AMMONIA,GERMANY,4,9,1.364050889213829
AMMONIA,GERMANY,4,10,1.541970486786155
AMMONIA,GERMANY,4,11,2.016422935984864
AMMONIA,GERMANY,4,12,2.787408135811086
AMMONIA,GERMANY,5,1,1.60127698157239
AMMONIA,GERMANY,5,2,1.00821144836706
AMMONIA,GERMANY,5,3,0.5930655397459501
AMMONIA,GERMANY,5,4,2.075729454951448
AMMONIA,GERMANY,5,5,2.135036058963987
AMMONIA,GERMANY,5,6,0.8895983423707648
AMMONIA,GERMANY,5,7,2.253649284424128
AMMONIA,GERMANY,5,8,3.38047393463787
AMMONIA,GERMANY,5,9,1.364050889230318
AMMONIA,GERMANY,5,10,1.54197048676837
AMMONIA,GERMANY,5,11,2.016422935917894
AMMONIA,GERMANY,5,12,2.787408135724568
AMMONIA,GERMANY,6,1,1.601276981544649
AMMONIA,GERMANY,6,2,1.008211448338379
AMMONIA,GERMANY,6,3,0.5930655397453957
AMMONIA,GERMANY,6,4,2.075729455021808
AMMONIA,GERMANY,6,5,2.135036059041637
AMMONIA,GERMANY,6,6,0.8895983424008261
AMMONIA,GERMANY,6,7,2.253649284416479
AMMONIA,GERMANY,6,8,3.380473934680905
AMMONIA,GERMANY,6,9,1.364050889247924
AMMONIA,GERMANY,6,10,1.541970486750752
AMMONIA,GERMANY,6,11,2.016422935850716
AMMONIA,GERMANY,6,12,2.787408135638205
AMMONIA,GERMANY,7,1,1.60127698151707
AMMONIA,GERMANY,7,2,1.008211448310333
AMMONIA,GERMANY,7,3,0.5930655397450465
AMMONIA,GERMANY,7,4,2.075729455091093
AMMONIA,GERMANY,7,5,2.135036059118856
AMMONIA,GERMANY,7,6,0.8895983424307234
AMMONIA,GERMANY,7,7,2.253649284409388
AMMONIA,GERMANY,7,8,3.38047393469513
AMMONIA,GERMANY,7,9,1.364050889269055
AMMONIA,GERMANY,7,10,1.541970486733298
AMMONIA,GERMANY,7,11,2.016422935783373
AMMONIA,GERMANY,7,12,2.787408135551998
AMMONIA,GERMANY,8,1,1.601276981489653
AMMONIA,GERMANY,8,2,1.008211448283116
AMMONIA,GERMANY,8,3,0.5930655397455172
AMMONIA,GERMANY,8,4,2.075729455161207
AMMONIA,GERMANY,8,5,2.135036059196743
AMMONIA,GERMANY,8,6,0.8895983423728064
AMMONIA,GERMANY,8,7,2.253649284405092
AMMONIA,GERMANY,8,8,3.380473934672456
AMMONIA,GERMANY,8,9,1.364050889293989
AMMONIA,GERMANY,8,10,1.541970486716032
AMMONIA,GERMANY,8,11,2.016422935715772
AMMONIA,GERMANY,8,12,2.78740813546595
AMMONIA,GERMANY,9,1,1.601276981462399
AMMONIA,GERMANY,9,2,1.008211448253331
AMMONIA,GERMANY,9,3,0.593065539751287
AMMONIA,GERMANY,9,4,2.075729455232305
AMMONIA,GERMANY,9,5,2.135036059274725
AMMONIA,GERMANY,9,6,0.8895983422805385
AMMONIA,GERMANY,9,7,2.253649284398187
AMMONIA,GERMANY,9,8,3.380473934713472
AMMONIA,GERMANY,9,9,1.36405088931607
AMMONIA,GERMANY,9,10,1.541970486698951
AMMONIA,GERMANY,9,11,2.016422935648464
AMMONIA,GERMANY,9,12,2.787408135380083
AMMONIA,GERMANY,10,1,1.601276981435323
AMMONIA,GERMANY,10,2,1.008211448225077
AMMONIA,GERMANY,10,3,0.5930655397554626
AMMONIA,GERMANY,10,4,2.075729455305029
AMMONIA,GERMANY,10,5,2.135036059348656
AMMONIA,GERMANY,10,6,0.8895983423086053
AMMONIA,GERMANY,10,7,2.253649284389851
AMMONIA,GERMANY,10,8,3.380473934754827
AMMONIA,GERMANY,10,9,1.364050889333856
AMMONIA,GERMANY,10,10,1.541970486682016
AMMONIA,GERMANY,10,11,2.016422935581916
AMMONIA,GERMANY,10,12,2.787408135294373
AMMONIA,GERMANY,11,1,1.601276981408402
AMMONIA,GERMANY,11,2,1.008211448197551
AMMONIA,GERMANY,11,3,0.5930655397561394
AMMONIA,GERMANY,11,4,2.075729455306564
AMMONIA,GERMANY,11,5,2.135036059411962
AMMONIA,GERMANY,11,6,0.8895983423379885
AMMONIA,GERMANY,11,7,2.253649284381142
AMMONIA,GERMANY,11,8,3.380473934796043
AMMONIA,GERMANY,11,9,1.364050889350791
AMMONIA,GERMANY,11,10,1.541970486665182
AMMONIA,GERMANY,11,11,2.016422935515234
AMMONIA,GERMANY,11,12,2.787408135208792
AMMONIA,GERMANY,12,1,1.601276981381635
AMMONIA,GERMANY,12,2,1.00821144817014
AMMONIA,GERMANY,12,3,0.5930655397560455
AMMONIA,GERMANY,12,4,2.075729455375783
AMMONIA,GERMANY,12,5,2.13503605948458
AMMONIA,GERMANY,12,6,0.8895983423677127
AMMONIA,GERMANY,12,7,2.253649284333673
AMMONIA,GERMANY,12,8,3.38047393483639
AMMONIA,GERMANY,12,9,1.364050889367319
AMMONIA,GERMANY,12,10,1.541970486648535
AMMONIA,GERMANY,12,11,2.016422935448376
AMMONIA,GERMANY,12,12,2.787408135123371
AMMONIA,GERMANY,13,1,1.601276981355021
AMMONIA,GERMANY,13,2,1.008211448141584
AMMONIA,GERMANY,13,3,0.5930655397558743
AMMONIA,GERMANY,13,4,2.075729455437571
AMMONIA,GERMANY,13,5,2.135036059563107
AMMONIA,GERMANY,13,6,0.889598342396923
AMMONIA,GERMANY,13,7,2.253649284328138
AMMONIA,GERMANY,13,8,3.380473934861693
AMMONIA,GERMANY,13,9,1.364050889383741
AMMONIA,GERMANY,13,10,1.54197048663206
AMMONIA,GERMANY,13,11,2.01642293538087
AMMONIA,GERMANY,13,12,2.787408135038067
AMMONIA,GERMANY,14,1,1.601276981328557
AMMONIA,GERMANY,14,2,1.008211448112977
AMMONIA,GERMANY,14,3,0.5930655397558965
AMMONIA,GERMANY,14,4,2.075729455508369
AMMONIA,GERMANY,14,5,2.135036059641766
AMMONIA,GERMANY,14,6,0.8895983424261914
AMMONIA,GERMANY,14,7,2.253649284322287
AMMONIA,GERMANY,14,8,3.380473934904156
AMMONIA,GERMANY,14,9,1.364050889399719
AMMONIA,GERMANY,14,10,1.541970486615729
AMMONIA,GERMANY,14,11,2.016422935312762
AMMONIA,GERMANY,14,12,2.787408134952614
AMMONIA,GERMANY,15,1,1.601276981302245
AMMONIA,GERMANY,15,2,1.008211448082724
AMMONIA,GERMANY,15,3,0.593065539755316
AMMONIA,GERMANY,15,4,2.075729455579189
AMMONIA,GERMANY,15,5,2.135036059720567
AMMONIA,GERMANY,15,6,0.8895983424555653
AMMONIA,GERMANY,15,7,2.253649284316112
AMMONIA,GERMANY,15,8,3.380473934944818
AMMONIA,GERMANY,15,9,1.364050889415168
AMMONIA,GERMANY,15,10,1.541970486599552
AMMONIA,GERMANY,15,11,2.016422935243839
AMMONIA,GERMANY,15,12,2.787408134886565
AMMONIA,GERMANY,16,1,1.601276981276088
AMMONIA,GERMANY,16,2,1.008211448052192
AMMONIA,GERMANY,16,3,0.5930655397546171
AMMONIA,GERMANY,16,4,2.075729455650024
AMMONIA,GERMANY,16,5,2.135036059799487
AMMONIA,GERMANY,16,6,0.8895983424849102
AMMONIA,GERMANY,16,7,2.253649284309608
AMMONIA,GERMANY,16,8,3.380473935003645
AMMONIA,GERMANY,16,9,1.364050889430502
AMMONIA,GERMANY,16,10,1.541970486583519
AMMONIA,GERMANY,16,11,2.016422935174229
AMMONIA,GERMANY,16,12,2.787408134801767
AMMONIA,GERMANY,17,1,1.601276981250071
AMMONIA,GERMANY,17,2,1.008211448021193
AMMONIA,GERMANY,17,3,0.5930655397524762
AMMONIA,GERMANY,17,4,2.075729455720866
AMMONIA,GERMANY,17,5,2.135036059899163
AMMONIA,GERMANY,17,6,0.8895983425143091
AMMONIA,GERMANY,17,7,2.253649284304101
AMMONIA,GERMANY,17,8,3.380473935045743
AMMONIA,GERMANY,17,9,1.36405088944538
AMMONIA,GERMANY,17,10,1.541970486567635
AMMONIA,GERMANY,17,11,2.016422935102391
AMMONIA,GERMANY,17,12,2.787408134717375
AMMONIA,GERMANY,18,1,1.601276981224238
AMMONIA,GERMANY,18,2,1.008211447991873
AMMONIA,GERMANY,18,3,0.5930655397502878
AMMONIA,GERMANY,18,4,2.075729455791678
AMMONIA,GERMANY,18,5,2.135036059982849
AMMONIA,GERMANY,18,6,0.8895983425476031
AMMONIA,GERMANY,18,7,2.253649284316778
AMMONIA,GERMANY,18,8,3.380473935087744
AMMONIA,GERMANY,18,9,1.364050889458381
AMMONIA,GERMANY,18,10,1.541970486551835
AMMONIA,GERMANY,18,11,2.01642293503345
AMMONIA,GERMANY,18,12,2.787408134632687
AMMONIA,GERMANY,19,1,1.601276981198565
AMMONIA,GERMANY,19,2,1.008211447964091
AMMONIA,GERMANY,19,3,0.5930655397510473
AMMONIA,GERMANY,19,4,2.075729455862553
AMMONIA,GERMANY,19,5,2.135036060057757
AMMONIA,GERMANY,19,6,0.889598342578043
AMMONIA,GERMANY,19,7,2.253649284309838
AMMONIA,GERMANY,19,8,3.380473935216714
AMMONIA,GERMANY,19,9,1.364050889471037
AMMONIA,GERMANY,19,10,1.541970486536281
AMMONIA,GERMANY,19,11,2.016422934964696
AMMONIA,GERMANY,19,12,2.787408134548343
AMMONIA,GERMANY,20,1,1.601276981173051
AMMONIA,GERMANY,20,2,1.008211447938354
AMMONIA,GERMANY,20,3,0.5930655397514859
AMMONIA,GERMANY,20,4,2.075729455933534
AMMONIA,GERMANY,20,5,2.135036060116307
AMMONIA,GERMANY,20,6,0.889598342693592
AMMONIA,GERMANY,20,7,2.253649284302139
AMMONIA,GERMANY,20,8,3.380473935256313
AMMONIA,GERMANY,20,9,1.364050889484427
AMMONIA,GERMANY,20,10,1.541970486520914
AMMONIA,GERMANY,20,11,2.016422934895737
AMMONIA,GERMANY,20,12,2.787408134464065
AMMONIA,GERMANY,21,1,1.601276981147698
AMMONIA,GERMANY,21,2,1.008211447909994
AMMONIA,GERMANY,21,3,0.5930655397517279
AMMONIA,GERMANY,21,4,2.075729455996215
AMMONIA,GERMANY,21,5,2.13503606019633
AMMONIA,GERMANY,21,6,0.8895983427257181
AMMONIA,GERMANY,21,7,2.253649284291231
AMMONIA,GERMANY,21,8,3.380473935297995
AMMONIA,GERMANY,21,9,1.364050889499992
AMMONIA,GERMANY,21,10,1.541970486505696
AMMONIA,GERMANY,21,11,2.016422934826341
AMMONIA,GERMANY,21,12,2.787408134379906
AMMONIA,GERMANY,22,1,1.601276981122515
AMMONIA,GERMANY,22,2,1.008211447881334
AMMONIA,GERMANY,22,3,0.5930655397522265
AMMONIA,GERMANY,22,4,2.075729456065006
AMMONIA,GERMANY,22,5,2.135036060276166
AMMONIA,GERMANY,22,6,0.8895983427579413
AMMONIA,GERMANY,22,7,2.253649284279419
AMMONIA,GERMANY,22,8,3.380473935339702
AMMONIA,GERMANY,22,9,1.364050889515288
AMMONIA,GERMANY,22,10,1.541970486490638
