j,n,h,td,val
BATT_LI,GERMANY,1,1,1.415601371709238e-09
BATT_LI,GERMANY,1,2,1.415119931150093e-09
BATT_LI,GERMANY,1,3,1.415186300257645e-09
BATT_LI,GERMANY,1,4,1.364336871025486e-09
BATT_LI,GERMANY,1,5,1.48187249105295e-09
BATT_LI,GERMANY,1,6,1.328332877178384e-09
BATT_LI,GERMANY,1,7,1.393912609996962e-09
BATT_LI,GERMANY,1,8,1.195750535581923e-09
BATT_LI,GERMANY,1,9,1.416099121333611e-09
BATT_LI,GERMANY,1,10,1.415601375204943e-09
BATT_LI,GERMANY,1,11,1.416887746255779e-09
BATT_LI,GERMANY,1,12,1.424999441194949e-09
BATT_LI,GERMANY,2,1,1.406676289659404e-09
BATT_LI,GERMANY,2,2,1.405038266263282e-09
BATT_LI,GERMANY,2,3,1.40550089637785e-09
BATT_LI,GERMANY,2,4,1.300539609477199e-09
BATT_LI,GERMANY,2,5,1.520930690980271e-09
BATT_LI,GERMANY,2,6,1.224774960996214e-09
BATT_LI,GERMANY,2,7,1.360900300110062e-09
BATT_LI,GERMANY,2,8,9.53287022227234e-10
BATT_LI,GERMANY,2,9,1.406753016059253e-09
BATT_LI,GERMANY,2,10,1.406676298211895e-09
BATT_LI,GERMANY,2,11,1.407837485591547e-09
BATT_LI,GERMANY,2,12,1.426501238104555e-09
BATT_LI,GERMANY,3,1,1.400277433158407e-09
BATT_LI,GERMANY,3,2,1.397079623568283e-09
BATT_LI,GERMANY,3,3,1.398142075282736e-09
BATT_LI,GERMANY,3,4,1.233766703036679e-09
BATT_LI,GERMANY,3,5,1.398498921010003e-09
BATT_LI,GERMANY,3,6,1.10888081494247e-09
BATT_LI,GERMANY,3,7,1.327742502468561e-09
BATT_LI,GERMANY,3,8,6.820535135711764e-10
BATT_LI,GERMANY,3,9,1.399452043154446e-09
BATT_LI,GERMANY,3,10,1.400277446106788e-09
BATT_LI,GERMANY,3,11,1.400514454116238e-09
BATT_LI,GERMANY,3,12,1.432709817484058e-09
BATT_LI,GERMANY,4,1,1.395692694563988e-09
