k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,1,1,0.15657730260154398
1,ELECTRICITY,GERMANY,1,2,0.15748125806913685
1,ELECTRICITY,GERMANY,1,3,0.15769242879735704
1,ELECTRICITY,GERMANY,1,4,0.16484257514483672
1,ELECTRICITY,GERMANY,1,5,0.16655717833883366
1,ELECTRICITY,GERMANY,1,6,0.1705659103764163
1,ELECTRICITY,GERMANY,1,7,0.16927806611642196
1,ELECTRICITY,GERMANY,1,8,0.16945092985118743
1,ELECTRICITY,GERMANY,1,9,0.16587653552031104
1,ELECTRICITY,GERMANY,1,10,0.1650190314968075
1,ELECTRICITY,GERMANY,1,11,0.16605826717988734
1,ELECTRICITY,GERMANY,1,12,0.16234330377409756
1,ELECTRICITY,GERMANY,2,1,0.15788396969514118
1,ELECTRICITY,GERMANY,2,2,0.15912772473909298
1,ELECTRICITY,GERMANY,2,3,0.15873142614214364
1,ELECTRICITY,GERMANY,2,4,0.164617993764318
1,ELECTRICITY,GERMANY,2,5,0.16641808519132256
1,ELECTRICITY,GERMANY,2,6,0.16954955657734472
1,ELECTRICITY,GERMANY,2,7,0.16911222172985813
1,ELECTRICITY,GERMANY,2,8,0.16933737511256525
1,ELECTRICITY,GERMANY,2,9,0.16579478985765467
1,ELECTRICITY,GERMANY,2,10,0.16458893785456138
1,ELECTRICITY,GERMANY,2,11,0.1673590899824032
1,ELECTRICITY,GERMANY,2,12,0.16324720957105882
1,ELECTRICITY,GERMANY,3,1,0.15790198684227058
1,ELECTRICITY,GERMANY,3,2,0.15990646495227767
1,ELECTRICITY,GERMANY,3,3,0.1583597481078643
1,ELECTRICITY,GERMANY,3,4,0.16327563826802705
1,ELECTRICITY,GERMANY,3,5,0.16456588991911597
1,ELECTRICITY,GERMANY,3,6,0.1681746947987324
1,ELECTRICITY,GERMANY,3,7,0.16736023269844597
1,ELECTRICITY,GERMANY,3,8,0.16851495018806137
1,ELECTRICITY,GERMANY,3,9,0.16478953770640212
1,ELECTRICITY,GERMANY,3,10,0.16289090591047403
1,ELECTRICITY,GERMANY,3,11,0.16782694568658438
1,ELECTRICITY,GERMANY,3,12,0.16290544372076124
1,ELECTRICITY,GERMANY,4,1,0.1573766785778501
1,ELECTRICITY,GERMANY,4,2,0.15981099440466415
1,ELECTRICITY,GERMANY,4,3,0.1578279103711453
1,ELECTRICITY,GERMANY,4,4,0.15947692809570552
1,ELECTRICITY,GERMANY,4,5,0.16043142348199738
1,ELECTRICITY,GERMANY,4,6,0.16401294485422338
1,ELECTRICITY,GERMANY,4,7,0.16374559845727144
1,ELECTRICITY,GERMANY,4,8,0.16337405000183744
1,ELECTRICITY,GERMANY,4,9,0.1596771406314199
1,ELECTRICITY,GERMANY,4,10,0.1594959037199868
1,ELECTRICITY,GERMANY,4,11,0.1682824036127315
1,ELECTRICITY,GERMANY,4,12,0.16155135464781736
1,ELECTRICITY,GERMANY,5,1,0.15465463935645968
1,ELECTRICITY,GERMANY,5,2,0.15745336624986883
1,ELECTRICITY,GERMANY,5,3,0.15435023121576338
1,ELECTRICITY,GERMANY,5,4,0.15122749621237302
1,ELECTRICITY,GERMANY,5,5,0.15293618095385256
1,ELECTRICITY,GERMANY,5,6,0.15556904531458243
1,ELECTRICITY,GERMANY,5,7,0.15566219662840805
1,ELECTRICITY,GERMANY,5,8,0.15492596989992585
1,ELECTRICITY,GERMANY,5,9,0.15188452979009576
1,ELECTRICITY,GERMANY,5,10,0.1506504248105471
1,ELECTRICITY,GERMANY,5,11,0.16857637555590657
1,ELECTRICITY,GERMANY,5,12,0.15777348670355235
1,ELECTRICITY,GERMANY,6,1,0.14737404844960691
1,ELECTRICITY,GERMANY,6,2,0.14994985988252374
1,ELECTRICITY,GERMANY,6,3,0.1464529889503187
1,ELECTRICITY,GERMANY,6,4,0.146545052119608
1,ELECTRICITY,GERMANY,6,5,0.1471385981806656
1,ELECTRICITY,GERMANY,6,6,0.14976204135805216
1,ELECTRICITY,GERMANY,6,7,0.1497374700204383
1,ELECTRICITY,GERMANY,6,8,0.1493166991904701
1,ELECTRICITY,GERMANY,6,9,0.14670970300509753
1,ELECTRICITY,GERMANY,6,10,0.1450512038626804
1,ELECTRICITY,GERMANY,6,11,0.16659049177977664
1,ELECTRICITY,GERMANY,6,12,0.1489997906462609
1,ELECTRICITY,GERMANY,7,1,0.14087582356286044
1,ELECTRICITY,GERMANY,7,2,0.14371065700209024
1,ELECTRICITY,GERMANY,7,3,0.14116616801489476
1,ELECTRICITY,GERMANY,7,4,0.14383848269622898
1,ELECTRICITY,GERMANY,7,5,0.14366709643070144
1,ELECTRICITY,GERMANY,7,6,0.14705927349067355
1,ELECTRICITY,GERMANY,7,7,0.14703797507288957
1,ELECTRICITY,GERMANY,7,8,0.1462409091993467
1,ELECTRICITY,GERMANY,7,9,0.14340424895937415
1,ELECTRICITY,GERMANY,7,10,0.14221632260634204
1,ELECTRICITY,GERMANY,7,11,0.16294087116484468
1,ELECTRICITY,GERMANY,7,12,0.1424270489582887
1,ELECTRICITY,GERMANY,8,1,0.13801464778615558
1,ELECTRICITY,GERMANY,8,2,0.1418010710193303
1,ELECTRICITY,GERMANY,8,3,0.14009136336651234
1,ELECTRICITY,GERMANY,8,4,0.14318094440064422
1,ELECTRICITY,GERMANY,8,5,0.14257356691158768
1,ELECTRICITY,GERMANY,8,6,0.14634593605041882
1,ELECTRICITY,GERMANY,8,7,0.14576346058075001
1,ELECTRICITY,GERMANY,8,8,0.1449210922197744
1,ELECTRICITY,GERMANY,8,9,0.14218120324562947
1,ELECTRICITY,GERMANY,8,10,0.14152445275738512
1,ELECTRICITY,GERMANY,8,11,0.15703300948513765
1,ELECTRICITY,GERMANY,8,12,0.14044742522639808
1,ELECTRICITY,GERMANY,9,1,0.13821955569305144
1,ELECTRICITY,GERMANY,9,2,0.14123554056532756
1,ELECTRICITY,GERMANY,9,3,0.140456048143244
1,ELECTRICITY,GERMANY,9,4,0.14214586570013765
1,ELECTRICITY,GERMANY,9,5,0.1416955596520906
1,ELECTRICITY,GERMANY,9,6,0.1448842574464822
1,ELECTRICITY,GERMANY,9,7,0.1431815418223114
1,ELECTRICITY,GERMANY,9,8,0.14335656180849707
1,ELECTRICITY,GERMANY,9,9,0.14050987907113902
1,ELECTRICITY,GERMANY,9,10,0.1409471108464239
1,ELECTRICITY,GERMANY,9,11,0.15398287116602277
1,ELECTRICITY,GERMANY,9,12,0.13971571020942108
1,ELECTRICITY,GERMANY,10,1,0.13694743280064853
1,ELECTRICITY,GERMANY,10,2,0.14040972677349833
1,ELECTRICITY,GERMANY,10,3,0.1398457569130526
1,ELECTRICITY,GERMANY,10,4,0.1416560187402049
1,ELECTRICITY,GERMANY,10,5,0.1404108758174748
1,ELECTRICITY,GERMANY,10,6,0.14324214627332865
1,ELECTRICITY,GERMANY,10,7,0.14165192552794406
1,ELECTRICITY,GERMANY,10,8,0.1417943913936232
1,ELECTRICITY,GERMANY,10,9,0.13900599352086948
1,ELECTRICITY,GERMANY,10,10,0.1395868136281301
1,ELECTRICITY,GERMANY,10,11,0.1518051104778316
1,ELECTRICITY,GERMANY,10,12,0.1392364524556407
1,ELECTRICITY,GERMANY,11,1,0.13566568008239013
1,ELECTRICITY,GERMANY,11,2,0.14009021954598672
1,ELECTRICITY,GERMANY,11,3,0.14013964962422826
1,ELECTRICITY,GERMANY,11,4,0.14185593806700453
1,ELECTRICITY,GERMANY,11,5,0.14064486766339535
1,ELECTRICITY,GERMANY,11,6,0.1425816234817002
1,ELECTRICITY,GERMANY,11,7,0.143643642424106
1,ELECTRICITY,GERMANY,11,8,0.1428752419430203
1,ELECTRICITY,GERMANY,11,9,0.139516101244081
1,ELECTRICITY,GERMANY,11,10,0.13993004057571143
1,ELECTRICITY,GERMANY,11,11,0.15081502290440696
1,ELECTRICITY,GERMANY,11,12,0.13879234919567685
1,ELECTRICITY,GERMANY,12,1,0.13608597516878476
1,ELECTRICITY,GERMANY,12,2,0.1403366861898418
1,ELECTRICITY,GERMANY,12,3,0.1418859687799704
1,ELECTRICITY,GERMANY,12,4,0.14229286745707406
1,ELECTRICITY,GERMANY,12,5,0.14213456139511915
1,ELECTRICITY,GERMANY,12,6,0.1431635018858795
1,ELECTRICITY,GERMANY,12,7,0.14428311890401288
1,ELECTRICITY,GERMANY,12,8,0.14464083639710168
1,ELECTRICITY,GERMANY,12,9,0.14000654257790454
1,ELECTRICITY,GERMANY,12,10,0.14034288479658255
1,ELECTRICITY,GERMANY,12,11,0.15125175903323884
1,ELECTRICITY,GERMANY,12,12,0.13874352824569472
1,ELECTRICITY,GERMANY,13,1,0.1364769593234131
1,ELECTRICITY,GERMANY,13,2,0.14069907420428723
1,ELECTRICITY,GERMANY,13,3,0.14355038332950953
1,ELECTRICITY,GERMANY,13,4,0.14330902606011361
1,ELECTRICITY,GERMANY,13,5,0.14340676599674676
1,ELECTRICITY,GERMANY,13,6,0.1443897257358047
1,ELECTRICITY,GERMANY,13,7,0.1445890335156769
1,ELECTRICITY,GERMANY,13,8,0.14631972758736567
1,ELECTRICITY,GERMANY,13,9,0.14110069270185055
1,ELECTRICITY,GERMANY,13,10,0.14175713765903636
1,ELECTRICITY,GERMANY,13,11,0.15363156078154425
1,ELECTRICITY,GERMANY,13,12,0.13996987969088398
1,ELECTRICITY,GERMANY,14,1,0.1374283157435618
1,ELECTRICITY,GERMANY,14,2,0.1416383611440501
1,ELECTRICITY,GERMANY,14,3,0.14538107965527672
1,ELECTRICITY,GERMANY,14,4,0.14448675571320876
1,ELECTRICITY,GERMANY,14,5,0.1442762034007491
1,ELECTRICITY,GERMANY,14,6,0.14495635366026466
1,ELECTRICITY,GERMANY,14,7,0.14549918584802338
1,ELECTRICITY,GERMANY,14,8,0.1476026344124334
1,ELECTRICITY,GERMANY,14,9,0.14144978167484573
1,ELECTRICITY,GERMANY,14,10,0.14301827295895914
1,ELECTRICITY,GERMANY,14,11,0.15526932015004022
1,ELECTRICITY,GERMANY,14,12,0.14064452179835032
1,ELECTRICITY,GERMANY,15,1,0.13786283283798587
1,ELECTRICITY,GERMANY,15,2,0.14251340838900853
1,ELECTRICITY,GERMANY,15,3,0.14570837576434967
1,ELECTRICITY,GERMANY,15,4,0.14566755322745278
1,ELECTRICITY,GERMANY,15,5,0.1452402935676999
1,ELECTRICITY,GERMANY,15,6,0.14656220165722034
1,ELECTRICITY,GERMANY,15,7,0.14671534828667185
1,ELECTRICITY,GERMANY,15,8,0.1487047136828398
1,ELECTRICITY,GERMANY,15,9,0.14248204662709946
1,ELECTRICITY,GERMANY,15,10,0.14496198728519427
1,ELECTRICITY,GERMANY,15,11,0.15586723951569503
1,ELECTRICITY,GERMANY,15,12,0.14110463807477494
1,ELECTRICITY,GERMANY,16,1,0.13803074711347377
1,ELECTRICITY,GERMANY,16,2,0.14295118780815722
1,ELECTRICITY,GERMANY,16,3,0.145596230576333
1,ELECTRICITY,GERMANY,16,4,0.14603963489016647
1,ELECTRICITY,GERMANY,16,5,0.14587139890742146
1,ELECTRICITY,GERMANY,16,6,0.14723607399024266
1,ELECTRICITY,GERMANY,16,7,0.14709180013740578
1,ELECTRICITY,GERMANY,16,8,0.149048328743176
1,ELECTRICITY,GERMANY,16,9,0.14284681277551478
1,ELECTRICITY,GERMANY,16,10,0.14453398032928647
1,ELECTRICITY,GERMANY,16,11,0.1553081108466103
1,ELECTRICITY,GERMANY,16,12,0.14111067260132706
1,ELECTRICITY,GERMANY,17,1,0.13613748002319997
1,ELECTRICITY,GERMANY,17,2,0.14010394662517411
1,ELECTRICITY,GERMANY,17,3,0.14314176442692073
1,ELECTRICITY,GERMANY,17,4,0.14610927753670191
1,ELECTRICITY,GERMANY,17,5,0.147121439646005
1,ELECTRICITY,GERMANY,17,6,0.1474305267992792
1,ELECTRICITY,GERMANY,17,7,0.1479383630722721
1,ELECTRICITY,GERMANY,17,8,0.1488098257700379
