st,n,h,td,val
AMMONIA,GERMANY,1,1,6.643637578233364e-10
AMMONIA,GERMANY,1,2,1.055166012281791e-09
AMMONIA,GERMANY,1,3,1.793782069288803e-09
AMMONIA,GERMANY,1,4,5.125091999729827e-10
AMMONIA,GERMANY,1,5,4.982728618862155e-10
AMMONIA,GERMANY,1,6,1.195854815022228e-09
AMMONIA,GERMANY,1,7,4.72048036867236e-10
AMMONIA,GERMANY,1,8,3.146986923307997e-10
AMMONIA,GERMANY,1,9,7.799054596781735e-10
AMMONIA,GERMANY,1,10,6.899162760677323e-10
AMMONIA,GERMANY,1,11,5.275830324889935e-10
AMMONIA,GERMANY,1,12,3.816557965455507e-10
AMMONIA,GERMANY,2,1,6.643637577896669e-10
AMMONIA,GERMANY,2,2,1.055166012204658e-09
AMMONIA,GERMANY,2,3,1.793782069270592e-09
AMMONIA,GERMANY,2,4,5.125092000160755e-10
AMMONIA,GERMANY,2,5,4.982728619322465e-10
AMMONIA,GERMANY,2,6,1.195854815119796e-09
AMMONIA,GERMANY,2,7,4.720480368656743e-10
AMMONIA,GERMANY,2,8,3.146986923417582e-10
AMMONIA,GERMANY,2,9,7.799054597063373e-10
AMMONIA,GERMANY,2,10,6.899162760468741e-10
AMMONIA,GERMANY,2,11,5.275830324448948e-10
AMMONIA,GERMANY,2,12,3.816557965145546e-10
AMMONIA,GERMANY,3,1,6.643637577561032e-10
AMMONIA,GERMANY,3,2,1.05516601212726e-09
AMMONIA,GERMANY,3,3,1.793782069252487e-09
AMMONIA,GERMANY,3,4,5.125092000590624e-10
AMMONIA,GERMANY,3,5,4.982728619793627e-10
AMMONIA,GERMANY,3,6,1.195854815217152e-09
AMMONIA,GERMANY,3,7,4.720480368639802e-10
AMMONIA,GERMANY,3,8,3.146986923526637e-10
AMMONIA,GERMANY,3,9,7.799054597342365e-10
AMMONIA,GERMANY,3,10,6.899162760262806e-10
AMMONIA,GERMANY,3,11,5.275830324006903e-10
AMMONIA,GERMANY,3,12,3.816557964836114e-10
AMMONIA,GERMANY,4,1,6.643637577228042e-10
AMMONIA,GERMANY,4,2,1.055166012049757e-09
AMMONIA,GERMANY,4,3,1.793782069234064e-09
AMMONIA,GERMANY,4,4,5.125092001019435e-10
AMMONIA,GERMANY,4,5,4.982728620254201e-10
AMMONIA,GERMANY,4,6,1.195854815314243e-09
AMMONIA,GERMANY,4,7,4.720480368622597e-10
AMMONIA,GERMANY,4,8,3.146986923563695e-10
AMMONIA,GERMANY,4,9,7.799054597620827e-10
AMMONIA,GERMANY,4,10,6.89916276005793e-10
AMMONIA,GERMANY,4,11,5.275830323564064e-10
AMMONIA,GERMANY,4,12,3.816557964527476e-10
AMMONIA,GERMANY,5,1,6.643637576895582e-10
AMMONIA,GERMANY,5,2,1.055166011971989e-09
AMMONIA,GERMANY,5,3,1.793782069215853e-09
AMMONIA,GERMANY,5,4,5.125092001447186e-10
AMMONIA,GERMANY,5,5,4.982728620715304e-10
AMMONIA,GERMANY,5,6,1.195854815411122e-09
AMMONIA,GERMANY,5,7,4.720480368604068e-10
AMMONIA,GERMANY,5,8,3.146986923744086e-10
AMMONIA,GERMANY,5,9,7.799054597897701e-10
AMMONIA,GERMANY,5,10,6.899162759855171e-10
AMMONIA,GERMANY,5,11,5.275830323120166e-10
AMMONIA,GERMANY,5,12,3.816557964218574e-10
AMMONIA,GERMANY,6,1,6.643637576566298e-10
AMMONIA,GERMANY,6,2,1.055166011893956e-09
AMMONIA,GERMANY,6,3,1.793782069197641e-09
AMMONIA,GERMANY,6,4,5.125092001874144e-10
AMMONIA,GERMANY,6,5,4.982728621177467e-10
AMMONIA,GERMANY,6,6,1.19585481550779e-09
AMMONIA,GERMANY,6,7,4.720480368584745e-10
AMMONIA,GERMANY,6,8,3.146986923852083e-10
AMMONIA,GERMANY,6,9,7.799054598172986e-10
AMMONIA,GERMANY,6,10,6.899162759654001e-10
AMMONIA,GERMANY,6,11,5.275830322675473e-10
AMMONIA,GERMANY,6,12,3.81655796391126e-10
AMMONIA,GERMANY,7,1,6.643637576237543e-10
AMMONIA,GERMANY,7,2,1.055166011815658e-09
AMMONIA,GERMANY,7,3,1.79378206917943e-09
AMMONIA,GERMANY,7,4,5.125092002300837e-10
AMMONIA,GERMANY,7,5,4.982728621640688e-10
AMMONIA,GERMANY,7,6,1.195854815604193e-09
AMMONIA,GERMANY,7,7,4.720480368564893e-10
AMMONIA,GERMANY,7,8,3.146986923901052e-10
AMMONIA,GERMANY,7,9,7.799054598446684e-10
AMMONIA,GERMANY,7,10,6.899162759455478e-10
AMMONIA,GERMANY,7,11,5.275830322229457e-10
AMMONIA,GERMANY,7,12,3.81655796360421e-10
AMMONIA,GERMANY,8,1,6.643637575910906e-10
AMMONIA,GERMANY,8,2,1.055166011737255e-09
AMMONIA,GERMANY,8,3,1.793782069161007e-09
AMMONIA,GERMANY,8,4,5.125092002726206e-10
AMMONIA,GERMANY,8,5,4.982728622103644e-10
AMMONIA,GERMANY,8,6,1.195854815407469e-09
AMMONIA,GERMANY,8,7,4.720480368543982e-10
AMMONIA,GERMANY,8,8,3.146986923873656e-10
AMMONIA,GERMANY,8,9,7.799054598719323e-10
AMMONIA,GERMANY,8,10,6.899162759258542e-10
AMMONIA,GERMANY,8,11,5.275830321782648e-10
AMMONIA,GERMANY,8,12,3.816557963297426e-10
AMMONIA,GERMANY,9,1,6.643637575585328e-10
AMMONIA,GERMANY,9,2,1.055166011658534e-09
AMMONIA,GERMANY,9,3,1.793782069142584e-09
AMMONIA,GERMANY,9,4,5.125092003150517e-10
AMMONIA,GERMANY,9,5,4.982728622567395e-10
AMMONIA,GERMANY,9,6,1.195854815138748e-09
AMMONIA,GERMANY,9,7,4.720480368522806e-10
AMMONIA,GERMANY,9,8,3.146986923981388e-10
AMMONIA,GERMANY,9,9,7.799054598989314e-10
AMMONIA,GERMANY,9,10,6.899162759063725e-10
AMMONIA,GERMANY,9,11,5.275830321334779e-10
AMMONIA,GERMANY,9,12,3.816557962991435e-10
AMMONIA,GERMANY,10,1,6.643637575262926e-10
AMMONIA,GERMANY,10,2,1.055166011579548e-09
AMMONIA,GERMANY,10,3,1.793782069124161e-09
AMMONIA,GERMANY,10,4,5.125092003573239e-10
