j,h,td,val
AMMONIA_STORAGE,1,1,2.943078749855117e-05
AMMONIA_STORAGE,1,2,2.943043940221643e-05
AMMONIA_STORAGE,1,3,2.943059126694209e-05
AMMONIA_STORAGE,1,4,2.943044416746712e-05
AMMONIA_STORAGE,1,5,2.943069483912937e-05
AMMONIA_STORAGE,1,6,2.943045727095764e-05
AMMONIA_STORAGE,1,7,2.943045026745222e-05
AMMONIA_STORAGE,1,8,2.94304829500467e-05
AMMONIA_STORAGE,1,9,2.94304253219968e-05
AMMONIA_STORAGE,1,10,2.943079523222598e-05
AMMONIA_STORAGE,1,11,2.943044212594045e-05
AMMONIA_STORAGE,1,12,2.943070343711107e-05
AMMONIA_STORAGE,2,1,2.943078749856332e-05
AMMONIA_STORAGE,2,2,2.943043940222163e-05
AMMONIA_STORAGE,2,3,2.943059126694555e-05
AMMONIA_STORAGE,2,4,2.943044416735784e-05
AMMONIA_STORAGE,2,5,2.943069433625732e-05
AMMONIA_STORAGE,2,6,2.943045727096458e-05
AMMONIA_STORAGE,2,7,2.943045026741753e-05
AMMONIA_STORAGE,2,8,2.943048295009527e-05
AMMONIA_STORAGE,2,9,2.943042532197251e-05
AMMONIA_STORAGE,2,10,2.94307952322468e-05
AMMONIA_STORAGE,2,11,2.943044212602546e-05
AMMONIA_STORAGE,2,12,2.943070343712668e-05
AMMONIA_STORAGE,3,1,2.943078749854597e-05
AMMONIA_STORAGE,3,2,2.943043940222684e-05
AMMONIA_STORAGE,3,3,2.943059126695249e-05
AMMONIA_STORAGE,3,4,2.9430444167311e-05
AMMONIA_STORAGE,3,5,2.943069043526494e-05
AMMONIA_STORAGE,3,6,2.943045727097325e-05
AMMONIA_STORAGE,3,7,2.94304502674609e-05
AMMONIA_STORAGE,3,8,2.943048295012303e-05
AMMONIA_STORAGE,3,9,2.943042532198466e-05
AMMONIA_STORAGE,3,10,2.943079523223813e-05
AMMONIA_STORAGE,3,11,2.943044212607056e-05
AMMONIA_STORAGE,3,12,2.943070343711801e-05
AMMONIA_STORAGE,4,1,2.943078749854597e-05
AMMONIA_STORAGE,4,2,2.943043940227888e-05
AMMONIA_STORAGE,4,3,2.943059126694902e-05
AMMONIA_STORAGE,4,4,2.943044416729712e-05
AMMONIA_STORAGE,4,5,2.943069043529097e-05
AMMONIA_STORAGE,4,6,2.943045727094203e-05
AMMONIA_STORAGE,4,7,2.943045026741233e-05
AMMONIA_STORAGE,4,8,2.943054573263659e-05
AMMONIA_STORAGE,4,9,2.94304253219517e-05
AMMONIA_STORAGE,4,10,2.943079523220864e-05
AMMONIA_STORAGE,4,11,2.943044212601852e-05
AMMONIA_STORAGE,4,12,2.943070343712148e-05
AMMONIA_STORAGE,5,1,2.943078749855638e-05
AMMONIA_STORAGE,5,2,2.943043940224245e-05
AMMONIA_STORAGE,5,3,2.943059126694209e-05
AMMONIA_STORAGE,5,4,2.943044416732835e-05
AMMONIA_STORAGE,5,5,2.943069043521637e-05
AMMONIA_STORAGE,5,6,2.943045727096978e-05
AMMONIA_STORAGE,5,7,2.943045026745743e-05
AMMONIA_STORAGE,5,8,2.94304829501213e-05
AMMONIA_STORAGE,5,9,2.943042532196904e-05
AMMONIA_STORAGE,5,10,2.943079523221731e-05
AMMONIA_STORAGE,5,11,2.943044212596821e-05
AMMONIA_STORAGE,5,12,2.943070343715964e-05
AMMONIA_STORAGE,6,1,2.943078749857546e-05
AMMONIA_STORAGE,6,2,2.943043940221816e-05
AMMONIA_STORAGE,6,3,2.943059126694209e-05
AMMONIA_STORAGE,6,4,2.943044416729365e-05
AMMONIA_STORAGE,6,5,2.943069043521984e-05
AMMONIA_STORAGE,6,6,2.943045727095937e-05
AMMONIA_STORAGE,6,7,2.943045026745916e-05
AMMONIA_STORAGE,6,8,2.943048295015772e-05
AMMONIA_STORAGE,6,9,2.943042532198986e-05
AMMONIA_STORAGE,6,10,2.943079523221905e-05
AMMONIA_STORAGE,6,11,2.943044212599596e-05
AMMONIA_STORAGE,6,12,2.94307034371423e-05
AMMONIA_STORAGE,7,1,2.943078749851301e-05
AMMONIA_STORAGE,7,2,2.943043940221469e-05
AMMONIA_STORAGE,7,3,2.943059126693688e-05
AMMONIA_STORAGE,7,4,2.943044416735437e-05
AMMONIA_STORAGE,7,5,2.943069043526148e-05
AMMONIA_STORAGE,7,6,2.943045727097499e-05
AMMONIA_STORAGE,7,7,2.943045026743835e-05
AMMONIA_STORAGE,7,8,2.94305346610086e-05
AMMONIA_STORAGE,7,9,2.943042532198292e-05
AMMONIA_STORAGE,7,10,2.943079523221211e-05
AMMONIA_STORAGE,7,11,2.943044212597168e-05
AMMONIA_STORAGE,7,12,2.943070343710066e-05
AMMONIA_STORAGE,8,1,2.943078749857199e-05
AMMONIA_STORAGE,8,2,2.943043940224245e-05
AMMONIA_STORAGE,8,3,2.943059126694209e-05
AMMONIA_STORAGE,8,4,2.943044416730406e-05
AMMONIA_STORAGE,8,5,2.943069043527709e-05
AMMONIA_STORAGE,8,6,2.943063468606455e-05
AMMONIA_STORAGE,8,7,2.943045026741926e-05
AMMONIA_STORAGE,8,8,2.943065285487649e-05
AMMONIA_STORAGE,8,9,2.94304253219916e-05
AMMONIA_STORAGE,8,10,2.943079523219996e-05
AMMONIA_STORAGE,8,11,2.943044212601678e-05
AMMONIA_STORAGE,8,12,2.943070343714403e-05
AMMONIA_STORAGE,9,1,2.943078749858587e-05
AMMONIA_STORAGE,9,2,2.943043940221469e-05
AMMONIA_STORAGE,9,3,2.943059126693862e-05
AMMONIA_STORAGE,9,4,2.943044416729192e-05
AMMONIA_STORAGE,9,5,2.943069043535168e-05
AMMONIA_STORAGE,9,6,2.9430855739929e-05
AMMONIA_STORAGE,9,7,2.943045026745222e-05
AMMONIA_STORAGE,9,8,2.943065285491812e-05
AMMONIA_STORAGE,9,9,2.943042532202282e-05
AMMONIA_STORAGE,9,10,2.943079523222078e-05
AMMONIA_STORAGE,9,11,2.943044212598209e-05
AMMONIA_STORAGE,9,12,2.943070343711454e-05
AMMONIA_STORAGE,10,1,2.943078749859454e-05
AMMONIA_STORAGE,10,2,2.943043940220429e-05
AMMONIA_STORAGE,10,3,2.943059126694209e-05
AMMONIA_STORAGE,10,4,2.943044416735263e-05
AMMONIA_STORAGE,10,5,2.943069861998521e-05
AMMONIA_STORAGE,10,6,2.943085795574507e-05
AMMONIA_STORAGE,10,7,2.943045026745396e-05
AMMONIA_STORAGE,10,8,2.9430652854932e-05
AMMONIA_STORAGE,10,9,2.943042532198639e-05
AMMONIA_STORAGE,10,10,2.943079523220864e-05
AMMONIA_STORAGE,10,11,2.943044212599076e-05
AMMONIA_STORAGE,10,12,2.943070343713189e-05
AMMONIA_STORAGE,11,1,2.943078749858413e-05
AMMONIA_STORAGE,11,2,2.943043940222163e-05
AMMONIA_STORAGE,11,3,2.943059126695076e-05
AMMONIA_STORAGE,11,4,2.943057204300194e-05
AMMONIA_STORAGE,11,5,2.943072578926419e-05
AMMONIA_STORAGE,11,6,2.943085685624611e-05
AMMONIA_STORAGE,11,7,2.943045026749039e-05
AMMONIA_STORAGE,11,8,2.943065285489037e-05
AMMONIA_STORAGE,11,9,2.943042532198466e-05
AMMONIA_STORAGE,11,10,2.943079523222251e-05
AMMONIA_STORAGE,11,11,2.943044212600984e-05
AMMONIA_STORAGE,11,12,2.943070343712322e-05
AMMONIA_STORAGE,12,1,2.943078749855464e-05
AMMONIA_STORAGE,12,2,2.943043940224939e-05
AMMONIA_STORAGE,12,3,2.943059126695423e-05
AMMONIA_STORAGE,12,4,2.943057201688741e-05
AMMONIA_STORAGE,12,5,2.943073777775772e-05
AMMONIA_STORAGE,12,6,2.943085573996369e-05
AMMONIA_STORAGE,12,7,2.943052365417254e-05
AMMONIA_STORAGE,12,8,2.943065465775552e-05
AMMONIA_STORAGE,12,9,2.943042532202109e-05
AMMONIA_STORAGE,12,10,2.94307952322069e-05
AMMONIA_STORAGE,12,11,2.943044212603413e-05
AMMONIA_STORAGE,12,12,2.943070343712842e-05
AMMONIA_STORAGE,13,1,2.943078749855464e-05
AMMONIA_STORAGE,13,2,2.943043940221643e-05
AMMONIA_STORAGE,13,3,2.94305912669629e-05
AMMONIA_STORAGE,13,4,2.943058554582753e-05
AMMONIA_STORAGE,13,5,2.943073777776292e-05
AMMONIA_STORAGE,13,6,2.943085573998798e-05
AMMONIA_STORAGE,13,7,2.943051838167135e-05
AMMONIA_STORAGE,13,8,2.943068393335135e-05
AMMONIA_STORAGE,13,9,2.943042532203323e-05
AMMONIA_STORAGE,13,10,2.943079523221558e-05
AMMONIA_STORAGE,13,11,2.943044212601158e-05
AMMONIA_STORAGE,13,12,2.943070343709372e-05
AMMONIA_STORAGE,14,1,2.943078749857199e-05
AMMONIA_STORAGE,14,2,2.943043940221123e-05
AMMONIA_STORAGE,14,3,2.943059126696637e-05
AMMONIA_STORAGE,14,4,2.943058212153196e-05
AMMONIA_STORAGE,14,5,2.943073777780976e-05
AMMONIA_STORAGE,14,6,2.94308557400088e-05
AMMONIA_STORAGE,14,7,2.943051288204629e-05
AMMONIA_STORAGE,14,8,2.943068393325768e-05
AMMONIA_STORAGE,14,9,2.943042532206272e-05
AMMONIA_STORAGE,14,10,2.94307952322017e-05
AMMONIA_STORAGE,14,11,2.943044212604107e-05
AMMONIA_STORAGE,14,12,2.943070343713189e-05
AMMONIA_STORAGE,15,1,2.943078749854944e-05
AMMONIA_STORAGE,15,2,2.943043940223725e-05
AMMONIA_STORAGE,15,3,2.943059126692647e-05
AMMONIA_STORAGE,15,4,2.943057882094993e-05
AMMONIA_STORAGE,15,5,2.943073777780629e-05
AMMONIA_STORAGE,15,6,2.943085574006951e-05
AMMONIA_STORAGE,15,7,2.94305071405019e-05
AMMONIA_STORAGE,15,8,2.943068393325594e-05
AMMONIA_STORAGE,15,9,2.943042532198466e-05
AMMONIA_STORAGE,15,10,2.943079523222425e-05
AMMONIA_STORAGE,15,11,2.943044212598382e-05
AMMONIA_STORAGE,15,12,2.943066757902721e-05
AMMONIA_STORAGE,16,1,2.943078749855291e-05
AMMONIA_STORAGE,16,2,2.943043940221469e-05
AMMONIA_STORAGE,16,3,2.943059126694382e-05
AMMONIA_STORAGE,16,4,2.943057541073338e-05
AMMONIA_STORAGE,16,5,2.943073777780802e-05
AMMONIA_STORAGE,16,6,2.943085573994114e-05
AMMONIA_STORAGE,16,7,2.943050114128341e-05
AMMONIA_STORAGE,16,8,2.943065322683763e-05
AMMONIA_STORAGE,16,9,2.943042532197425e-05
AMMONIA_STORAGE,16,10,2.943079523218955e-05
AMMONIA_STORAGE,16,11,2.943044212599076e-05
AMMONIA_STORAGE,16,12,2.943066714913845e-05
AMMONIA_STORAGE,17,1,2.943078749855811e-05
AMMONIA_STORAGE,17,2,2.943043940220082e-05
AMMONIA_STORAGE,17,3,2.9430591267008e-05
AMMONIA_STORAGE,17,4,2.943057188567293e-05
AMMONIA_STORAGE,17,5,2.943069859720135e-05
AMMONIA_STORAGE,17,6,2.943085573986134e-05
AMMONIA_STORAGE,17,7,2.943049486703146e-05
AMMONIA_STORAGE,17,8,2.943065285489557e-05
AMMONIA_STORAGE,17,9,2.943042532197772e-05
AMMONIA_STORAGE,17,10,2.943079523218435e-05
AMMONIA_STORAGE,17,11,2.943044212602719e-05
AMMONIA_STORAGE,17,12,2.943066626869169e-05
AMMONIA_STORAGE,18,1,2.943078749857893e-05
AMMONIA_STORAGE,18,2,2.943043940219735e-05
AMMONIA_STORAGE,18,3,2.943059126694902e-05
AMMONIA_STORAGE,18,4,2.943056823998154e-05
AMMONIA_STORAGE,18,5,2.943069043522158e-05
AMMONIA_STORAGE,18,6,2.943084868433678e-05
AMMONIA_STORAGE,18,7,2.943045026745743e-05
AMMONIA_STORAGE,18,8,2.943065247708668e-05
AMMONIA_STORAGE,18,9,2.94304253219916e-05
AMMONIA_STORAGE,18,10,2.943079523219649e-05
AMMONIA_STORAGE,18,11,2.94304421259925e-05
AMMONIA_STORAGE,18,12,2.943066626877669e-05
AMMONIA_STORAGE,19,1,2.943078749857025e-05
AMMONIA_STORAGE,19,2,2.943043940220602e-05
AMMONIA_STORAGE,19,3,2.943059126696117e-05
AMMONIA_STORAGE,19,4,2.943056446751482e-05
AMMONIA_STORAGE,19,5,2.943069859071869e-05
AMMONIA_STORAGE,19,6,2.943084744464787e-05
AMMONIA_STORAGE,19,7,2.943045026741753e-05
AMMONIA_STORAGE,19,8,2.943048295004497e-05
AMMONIA_STORAGE,19,9,2.943042532197945e-05
AMMONIA_STORAGE,19,10,2.943079523219996e-05
AMMONIA_STORAGE,19,11,2.94304421259977e-05
AMMONIA_STORAGE,19,12,2.943066581819268e-05
AMMONIA_STORAGE,20,1,2.943078749857025e-05
AMMONIA_STORAGE,20,2,2.943043940224072e-05
AMMONIA_STORAGE,20,3,2.943059126698372e-05
AMMONIA_STORAGE,20,4,2.943056326881396e-05
AMMONIA_STORAGE,20,5,2.943073777770221e-05
AMMONIA_STORAGE,20,6,2.943068563041051e-05
AMMONIA_STORAGE,20,7,2.943045026745743e-05
AMMONIA_STORAGE,20,8,2.943048295006405e-05
AMMONIA_STORAGE,20,9,2.943042532196731e-05
AMMONIA_STORAGE,20,10,2.94307952322416e-05
AMMONIA_STORAGE,20,11,2.943044212600464e-05
AMMONIA_STORAGE,20,12,2.943066536035752e-05
AMMONIA_STORAGE,21,1,2.943078749856158e-05
AMMONIA_STORAGE,21,2,2.94304394022199e-05
AMMONIA_STORAGE,21,3,2.943059126708086e-05
AMMONIA_STORAGE,21,4,2.943057178057644e-05
