j,h,td,val
AMMONIA_STORAGE,1,1,1.237070623141823e-05
AMMONIA_STORAGE,1,2,1.237085650467387e-05
AMMONIA_STORAGE,1,3,1.237077704501106e-05
AMMONIA_STORAGE,1,4,1.237086222838184e-05
AMMONIA_STORAGE,1,5,1.23707452737154e-05
AMMONIA_STORAGE,1,6,1.23708462676439e-05
AMMONIA_STORAGE,1,7,1.23708599697181e-05
AMMONIA_STORAGE,1,8,1.237084691728396e-05
AMMONIA_STORAGE,1,9,1.237086705143178e-05
AMMONIA_STORAGE,1,10,1.237070253572344e-05
AMMONIA_STORAGE,1,11,1.237086296067801e-05
AMMONIA_STORAGE,1,12,1.237074643014105e-05
AMMONIA_STORAGE,2,1,1.237070623142864e-05
AMMONIA_STORAGE,2,2,1.237085650468775e-05
AMMONIA_STORAGE,2,3,1.237077704505617e-05
AMMONIA_STORAGE,2,4,1.237086222864031e-05
AMMONIA_STORAGE,2,5,1.237074544236695e-05
AMMONIA_STORAGE,2,6,1.237084626766471e-05
AMMONIA_STORAGE,2,7,1.237085996970595e-05
AMMONIA_STORAGE,2,8,1.237084691729264e-05
AMMONIA_STORAGE,2,9,1.237086705147342e-05
AMMONIA_STORAGE,2,10,1.237070253569568e-05
AMMONIA_STORAGE,2,11,1.237086296078729e-05
AMMONIA_STORAGE,2,12,1.23707464301584e-05
AMMONIA_STORAGE,3,1,1.23707062314269e-05
AMMONIA_STORAGE,3,2,1.237085650473459e-05
AMMONIA_STORAGE,3,3,1.237077704507178e-05
AMMONIA_STORAGE,3,4,1.237086222868541e-05
AMMONIA_STORAGE,3,5,1.237074561351477e-05
AMMONIA_STORAGE,3,6,1.237084626769074e-05
AMMONIA_STORAGE,3,7,1.237085996968687e-05
AMMONIA_STORAGE,3,8,1.237084691719376e-05
AMMONIA_STORAGE,3,9,1.237086705146127e-05
AMMONIA_STORAGE,3,10,1.237070253573211e-05
AMMONIA_STORAGE,3,11,1.237086296073005e-05
AMMONIA_STORAGE,3,12,1.237074643015319e-05
AMMONIA_STORAGE,4,1,1.237070623143037e-05
AMMONIA_STORAGE,4,2,1.23708565047554e-05
AMMONIA_STORAGE,4,3,1.237077704507351e-05
AMMONIA_STORAGE,4,4,1.237086222869756e-05
AMMONIA_STORAGE,4,5,1.237074702978291e-05
AMMONIA_STORAGE,4,6,1.237084626767512e-05
AMMONIA_STORAGE,4,7,1.237085996970422e-05
AMMONIA_STORAGE,4,8,1.23708469172007e-05
AMMONIA_STORAGE,4,9,1.237086705148209e-05
AMMONIA_STORAGE,4,10,1.237070253570609e-05
AMMONIA_STORAGE,4,11,1.237086296077168e-05
AMMONIA_STORAGE,4,12,1.237074643014972e-05
AMMONIA_STORAGE,5,1,1.237070623141129e-05
AMMONIA_STORAGE,5,2,1.237085650475193e-05
AMMONIA_STORAGE,5,3,1.237077704510127e-05
AMMONIA_STORAGE,5,4,1.237086222870797e-05
AMMONIA_STORAGE,5,5,1.237074703142049e-05
AMMONIA_STORAGE,5,6,1.237084626766471e-05
AMMONIA_STORAGE,5,7,1.237085996975973e-05
AMMONIA_STORAGE,5,8,1.237084691734294e-05
AMMONIA_STORAGE,5,9,1.237086705147862e-05
AMMONIA_STORAGE,5,10,1.237070253570088e-05
AMMONIA_STORAGE,5,11,1.237086296075433e-05
AMMONIA_STORAGE,5,12,1.23707464301185e-05
AMMONIA_STORAGE,6,1,1.237070623140261e-05
AMMONIA_STORAGE,6,2,1.237085650477449e-05
AMMONIA_STORAGE,6,3,1.237077704510127e-05
AMMONIA_STORAGE,6,4,1.237086222869929e-05
AMMONIA_STORAGE,6,5,1.237074703290715e-05
AMMONIA_STORAGE,6,6,1.237084626763002e-05
AMMONIA_STORAGE,6,7,1.237085996969207e-05
AMMONIA_STORAGE,6,8,1.237084691724059e-05
AMMONIA_STORAGE,6,9,1.237086705147862e-05
AMMONIA_STORAGE,6,10,1.237070253572864e-05
