index,capacity
AMMONIA_STORAGE,0.002272712079078865
BATT_LI,5.373293712371208e-09
CCGT,9.180375010484592
CCGT_AMMONIA,4.371882344423478e-10
COAL_IGCC,0.0
COAL_US,0.0
DEC_ADVCOGEN_GAS,7.949892906310212e-11
DEC_ADVCOGEN_H2,5.219067538126431e-11
DEC_BOILER_GAS,1.465944285207246e-09
DEC_BOILER_OIL,1.224445324516465e-09
DEC_BOILER_WOOD,5.921310654659936e-10
DEC_COGEN_GAS,1.981962496696142e-10
DEC_COGEN_OIL,1.839969439750828e-10
DEC_DIRECT_ELEC,6.805313841294919e-09
DEC_HP_ELEC,73.21881154024217
DEC_SOLAR,3.801272734091509e-09
DEC_THHP_GAS,1.317797178864312e-09
DHN,35.6696210163316
DHN_BOILER_GAS,8.901396470516229e-10
DHN_BOILER_OIL,8.732102754763744e-10
DHN_BOILER_WOOD,7.949619945754911e-10
DHN_COGEN_BIO_HYDROLYSIS,1.188803088275284e-10
DHN_COGEN_GAS,3.846392629739257e-10
DHN_COGEN_WASTE,1.411654854193792e-10
DHN_COGEN_WET_BIOMASS,2.743637214382085
DHN_COGEN_WOOD,2.58282207834984e-10
DHN_DEEP_GEO,0.0
DHN_HP_ELEC,32.92598379803407
DHN_SOLAR,4.541656851075132e-10
EFFICIENCY,0.9852216748768474
GAS_STORAGE,17773.59203707258
GEOTHERMAL,0.0
GRID,2.933151946958654
H2_STORAGE,1.710336413230425e-06
HYDRO_RIVER,2.960250235663864e-09
IND_BOILER_COAL,23.65296803635517
IND_BOILER_GAS,4.183765493147003e-09
IND_BOILER_OIL,4.372800019908581e-09
IND_BOILER_WASTE,2.543501180130148e-09
IND_BOILER_WOOD,2.255632256154998e-09
IND_COGEN_GAS,2.496426697669415e-10
IND_COGEN_WASTE,1.661888653195382e-10
IND_COGEN_WOOD,3.227992943157666e-10
IND_DIRECT_ELEC,23.65296803629996
LFO_STORAGE,0.002272712752333206
NUCLEAR,0.0
PHS,7.241999999983296
PV,78.80513839641215
TS_DEC_ADVCOGEN_GAS,6.869500402909977e-08
TS_DEC_ADVCOGEN_H2,6.789948248740589e-08
TS_DEC_BOILER_GAS,6.97213159571615e-08
TS_DEC_BOILER_OIL,6.956753493949708e-08
TS_DEC_BOILER_WOOD,6.980680027914802e-08
TS_DEC_COGEN_GAS,6.978400502987152e-08
TS_DEC_COGEN_OIL,6.911529109238969e-08
TS_DEC_DIRECT_ELEC,6.981530104350369e-08
TS_DEC_HP_ELEC,211.3965435443964
TS_DEC_THHP_GAS,6.978198082390049e-08
TS_DHN_DAILY,7.654295400636845e-07
TS_DHN_SEASONAL,5582.833853439723
TS_HIGH_TEMP,6.40491493496205e-08
WIND_OFFSHORE,1.094045142911585e-09
WIND_ONSHORE,314.9684524217223
