pt,n,h,td,val
CCGT,GERMANY,1,1,3.902742570303282e-11
CCGT,GERMANY,1,2,9.180375010165738
CCGT,GERMANY,1,3,9.180375009942757
CCGT,GERMANY,1,4,9.180375010320752
CCGT,GERMANY,1,5,4.269099743468782e-11
CCGT,GERMANY,1,6,9.180375010123454
CCGT,GERMANY,1,7,9.18037501034207
CCGT,GERMANY,1,8,9.180375010389543
CCGT,GERMANY,1,9,9.18037501024905
CCGT,GERMANY,1,10,4.062561531905401e-11
CCGT,GERMANY,1,11,9.180375010325072
CCGT,GERMANY,1,12,2.220281147695259e-11
CCGT,GERMANY,2,1,3.902681987028766e-11
CCGT,GERMANY,2,2,9.180375010165765
CCGT,GERMANY,2,3,9.180375009942763
CCGT,GERMANY,2,4,9.18037501032985
CCGT,GERMANY,2,5,4.285619467356527e-11
CCGT,GERMANY,2,6,9.180375010123536
CCGT,GERMANY,2,7,9.180375010341763
CCGT,GERMANY,2,8,9.180375010389222
CCGT,GERMANY,2,9,9.180375010249117
CCGT,GERMANY,2,10,4.062555003207054e-11
CCGT,GERMANY,2,11,9.18037501032583
CCGT,GERMANY,2,12,2.220222050038446e-11
CCGT,GERMANY,3,1,3.902609057530388e-11
CCGT,GERMANY,3,2,9.180375010166008
CCGT,GERMANY,3,3,9.180375009942816
CCGT,GERMANY,3,4,9.180375010329573
CCGT,GERMANY,3,5,4.302727537387981e-11
CCGT,GERMANY,3,6,9.180375010123429
CCGT,GERMANY,3,7,9.180375010342054
CCGT,GERMANY,3,8,9.180375010371652
CCGT,GERMANY,3,9,9.180375010249056
CCGT,GERMANY,3,10,4.062546128405452e-11
CCGT,GERMANY,3,11,9.18037501032577
CCGT,GERMANY,3,12,2.220132505015712e-11
CCGT,GERMANY,4,1,3.902528868151001e-11
CCGT,GERMANY,4,2,9.180375010165763
CCGT,GERMANY,4,3,9.180375009942827
CCGT,GERMANY,4,4,9.180375010329888
CCGT,GERMANY,4,5,4.318672591124152e-11
CCGT,GERMANY,4,6,9.180375010123461
CCGT,GERMANY,4,7,9.180375010342079
CCGT,GERMANY,4,8,9.180375010377478
CCGT,GERMANY,4,9,9.180375010248985
CCGT,GERMANY,4,10,4.062531093049846e-11
CCGT,GERMANY,4,11,9.18037501032529
CCGT,GERMANY,4,12,2.220036778852103e-11
CCGT,GERMANY,5,1,3.902447871963467e-11
CCGT,GERMANY,5,2,9.18037501016574
CCGT,GERMANY,5,3,9.180375009942802
CCGT,GERMANY,5,4,9.1803750103298
CCGT,GERMANY,5,5,4.337580368848419e-11
CCGT,GERMANY,5,6,9.180375010123443
CCGT,GERMANY,5,7,9.180375010342127
CCGT,GERMANY,5,8,9.180375010383832
CCGT,GERMANY,5,9,9.180375010248978
CCGT,GERMANY,5,10,4.062511937561871e-11
CCGT,GERMANY,5,11,9.180375010325426
CCGT,GERMANY,5,12,2.219955577459257e-11
CCGT,GERMANY,6,1,3.902375918552771e-11
CCGT,GERMANY,6,2,9.180375010166058
CCGT,GERMANY,6,3,9.180375009942741
CCGT,GERMANY,6,4,9.180375010329598
CCGT,GERMANY,6,5,5.071111759177961e-11
CCGT,GERMANY,6,6,9.180375010123305
CCGT,GERMANY,6,7,9.180375010341894
CCGT,GERMANY,6,8,9.180375010389305
CCGT,GERMANY,6,9,9.180375010249032
CCGT,GERMANY,6,10,4.06250496344397e-11
CCGT,GERMANY,6,11,9.180375010325516
CCGT,GERMANY,6,12,2.21987334628379e-11
CCGT,GERMANY,7,1,3.902309054050509e-11
CCGT,GERMANY,7,2,9.180375010165717
CCGT,GERMANY,7,3,9.180375009942889
CCGT,GERMANY,7,4,9.180375010329634
CCGT,GERMANY,7,5,4.372267889215026e-11
CCGT,GERMANY,7,6,9.180375010123372
CCGT,GERMANY,7,7,9.180375010342107
CCGT,GERMANY,7,8,9.180375010388465
CCGT,GERMANY,7,9,9.180375010248934
CCGT,GERMANY,7,10,4.062492211114794e-11
CCGT,GERMANY,7,11,9.180375010325314
CCGT,GERMANY,7,12,2.219792944143292e-11
CCGT,GERMANY,8,1,3.902244432535829e-11
CCGT,GERMANY,8,2,9.180375010165859
CCGT,GERMANY,8,3,9.180375009942816
CCGT,GERMANY,8,4,9.180375010329715
CCGT,GERMANY,8,5,5.110670400674793e-11
CCGT,GERMANY,8,6,9.180375008216654
CCGT,GERMANY,8,7,9.180375010342019
CCGT,GERMANY,8,8,4.19134877154072
CCGT,GERMANY,8,9,9.180375010248959
CCGT,GERMANY,8,10,4.062481194613547e-11
CCGT,GERMANY,8,11,9.180375010325024
CCGT,GERMANY,8,12,2.219703510548405e-11
CCGT,GERMANY,9,1,3.90218605282348e-11
CCGT,GERMANY,9,2,9.180375010165728
CCGT,GERMANY,9,3,9.180375009942738
CCGT,GERMANY,9,4,9.18037501032972
CCGT,GERMANY,9,5,4.303914249535842e-11
CCGT,GERMANY,9,6,1.066217088236968e-10
CCGT,GERMANY,9,7,9.18037501034222
CCGT,GERMANY,9,8,1.075980999709835
CCGT,GERMANY,9,9,9.180375010248994
CCGT,GERMANY,9,10,4.062473202495054e-11
CCGT,GERMANY,9,11,9.180375010325244
CCGT,GERMANY,9,12,2.219553715652588e-11
CCGT,GERMANY,10,1,3.902126635305188e-11
CCGT,GERMANY,10,2,9.180375010166046
CCGT,GERMANY,10,3,9.180375009942859
CCGT,GERMANY,10,4,9.180375010329506
CCGT,GERMANY,10,5,4.285414617691161e-11
CCGT,GERMANY,10,6,1.066340882379216e-10
CCGT,GERMANY,10,7,9.180375010341807
CCGT,GERMANY,10,8,3.129340491251942e-11
CCGT,GERMANY,10,9,9.180375010248996
CCGT,GERMANY,10,10,4.062459996477827e-11
CCGT,GERMANY,10,11,9.180375010325422
CCGT,GERMANY,10,12,2.219449501788382e-11
CCGT,GERMANY,11,1,3.902069413853485e-11
CCGT,GERMANY,11,2,9.180375010165891
CCGT,GERMANY,11,3,9.180375009942855
CCGT,GERMANY,11,4,9.1803750103295
CCGT,GERMANY,11,5,4.285398001173858e-11
CCGT,GERMANY,11,6,1.070582854682888e-10
CCGT,GERMANY,11,7,9.180375010341852
CCGT,GERMANY,11,8,2.677465753290485e-11
CCGT,GERMANY,11,9,9.180375010248937
CCGT,GERMANY,11,10,4.062442768337223e-11
CCGT,GERMANY,11,11,9.180375010325383
CCGT,GERMANY,11,12,2.219412502576954e-11
CCGT,GERMANY,12,1,3.902010855390053e-11
CCGT,GERMANY,12,2,9.180375010165733
CCGT,GERMANY,12,3,9.180375009942917
CCGT,GERMANY,12,4,9.180375010234581
