p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,1.446717537558006,27,1,0.05358213102066688,53.582131020666885
AMMONIA,GERMANY,1,2,0.910896241510511,17,1,0.05358213185355947,53.582131853559474
AMMONIA,GERMANY,1,3,0.5358213010549355,10,1,0.05358213010549355,53.58213010549355
AMMONIA,GERMANY,1,4,1.875374660742014,35,1,0.05358213316405754,53.582133164057545
AMMONIA,GERMANY,1,5,1.928956848910846,36,1,0.053582134691967945,53.582134691967944
AMMONIA,GERMANY,1,6,0.8037320033173516,15,1,0.05358213355449011,53.58213355449011
AMMONIA,GERMANY,1,7,2.036121214997149,38,1,0.05358213723676708,53.58213723676708
AMMONIA,GERMANY,1,8,3.054181842926928,57,1,0.053582137595209266,53.58213759520927
AMMONIA,GERMANY,1,9,1.232389169013182,23,1,0.05358213778318183,53.58213778318183
AMMONIA,GERMANY,1,10,1.393135478517015,26,1,0.05358213378911596,53.58213378911596
AMMONIA,GERMANY,1,11,1.821792528074789,34,1,0.05358213317867027,53.58213317867027
AMMONIA,GERMANY,1,12,2.518360214192078,47,1,0.05358213221685272,53.58213221685272
AMMONIA,GERMANY,2,1,1.446717537537344,27,1,0.05358213101990163,53.582131019901624
AMMONIA,GERMANY,2,2,0.9108962414680827,17,1,0.05358213185106369,53.58213185106369
AMMONIA,GERMANY,2,3,0.5358213010574078,10,1,0.053582130105740776,53.582130105740774
AMMONIA,GERMANY,2,4,1.875374660830538,35,1,0.0535821331665868,53.5821331665868
AMMONIA,GERMANY,2,5,1.928956848994215,36,1,0.05358213469428375,53.58213469428375
AMMONIA,GERMANY,2,6,0.8037320033578312,15,1,0.05358213355718875,53.58213355718875
AMMONIA,GERMANY,2,7,2.0361212149786,38,1,0.05358213723627894,53.582137236278946
AMMONIA,GERMANY,2,8,3.054181842956977,57,1,0.053582137595736434,53.582137595736434
AMMONIA,GERMANY,2,9,1.232389169013798,23,1,0.05358213778320861,53.58213778320861
AMMONIA,GERMANY,2,10,1.393135478506198,26,1,0.05358213378869992,53.58213378869992
AMMONIA,GERMANY,2,11,1.821792528000941,34,1,0.053582133176498264,53.58213317649827
AMMONIA,GERMANY,2,12,2.51836021410069,47,1,0.0535821322149083,53.5821322149083
AMMONIA,GERMANY,3,1,1.446717537516449,27,1,0.05358213101912774,53.582131019127736
AMMONIA,GERMANY,3,2,0.9108962414209779,17,1,0.053582131848292816,53.58213184829282
AMMONIA,GERMANY,3,3,0.5358213010559628,10,1,0.05358213010559628,53.58213010559628
AMMONIA,GERMANY,3,4,1.875374660915825,35,1,0.05358213316902357,53.58213316902357
AMMONIA,GERMANY,3,5,1.92895684907639,36,1,0.05358213469656639,53.58213469656639
AMMONIA,GERMANY,3,6,0.8037320033998604,15,1,0.05358213355999069,53.58213355999069
AMMONIA,GERMANY,3,7,2.036121214957161,38,1,0.05358213723571476,53.58213723571476
AMMONIA,GERMANY,3,8,3.054181842973905,57,1,0.053582137596033426,53.58213759603343
AMMONIA,GERMANY,3,9,1.232389169012641,23,1,0.053582137783158304,53.5821377831583
AMMONIA,GERMANY,3,10,1.393135478495566,26,1,0.053582133788291006,53.582133788291
AMMONIA,GERMANY,3,11,1.821792527928307,34,1,0.053582133174361966,53.582133174361964
AMMONIA,GERMANY,3,12,2.51836021400845,47,1,0.05358213221294574,53.582132212945744
AMMONIA,GERMANY,4,1,1.446717537495774,27,1,0.053582131018362,53.582131018362
AMMONIA,GERMANY,4,2,0.910896241366126,17,1,0.05358213184506624,53.582131845066236
AMMONIA,GERMANY,4,3,0.535821301056492,10,1,0.053582130105649196,53.5821301056492
AMMONIA,GERMANY,4,4,1.875374661001747,35,1,0.05358213317147849,53.58213317147849
AMMONIA,GERMANY,4,5,1.928956849159984,36,1,0.053582134698888444,53.582134698888446
AMMONIA,GERMANY,4,6,0.8037320034361706,15,1,0.05358213356241137,53.58213356241137
AMMONIA,GERMANY,4,7,2.036121214936095,38,1,0.0535821372351604,53.5821372351604
AMMONIA,GERMANY,4,8,3.054181843005893,57,1,0.05358213759659461,53.582137596594606
AMMONIA,GERMANY,4,9,1.232389169007866,23,1,0.0535821377829507,53.582137782950696
AMMONIA,GERMANY,4,10,1.393135478483752,26,1,0.05358213378783661,53.58213378783661
AMMONIA,GERMANY,4,11,1.82179252785294,34,1,0.053582133172145295,53.5821331721453
AMMONIA,GERMANY,4,12,2.518360213916465,47,1,0.05358213221098861,53.58213221098861
AMMONIA,GERMANY,5,1,1.446717537474298,27,1,0.05358213101756659,53.582131017566596
AMMONIA,GERMANY,5,2,0.9108962413139061,17,1,0.05358213184199448,53.58213184199448
AMMONIA,GERMANY,5,3,0.5358213010504236,10,1,0.053582130105042355,53.58213010504235
AMMONIA,GERMANY,5,4,1.875374661085156,35,1,0.0535821331738616,53.5821331738616
AMMONIA,GERMANY,5,5,1.928956849240494,36,1,0.053582134701124835,53.582134701124836
AMMONIA,GERMANY,5,6,0.803732003470908,15,1,0.0535821335647272,53.5821335647272
AMMONIA,GERMANY,5,7,2.036121214909826,38,1,0.053582137234469106,53.58213723446911
AMMONIA,GERMANY,5,8,3.05418184303117,57,1,0.053582137597038074,53.58213759703808
AMMONIA,GERMANY,5,9,1.2323891690029,23,1,0.05358213778273479,53.58213778273479
AMMONIA,GERMANY,5,10,1.393135478469854,26,1,0.053582133787302075,53.58213378730208
AMMONIA,GERMANY,5,11,1.821792527776961,34,1,0.05358213316991062,53.58213316991062
AMMONIA,GERMANY,5,12,2.518360213824202,47,1,0.05358213220902557,53.58213220902557
AMMONIA,GERMANY,6,1,1.446717537451264,27,1,0.05358213101671348,53.58213101671348
AMMONIA,GERMANY,6,2,0.9108962412526084,17,1,0.053582131838388725,53.582131838388726
AMMONIA,GERMANY,6,3,0.5358213010389591,10,1,0.05358213010389591,53.58213010389591
AMMONIA,GERMANY,6,4,1.875374661168549,35,1,0.05358213317624425,53.582133176244255
AMMONIA,GERMANY,6,5,1.928956849330257,36,1,0.05358213470361825,53.58213470361825
AMMONIA,GERMANY,6,6,0.8037320035058273,15,1,0.05358213356705515,53.58213356705515
AMMONIA,GERMANY,6,7,2.036121214882583,38,1,0.05358213723375218,53.58213723375218
AMMONIA,GERMANY,6,8,3.054181843055266,57,1,0.053582137597460805,53.58213759746081
AMMONIA,GERMANY,6,9,1.232389168997581,23,1,0.05358213778250352,53.58213778250352
AMMONIA,GERMANY,6,10,1.393135478457392,26,1,0.053582133786822764,53.582133786822766
AMMONIA,GERMANY,6,11,1.8217925276978,34,1,0.053582133167582355,53.582133167582356
AMMONIA,GERMANY,6,12,2.518360213732303,47,1,0.053582132207070275,53.58213220707027
AMMONIA,GERMANY,7,1,1.446717537428384,27,1,0.05358213101586608,53.582131015866075
AMMONIA,GERMANY,7,2,0.9108962411911843,17,1,0.053582131834775545,53.582131834775545
AMMONIA,GERMANY,7,3,0.5358213010312071,10,1,0.053582130103120705,53.582130103120704
AMMONIA,GERMANY,7,4,1.87537466125186,35,1,0.05358213317862457,53.582133178624574
AMMONIA,GERMANY,7,5,1.928956849414812,36,1,0.053582134705967,53.58213470596699
AMMONIA,GERMANY,7,6,0.8037320035494415,15,1,0.05358213356996277,53.58213356996277
AMMONIA,GERMANY,7,7,2.03612121485868,38,1,0.053582137233123155,53.582137233123156
AMMONIA,GERMANY,7,8,3.054181843083509,57,1,0.0535821375979563,53.5821375979563
AMMONIA,GERMANY,7,9,1.232389168973148,23,1,0.05358213778144122,53.58213778144122
AMMONIA,GERMANY,7,10,1.393135478446106,26,1,0.053582133786388694,53.582133786388695
AMMONIA,GERMANY,7,11,1.821792527614432,34,1,0.05358213316513035,53.58213316513035
AMMONIA,GERMANY,7,12,2.518360213640626,47,1,0.053582132205119704,53.582132205119706
AMMONIA,GERMANY,8,1,1.446717537406687,27,1,0.05358213101506248,53.58213101506248
AMMONIA,GERMANY,8,2,0.9108962411425139,17,1,0.05358213183191258,53.58213183191258
AMMONIA,GERMANY,8,3,0.5358213010359152,10,1,0.053582130103591516,53.58213010359152
AMMONIA,GERMANY,8,4,1.875374661327639,35,1,0.053582133180789686,53.58213318078968
AMMONIA,GERMANY,8,5,1.928956849506737,36,1,0.053582134708520475,53.58213470852048
AMMONIA,GERMANY,8,6,0.8037320035348469,15,1,0.05358213356898979,53.58213356898979
AMMONIA,GERMANY,8,7,2.036121214839897,38,1,0.05358213723262887,53.58213723262887
AMMONIA,GERMANY,8,8,3.054181843043498,57,1,0.05358213759725435,53.58213759725435
AMMONIA,GERMANY,8,9,1.232389168943147,23,1,0.053582137780136825,53.582137780136826
AMMONIA,GERMANY,8,10,1.393135478437342,26,1,0.05358213378605162,53.582133786051614
AMMONIA,GERMANY,8,11,1.821792527519641,34,1,0.05358213316234238,53.58213316234238
AMMONIA,GERMANY,8,12,2.518360213549283,47,1,0.05358213220317624,53.582132203176236
AMMONIA,GERMANY,9,1,1.446717537386125,27,1,0.05358213101430093,53.58213101430093
AMMONIA,GERMANY,9,2,0.9108962411086772,17,1,0.053582131829922185,53.58213182992218
AMMONIA,GERMANY,9,3,0.5358213010607445,10,1,0.05358213010607445,53.58213010607445
AMMONIA,GERMANY,9,4,1.875374661409042,35,1,0.053582133183115485,53.58213318311549
AMMONIA,GERMANY,9,5,1.928956849594606,36,1,0.05358213471096127,53.58213471096127
AMMONIA,GERMANY,9,6,0.8037320033766598,15,1,0.05358213355844399,53.58213355844399
AMMONIA,GERMANY,9,7,2.036121214823537,38,1,0.05358213723219834,53.58213723219834
AMMONIA,GERMANY,9,8,3.054181843067435,57,1,0.053582137597674294,53.5821375976743
AMMONIA,GERMANY,9,9,1.232389168932003,23,1,0.0535821377796523,53.5821377796523
AMMONIA,GERMANY,9,10,1.393135478431149,26,1,0.05358213378581342,53.58213378581342
AMMONIA,GERMANY,9,11,1.821792527437928,34,1,0.05358213315993906,53.58213315993906
AMMONIA,GERMANY,9,12,2.51836021346059,47,1,0.05358213220128915,53.58213220128915
AMMONIA,GERMANY,10,1,1.446717537365746,27,1,0.05358213101354615,53.582131013546146
AMMONIA,GERMANY,10,2,0.9108962410849047,17,1,0.05358213182852381,53.58213182852381
AMMONIA,GERMANY,10,3,0.5358213010799243,10,1,0.05358213010799243,53.582130107992434
