st,n,h,td,val
AMMONIA,GERMANY,1,1,1.189809131754434e-10
AMMONIA,GERMANY,1,2,1.889688859768411e-10
AMMONIA,GERMANY,1,3,3.212440150327752e-10
AMMONIA,GERMANY,1,4,9.178420123878482e-11
AMMONIA,GERMANY,1,5,8.923520796207384e-11
AMMONIA,GERMANY,1,6,2.141640884628145e-10
AMMONIA,GERMANY,1,7,8.453768210379224e-11
AMMONIA,GERMANY,1,8,5.635912328453632e-11
AMMONIA,GERMANY,1,9,1.39671327822077e-10
AMMONIA,GERMANY,1,10,1.235565817597635e-10
AMMONIA,GERMANY,1,11,9.448346898999905e-11
AMMONIA,GERMANY,1,12,6.835143945825613e-11
AMMONIA,GERMANY,2,1,1.189809128898742e-10
AMMONIA,GERMANY,2,2,1.889688912145222e-10
AMMONIA,GERMANY,2,3,3.212440004881607e-10
AMMONIA,GERMANY,2,4,9.178420069506908e-11
AMMONIA,GERMANY,2,5,8.923520852278318e-11
AMMONIA,GERMANY,2,6,2.141640927631479e-10
AMMONIA,GERMANY,2,7,8.453768068349004e-11
AMMONIA,GERMANY,2,8,5.63591229969554e-11
AMMONIA,GERMANY,2,9,1.396713245836583e-10
AMMONIA,GERMANY,2,10,1.235565850029997e-10
AMMONIA,GERMANY,2,11,9.448346612836441e-11
AMMONIA,GERMANY,2,12,6.835143980925864e-11
AMMONIA,GERMANY,3,1,1.189809127414714e-10
AMMONIA,GERMANY,3,2,1.889688954624719e-10
AMMONIA,GERMANY,3,3,3.212439861427048e-10
AMMONIA,GERMANY,3,4,9.17842002905579e-11
AMMONIA,GERMANY,3,5,8.923520900299792e-11
AMMONIA,GERMANY,3,6,2.141640979105671e-10
AMMONIA,GERMANY,3,7,8.453767922447579e-11
AMMONIA,GERMANY,3,8,5.635912255625342e-11
AMMONIA,GERMANY,3,9,1.39671320825929e-10
AMMONIA,GERMANY,3,10,1.235565880817262e-10
AMMONIA,GERMANY,3,11,9.448346357019256e-11
AMMONIA,GERMANY,3,12,6.835144017361516e-11
AMMONIA,GERMANY,4,1,1.189809127470168e-10
AMMONIA,GERMANY,4,2,1.88968899540115e-10
AMMONIA,GERMANY,4,3,3.212439749008835e-10
AMMONIA,GERMANY,4,4,9.178419998689659e-11
AMMONIA,GERMANY,4,5,8.923520947997012e-11
AMMONIA,GERMANY,4,6,2.141641026530781e-10
AMMONIA,GERMANY,4,7,8.45376778714333e-11
AMMONIA,GERMANY,4,8,5.635912201449644e-11
AMMONIA,GERMANY,4,9,1.39671315604315e-10
AMMONIA,GERMANY,4,10,1.235565909052576e-10
AMMONIA,GERMANY,4,11,9.448346043546921e-11
AMMONIA,GERMANY,4,12,6.835144048129988e-11
AMMONIA,GERMANY,5,1,1.189809128463711e-10
AMMONIA,GERMANY,5,2,1.889689046837225e-10
AMMONIA,GERMANY,5,3,3.21243962544314e-10
AMMONIA,GERMANY,5,4,9.178419961102572e-11
AMMONIA,GERMANY,5,5,8.923520990432039e-11
AMMONIA,GERMANY,5,6,2.141641075079268e-10
AMMONIA,GERMANY,5,7,8.453767658729165e-11
AMMONIA,GERMANY,5,8,5.635912131746112e-11
AMMONIA,GERMANY,5,9,1.396713105132234e-10
AMMONIA,GERMANY,5,10,1.235565934477858e-10
AMMONIA,GERMANY,5,11,9.448345755099115e-11
AMMONIA,GERMANY,5,12,6.835144076996606e-11
AMMONIA,GERMANY,6,1,1.189809130126278e-10
AMMONIA,GERMANY,6,2,1.889689089882646e-10
AMMONIA,GERMANY,6,3,3.21243949271043e-10
AMMONIA,GERMANY,6,4,9.178419918732396e-11
AMMONIA,GERMANY,6,5,8.923521026089479e-11
AMMONIA,GERMANY,6,6,2.141641125618283e-10
AMMONIA,GERMANY,6,7,8.453767529781633e-11
AMMONIA,GERMANY,6,8,5.635912040765509e-11
AMMONIA,GERMANY,6,9,1.396713062296455e-10
AMMONIA,GERMANY,6,10,1.235565958850173e-10
AMMONIA,GERMANY,6,11,9.448345435856368e-11
AMMONIA,GERMANY,6,12,6.835144101276011e-11
AMMONIA,GERMANY,7,1,1.189809133090761e-10
AMMONIA,GERMANY,7,2,1.889689133700454e-10
