j,h,td,val
AMMONIA_STORAGE,1,1,4.509368222411526e-06
AMMONIA_STORAGE,1,2,4.509309866142924e-06
AMMONIA_STORAGE,1,3,4.509342657085628e-06
AMMONIA_STORAGE,1,4,4.509307566822468e-06
AMMONIA_STORAGE,1,5,4.509354663928197e-06
AMMONIA_STORAGE,1,6,4.509313842193316e-06
AMMONIA_STORAGE,1,7,4.509306784111766e-06
AMMONIA_STORAGE,1,8,4.509312015532965e-06
AMMONIA_STORAGE,1,9,4.509304465729301e-06
AMMONIA_STORAGE,1,10,4.50936965858996e-06
AMMONIA_STORAGE,1,11,4.509305927625877e-06
AMMONIA_STORAGE,1,12,4.509352562596068e-06
AMMONIA_STORAGE,2,1,4.509368222970975e-06
AMMONIA_STORAGE,2,2,4.509309628831885e-06
AMMONIA_STORAGE,2,3,4.509342657794263e-06
AMMONIA_STORAGE,2,4,4.509305910753089e-06
AMMONIA_STORAGE,2,5,4.509354619303303e-06
AMMONIA_STORAGE,2,6,4.509313842511638e-06
AMMONIA_STORAGE,2,7,4.509306784413608e-06
AMMONIA_STORAGE,2,8,4.509312017182687e-06
AMMONIA_STORAGE,2,9,4.509304465630422e-06
AMMONIA_STORAGE,2,10,4.509369659800797e-06
AMMONIA_STORAGE,2,11,4.509305908630655e-06
AMMONIA_STORAGE,2,12,4.509352562803368e-06
AMMONIA_STORAGE,3,1,4.509368223398584e-06
AMMONIA_STORAGE,3,2,4.509309358215891e-06
AMMONIA_STORAGE,3,3,4.509342659177705e-06
AMMONIA_STORAGE,3,4,4.509305911579685e-06
AMMONIA_STORAGE,3,5,4.509354573226446e-06
AMMONIA_STORAGE,3,6,4.509313842973942e-06
AMMONIA_STORAGE,3,7,4.509306784469119e-06
AMMONIA_STORAGE,3,8,4.50931551538615e-06
AMMONIA_STORAGE,3,9,4.509304465652106e-06
AMMONIA_STORAGE,3,10,4.509369660985613e-06
AMMONIA_STORAGE,3,11,4.509305918292197e-06
AMMONIA_STORAGE,3,12,4.509352562952554e-06
AMMONIA_STORAGE,4,1,4.509368223823591e-06
AMMONIA_STORAGE,4,2,4.509309360341794e-06
AMMONIA_STORAGE,4,3,4.509342660566351e-06
