j,h,td,val
AMMONIA_STORAGE,1,1,4.509296179297864e-06
AMMONIA_STORAGE,1,2,4.50935552495299e-06
AMMONIA_STORAGE,1,3,4.509321744380901e-06
AMMONIA_STORAGE,1,4,4.509356842239548e-06
AMMONIA_STORAGE,1,5,4.509309764012814e-06
AMMONIA_STORAGE,1,6,4.509350596826507e-06
AMMONIA_STORAGE,1,7,4.509357638957275e-06
AMMONIA_STORAGE,1,8,4.509352413589393e-06
AMMONIA_STORAGE,1,9,4.509359966169482e-06
AMMONIA_STORAGE,1,10,4.509294732779612e-06
AMMONIA_STORAGE,1,11,4.509359080660802e-06
AMMONIA_STORAGE,1,12,4.509311865181012e-06
AMMONIA_STORAGE,2,1,4.509296179849506e-06
AMMONIA_STORAGE,2,2,4.509355291153899e-06
AMMONIA_STORAGE,2,3,4.509321745139842e-06
AMMONIA_STORAGE,2,4,4.509358501938836e-06
AMMONIA_STORAGE,2,5,4.509309808422603e-06
AMMONIA_STORAGE,2,6,4.509350596888957e-06
AMMONIA_STORAGE,2,7,4.509357639116002e-06
AMMONIA_STORAGE,2,8,4.50935241183472e-06
AMMONIA_STORAGE,2,9,4.509359966021163e-06
AMMONIA_STORAGE,2,10,4.509294733980908e-06
AMMONIA_STORAGE,2,11,4.509359061682927e-06
AMMONIA_STORAGE,2,12,4.50931186539525e-06
AMMONIA_STORAGE,3,1,4.509296180272779e-06
AMMONIA_STORAGE,3,2,4.509355022726258e-06
AMMONIA_STORAGE,3,3,4.50932174655104e-06
AMMONIA_STORAGE,3,4,4.50935850340034e-06
AMMONIA_STORAGE,3,5,4.509309854114352e-06
AMMONIA_STORAGE,3,6,4.509350596755383e-06
AMMONIA_STORAGE,3,7,4.509357639070032e-06
AMMONIA_STORAGE,3,8,4.509348913461254e-06
AMMONIA_STORAGE,3,9,4.509359965784374e-06
AMMONIA_STORAGE,3,10,4.509294735158785e-06
AMMONIA_STORAGE,3,11,4.509359071345337e-06
AMMONIA_STORAGE,3,12,4.509311865497599e-06
AMMONIA_STORAGE,4,1,4.509296180690847e-06
AMMONIA_STORAGE,4,2,4.509355025778504e-06
AMMONIA_STORAGE,4,3,4.509321747935349e-06
AMMONIA_STORAGE,4,4,4.509358504586891e-06
AMMONIA_STORAGE,4,5,4.50930989733412e-06
AMMONIA_STORAGE,4,6,4.509350595825572e-06
AMMONIA_STORAGE,4,7,4.509357639004979e-06
AMMONIA_STORAGE,4,8,4.509350014678462e-06
AMMONIA_STORAGE,4,9,4.509359964919614e-06
AMMONIA_STORAGE,4,10,4.509294735970636e-06
AMMONIA_STORAGE,4,11,4.509359020915191e-06
AMMONIA_STORAGE,4,12,4.509311865600815e-06
AMMONIA_STORAGE,5,1,4.509296180810543e-06
AMMONIA_STORAGE,5,2,4.50935502886024e-06
AMMONIA_STORAGE,5,3,4.509321750560853e-06
AMMONIA_STORAGE,5,4,4.509358506484679e-06
AMMONIA_STORAGE,5,5,4.509309944522935e-06
AMMONIA_STORAGE,5,6,4.509350594410037e-06
AMMONIA_STORAGE,5,7,4.509357638682321e-06
AMMONIA_STORAGE,5,8,4.509351180501976e-06
AMMONIA_STORAGE,5,9,4.509359964146795e-06
AMMONIA_STORAGE,5,10,4.509294736112883e-06
AMMONIA_STORAGE,5,11,4.509358961529535e-06
AMMONIA_STORAGE,5,12,4.509311865699694e-06
AMMONIA_STORAGE,6,1,4.509296180389873e-06
AMMONIA_STORAGE,6,2,4.509355034307272e-06
AMMONIA_STORAGE,6,3,4.509321754568932e-06
AMMONIA_STORAGE,6,4,4.509358508408487e-06
AMMONIA_STORAGE,6,5,4.509311742435448e-06
AMMONIA_STORAGE,6,6,4.509350592718682e-06
AMMONIA_STORAGE,6,7,4.509357638315427e-06
AMMONIA_STORAGE,6,8,4.509352412799227e-06
AMMONIA_STORAGE,6,9,4.509359964063528e-06
AMMONIA_STORAGE,6,10,4.509294736597738e-06
AMMONIA_STORAGE,6,11,4.509358839937562e-06
AMMONIA_STORAGE,6,12,4.509311865821125e-06
AMMONIA_STORAGE,7,1,4.509296179959661e-06
AMMONIA_STORAGE,7,2,4.509355041672908e-06
AMMONIA_STORAGE,7,3,4.509321758454712e-06
AMMONIA_STORAGE,7,4,4.509358510496227e-06
AMMONIA_STORAGE,7,5,4.509310037487634e-06
AMMONIA_STORAGE,7,6,4.509350591082838e-06
AMMONIA_STORAGE,7,7,4.509357637976288e-06
AMMONIA_STORAGE,7,8,4.509352413238979e-06
AMMONIA_STORAGE,7,9,4.5093599651937e-06
AMMONIA_STORAGE,7,10,4.50929473741566e-06
AMMONIA_STORAGE,7,11,4.509358738647058e-06
AMMONIA_STORAGE,7,12,4.509311865959036e-06
AMMONIA_STORAGE,8,1,4.509296179846037e-06
AMMONIA_STORAGE,8,2,4.509355047282136e-06
AMMONIA_STORAGE,8,3,4.509321759962187e-06
AMMONIA_STORAGE,8,4,4.509358514716809e-06
AMMONIA_STORAGE,8,5,4.50931183221346e-06
AMMONIA_STORAGE,8,6,4.509321237798278e-06
AMMONIA_STORAGE,8,7,4.50935763772909e-06
AMMONIA_STORAGE,8,8,4.509335363021838e-06
AMMONIA_STORAGE,8,9,4.509359965287375e-06
AMMONIA_STORAGE,8,10,4.509294738884104e-06
AMMONIA_STORAGE,8,11,4.509358747117713e-06
AMMONIA_STORAGE,8,12,4.509311866069191e-06
AMMONIA_STORAGE,9,1,4.509296180052469e-06
AMMONIA_STORAGE,9,2,4.509355049400234e-06
AMMONIA_STORAGE,9,3,4.509321758222259e-06
AMMONIA_STORAGE,9,4,4.509358516625005e-06
AMMONIA_STORAGE,9,5,4.509309857902988e-06
AMMONIA_STORAGE,9,6,4.509274318742831e-06
AMMONIA_STORAGE,9,7,4.509357637048211e-06
AMMONIA_STORAGE,9,8,4.509335369472407e-06
AMMONIA_STORAGE,9,9,4.509359963999343e-06
AMMONIA_STORAGE,9,10,4.509294741044702e-06
AMMONIA_STORAGE,9,11,4.509358751320081e-06
AMMONIA_STORAGE,9,12,4.509311866382308e-06
AMMONIA_STORAGE,10,1,4.509296180220737e-06
AMMONIA_STORAGE,10,2,4.509355049533807e-06
AMMONIA_STORAGE,10,3,4.509321758506754e-06
AMMONIA_STORAGE,10,4,4.509358515703867e-06
AMMONIA_STORAGE,10,5,4.509309808118159e-06
AMMONIA_STORAGE,10,6,4.509274324181189e-06
AMMONIA_STORAGE,10,7,4.509357634324695e-06
AMMONIA_STORAGE,10,8,4.509319550176881e-06
AMMONIA_STORAGE,10,9,4.509359962394724e-06
AMMONIA_STORAGE,10,10,4.509294743403058e-06
AMMONIA_STORAGE,10,11,4.509358753778184e-06
AMMONIA_STORAGE,10,12,4.509311867032829e-06
AMMONIA_STORAGE,11,1,4.509296180338698e-06
