j,n,h,td,val
BATT_LI,GERMANY,1,1,2.067863155470722e-09
BATT_LI,GERMANY,1,2,2.034241203340163e-09
BATT_LI,GERMANY,1,3,2.048386174929367e-09
BATT_LI,GERMANY,1,4,2.008411621201955e-09
BATT_LI,GERMANY,1,5,2.180849719388093e-09
BATT_LI,GERMANY,1,6,1.898191372870084e-09
BATT_LI,GERMANY,1,7,1.961152236291112e-09
BATT_LI,GERMANY,1,8,1.720738401518361e-09
BATT_LI,GERMANY,1,9,2.021874378699202e-09
BATT_LI,GERMANY,1,10,2.067865308689884e-09
BATT_LI,GERMANY,1,11,1.998302835467691e-09
BATT_LI,GERMANY,1,12,2.091763518262856e-09
BATT_LI,GERMANY,2,1,2.240057892046495e-09
BATT_LI,GERMANY,2,2,2.187099026797218e-09
BATT_LI,GERMANY,2,3,2.209275715659019e-09
BATT_LI,GERMANY,2,4,2.089339054710201e-09
BATT_LI,GERMANY,2,5,2.463431731869913e-09
BATT_LI,GERMANY,2,6,1.89813412364642e-09
BATT_LI,GERMANY,2,7,2.057402184510251e-09
BATT_LI,GERMANY,2,8,1.577164450517211e-09
BATT_LI,GERMANY,2,9,2.167658124385041e-09
BATT_LI,GERMANY,2,10,2.240061862182246e-09
BATT_LI,GERMANY,2,11,2.129435944029756e-09
BATT_LI,GERMANY,2,12,2.291849187083254e-09
BATT_LI,GERMANY,3,1,2.364525033789553e-09
BATT_LI,GERMANY,3,2,2.302048513361872e-09
BATT_LI,GERMANY,3,3,2.327966737732215e-09
BATT_LI,GERMANY,3,4,2.141594508491934e-09
BATT_LI,GERMANY,3,5,2.699607224099449e-09
BATT_LI,GERMANY,3,6,1.829334103994076e-09
BATT_LI,GERMANY,3,7,2.125275323244124e-09
BATT_LI,GERMANY,3,8,1.568045573929973e-09
BATT_LI,GERMANY,3,9,2.279261879329053e-09
BATT_LI,GERMANY,3,10,2.364531421420015e-09
BATT_LI,GERMANY,3,11,2.232557382528971e-09
BATT_LI,GERMANY,3,12,2.450885420613274e-09
BATT_LI,GERMANY,4,1,2.454237016184142e-09
BATT_LI,GERMANY,4,2,2.388437371791618e-09
BATT_LI,GERMANY,4,3,2.415231500839203e-09
BATT_LI,GERMANY,4,4,2.168305268679557e-09
BATT_LI,GERMANY,4,5,2.909405840884894e-09
BATT_LI,GERMANY,4,6,1.68306473194753e-09
BATT_LI,GERMANY,4,7,2.16869774008446e-09
BATT_LI,GERMANY,4,8,1.465079127489433e-09
BATT_LI,GERMANY,4,9,2.364866196288873e-09
BATT_LI,GERMANY,4,10,2.454244199595706e-09
BATT_LI,GERMANY,4,11,2.313850549871358e-09
BATT_LI,GERMANY,4,12,2.585260076597702e-09
BATT_LI,GERMANY,5,1,2.518699698462248e-09
BATT_LI,GERMANY,5,2,2.453074895643962e-09
BATT_LI,GERMANY,5,3,2.478910661856639e-09
BATT_LI,GERMANY,5,4,2.170972147397607e-09
BATT_LI,GERMANY,5,5,3.110308330497153e-09
BATT_LI,GERMANY,5,6,1.439993688755755e-09
BATT_LI,GERMANY,5,7,2.190020539673028e-09
BATT_LI,GERMANY,5,8,1.240634865402869e-09
BATT_LI,GERMANY,5,9,2.430445861300346e-09
