pt,n,h,td,val
CCGT,GERMANY,1,1,1.577783159746781e-12
CCGT,GERMANY,1,2,2.506099981191707e-12
CCGT,GERMANY,1,3,4.260657810240671e-12
CCGT,GERMANY,1,4,1.21724067823201e-12
CCGT,GERMANY,1,5,1.183415442200059e-12
CCGT,GERMANY,1,6,2.840357203179414e-12
CCGT,GERMANY,1,7,1.121137780283712e-12
CCGT,GERMANY,1,8,7.473692928169583e-13
CCGT,GERMANY,1,9,1.852285943993179e-12
CCGT,GERMANY,1,10,1.63847374595857e-12
CCGT,GERMANY,1,11,1.253002242124175e-12
CCGT,GERMANY,1,12,9.064025028375255e-13
CCGT,GERMANY,2,1,1.577783166455653e-12
CCGT,GERMANY,2,2,2.506099986051681e-12
CCGT,GERMANY,2,3,4.260658510478035e-12
CCGT,GERMANY,2,4,1.21724068102623e-12
CCGT,GERMANY,2,5,1.183415443723528e-12
CCGT,GERMANY,2,6,2.840353526753418e-12
CCGT,GERMANY,2,7,1.121137784030359e-12
CCGT,GERMANY,2,8,7.473673823725308e-13
CCGT,GERMANY,2,9,1.852298555773618e-12
CCGT,GERMANY,2,10,1.638473752997907e-12
CCGT,GERMANY,2,11,1.253002259151557e-12
CCGT,GERMANY,2,12,9.064025034575491e-13
CCGT,GERMANY,3,1,1.577783172961762e-12
CCGT,GERMANY,3,2,2.506123837446677e-12
CCGT,GERMANY,3,3,4.260659216644132e-12
CCGT,GERMANY,3,4,1.21724068295696e-12
CCGT,GERMANY,3,5,1.183415445174001e-12
CCGT,GERMANY,3,6,2.840353526299826e-12
CCGT,GERMANY,3,7,1.121137787951225e-12
CCGT,GERMANY,3,8,7.473673816467673e-13
CCGT,GERMANY,3,9,1.852298568707051e-12
CCGT,GERMANY,3,10,1.638473758829219e-12
CCGT,GERMANY,3,11,1.253001492825173e-12
CCGT,GERMANY,3,12,9.064025039692455e-13
CCGT,GERMANY,4,1,1.577783179213572e-12
CCGT,GERMANY,4,2,2.506126296108677e-12
CCGT,GERMANY,4,3,4.260659928681928e-12
CCGT,GERMANY,4,4,1.217240692715385e-12
CCGT,GERMANY,4,5,1.183415446476113e-12
CCGT,GERMANY,4,6,2.840353525956181e-12
CCGT,GERMANY,4,7,1.121137791908318e-12
CCGT,GERMANY,4,8,7.473673807549887e-13
CCGT,GERMANY,4,9,1.852298582807436e-12
CCGT,GERMANY,4,10,1.638473766903018e-12
CCGT,GERMANY,4,11,1.253002257774096e-12
CCGT,GERMANY,4,12,9.064025046274213e-13
CCGT,GERMANY,5,1,1.577783185528075e-12
CCGT,GERMANY,5,2,2.506126335115081e-12
