p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,54763.67198569491,27,1,2028.28414761833,2028284.14761833
AMMONIA,GERMANY,1,2,34480.83050907581,17,1,2028.2841475926946,2028284.1475926945
AMMONIA,GERMANY,1,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,1,4,70989.94516896302,35,1,2028.2841476846577,2028284.1476846577
AMMONIA,GERMANY,1,5,73018.22931628986,36,1,2028.2841476747183,2028284.1476747182
AMMONIA,GERMANY,1,6,30424.26221523492,15,1,2028.284147682328,2028284.147682328
AMMONIA,GERMANY,1,7,77074.79761024541,38,1,2028.2841476380372,2028284.147638037
AMMONIA,GERMANY,1,8,115612.1964158997,57,1,2028.2841476473632,2028284.1476473631
AMMONIA,GERMANY,1,9,46650.53539588554,23,1,2028.2841476471974,2028284.1476471974
AMMONIA,GERMANY,1,10,52735.38783875683,26,1,2028.2841476444935,2028284.1476444935
AMMONIA,GERMANY,1,11,68961.66101875811,34,1,2028.2841476105327,2028284.1476105328
AMMONIA,GERMANY,1,12,95329.35493712327,47,1,2028.2841475983673,2028284.1475983674
AMMONIA,GERMANY,2,1,54763.67198569451,27,1,2028.2841476183153,2028284.1476183152
AMMONIA,GERMANY,2,2,34480.83050907555,17,1,2028.2841475926796,2028284.1475926796
AMMONIA,GERMANY,2,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,2,4,70989.9451689625,35,1,2028.284147684643,2028284.1476846428
AMMONIA,GERMANY,2,5,73018.22931628929,36,1,2028.2841476747026,2028284.1476747026
AMMONIA,GERMANY,2,6,30424.26221523469,15,1,2028.2841476823126,2028284.1476823126
AMMONIA,GERMANY,2,7,77074.79761024482,38,1,2028.2841476380215,2028284.1476380215
AMMONIA,GERMANY,2,8,115612.1964158988,57,1,2028.2841476473473,2028284.1476473473
AMMONIA,GERMANY,2,9,46650.53539588519,23,1,2028.2841476471822,2028284.1476471822
AMMONIA,GERMANY,2,10,52735.38783875643,26,1,2028.2841476444783,2028284.1476444784
AMMONIA,GERMANY,2,11,68961.66101875759,34,1,2028.2841476105173,2028284.1476105172
AMMONIA,GERMANY,2,12,95329.35493712254,47,1,2028.2841475983519,2028284.1475983518
AMMONIA,GERMANY,3,1,54763.6719856941,27,1,2028.2841476183,2028284.1476183
AMMONIA,GERMANY,3,2,34480.83050907529,17,1,2028.284147592664,2028284.147592664
AMMONIA,GERMANY,3,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,3,4,70989.94516896197,35,1,2028.284147684628,2028284.147684628
AMMONIA,GERMANY,3,5,73018.22931628875,36,1,2028.2841476746876,2028284.1476746877
AMMONIA,GERMANY,3,6,30424.26221523446,15,1,2028.2841476822973,2028284.1476822973
AMMONIA,GERMANY,3,7,77074.79761024423,38,1,2028.284147638006,2028284.1476380061
AMMONIA,GERMANY,3,8,115612.1964158979,57,1,2028.2841476473316,2028284.1476473315
AMMONIA,GERMANY,3,9,46650.53539588484,23,1,2028.2841476471672,2028284.147647167
AMMONIA,GERMANY,3,10,52735.38783875603,26,1,2028.2841476444628,2028284.1476444628
AMMONIA,GERMANY,3,11,68961.66101875706,34,1,2028.2841476105018,2028284.1476105019
AMMONIA,GERMANY,3,12,95329.35493712183,47,1,2028.2841475983366,2028284.1475983367
AMMONIA,GERMANY,4,1,54763.67198569367,27,1,2028.2841476182841,2028284.1476182842
AMMONIA,GERMANY,4,2,34480.83050907502,17,1,2028.2841475926484,2028284.1475926484
AMMONIA,GERMANY,4,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,4,4,70989.94516896142,35,1,2028.284147684612,2028284.147684612
AMMONIA,GERMANY,4,5,73018.2293162882,36,1,2028.284147674672,2028284.147674672
AMMONIA,GERMANY,4,6,30424.26221523423,15,1,2028.284147682282,2028284.1476822821
AMMONIA,GERMANY,4,7,77074.79761024365,38,1,2028.2841476379908,2028284.1476379908
AMMONIA,GERMANY,4,8,115612.1964158971,57,1,2028.2841476473175,2028284.1476473175
AMMONIA,GERMANY,4,9,46650.53539588449,23,1,2028.284147647152,2028284.147647152
AMMONIA,GERMANY,4,10,52735.38783875563,26,1,2028.2841476444473,2028284.1476444474
AMMONIA,GERMANY,4,11,68961.66101875655,34,1,2028.2841476104868,2028284.1476104867
AMMONIA,GERMANY,4,12,95329.35493712111,47,1,2028.2841475983216,2028284.1475983215
AMMONIA,GERMANY,5,1,54763.67198569327,27,1,2028.2841476182691,2028284.147618269
AMMONIA,GERMANY,5,2,34480.83050907477,17,1,2028.2841475926334,2028284.1475926335
AMMONIA,GERMANY,5,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,5,4,70989.94516896088,35,1,2028.2841476845967,2028284.1476845967
AMMONIA,GERMANY,5,5,73018.22931628763,36,1,2028.2841476746564,2028284.1476746565
AMMONIA,GERMANY,5,6,30424.262215234,15,1,2028.2841476822666,2028284.1476822665
AMMONIA,GERMANY,5,7,77074.79761024307,38,1,2028.2841476379756,2028284.1476379756
AMMONIA,GERMANY,5,8,115612.1964158962,57,1,2028.2841476473016,2028284.1476473017
AMMONIA,GERMANY,5,9,46650.53539588413,23,1,2028.284147647136,2028284.1476471361
AMMONIA,GERMANY,5,10,52735.38783875522,26,1,2028.2841476444314,2028284.1476444313
AMMONIA,GERMANY,5,11,68961.66101875603,34,1,2028.2841476104713,2028284.1476104714
AMMONIA,GERMANY,5,12,95329.35493712038,47,1,2028.2841475983062,2028284.1475983062
AMMONIA,GERMANY,6,1,54763.67198569285,27,1,2028.2841476182537,2028284.1476182537
AMMONIA,GERMANY,6,2,34480.83050907451,17,1,2028.2841475926184,2028284.1475926184
AMMONIA,GERMANY,6,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,6,4,70989.94516896034,35,1,2028.2841476845813,2028284.1476845813
AMMONIA,GERMANY,6,5,73018.22931628709,36,1,2028.2841476746414,2028284.1476746413
AMMONIA,GERMANY,6,6,30424.26221523377,15,1,2028.2841476822514,2028284.1476822514
AMMONIA,GERMANY,6,7,77074.7976102425,38,1,2028.2841476379606,2028284.1476379605
AMMONIA,GERMANY,6,8,115612.1964158953,57,1,2028.284147647286,2028284.147647286
AMMONIA,GERMANY,6,9,46650.53539588378,23,1,2028.2841476471208,2028284.1476471208
AMMONIA,GERMANY,6,10,52735.38783875484,26,1,2028.2841476444169,2028284.147644417
AMMONIA,GERMANY,6,11,68961.6610187555,34,1,2028.284147610456,2028284.1476104562
AMMONIA,GERMANY,6,12,95329.35493711966,47,1,2028.2841475982905,2028284.1475982906
AMMONIA,GERMANY,7,1,54763.67198569245,27,1,2028.2841476182386,2028284.1476182386
AMMONIA,GERMANY,7,2,34480.83050907424,17,1,2028.2841475926025,2028284.1475926025
AMMONIA,GERMANY,7,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,7,4,70989.94516895982,35,1,2028.2841476845663,2028284.1476845662
AMMONIA,GERMANY,7,5,73018.22931628654,36,1,2028.2841476746262,2028284.1476746262
AMMONIA,GERMANY,7,6,30424.26221523354,15,1,2028.284147682236,2028284.147682236
AMMONIA,GERMANY,7,7,77074.7976102419,38,1,2028.284147637945,2028284.147637945
AMMONIA,GERMANY,7,8,115612.1964158944,57,1,2028.2841476472702,2028284.1476472702
AMMONIA,GERMANY,7,9,46650.53539588343,23,1,2028.2841476471058,2028284.1476471059
AMMONIA,GERMANY,7,10,52735.38783875444,26,1,2028.2841476444014,2028284.1476444013
AMMONIA,GERMANY,7,11,68961.66101875498,34,1,2028.2841476104406,2028284.1476104406
AMMONIA,GERMANY,7,12,95329.35493711894,47,1,2028.2841475982755,2028284.1475982754
AMMONIA,GERMANY,8,1,54763.67198569203,27,1,2028.2841476182234,2028284.1476182234
AMMONIA,GERMANY,8,2,34480.83050907398,17,1,2028.284147592587,2028284.147592587
AMMONIA,GERMANY,8,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,8,4,70989.9451689593,35,1,2028.2841476845513,2028284.1476845513
AMMONIA,GERMANY,8,5,73018.22931628597,36,1,2028.2841476746103,2028284.1476746104
AMMONIA,GERMANY,8,6,30424.26221523331,15,1,2028.2841476822207,2028284.1476822207
AMMONIA,GERMANY,8,7,77074.79761024132,38,1,2028.2841476379297,2028284.1476379298
AMMONIA,GERMANY,8,8,115612.1964158935,57,1,2028.2841476472545,2028284.1476472544
AMMONIA,GERMANY,8,9,46650.53539588308,23,1,2028.2841476470905,2028284.1476470905
AMMONIA,GERMANY,8,10,52735.38783875404,26,1,2028.2841476443862,2028284.1476443862
AMMONIA,GERMANY,8,11,68961.66101875447,34,1,2028.2841476104256,2028284.1476104257
AMMONIA,GERMANY,8,12,95329.3549371182,47,1,2028.2841475982596,2028284.1475982596
AMMONIA,GERMANY,9,1,54763.67198569162,27,1,2028.284147618208,2028284.1476182078
AMMONIA,GERMANY,9,2,34480.83050907372,17,1,2028.2841475925718,2028284.1475925718
AMMONIA,GERMANY,9,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,9,4,70989.94516895876,35,1,2028.284147684536,2028284.147684536
AMMONIA,GERMANY,9,5,73018.22931628543,36,1,2028.2841476745953,2028284.1476745952
AMMONIA,GERMANY,9,6,30424.26221523308,15,1,2028.2841476822055,2028284.1476822055
AMMONIA,GERMANY,9,7,77074.79761024076,38,1,2028.2841476379147,2028284.1476379146
AMMONIA,GERMANY,9,8,115612.1964158927,57,1,2028.2841476472404,2028284.1476472404
AMMONIA,GERMANY,9,9,46650.53539588272,23,1,2028.2841476470746,2028284.1476470747
AMMONIA,GERMANY,9,10,52735.38783875365,26,1,2028.2841476443714,2028284.1476443715
AMMONIA,GERMANY,9,11,68961.66101875395,34,1,2028.2841476104102,2028284.1476104101
AMMONIA,GERMANY,9,12,95329.3549371175,47,1,2028.2841475982448,2028284.1475982447
AMMONIA,GERMANY,10,1,54763.67198569121,27,1,2028.284147618193,2028284.147618193
AMMONIA,GERMANY,10,2,34480.83050907346,17,1,2028.2841475925563,2028284.1475925564
AMMONIA,GERMANY,10,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,10,4,70989.94516895819,35,1,2028.2841476845197,2028284.1476845196
AMMONIA,GERMANY,10,5,73018.22931628488,36,1,2028.28414767458,2028284.14767458
AMMONIA,GERMANY,10,6,30424.26221523285,15,1,2028.28414768219,2028284.14768219
AMMONIA,GERMANY,10,7,77074.79761024017,38,1,2028.2841476378992,2028284.1476378993
AMMONIA,GERMANY,10,8,115612.1964158918,57,1,2028.2841476472245,2028284.1476472244
AMMONIA,GERMANY,10,9,46650.53539588237,23,1,2028.2841476470596,2028284.1476470595
AMMONIA,GERMANY,10,10,52735.38783875325,26,1,2028.284147644356,2028284.147644356
AMMONIA,GERMANY,10,11,68961.66101875342,34,1,2028.284147610395,2028284.147610395
AMMONIA,GERMANY,10,12,95329.35493711679,47,1,2028.2841475982295,2028284.1475982296
AMMONIA,GERMANY,11,1,54763.67198569079,27,1,2028.2841476181773,2028284.1476181773
AMMONIA,GERMANY,11,2,34480.8305090732,17,1,2028.2841475925413,2028284.1475925413
AMMONIA,GERMANY,11,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,11,4,70989.94516895767,35,1,2028.284147684505,2028284.147684505
AMMONIA,GERMANY,11,5,73018.22931628433,36,1,2028.2841476745646,2028284.1476745645
AMMONIA,GERMANY,11,6,30424.26221523262,15,1,2028.2841476821745,2028284.1476821746
AMMONIA,GERMANY,11,7,77074.79761023959,38,1,2028.284147637884,2028284.147637884
AMMONIA,GERMANY,11,8,115612.196415891,57,1,2028.2841476472104,2028284.1476472104
AMMONIA,GERMANY,11,9,46650.53539588202,23,1,2028.2841476470444,2028284.1476470444
AMMONIA,GERMANY,11,10,52735.38783875285,26,1,2028.2841476443405,2028284.1476443405
AMMONIA,GERMANY,11,11,68961.6610187529,34,1,2028.2841476103795,2028284.1476103794
AMMONIA,GERMANY,11,12,95329.35493711606,47,1,2028.284147598214,2028284.147598214
AMMONIA,GERMANY,12,1,54763.67198569038,27,1,2028.2841476181623,2028284.1476181622
AMMONIA,GERMANY,12,2,34480.83050907294,17,1,2028.2841475925259,2028284.147592526
AMMONIA,GERMANY,12,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,12,4,70989.94516895714,35,1,2028.2841476844899,2028284.1476844898
AMMONIA,GERMANY,12,5,73018.22931628379,36,1,2028.2841476745498,2028284.1476745498
AMMONIA,GERMANY,12,6,30424.26221523239,15,1,2028.2841476821593,2028284.1476821592
AMMONIA,GERMANY,12,7,77074.797610239,38,1,2028.2841476378683,2028284.1476378683
AMMONIA,GERMANY,12,8,115612.1964158901,57,1,2028.2841476471947,2028284.1476471948
AMMONIA,GERMANY,12,9,46650.53539588168,23,1,2028.2841476470294,2028284.1476470295
AMMONIA,GERMANY,12,10,52735.38783875245,26,1,2028.284147644325,2028284.147644325
AMMONIA,GERMANY,12,11,68961.66101875238,34,1,2028.284147610364,2028284.147610364
AMMONIA,GERMANY,12,12,95329.35493711533,47,1,2028.2841475981986,2028284.1475981986
AMMONIA,GERMANY,13,1,54763.67198568997,27,1,2028.2841476181472,2028284.1476181473
AMMONIA,GERMANY,13,2,34480.83050907268,17,1,2028.2841475925106,2028284.1475925106
AMMONIA,GERMANY,13,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,13,4,70989.9451689566,35,1,2028.2841476844744,2028284.1476844745
AMMONIA,GERMANY,13,5,73018.22931628322,36,1,2028.2841476745339,2028284.1476745338
AMMONIA,GERMANY,13,6,30424.26221523216,15,1,2028.284147682144,2028284.147682144
AMMONIA,GERMANY,13,7,77074.79761023843,38,1,2028.2841476378533,2028284.1476378532
AMMONIA,GERMANY,13,8,115612.1964158892,57,1,2028.2841476471788,2028284.1476471787
AMMONIA,GERMANY,13,9,46650.53539588131,23,1,2028.2841476470132,2028284.1476470132
AMMONIA,GERMANY,13,10,52735.38783875206,26,1,2028.28414764431,2028284.14764431
AMMONIA,GERMANY,13,11,68961.66101875185,34,1,2028.2841476103486,2028284.1476103486
AMMONIA,GERMANY,13,12,95329.35493711461,47,1,2028.2841475981832,2028284.1475981832
AMMONIA,GERMANY,14,1,54763.67198568956,27,1,2028.2841476181318,2028284.1476181317
AMMONIA,GERMANY,14,2,34480.83050907242,17,1,2028.2841475924952,2028284.1475924952
AMMONIA,GERMANY,14,3,20282.84148220891,10,1,2028.284148220891,2028284.148220891
AMMONIA,GERMANY,14,4,70989.94516895607,35,1,2028.284147684459,2028284.1476844589
AMMONIA,GERMANY,14,5,73018.22931628268,36,1,2028.2841476745189,2028284.1476745189
AMMONIA,GERMANY,14,6,30424.26221523193,15,1,2028.2841476821288,2028284.147682129
AMMONIA,GERMANY,14,7,77074.79761023785,38,1,2028.284147637838,2028284.147637838
AMMONIA,GERMANY,14,8,115612.1964158883,57,1,2028.2841476471633,2028284.1476471634
