p,n,h,td,dual_raw
AMMONIA,GERMANY,1,1,1.599629962084587
AMMONIA,GERMANY,1,2,1.00717443868385
AMMONIA,GERMANY,1,3,0.5924555305874006
AMMONIA,GERMANY,1,4,2.073594419018086
AMMONIA,GERMANY,1,5,2.132840025719799
AMMONIA,GERMANY,1,6,0.888683327165938
AMMONIA,GERMANY,1,7,2.251331266686346
AMMONIA,GERMANY,1,8,3.37699690388168
AMMONIA,GERMANY,1,9,1.362647876986315
AMMONIA,GERMANY,1,10,1.540384470158744
AMMONIA,GERMANY,1,11,2.014348920144608
AMMONIA,GERMANY,1,12,2.784541110260578
AMMONIA,GERMANY,2,1,1.599629962049265
AMMONIA,GERMANY,2,2,1.007174438651922
AMMONIA,GERMANY,2,3,0.5924555305842721
AMMONIA,GERMANY,2,4,2.073594419100633
AMMONIA,GERMANY,2,5,2.132840025803398
AMMONIA,GERMANY,2,6,0.8886833271967947
AMMONIA,GERMANY,2,7,2.251331266684347
AMMONIA,GERMANY,2,8,3.376996903933344
AMMONIA,GERMANY,2,9,1.362647877007548
AMMONIA,GERMANY,2,10,1.54038447013875
AMMONIA,GERMANY,2,11,2.014348920073005
AMMONIA,GERMANY,2,12,2.784541110164044
AMMONIA,GERMANY,3,1,1.599629962014117
AMMONIA,GERMANY,3,2,1.007174438619805
AMMONIA,GERMANY,3,3,0.5924555305811176
AMMONIA,GERMANY,3,4,2.073594419173655
AMMONIA,GERMANY,3,5,2.132840025888957
AMMONIA,GERMANY,3,6,0.8886833272277762
AMMONIA,GERMANY,3,7,2.251331266682171
AMMONIA,GERMANY,3,8,3.376996903958057
AMMONIA,GERMANY,3,9,1.362647877028722
AMMONIA,GERMANY,3,10,1.540384470118931
AMMONIA,GERMANY,3,11,2.014348920001253
AMMONIA,GERMANY,3,12,2.784541110067661
AMMONIA,GERMANY,4,1,1.599629961979141
AMMONIA,GERMANY,4,2,1.007174438587707
AMMONIA,GERMANY,4,3,0.5924555305780979
AMMONIA,GERMANY,4,4,2.073594419246517
AMMONIA,GERMANY,4,5,2.132840025972571
AMMONIA,GERMANY,4,6,0.8886833272586148
AMMONIA,GERMANY,4,7,2.251331266679828
AMMONIA,GERMANY,4,8,3.376996904001183
AMMONIA,GERMANY,4,9,1.3626478770497
AMMONIA,GERMANY,4,10,1.540384470099282
AMMONIA,GERMANY,4,11,2.014348919929314
AMMONIA,GERMANY,4,12,2.78454110997145
AMMONIA,GERMANY,5,1,1.599629961944337
AMMONIA,GERMANY,5,2,1.007174438555654
AMMONIA,GERMANY,5,3,0.59245553057504
AMMONIA,GERMANY,5,4,2.073594419319204
AMMONIA,GERMANY,5,5,2.132840026056311
AMMONIA,GERMANY,5,6,0.8886833272894789
AMMONIA,GERMANY,5,7,2.251331266677283
AMMONIA,GERMANY,5,8,3.376996904087149
AMMONIA,GERMANY,5,9,1.362647877070673
AMMONIA,GERMANY,5,10,1.540384470079806
AMMONIA,GERMANY,5,11,2.014348919857209
AMMONIA,GERMANY,5,12,2.7845411098754
AMMONIA,GERMANY,6,1,1.599629961909705
