ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.465978443652901
ELECTRICITY,GERMANY,1,2,1.397877557315468
ELECTRICITY,GERMANY,1,3,1.396005739651144
ELECTRICITY,GERMANY,1,4,1.335453020480465
ELECTRICITY,GERMANY,1,5,4.912864184671768
ELECTRICITY,GERMANY,1,6,1.290641962527438
ELECTRICITY,GERMANY,1,7,1.300460856360417
ELECTRICITY,GERMANY,1,8,1.299134184639691
ELECTRICITY,GERMANY,1,9,1.327128682227794
ELECTRICITY,GERMANY,1,10,6.135187073003991
ELECTRICITY,GERMANY,1,11,1.325676245486669
ELECTRICITY,GERMANY,1,12,6.236410447728787
ELECTRICITY,GERMANY,2,1,6.412463593758659
ELECTRICITY,GERMANY,2,2,1.38341395944731
ELECTRICITY,GERMANY,2,3,1.386867997245517
ELECTRICITY,GERMANY,2,4,1.337274844415809
ELECTRICITY,GERMANY,2,5,4.887785537467074
ELECTRICITY,GERMANY,2,6,1.298378630815257
ELECTRICITY,GERMANY,2,7,1.301736188081072
ELECTRICITY,GERMANY,2,8,1.300005370470046
ELECTRICITY,GERMANY,2,9,1.327783025824374
ELECTRICITY,GERMANY,2,10,6.151219673785242
ELECTRICITY,GERMANY,2,11,1.315372234614252
ELECTRICITY,GERMANY,2,12,6.201878410821394
ELECTRICITY,GERMANY,3,1,6.411731887900316
ELECTRICITY,GERMANY,3,2,1.37667676631763
ELECTRICITY,GERMANY,3,3,1.390123040164347
ELECTRICITY,GERMANY,3,4,1.348269114508817
ELECTRICITY,GERMANY,3,5,4.942724877463895
ELECTRICITY,GERMANY,3,6,1.308993132936095
ELECTRICITY,GERMANY,3,7,1.315363245040743
ELECTRICITY,GERMANY,3,8,1.306349998661453
ELECTRICITY,GERMANY,3,9,1.335882790228453
ELECTRICITY,GERMANY,3,10,6.215344182593583
ELECTRICITY,GERMANY,3,11,1.311705336014789
ELECTRICITY,GERMANY,3,12,6.214889885468608
ELECTRICITY,GERMANY,4,1,6.433134286609572
ELECTRICITY,GERMANY,4,2,1.377499185604108
ELECTRICITY,GERMANY,4,3,1.39480738019823
ELECTRICITY,GERMANY,4,4,1.380384625490734
ELECTRICITY,GERMANY,4,5,5.070026760704728
ELECTRICITY,GERMANY,4,6,1.34220820257142
ELECTRICITY,GERMANY,4,7,1.344399486560945
ELECTRICITY,GERMANY,4,8,1.34745697325063
ELECTRICITY,GERMANY,4,9,1.378653861470475
ELECTRICITY,GERMANY,4,10,6.347647114880459
ELECTRICITY,GERMANY,4,11,1.308155193247472
ELECTRICITY,GERMANY,4,12,6.266982993800887
ELECTRICITY,GERMANY,5,1,6.546365798120718
ELECTRICITY,GERMANY,5,2,1.398125166974907
ELECTRICITY,GERMANY,5,3,1.42623390426175
ELECTRICITY,GERMANY,5,4,1.455684345342377
ELECTRICITY,GERMANY,5,5,5.307687303074459
ELECTRICITY,GERMANY,5,6,1.415059905448501
ELECTRICITY,GERMANY,5,7,1.414212972356964
ELECTRICITY,GERMANY,5,8,1.420933464136596
ELECTRICITY,GERMANY,5,9,1.449387279183156
ELECTRICITY,GERMANY,5,10,6.72036265830927
ELECTRICITY,GERMANY,5,11,1.305873966599449
ELECTRICITY,GERMANY,5,12,6.417048701646181
ELECTRICITY,GERMANY,6,1,6.869780032813324
ELECTRICITY,GERMANY,6,2,1.468087483207199
ELECTRICITY,GERMANY,6,3,1.503141260429885
ELECTRICITY,GERMANY,6,4,1.502196731969391
ELECTRICITY,GERMANY,6,5,5.505485856661522
ELECTRICITY,GERMANY,6,6,1.469928667533452
ELECTRICITY,GERMANY,6,7,1.470169739332192
ELECTRICITY,GERMANY,6,8,1.474312620890316
ELECTRICITY,GERMANY,6,9,1.500510874322998
ELECTRICITY,GERMANY,6,10,6.979787922074053
ELECTRICITY,GERMANY,6,11,1.321440963976556
ELECTRICITY,GERMANY,6,12,6.79491871050304
ELECTRICITY,GERMANY,7,1,7.186674036549789
ELECTRICITY,GERMANY,7,2,1.531824540510215
ELECTRICITY,GERMANY,7,3,1.559435464327507
ELECTRICITY,GERMANY,7,4,1.53046315756616
ELECTRICITY,GERMANY,7,5,5.661391043041348
ELECTRICITY,GERMANY,7,6,1.496944143979064
ELECTRICITY,GERMANY,7,7,1.497160831852611
