k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,1,1,0.1765998604119122
1,ELECTRICITY,GERMANY,1,2,0.1776194105430175
1,ELECTRICITY,GERMANY,1,3,0.17785758504536964
1,ELECTRICITY,GERMANY,1,4,0.1859220670993426
1,ELECTRICITY,GERMANY,1,5,0.187855927752775
1,ELECTRICITY,GERMANY,1,6,0.19237728242234287
1,ELECTRICITY,GERMANY,1,7,0.19092475314275711
1,ELECTRICITY,GERMANY,1,8,0.19111972208731465
1,ELECTRICITY,GERMANY,1,9,0.18708824671124252
1,ELECTRICITY,GERMANY,1,10,0.1861210880724279
1,ELECTRICITY,GERMANY,1,11,0.18729321757981904
1,ELECTRICITY,GERMANY,1,12,0.18310319764718955
1,ELECTRICITY,GERMANY,2,1,0.17807361952322703
1,ELECTRICITY,GERMANY,2,2,0.17947642161202945
1,ELECTRICITY,GERMANY,2,3,0.17902944573660012
1,ELECTRICITY,GERMANY,2,4,0.1856687670373812
1,ELECTRICITY,GERMANY,2,5,0.18769904786005365
1,ELECTRICITY,GERMANY,2,6,0.19123096085425517
1,ELECTRICITY,GERMANY,2,7,0.1907377011560987
1,ELECTRICITY,GERMANY,2,8,0.19099164636588756
1,ELECTRICITY,GERMANY,2,9,0.1869960476991602
1,ELECTRICITY,GERMANY,2,10,0.1856359955595111
1,ELECTRICITY,GERMANY,2,11,0.18876038505254997
1,ELECTRICITY,GERMANY,2,12,0.1841226917559564
1,ELECTRICITY,GERMANY,3,1,0.17809394064011436
1,ELECTRICITY,GERMANY,3,2,0.18035474439994692
1,ELECTRICITY,GERMANY,3,3,0.17861023881528185
1,ELECTRICITY,GERMANY,3,4,0.18415475581526028
1,ELECTRICITY,GERMANY,3,5,0.18561000033469366
1,ELECTRICITY,GERMANY,3,6,0.18968028656012395
1,ELECTRICITY,GERMANY,3,7,0.18876167389512363
1,ELECTRICITY,GERMANY,3,8,0.1900640526185597
1,ELECTRICITY,GERMANY,3,9,0.18586224741878518
1,ELECTRICITY,GERMANY,3,10,0.18372082522946714
1,ELECTRICITY,GERMANY,3,11,0.1892880685078052
1,ELECTRICITY,GERMANY,3,12,0.18373722208408622
1,ELECTRICITY,GERMANY,4,1,0.1775014577921632
1,ELECTRICITY,GERMANY,4,2,0.18024706541262317
1,ELECTRICITY,GERMANY,4,3,0.17801039152895232
1,ELECTRICITY,GERMANY,4,4,0.1798702798725086
1,ELECTRICITY,GERMANY,4,5,0.1809468327903469
1,ELECTRICITY,GERMANY,4,6,0.18498634658888874
1,ELECTRICITY,GERMANY,4,7,0.18468481286976787
1,ELECTRICITY,GERMANY,4,8,0.18426575209738447
1,ELECTRICITY,GERMANY,4,9,0.1800960948870247
1,ELECTRICITY,GERMANY,4,10,0.17989168203325365
1,ELECTRICITY,GERMANY,4,11,0.1898017688005338
1,ELECTRICITY,GERMANY,4,12,0.18220997683656978
1,ELECTRICITY,GERMANY,5,1,0.1744313337157725
1,ELECTRICITY,GERMANY,5,2,0.17758795201545613
1,ELECTRICITY,GERMANY,5,3,0.1740879989267449
1,ELECTRICITY,GERMANY,5,4,0.1705659394932297
1,ELECTRICITY,GERMANY,5,5,0.1724931248631371
1,ELECTRICITY,GERMANY,5,6,0.1754626707095848
1,ELECTRICITY,GERMANY,5,7,0.17556773388761537
1,ELECTRICITY,GERMANY,5,8,0.17473736106012883
1,ELECTRICITY,GERMANY,5,9,0.17130699222682455
1,ELECTRICITY,GERMANY,5,10,0.1699150742189091
1,ELECTRICITY,GERMANY,5,11,0.19013333284760306
1,ELECTRICITY,GERMANY,5,12,0.1779490083531001
1,ELECTRICITY,GERMANY,6,1,0.16621972630841794
1,ELECTRICITY,GERMANY,6,2,0.16912492349819278
1,ELECTRICITY,GERMANY,6,3,0.1651808849418676
1,ELECTRICITY,GERMANY,6,4,0.1652847208272447
