ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.12955375229815
ELECTRICITY,GERMANY,1,2,65.94755309558069
ELECTRICITY,GERMANY,1,3,65.85924071041518
ELECTRICITY,GERMANY,1,4,63.06505735420238
ELECTRICITY,GERMANY,1,5,66.02982991712227
ELECTRICITY,GERMANY,1,6,60.88850699709144
ELECTRICITY,GERMANY,1,7,61.35173839338435
ELECTRICITY,GERMANY,1,8,61.28915101139988
ELECTRICITY,GERMANY,1,9,62.6098416835308
ELECTRICITY,GERMANY,1,10,67.49082085824261
ELECTRICITY,GERMANY,1,11,62.54132241921157
ELECTRICITY,GERMANY,1,12,68.6033365215838
ELECTRICITY,GERMANY,2,1,70.54087468998893
ELECTRICITY,GERMANY,2,2,65.26520532417385
ELECTRICITY,GERMANY,2,3,65.42815042114464
ELECTRICITY,GERMANY,2,4,63.08850808391146
ELECTRICITY,GERMANY,2,5,66.07804779334735
ELECTRICITY,GERMANY,2,6,61.25349919565943
ELECTRICITY,GERMANY,2,7,61.41190460327882
ELECTRICITY,GERMANY,2,8,61.33025049671159
ELECTRICITY,GERMANY,2,9,62.64071167023065
ELECTRICITY,GERMANY,2,10,67.6671843777663
ELECTRICITY,GERMANY,2,11,62.0552109188955
ELECTRICITY,GERMANY,2,12,68.22347621670525
ELECTRICITY,GERMANY,3,1,70.53282570967758
ELECTRICITY,GERMANY,3,2,64.94736551655991
ELECTRICITY,GERMANY,3,3,65.58171347342771
ELECTRICITY,GERMANY,3,4,63.60718438084132
ELECTRICITY,GERMANY,3,5,66.81465147267343
ELECTRICITY,GERMANY,3,6,61.75425880714209
ELECTRICITY,GERMANY,3,7,62.05478721367864
ELECTRICITY,GERMANY,3,8,61.81147773454575
ELECTRICITY,GERMANY,3,9,63.02283368486862
ELECTRICITY,GERMANY,3,10,68.37257355355136
ELECTRICITY,GERMANY,3,11,61.88221793323466
ELECTRICITY,GERMANY,3,12,68.36660537922252
ELECTRICITY,GERMANY,4,1,70.76825838694486
ELECTRICITY,GERMANY,4,2,64.98616485266649
ELECTRICITY,GERMANY,4,3,65.80270626222412
ELECTRICITY,GERMANY,4,4,65.12229544544647
ELECTRICITY,GERMANY,4,5,68.52917598607642
ELECTRICITY,GERMANY,4,6,63.32124355619727
ELECTRICITY,GERMANY,4,7,63.42462775178105
ELECTRICITY,GERMANY,4,8,63.69447514040814
ELECTRICITY,GERMANY,4,9,65.0406413015596
ELECTRICITY,GERMANY,4,10,69.82794588965317
ELECTRICITY,GERMANY,4,11,61.71473312173539
ELECTRICITY,GERMANY,4,12,68.93964133698242
ELECTRICITY,GERMANY,5,1,72.01383813007361
ELECTRICITY,GERMANY,5,2,65.95923526431699
ELECTRICITY,GERMANY,5,3,67.28531304689628
ELECTRICITY,GERMANY,5,4,68.67470458942893
ELECTRICITY,GERMANY,5,5,71.61312251061702
ELECTRICITY,GERMANY,5,6,66.75816263213902
ELECTRICITY,GERMANY,5,7,66.71821324062012
ELECTRICITY,GERMANY,5,8,67.1017677065221
ELECTRICITY,GERMANY,5,9,68.37762636023784
ELECTRICITY,GERMANY,5,10,73.92792758727
ELECTRICITY,GERMANY,5,11,61.60711187313076
ELECTRICITY,GERMANY,5,12,70.59039778861388
ELECTRICITY,GERMANY,6,1,75.57148775430298
ELECTRICITY,GERMANY,6,2,69.25984216189111
ELECTRICITY,GERMANY,6,3,70.91356551251549
ELECTRICITY,GERMANY,6,4,70.86901589632473
ELECTRICITY,GERMANY,6,5,74.39037004231544
ELECTRICITY,GERMANY,6,6,69.3467018318586
ELECTRICITY,GERMANY,6,7,69.35808135900629
ELECTRICITY,GERMANY,6,8,69.55353075026414
ELECTRICITY,GERMANY,6,9,70.78948028102657
ELECTRICITY,GERMANY,6,10,76.78168075017152
ELECTRICITY,GERMANY,6,11,62.34151491535577
ELECTRICITY,GERMANY,6,12,74.74705092291855
ELECTRICITY,GERMANY,7,1,79.05741086073577
ELECTRICITY,GERMANY,7,2,72.26676047787193
ELECTRICITY,GERMANY,7,3,73.569352859969
ELECTRICITY,GERMANY,7,4,72.2025388029675
ELECTRICITY,GERMANY,7,5,76.50071890811348
ELECTRICITY,GERMANY,7,6,70.6212085877759
ELECTRICITY,GERMANY,7,7,70.63143805557988
ELECTRICITY,GERMANY,7,8,71.01640500158379
ELECTRICITY,GERMANY,7,9,72.4211709437844
ELECTRICITY,GERMANY,7,10,78.31222049421639
ELECTRICITY,GERMANY,7,11,63.73786732460339
ELECTRICITY,GERMANY,7,12,78.19649685127652
ELECTRICITY,GERMANY,8,1,80.696352400921
ELECTRICITY,GERMANY,8,2,73.23995194844575
ELECTRICITY,GERMANY,8,3,74.13378938603961
ELECTRICITY,GERMANY,8,4,72.53411878040609
ELECTRICITY,GERMANY,8,5,76.7999798325821
ELECTRICITY,GERMANY,8,6,71.85257188133531
ELECTRICITY,GERMANY,8,7,71.24901938264723
ELECTRICITY,GERMANY,8,8,73.13106379865341
ELECTRICITY,GERMANY,8,9,73.04413938617623
ELECTRICITY,GERMANY,8,10,78.69506639981668
ELECTRICITY,GERMANY,8,11,66.13579948653673
ELECTRICITY,GERMANY,8,12,79.29868901703199
ELECTRICITY,GERMANY,9,1,80.57672115575349
ELECTRICITY,GERMANY,9,2,73.53321682442571
ELECTRICITY,GERMANY,9,3,73.94130593862073
ELECTRICITY,GERMANY,9,4,73.0622982046224
ELECTRICITY,GERMANY,9,5,77.59848641520671
ELECTRICITY,GERMANY,9,6,75.89113979345848
ELECTRICITY,GERMANY,9,7,72.53381613375001
ELECTRICITY,GERMANY,9,8,74.76178916635297
ELECTRICITY,GERMANY,9,9,73.9129781954114
ELECTRICITY,GERMANY,9,10,79.01741512552587
ELECTRICITY,GERMANY,9,11,67.44583699108074
ELECTRICITY,GERMANY,9,12,79.71399088449495
ELECTRICITY,GERMANY,10,1,81.32521160410718
ELECTRICITY,GERMANY,10,2,73.96569928865523
ELECTRICITY,GERMANY,10,3,74.26398809700578
ELECTRICITY,GERMANY,10,4,73.31494786638791
ELECTRICITY,GERMANY,10,5,78.31716826439458
ELECTRICITY,GERMANY,10,6,76.76918051003858
ELECTRICITY,GERMANY,10,7,73.31706639390408
ELECTRICITY,GERMANY,10,8,76.85239212991878
ELECTRICITY,GERMANY,10,9,74.71263191652164
ELECTRICITY,GERMANY,10,10,79.78745599944962
ELECTRICITY,GERMANY,10,11,68.41339922885778
ELECTRICITY,GERMANY,10,12,79.9883705322327
ELECTRICITY,GERMANY,11,1,82.09356487610555
ELECTRICITY,GERMANY,11,2,74.13439468790392
ELECTRICITY,GERMANY,11,3,74.10824598631348
ELECTRICITY,GERMANY,11,4,73.21162435925274
ELECTRICITY,GERMANY,11,5,78.18687144635804
ELECTRICITY,GERMANY,11,6,77.1166178963691
ELECTRICITY,GERMANY,11,7,72.30047535165325
ELECTRICITY,GERMANY,11,8,76.96632417234068
ELECTRICITY,GERMANY,11,9,74.43946279794606
ELECTRICITY,GERMANY,11,10,79.591748904839
ELECTRICITY,GERMANY,11,11,68.86252727421376
ELECTRICITY,GERMANY,11,12,80.24431544680264
ELECTRICITY,GERMANY,12,1,81.84002192640727
ELECTRICITY,GERMANY,12,2,74.0041959784318
ELECTRICITY,GERMANY,12,3,73.19612866608243
ELECTRICITY,GERMANY,12,4,73.50202618697486
ELECTRICITY,GERMANY,12,5,77.36740508748943
ELECTRICITY,GERMANY,12,6,76.79494504923183
ELECTRICITY,GERMANY,12,7,72.40574738037344
ELECTRICITY,GERMANY,12,8,76.02681554312869
ELECTRICITY,GERMANY,12,9,74.17870220461269
ELECTRICITY,GERMANY,12,10,79.35761441684167
ELECTRICITY,GERMANY,12,11,68.66368824101149
ELECTRICITY,GERMANY,12,12,80.27255177236549
ELECTRICITY,GERMANY,13,1,81.60556285585167
ELECTRICITY,GERMANY,13,2,73.81358894141705
ELECTRICITY,GERMANY,13,3,72.3474461427735
ELECTRICITY,GERMANY,13,4,72.9803490247683
ELECTRICITY,GERMANY,13,5,76.72859864106705
ELECTRICITY,GERMANY,13,6,76.15903502925767
ELECTRICITY,GERMANY,13,7,72.58004746188423
ELECTRICITY,GERMANY,13,8,75.15447418146738
ELECTRICITY,GERMANY,13,9,73.6034914500856
ELECTRICITY,GERMANY,13,10,78.56589323067708
ELECTRICITY,GERMANY,13,11,67.6000658682091
ELECTRICITY,GERMANY,13,12,79.5692388947197
ELECTRICITY,GERMANY,14,1,81.04064112983905
ELECTRICITY,GERMANY,14,2,73.32408779560072
ELECTRICITY,GERMANY,14,3,71.43641835201043
ELECTRICITY,GERMANY,14,4,72.38498334596669
ELECTRICITY,GERMANY,14,5,76.2585025852186
ELECTRICITY,GERMANY,14,6,75.86133277052218
ELECTRICITY,GERMANY,14,7,72.06084483372808
ELECTRICITY,GERMANY,14,8,75.45450184435587
ELECTRICITY,GERMANY,14,9,73.4218427610051
ELECTRICITY,GERMANY,14,10,77.87309663486951
ELECTRICITY,GERMANY,14,11,66.88702969972682
ELECTRICITY,GERMANY,14,12,78.19531125496495
ELECTRICITY,GERMANY,15,1,80.78521576236103
ELECTRICITY,GERMANY,15,2,72.87387022110366
ELECTRICITY,GERMANY,15,3,71.27595494944725
ELECTRICITY,GERMANY,15,4,71.79773281248228
ELECTRICITY,GERMANY,15,5,75.74457990762863
ELECTRICITY,GERMANY,15,6,75.03013777373928
ELECTRICITY,GERMANY,15,7,71.39832957048245
ELECTRICITY,GERMANY,15,8,73.94911645081882
ELECTRICITY,GERMANY,15,9,72.88991051291963
ELECTRICITY,GERMANY,15,10,76.82893605950406
ELECTRICITY,GERMANY,15,11,66.63044563106499
ELECTRICITY,GERMANY,15,12,77.93211008370297
ELECTRICITY,GERMANY,16,1,80.6869402846689
ELECTRICITY,GERMANY,16,2,72.6506983741976
ELECTRICITY,GERMANY,16,3,71.33085510312492
ELECTRICITY,GERMANY,16,4,71.61431708033633
ELECTRICITY,GERMANY,16,5,75.38545782051438
ELECTRICITY,GERMANY,16,6,74.63807528627497
ELECTRICITY,GERMANY,16,7,71.15004273187168
ELECTRICITY,GERMANY,16,8,73.77863462939362
ELECTRICITY,GERMANY,16,9,72.70378264896252
ELECTRICITY,GERMANY,16,10,77.05644959808367
ELECTRICITY,GERMANY,16,11,66.87032358783547
ELECTRICITY,GERMANY,16,12,76.2447703283801
ELECTRICITY,GERMANY,17,1,81.80905930856974
ELECTRICITY,GERMANY,17,2,74.12713116119804
ELECTRICITY,GERMANY,17,3,72.553972414017
ELECTRICITY,GERMANY,17,4,71.5796939458288
ELECTRICITY,GERMANY,17,5,74.74493325692548
ELECTRICITY,GERMANY,17,6,74.53129447262842
ELECTRICITY,GERMANY,17,7,70.67716990769597
ELECTRICITY,GERMANY,17,8,73.86504937304696
ELECTRICITY,GERMANY,17,9,72.28479823718315
ELECTRICITY,GERMANY,17,10,77.13265527410542
ELECTRICITY,GERMANY,17,11,68.81821976339886
ELECTRICITY,GERMANY,17,12,77.21348124110219
ELECTRICITY,GERMANY,18,1,81.37376514368358
ELECTRICITY,GERMANY,18,2,74.45501884608001
ELECTRICITY,GERMANY,18,3,74.38177828231822
ELECTRICITY,GERMANY,18,4,71.7017072680035
ELECTRICITY,GERMANY,18,5,74.39992469130085
ELECTRICITY,GERMANY,18,6,71.84799300161849
ELECTRICITY,GERMANY,18,7,69.85569344475172
ELECTRICITY,GERMANY,18,8,70.8605505856258
ELECTRICITY,GERMANY,18,9,71.7239934740998
ELECTRICITY,GERMANY,18,10,77.82123263411518
ELECTRICITY,GERMANY,18,11,68.63820536896822
ELECTRICITY,GERMANY,18,12,77.38749380957022
ELECTRICITY,GERMANY,19,1,80.42301155893158
ELECTRICITY,GERMANY,19,2,73.96684934703661
ELECTRICITY,GERMANY,19,3,73.97362863307049
ELECTRICITY,GERMANY,19,4,71.5355367323991
ELECTRICITY,GERMANY,19,5,73.63628871160316
ELECTRICITY,GERMANY,19,6,70.99090942777488
ELECTRICITY,GERMANY,19,7,68.90380831669923
ELECTRICITY,GERMANY,19,8,68.32593426806112
ELECTRICITY,GERMANY,19,9,71.2328580347144
ELECTRICITY,GERMANY,19,10,76.33749383726716
ELECTRICITY,GERMANY,19,11,67.67808824579596
ELECTRICITY,GERMANY,19,12,76.19935354030594
ELECTRICITY,GERMANY,20,1,78.48158409357046
ELECTRICITY,GERMANY,20,2,72.47007868687774
ELECTRICITY,GERMANY,20,3,72.27626359357798
ELECTRICITY,GERMANY,20,4,70.60466259841156
ELECTRICITY,GERMANY,20,5,73.30698962493369
ELECTRICITY,GERMANY,20,6,70.0590944688394
ELECTRICITY,GERMANY,20,7,68.29179569278475
ELECTRICITY,GERMANY,20,8,67.54359195128141
ELECTRICITY,GERMANY,20,9,70.0242072519044
ELECTRICITY,GERMANY,20,10,74.20964190723417
ELECTRICITY,GERMANY,20,11,65.66227809869338
ELECTRICITY,GERMANY,20,12,74.56240456324508
ELECTRICITY,GERMANY,21,1,76.67075792940159
ELECTRICITY,GERMANY,21,2,70.94558556796518
ELECTRICITY,GERMANY,21,3,70.64348383292325
ELECTRICITY,GERMANY,21,4,69.13309439098639
ELECTRICITY,GERMANY,21,5,72.6533482472428
ELECTRICITY,GERMANY,21,6,68.61373745340335
ELECTRICITY,GERMANY,21,7,66.27005366605518
ELECTRICITY,GERMANY,21,8,65.71699666521184
ELECTRICITY,GERMANY,21,9,67.79890489944368
ELECTRICITY,GERMANY,21,10,72.77913036736692
ELECTRICITY,GERMANY,21,11,64.67546751625594
ELECTRICITY,GERMANY,21,12,72.51073343688392
ELECTRICITY,GERMANY,22,1,75.42219213211992
ELECTRICITY,GERMANY,22,2,70.28478626138212
