p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,1.446539934756136,27,1,0.053575553139116154,53.57555313911615
AMMONIA,GERMANY,1,2,0.9107844073191138,17,1,0.053575553371712575,53.57555337171257
AMMONIA,GERMANY,1,3,0.5357555307619821,10,1,0.05357555307619821,53.57555307619821
AMMONIA,GERMANY,1,4,1.875144470627991,35,1,0.05357555630365688,53.57555630365688
AMMONIA,GERMANY,1,5,1.928720053606871,36,1,0.053575557044635305,53.5755570446353
AMMONIA,GERMANY,1,6,0.8036333487405083,15,1,0.05357555658270055,53.57555658270055
AMMONIA,GERMANY,1,7,2.035871179762817,38,1,0.05357555736217939,53.575557362179396
AMMONIA,GERMANY,1,8,3.053806800712493,57,1,0.05357555790723672,53.57555790723672
AMMONIA,GERMANY,1,9,1.232237834467518,23,1,0.05357555802032687,53.575558020326866
AMMONIA,GERMANY,1,10,1.392964433177409,26,1,0.05357555512220803,53.57555512220803
AMMONIA,GERMANY,1,11,1.821568841277761,34,1,0.053575554155228265,53.57555415522827
AMMONIA,GERMANY,1,12,2.518051016560659,47,1,0.05357555354384381,53.57555354384381
AMMONIA,GERMANY,2,1,1.446539934764404,27,1,0.05357555313942237,53.57555313942237
AMMONIA,GERMANY,2,2,0.9107844072968923,17,1,0.05357555337040543,53.57555337040543
AMMONIA,GERMANY,2,3,0.5357555307834853,10,1,0.05357555307834853,53.57555307834853
AMMONIA,GERMANY,2,4,1.875144470701922,35,1,0.0535755563057692,53.5755563057692
AMMONIA,GERMANY,2,5,1.928720053648528,36,1,0.05357555704579245,53.57555704579245
AMMONIA,GERMANY,2,6,0.8036333487603425,15,1,0.05357555658402283,53.575556584022834
AMMONIA,GERMANY,2,7,2.035871179728493,38,1,0.05357555736127614,53.57555736127614
AMMONIA,GERMANY,2,8,3.05380680070185,57,1,0.05357555790705,53.57555790705
AMMONIA,GERMANY,2,9,1.232237834455922,23,1,0.053575558019822694,53.575558019822694
AMMONIA,GERMANY,2,10,1.392964433176955,26,1,0.05357555512219058,53.57555512219058
AMMONIA,GERMANY,2,11,1.821568841232369,34,1,0.0535755541538932,53.5755541538932
AMMONIA,GERMANY,2,12,2.518051016515334,47,1,0.05357555354287944,53.57555354287944
AMMONIA,GERMANY,3,1,1.446539934772659,27,1,0.053575553139728116,53.575553139728115
AMMONIA,GERMANY,3,2,0.9107844072694257,17,1,0.05357555336878975,53.57555336878975
AMMONIA,GERMANY,3,3,0.5357555308167069,10,1,0.05357555308167069,53.57555308167069
AMMONIA,GERMANY,3,4,1.875144470770078,35,1,0.053575556307716515,53.57555630771652
AMMONIA,GERMANY,3,5,1.928720053691039,36,1,0.0535755570469733,53.5755570469733
AMMONIA,GERMANY,3,6,0.8036333487848383,15,1,0.05357555658565589,53.57555658565589
AMMONIA,GERMANY,3,7,2.035871179692982,38,1,0.053575557360341634,53.575557360341634
AMMONIA,GERMANY,3,8,3.053806800677799,57,1,0.05357555790662805,53.575557906628056
AMMONIA,GERMANY,3,9,1.232237834445266,23,1,0.05357555801935939,53.57555801935939
AMMONIA,GERMANY,3,10,1.392964433177079,26,1,0.05357555512219535,53.57555512219535
AMMONIA,GERMANY,3,11,1.8215688411853,34,1,0.05357555415250882,53.57555415250882
AMMONIA,GERMANY,3,12,2.518051016468247,47,1,0.053575553541877596,53.575553541877596
AMMONIA,GERMANY,4,1,1.446539934781446,27,1,0.05357555314005356,53.57555314005356
AMMONIA,GERMANY,4,2,0.9107844072445993,17,1,0.05357555336732937,53.57555336732937
AMMONIA,GERMANY,4,3,0.5357555308504454,10,1,0.05357555308504454,53.57555308504454
AMMONIA,GERMANY,4,4,1.87514447083768,35,1,0.053575556309648005,53.57555630964801
AMMONIA,GERMANY,4,5,1.92872005373553,36,1,0.05357555704820917,53.57555704820917
AMMONIA,GERMANY,4,6,0.8036333488073417,15,1,0.05357555658715611,53.575556587156115
AMMONIA,GERMANY,4,7,2.035871179656765,38,1,0.05357555735938855,53.57555735938855
AMMONIA,GERMANY,4,8,3.053806800668582,57,1,0.05357555790646635,53.57555790646635
AMMONIA,GERMANY,4,9,1.232237834428915,23,1,0.05357555801864848,53.57555801864848
AMMONIA,GERMANY,4,10,1.392964433177141,26,1,0.05357555512219773,53.57555512219773
AMMONIA,GERMANY,4,11,1.821568841137792,34,1,0.05357555415111153,53.57555415111153
AMMONIA,GERMANY,4,12,2.518051016421225,47,1,0.05357555354087713,53.57555354087713
AMMONIA,GERMANY,5,1,1.446539934789281,27,1,0.053575553140343735,53.575553140343736
AMMONIA,GERMANY,5,2,0.9107844072190427,17,1,0.05357555336582604,53.57555336582604
AMMONIA,GERMANY,5,3,0.5357555308801173,10,1,0.05357555308801173,53.57555308801173
AMMONIA,GERMANY,5,4,1.875144470902599,35,1,0.05357555631150283,53.57555631150283
AMMONIA,GERMANY,5,5,1.928720053784666,36,1,0.053575557049574056,53.57555704957406
AMMONIA,GERMANY,5,6,0.8036333488312074,15,1,0.05357555658874716,53.57555658874716
AMMONIA,GERMANY,5,7,2.035871179617522,38,1,0.05357555735835584,53.57555735835584
AMMONIA,GERMANY,5,8,3.053806800654391,57,1,0.05357555790621739,53.57555790621739
AMMONIA,GERMANY,5,9,1.232237834412587,23,1,0.05357555801793857,53.57555801793857
AMMONIA,GERMANY,5,10,1.392964433176834,26,1,0.053575555122185925,53.575555122185925
AMMONIA,GERMANY,5,11,1.821568841089301,34,1,0.053575554149685324,53.575554149685324
AMMONIA,GERMANY,5,12,2.51805101637374,47,1,0.05357555353986681,53.57555353986681
AMMONIA,GERMANY,6,1,1.446539934795531,27,1,0.05357555314057522,53.575553140575224
AMMONIA,GERMANY,6,2,0.9107844071903738,17,1,0.05357555336413963,53.57555336413963
AMMONIA,GERMANY,6,3,0.5357555309033439,10,1,0.05357555309033439,53.57555309033439
AMMONIA,GERMANY,6,4,1.87514447096949,35,1,0.053575556313414,53.575556313414
AMMONIA,GERMANY,6,5,1.928720053831927,36,1,0.05357555705088686,53.57555705088686
AMMONIA,GERMANY,6,6,0.8036333488595759,15,1,0.053575556590638396,53.5755565906384
AMMONIA,GERMANY,6,7,2.03587117957878,38,1,0.053575557357336316,53.575557357336315
AMMONIA,GERMANY,6,8,3.05380680064156,57,1,0.05357555790599228,53.57555790599228
AMMONIA,GERMANY,6,9,1.232237834403864,23,1,0.053575558017559304,53.5755580175593
AMMONIA,GERMANY,6,10,1.392964433177665,26,1,0.053575555122217886,53.575555122217885
AMMONIA,GERMANY,6,11,1.821568841030691,34,1,0.0535755541479615,53.575554147961505
AMMONIA,GERMANY,6,12,2.51805101632621,47,1,0.053575553538855535,53.57555353885554
AMMONIA,GERMANY,7,1,1.446539934802061,27,1,0.05357555314081707,53.57555314081707
AMMONIA,GERMANY,7,2,0.9107844071639756,17,1,0.0535755533625868,53.575553362586795
AMMONIA,GERMANY,7,3,0.5357555309269831,10,1,0.05357555309269831,53.575553092698314
AMMONIA,GERMANY,7,4,1.875144471042379,35,1,0.05357555631549654,53.57555631549654
AMMONIA,GERMANY,7,5,1.928720053880368,36,1,0.05357555705223244,53.57555705223244
AMMONIA,GERMANY,7,6,0.8036333489028883,15,1,0.053575556593525885,53.57555659352588
AMMONIA,GERMANY,7,7,2.035871179542482,38,1,0.05357555735638111,53.57555735638111
AMMONIA,GERMANY,7,8,3.053806800634077,57,1,0.053575557905861,53.575557905861
AMMONIA,GERMANY,7,9,1.23223783441888,23,1,0.05357555801821218,53.57555801821218
AMMONIA,GERMANY,7,10,1.392964433179509,26,1,0.05357555512228881,53.575555122288804
AMMONIA,GERMANY,7,11,1.821568840974009,34,1,0.053575554146294384,53.57555414629439
AMMONIA,GERMANY,7,12,2.51805101627884,47,1,0.05357555353784766,53.57555353784766
AMMONIA,GERMANY,8,1,1.446539934809884,27,1,0.05357555314110681,53.57555314110681
AMMONIA,GERMANY,8,2,0.9107844071403833,17,1,0.05357555336119902,53.57555336119902
AMMONIA,GERMANY,8,3,0.5357555309536497,10,1,0.05357555309536497,53.575553095364974
AMMONIA,GERMANY,8,4,1.875144471118546,35,1,0.053575556317672746,53.57555631767275
AMMONIA,GERMANY,8,5,1.92872005394043,36,1,0.05357555705390083,53.57555705390083
AMMONIA,GERMANY,8,6,0.8036333488959755,15,1,0.05357555659306503,53.57555659306503
AMMONIA,GERMANY,8,7,2.035871179509507,38,1,0.053575557355513344,53.57555735551335
AMMONIA,GERMANY,8,8,3.053806800566718,57,1,0.053575557904679265,53.575557904679265
AMMONIA,GERMANY,8,9,1.232237834438291,23,1,0.05357555801905613,53.575558019056125
AMMONIA,GERMANY,8,10,1.39296443318329,26,1,0.05357555512243423,53.57555512243423
AMMONIA,GERMANY,8,11,1.821568840919777,34,1,0.053575554144699326,53.575554144699325
AMMONIA,GERMANY,8,12,2.518051016231815,47,1,0.05357555353684713,53.575553536847124
