k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,1,1,0.1657963787961106
1,ELECTRICITY,GERMANY,1,2,0.1667535580336483
1,ELECTRICITY,GERMANY,1,3,0.16697716223083992
1,ELECTRICITY,GERMANY,1,4,0.1745483002730575
1,ELECTRICITY,GERMANY,1,5,0.17636385716357544
1,ELECTRICITY,GERMANY,1,6,0.18060861834129543
1,ELECTRICITY,GERMANY,1,7,0.17924494741828947
1,ELECTRICITY,GERMANY,1,8,0.17942798915405261
1,ELECTRICITY,GERMANY,1,9,0.17564313894522793
1,ELECTRICITY,GERMANY,1,10,0.1747351461548439
1,ELECTRICITY,GERMANY,1,11,0.175835570738149
1,ELECTRICITY,GERMANY,1,12,0.17190187492268708
1,ELECTRICITY,GERMANY,2,1,0.16717998081767413
1,ELECTRICITY,GERMANY,2,2,0.16849696660661292
1,ELECTRICITY,GERMANY,2,3,0.1680773344427904
1,ELECTRICITY,GERMANY,2,4,0.17431049582109429
1,ELECTRICITY,GERMANY,2,5,0.17621657438510413
1,ELECTRICITY,GERMANY,2,6,0.1795324228987762
1,ELECTRICITY,GERMANY,2,7,0.1790693383211913
1,ELECTRICITY,GERMANY,2,8,0.17930774845411787
1,ELECTRICITY,GERMANY,2,9,0.17555658019995948
1,ELECTRICITY,GERMANY,2,10,0.17427972913562817
1,ELECTRICITY,GERMANY,2,11,0.177212984364065
1,ELECTRICITY,GERMANY,2,12,0.1728590015650483
1,ELECTRICITY,GERMANY,3,1,0.16719905879194408
1,ELECTRICITY,GERMANY,3,2,0.16932155807181087
1,ELECTRICITY,GERMANY,3,3,0.1676837724696455
1,ELECTRICITY,GERMANY,3,4,0.17288910410821962
1,ELECTRICITY,GERMANY,3,5,0.17425532416650374
1,ELECTRICITY,GERMANY,3,6,0.1780766109742396
1,ELECTRICITY,GERMANY,3,7,0.17721419436180252
1,ELECTRICITY,GERMANY,3,8,0.1784369001763097
1,ELECTRICITY,GERMANY,3,9,0.17449214005642977
1,ELECTRICITY,GERMANY,3,10,0.17248171918953634
1,ELECTRICITY,GERMANY,3,11,0.17770838682830176
1,ELECTRICITY,GERMANY,3,12,0.17249711296795242
1,ELECTRICITY,GERMANY,4,1,0.16664282103241249
1,ELECTRICITY,GERMANY,4,2,0.16922046633748528
1,ELECTRICITY,GERMANY,4,3,0.16712062079063422
1,ELECTRICITY,GERMANY,4,4,0.16886673062111474
1,ELECTRICITY,GERMANY,4,5,0.16987742550469886
1,ELECTRICITY,GERMANY,4,6,0.17366982238617443
1,ELECTRICITY,GERMANY,4,7,0.17338673496697404
1,ELECTRICITY,GERMANY,4,8,0.17299331020211517
1,ELECTRICITY,GERMANY,4,9,0.16907873142109978
1,ELECTRICITY,GERMANY,4,10,0.16888682350647527
1,ELECTRICITY,GERMANY,4,11,0.17819066154880409
