ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.12985746714023
ELECTRICITY,GERMANY,1,2,66.7392186572856
ELECTRICITY,GERMANY,1,3,63.38436595073284
ELECTRICITY,GERMANY,1,4,63.99835885070375
ELECTRICITY,GERMANY,1,5,66.86787665342035
ELECTRICITY,GERMANY,1,6,61.73852081492684
ELECTRICITY,GERMANY,1,7,60.13143136563843
ELECTRICITY,GERMANY,1,8,65.72599421283425
ELECTRICITY,GERMANY,1,9,59.7357082164998
ELECTRICITY,GERMANY,1,10,67.4911223408499
ELECTRICITY,GERMANY,1,11,58.74823462532898
ELECTRICITY,GERMANY,1,12,68.60356255489349
ELECTRICITY,GERMANY,2,1,70.54117714557664
ELECTRICITY,GERMANY,2,2,66.04786329203473
ELECTRICITY,GERMANY,2,3,62.96934225166522
ELECTRICITY,GERMANY,2,4,64.02082703103618
ELECTRICITY,GERMANY,2,5,66.92376526746828
ELECTRICITY,GERMANY,2,6,62.1086083653598
ELECTRICITY,GERMANY,2,7,60.19087266137245
ELECTRICITY,GERMANY,2,8,65.77006898948261
ELECTRICITY,GERMANY,2,9,59.63976979568211
ELECTRICITY,GERMANY,2,10,67.66748625390068
ELECTRICITY,GERMANY,2,11,58.29119288711332
ELECTRICITY,GERMANY,2,12,68.22370166061995
ELECTRICITY,GERMANY,3,1,70.53312814793203
ELECTRICITY,GERMANY,3,2,64.06968258472435
ELECTRICITY,GERMANY,3,3,63.1171417993433
ELECTRICITY,GERMANY,3,4,64.54643533154481
ELECTRICITY,GERMANY,3,5,67.67699579098013
ELECTRICITY,GERMANY,3,6,62.61635866955746
ELECTRICITY,GERMANY,3,7,60.82060333395505
ELECTRICITY,GERMANY,3,8,66.09105536686066
ELECTRICITY,GERMANY,3,9,60.00332705441993
ELECTRICITY,GERMANY,3,10,68.3728769985037
ELECTRICITY,GERMANY,3,11,58.12828146088292
ELECTRICITY,GERMANY,3,12,68.3668310644147
ELECTRICITY,GERMANY,4,1,70.76856132932406
ELECTRICITY,GERMANY,4,2,63.72863605304388
ELECTRICITY,GERMANY,4,3,63.3298371132704
ELECTRICITY,GERMANY,4,4,66.08316846740152
ELECTRICITY,GERMANY,4,5,69.42109706560905
ELECTRICITY,GERMANY,4,6,64.20521878537153
ELECTRICITY,GERMANY,4,7,62.16282167926222
ELECTRICITY,GERMANY,4,8,68.17074851829052
ELECTRICITY,GERMANY,4,9,61.92419218080229
ELECTRICITY,GERMANY,4,10,69.82825254670915
ELECTRICITY,GERMANY,4,11,57.98705019022496
ELECTRICITY,GERMANY,4,12,68.9398679717226
ELECTRICITY,GERMANY,5,1,72.01414372627025
ELECTRICITY,GERMANY,5,2,64.6503267594624
ELECTRICITY,GERMANY,5,3,64.75630161136813
ELECTRICITY,GERMANY,5,4,69.68754691093419
ELECTRICITY,GERMANY,5,5,72.82335715928068
ELECTRICITY,GERMANY,5,6,67.68967357557192
ELECTRICITY,GERMANY,5,7,65.39048501549074
ELECTRICITY,GERMANY,5,8,71.88808894510208
ELECTRICITY,GERMANY,5,9,65.10100380641656
ELECTRICITY,GERMANY,5,10,73.92824311700504
ELECTRICITY,GERMANY,5,11,57.86904447296671
ELECTRICITY,GERMANY,5,12,70.59062711616465
ELECTRICITY,GERMANY,6,1,75.57180080668695
ELECTRICITY,GERMANY,6,2,66.65523544758292
ELECTRICITY,GERMANY,6,3,68.2480368985059
ELECTRICITY,GERMANY,6,4,71.91304644293459
ELECTRICITY,GERMANY,6,5,75.69276059542712
ELECTRICITY,GERMANY,6,6,70.31387041583267
ELECTRICITY,GERMANY,6,7,67.97740485919633
ELECTRICITY,GERMANY,6,8,74.58865880598135
ELECTRICITY,GERMANY,6,9,67.39699249369653
ELECTRICITY,GERMANY,6,10,76.78200231107743
ELECTRICITY,GERMANY,6,11,58.55847214607104
ELECTRICITY,GERMANY,6,12,74.74728690389405
ELECTRICITY,GERMANY,7,1,79.05773105055455
ELECTRICITY,GERMANY,7,2,69.54892733989637
ELECTRICITY,GERMANY,7,3,70.8038476747161
ELECTRICITY,GERMANY,7,4,73.26647274665336
ELECTRICITY,GERMANY,7,5,77.52176596270527
ELECTRICITY,GERMANY,7,6,71.6070925548957
ELECTRICITY,GERMANY,7,7,69.22499232470327
ELECTRICITY,GERMANY,7,8,76.1574352097303
ELECTRICITY,GERMANY,7,9,68.95018952084605
ELECTRICITY,GERMANY,7,10,78.31254524373647
ELECTRICITY,GERMANY,7,11,59.86966614131943
ELECTRICITY,GERMANY,7,12,78.19673821522603
ELECTRICITY,GERMANY,8,1,80.69667589204957
ELECTRICITY,GERMANY,8,2,70.48536933993498
ELECTRICITY,GERMANY,8,3,71.3469158679121
ELECTRICITY,GERMANY,8,4,73.60246724362709
ELECTRICITY,GERMANY,8,5,78.1163533681709
ELECTRICITY,GERMANY,8,6,76.10263317342917
ELECTRICITY,GERMANY,8,7,69.83070095215392
ELECTRICITY,GERMANY,8,8,76.85101252953284
ELECTRICITY,GERMANY,8,9,69.54300077134307
ELECTRICITY,GERMANY,8,10,78.69539194204503
ELECTRICITY,GERMANY,8,11,62.12162946059066
ELECTRICITY,GERMANY,8,12,79.29893208105061
ELECTRICITY,GERMANY,9,1,80.57704440709786
ELECTRICITY,GERMANY,9,2,70.76745443211135
ELECTRICITY,GERMANY,9,3,71.16262976504012
ELECTRICITY,GERMANY,9,4,74.13795119957132
ELECTRICITY,GERMANY,9,5,78.60039685151817
ELECTRICITY,GERMANY,9,6,76.87040337146809
ELECTRICITY,GERMANY,9,7,72.6136326608785
ELECTRICITY,GERMANY,9,8,77.68973189761162
ELECTRICITY,GERMANY,9,9,70.99435765424255
ELECTRICITY,GERMANY,9,10,79.01774133339217
ELECTRICITY,GERMANY,9,11,63.35170406635579
ELECTRICITY,GERMANY,9,12,79.71423457756701
ELECTRICITY,GERMANY,10,1,81.32553635328271
ELECTRICITY,GERMANY,10,2,71.18383756951987
ELECTRICITY,GERMANY,10,3,72.78984074030912
ELECTRICITY,GERMANY,10,4,76.76224854036207
ELECTRICITY,GERMANY,10,5,79.31954902741322
ELECTRICITY,GERMANY,10,6,77.75163841241502
ELECTRICITY,GERMANY,10,7,73.39811701812995
ELECTRICITY,GERMANY,10,8,78.54565238900781
ELECTRICITY,GERMANY,10,9,71.76279555060613
ELECTRICITY,GERMANY,10,10,79.78778379190801
ELECTRICITY,GERMANY,10,11,65.01889866887056
ELECTRICITY,GERMANY,10,12,79.98861464273195
ELECTRICITY,GERMANY,11,1,82.09389115564844
ELECTRICITY,GERMANY,11,2,71.34619659001248
