j,h,td,val
AMMONIA_STORAGE,1,1,7.301462632029266e-05
AMMONIA_STORAGE,1,2,7.301464534573122e-05
AMMONIA_STORAGE,1,3,0.0
AMMONIA_STORAGE,1,4,7.301461059827717e-05
AMMONIA_STORAGE,1,5,7.301461752825546e-05
AMMONIA_STORAGE,1,6,7.301465838849708e-05
AMMONIA_STORAGE,1,7,7.30146189163376e-05
AMMONIA_STORAGE,1,8,7.301466693195296e-05
AMMONIA_STORAGE,1,9,7.30146110705745e-05
AMMONIA_STORAGE,1,10,7.301462081765503e-05
AMMONIA_STORAGE,1,11,7.30146216551509e-05
AMMONIA_STORAGE,1,12,7.301461587129248e-05
AMMONIA_STORAGE,2,1,7.301461264972299e-05
AMMONIA_STORAGE,2,2,7.301463060903303e-05
AMMONIA_STORAGE,2,3,0.0
AMMONIA_STORAGE,2,4,7.301461686516522e-05
AMMONIA_STORAGE,2,5,7.301461745922908e-05
AMMONIA_STORAGE,2,6,7.30146313237482e-05
AMMONIA_STORAGE,2,7,7.301462258297708e-05
AMMONIA_STORAGE,2,8,7.301456384428457e-05
AMMONIA_STORAGE,2,9,7.301459992852563e-05
AMMONIA_STORAGE,2,10,7.3014623909104e-05
AMMONIA_STORAGE,2,11,7.301462186810057e-05
AMMONIA_STORAGE,2,12,7.301463430655166e-05
AMMONIA_STORAGE,3,1,7.301462481460971e-05
AMMONIA_STORAGE,3,2,7.301462154972547e-05
AMMONIA_STORAGE,3,3,0.0
AMMONIA_STORAGE,3,4,7.30146003936501e-05
AMMONIA_STORAGE,3,5,7.301462066465329e-05
AMMONIA_STORAGE,3,6,7.301465958001901e-05
AMMONIA_STORAGE,3,7,7.301462051514658e-05
AMMONIA_STORAGE,3,8,7.301462018540492e-05
AMMONIA_STORAGE,3,9,7.301462301297361e-05
AMMONIA_STORAGE,3,10,7.301462019949803e-05
AMMONIA_STORAGE,3,11,7.301462043930252e-05
AMMONIA_STORAGE,3,12,7.301462066674558e-05
AMMONIA_STORAGE,4,1,7.301461847656243e-05
AMMONIA_STORAGE,4,2,7.30146330703786e-05
AMMONIA_STORAGE,4,3,0.0
AMMONIA_STORAGE,4,4,7.301462066881229e-05
AMMONIA_STORAGE,4,5,7.301461919924411e-05
AMMONIA_STORAGE,4,6,7.301463318305172e-05
AMMONIA_STORAGE,4,7,7.301461694833285e-05
AMMONIA_STORAGE,4,8,7.301464276579885e-05
AMMONIA_STORAGE,4,9,7.301462663910838e-05
AMMONIA_STORAGE,4,10,7.30146217952565e-05
AMMONIA_STORAGE,4,11,7.301462008532048e-05
AMMONIA_STORAGE,4,12,7.301461593597143e-05
AMMONIA_STORAGE,5,1,7.30146229591948e-05
AMMONIA_STORAGE,5,2,7.301464445505523e-05
AMMONIA_STORAGE,5,3,0.0
AMMONIA_STORAGE,5,4,7.301462139123723e-05
AMMONIA_STORAGE,5,5,7.301461977157146e-05
AMMONIA_STORAGE,5,6,7.301463691343295e-05
AMMONIA_STORAGE,5,7,7.301463911641749e-05
AMMONIA_STORAGE,5,8,7.301460894765287e-05
AMMONIA_STORAGE,5,9,7.301461986902323e-05
AMMONIA_STORAGE,5,10,7.301461963779283e-05
AMMONIA_STORAGE,5,11,7.301461676008608e-05
AMMONIA_STORAGE,5,12,7.30146041755047e-05
AMMONIA_STORAGE,6,1,7.301461961097357e-05
AMMONIA_STORAGE,6,2,7.301463694660325e-05
AMMONIA_STORAGE,6,3,0.0
AMMONIA_STORAGE,6,4,7.301462692910318e-05
AMMONIA_STORAGE,6,5,7.301466243821945e-05
AMMONIA_STORAGE,6,6,7.301464487487869e-05
AMMONIA_STORAGE,6,7,7.301460470187076e-05
AMMONIA_STORAGE,6,8,7.301466128362393e-05
AMMONIA_STORAGE,6,9,7.301459827635526e-05
AMMONIA_STORAGE,6,10,7.301461836380888e-05
AMMONIA_STORAGE,6,11,7.301461661346313e-05
AMMONIA_STORAGE,6,12,7.301461969973482e-05
AMMONIA_STORAGE,7,1,7.30146016671815e-05
AMMONIA_STORAGE,7,2,7.301463136893992e-05
AMMONIA_STORAGE,7,3,0.0
AMMONIA_STORAGE,7,4,7.301461840298891e-05
AMMONIA_STORAGE,7,5,7.301461188579435e-05
AMMONIA_STORAGE,7,6,7.301462895968071e-05
AMMONIA_STORAGE,7,7,7.301462581378441e-05
AMMONIA_STORAGE,7,8,7.301464686481469e-05
AMMONIA_STORAGE,7,9,7.301462662539669e-05
AMMONIA_STORAGE,7,10,7.30146183380194e-05
AMMONIA_STORAGE,7,11,7.301461572710075e-05
AMMONIA_STORAGE,7,12,7.30146213218665e-05
AMMONIA_STORAGE,8,1,7.301461943127097e-05
AMMONIA_STORAGE,8,2,7.301464712531507e-05
AMMONIA_STORAGE,8,3,0.0
AMMONIA_STORAGE,8,4,7.301461682432484e-05
AMMONIA_STORAGE,8,5,7.301460347607504e-05
AMMONIA_STORAGE,8,6,7.301463249887136e-05
AMMONIA_STORAGE,8,7,7.301462075731571e-05
AMMONIA_STORAGE,8,8,7.301461545570153e-05
AMMONIA_STORAGE,8,9,7.301462313083398e-05
AMMONIA_STORAGE,8,10,7.30146196044727e-05
AMMONIA_STORAGE,8,11,7.301461806401093e-05
AMMONIA_STORAGE,8,12,7.301461376357874e-05
AMMONIA_STORAGE,9,1,7.301462031461038e-05
AMMONIA_STORAGE,9,2,7.301464424391097e-05
AMMONIA_STORAGE,9,3,0.0
AMMONIA_STORAGE,9,4,7.301461814188375e-05
AMMONIA_STORAGE,9,5,7.301462245555557e-05
AMMONIA_STORAGE,9,6,7.301463214481993e-05
AMMONIA_STORAGE,9,7,7.301462446928633e-05
AMMONIA_STORAGE,9,8,7.30146151664353e-05
AMMONIA_STORAGE,9,9,7.301462600544121e-05
AMMONIA_STORAGE,9,10,7.301461998006657e-05
AMMONIA_STORAGE,9,11,7.30146214288096e-05
AMMONIA_STORAGE,9,12,7.301461757805439e-05
AMMONIA_STORAGE,10,1,7.301461956348747e-05
AMMONIA_STORAGE,10,2,7.301463149891169e-05
AMMONIA_STORAGE,10,3,0.0
AMMONIA_STORAGE,10,4,7.301461688687225e-05
AMMONIA_STORAGE,10,5,7.301461622014386e-05
AMMONIA_STORAGE,10,6,7.301464842252394e-05
AMMONIA_STORAGE,10,7,7.301461009958906e-05
AMMONIA_STORAGE,10,8,7.301461886132172e-05
AMMONIA_STORAGE,10,9,7.301461693125428e-05
AMMONIA_STORAGE,10,10,7.301461961264563e-05
AMMONIA_STORAGE,10,11,7.301462594452813e-05
AMMONIA_STORAGE,10,12,7.301466110542121e-05
AMMONIA_STORAGE,11,1,7.301461829937821e-05
AMMONIA_STORAGE,11,2,7.301463310452404e-05
