pt,n,h,td,val
CCGT,GERMANY,1,1,3.845490867886485e-10
CCGT,GERMANY,1,2,7.378433657058211e-09
CCGT,GERMANY,1,3,6.707412215223946e-09
CCGT,GERMANY,1,4,8.538114512092386e-09
CCGT,GERMANY,1,5,4.931498302935655e-10
CCGT,GERMANY,1,6,7.201343625989548e-09
CCGT,GERMANY,1,7,8.674058352674596e-09
CCGT,GERMANY,1,8,9.286886764843361e-09
CCGT,GERMANY,1,9,7.849676168203323e-09
CCGT,GERMANY,1,10,3.987922283671788e-10
CCGT,GERMANY,1,11,8.489271335258123e-09
CCGT,GERMANY,1,12,2.245345448478494e-10
CCGT,GERMANY,2,1,3.845485496385624e-10
CCGT,GERMANY,2,2,7.378459081471043e-09
CCGT,GERMANY,2,3,6.707429612276101e-09
CCGT,GERMANY,2,4,8.538112912676495e-09
CCGT,GERMANY,2,5,4.960045489049127e-10
CCGT,GERMANY,2,6,7.201363822475853e-09
CCGT,GERMANY,2,7,8.67406539889075e-09
CCGT,GERMANY,2,8,9.286858652488362e-09
CCGT,GERMANY,2,9,7.849695943294549e-09
CCGT,GERMANY,2,10,3.987920587629064e-10
CCGT,GERMANY,2,11,8.489259458416882e-09
CCGT,GERMANY,2,12,2.245334625217291e-10
CCGT,GERMANY,3,1,3.845479935078313e-10
CCGT,GERMANY,3,2,7.378483720051386e-09
CCGT,GERMANY,3,3,6.707446621226866e-09
CCGT,GERMANY,3,4,8.538109787495496e-09
CCGT,GERMANY,3,5,5.224039675534825e-10
CCGT,GERMANY,3,6,7.201383630735407e-09
CCGT,GERMANY,3,7,8.674072509981159e-09
CCGT,GERMANY,3,8,9.286828923719003e-09
CCGT,GERMANY,3,9,7.849715732352289e-09
CCGT,GERMANY,3,10,3.987918822706746e-10
CCGT,GERMANY,3,11,8.489246900044885e-09
CCGT,GERMANY,3,12,2.245323426574843e-10
CCGT,GERMANY,4,1,3.845474170375692e-10
CCGT,GERMANY,4,2,7.378507532761054e-09
CCGT,GERMANY,4,3,6.707463226339215e-09
CCGT,GERMANY,4,4,8.53810652847101e-09
CCGT,GERMANY,4,5,5.224038815803266e-10
CCGT,GERMANY,4,6,7.2014032561197e-09
CCGT,GERMANY,4,7,8.674079691880768e-09
CCGT,GERMANY,4,8,4.379153964153346e-09
CCGT,GERMANY,4,9,7.849735538941917e-09
CCGT,GERMANY,4,10,3.987917000244289e-10
CCGT,GERMANY,4,11,8.489233598161342e-09
CCGT,GERMANY,4,12,2.245311817756691e-10
CCGT,GERMANY,5,1,3.845468253102123e-10
CCGT,GERMANY,5,2,7.378530839215857e-09
CCGT,GERMANY,5,3,6.707479368754945e-09
CCGT,GERMANY,5,4,8.538103520051598e-09
CCGT,GERMANY,5,5,5.224037989415556e-10
CCGT,GERMANY,5,6,7.201422806251257e-09
CCGT,GERMANY,5,7,8.674086945697922e-09
CCGT,GERMANY,5,8,9.286770840518134e-09
CCGT,GERMANY,5,9,7.849755355495829e-09
CCGT,GERMANY,5,10,3.987915167193059e-10
CCGT,GERMANY,5,11,8.489218687274554e-09
CCGT,GERMANY,5,12,2.245299810351435e-10
CCGT,GERMANY,6,1,3.845462425783452e-10
CCGT,GERMANY,6,2,7.378554949209102e-09
CCGT,GERMANY,6,3,6.707495629711455e-09
CCGT,GERMANY,6,4,8.538100860296569e-09
CCGT,GERMANY,6,5,5.224036972958549e-10
CCGT,GERMANY,6,6,7.201442336673628e-09
CCGT,GERMANY,6,7,8.674094269178877e-09
CCGT,GERMANY,6,8,9.286740710151184e-09
CCGT,GERMANY,6,9,7.849775178243881e-09
CCGT,GERMANY,6,10,3.987913319357995e-10
CCGT,GERMANY,6,11,8.489205653754342e-09
CCGT,GERMANY,6,12,2.245287546900693e-10
CCGT,GERMANY,7,1,3.84545667762451e-10
CCGT,GERMANY,7,2,7.378579791796272e-09
CCGT,GERMANY,7,3,6.707511836203111e-09
CCGT,GERMANY,7,4,8.538098439415843e-09
CCGT,GERMANY,7,5,5.224035301835733e-10
CCGT,GERMANY,7,6,7.201461745202664e-09
CCGT,GERMANY,7,7,8.674101666358687e-09
CCGT,GERMANY,7,8,6.300436703927303e-09
CCGT,GERMANY,7,9,7.849794998775036e-09
CCGT,GERMANY,7,10,3.987911442194282e-10
CCGT,GERMANY,7,11,8.489193135523024e-09
CCGT,GERMANY,7,12,2.245275013562489e-10
CCGT,GERMANY,8,1,3.845450933142618e-10
CCGT,GERMANY,8,2,7.378604969946767e-09
CCGT,GERMANY,8,3,6.707527905533239e-09
CCGT,GERMANY,8,4,8.5380961301694e-09
CCGT,GERMANY,8,5,5.224034247298639e-10
CCGT,GERMANY,8,6,2.056336106980476e-09
CCGT,GERMANY,8,7,8.674109163087737e-09
CCGT,GERMANY,8,8,3.366072542862941e-10
CCGT,GERMANY,8,9,7.84981484547824e-09
CCGT,GERMANY,8,10,3.987909531209338e-10
