p,n,h,td,dual_raw,mult,t_op,price_M€_per_GWh,price_€_per_MWh
AMMONIA,GERMANY,1,1,1.600703241325138,27,1,0.059285305234264375,59.28530523426438
AMMONIA,GERMANY,1,2,1.007850204131777,17,1,0.059285306125398646,59.28530612539865
AMMONIA,GERMANY,1,3,0.5928530435310598,10,1,0.059285304353105986,59.285304353105985
AMMONIA,GERMANY,1,4,2.074985720175695,35,1,0.05928530629073414,59.28530629073414
AMMONIA,GERMANY,1,5,2.134271074968766,36,1,0.05928530763802128,59.28530763802128
AMMONIA,GERMANY,1,6,0.8892795989621405,15,1,0.05928530659747603,59.28530659747603
AMMONIA,GERMANY,1,7,2.252841798970874,38,1,0.05928531049923352,59.285310499233525
AMMONIA,GERMANY,1,8,3.379262707640305,57,1,0.05928531066035622,59.285310660356224
AMMONIA,GERMANY,1,9,1.363562148524921,23,1,0.05928531080543135,59.28531080543135
AMMONIA,GERMANY,1,10,1.54141799645002,26,1,0.05928530755577,59.285307555770004
AMMONIA,GERMANY,1,11,2.01570044731565,34,1,0.05928530727398971,59.28530727398971
AMMONIA,GERMANY,1,12,2.786409401753801,47,1,0.059285306420293636,59.28530642029364
AMMONIA,GERMANY,2,1,1.600703241297774,27,1,0.05928530523325089,59.28530523325089
AMMONIA,GERMANY,2,2,1.0078502041023,17,1,0.05928530612366471,59.28530612366471
AMMONIA,GERMANY,2,3,0.5928530435306087,10,1,0.059285304353060876,59.28530435306087
AMMONIA,GERMANY,2,4,2.074985720246887,35,1,0.059285306292768195,59.2853062927682
AMMONIA,GERMANY,2,5,2.134271075046346,36,1,0.05928530764017628,59.285307640176285
AMMONIA,GERMANY,2,6,0.8892795989923452,15,1,0.05928530659948968,59.28530659948968
AMMONIA,GERMANY,2,7,2.252841798961371,38,1,0.059285310498983446,59.28531049898345
AMMONIA,GERMANY,2,8,3.37926270768012,57,1,0.05928531066105474,59.28531066105474
AMMONIA,GERMANY,2,9,1.363562148540307,23,1,0.05928531080610031,59.28531080610031
AMMONIA,GERMANY,2,10,1.541417996431947,26,1,0.059285307555074884,59.28530755507489
AMMONIA,GERMANY,2,11,2.015700447249384,34,1,0.059285307272040705,59.285307272040704
AMMONIA,GERMANY,2,12,2.786409401667788,47,1,0.05928530641846357,59.28530641846357
AMMONIA,GERMANY,3,1,1.600703241270565,27,1,0.05928530523224315,59.285305232243154
AMMONIA,GERMANY,3,2,1.007850204073171,17,1,0.05928530612195123,59.28530612195123
AMMONIA,GERMANY,3,3,0.5928530435301504,10,1,0.059285304353015045,59.28530435301504
AMMONIA,GERMANY,3,4,2.074985720318041,35,1,0.05928530629480117,59.285306294801174
AMMONIA,GERMANY,3,5,2.134271075126257,36,1,0.05928530764239602,59.28530764239602
AMMONIA,GERMANY,3,6,0.8892795990219083,15,1,0.05928530660146056,59.285306601460555
AMMONIA,GERMANY,3,7,2.252841798952375,38,1,0.05928531049874671,59.28531049874671
AMMONIA,GERMANY,3,8,3.379262707721626,57,1,0.059285310661782914,59.285310661782916
AMMONIA,GERMANY,3,9,1.363562148555903,23,1,0.059285310806778395,59.2853108067784
AMMONIA,GERMANY,3,10,1.541417996414034,26,1,0.05928530755438592,59.28530755438592
AMMONIA,GERMANY,3,11,2.015700447183152,34,1,0.05928530727009271,59.28530727009271
AMMONIA,GERMANY,3,12,2.786409401581913,47,1,0.059285306416636444,59.285306416636445
AMMONIA,GERMANY,4,1,1.600703241243512,27,1,0.05928530523124119,59.28530523124119
AMMONIA,GERMANY,4,2,1.007850204044432,17,1,0.0592853061202607,59.2853061202607
