index,capacity
AMMONIA_STORAGE,0.001612889611634971
BATT_LI,4.073411660771985e-09
CCGT,6.267287844611566e-10
CCGT_AMMONIA,3.038588927832498e-10
COAL_IGCC,0.0
COAL_US,0.0
DEC_ADVCOGEN_GAS,4.90418028189449e-11
DEC_ADVCOGEN_H2,3.514285193095721e-11
DEC_BOILER_GAS,1.0177498307448e-09
DEC_BOILER_OIL,8.595909587322581e-10
DEC_BOILER_WOOD,4.215607668465028e-10
DEC_COGEN_GAS,1.263025590621609e-10
DEC_COGEN_OIL,1.23271052505995e-10
DEC_DIRECT_ELEC,4.975674585857974e-09
DEC_HP_ELEC,75.16546040338066
DEC_SOLAR,3.016251018050261e-09
DEC_THHP_GAS,7.102871195064954e-10
DHN,38.57646939860252
DHN_BOILER_GAS,6.172133880038926e-10
DHN_BOILER_OIL,6.108775036464871e-10
DHN_BOILER_WOOD,5.639785510238146e-10
DHN_COGEN_BIO_HYDROLYSIS,8.513991259298477e-11
DHN_COGEN_GAS,1.932449241598421e-10
DHN_COGEN_WASTE,8.650615381131073e-11
DHN_COGEN_WET_BIOMASS,2.737984468730137
DHN_COGEN_WOOD,1.850737052392859e-10
DHN_DEEP_GEO,0.0
DHN_HP_ELEC,35.83848492720917
DHN_SOLAR,3.211821603542343e-10
EFFICIENCY,0.9852216748768474
GAS_STORAGE,0.0006372614760625783
GEOTHERMAL,0.0
GRID,3.229679912431875
H2_STORAGE,1.213555439444781e-06
HYDRO_RIVER,9.576294538368702e-09
IND_BOILER_COAL,12.35171263381968
IND_BOILER_GAS,2.990896710046779e-09
IND_BOILER_OIL,3.108352952126691e-09
IND_BOILER_WASTE,4.866654313240891
IND_BOILER_WOOD,6.836177333217559
IND_COGEN_GAS,1.946754021686709e-10
IND_COGEN_WASTE,1.152169372492096e-10
IND_COGEN_WOOD,3.793252435858115e-10
IND_DIRECT_ELEC,25.19532309927418
LFO_STORAGE,0.001612889613107793
NUCLEAR,0.0
PHS,7.241999999988973
PV,104.8892200454162
TS_DEC_ADVCOGEN_GAS,4.853724613999448e-08
TS_DEC_ADVCOGEN_H2,4.813302483518969e-08
TS_DEC_BOILER_GAS,4.937155500345182e-08
TS_DEC_BOILER_OIL,4.919730105283426e-08
TS_DEC_BOILER_WOOD,4.951005811400976e-08
TS_DEC_COGEN_GAS,4.917103629177051e-08
TS_DEC_COGEN_OIL,4.881088504154427e-08
TS_DEC_DIRECT_ELEC,4.953802104229476e-08
TS_DEC_HP_ELEC,220.6266938592466
TS_DEC_THHP_GAS,4.950329969109367e-08
TS_DHN_DAILY,5.424639508863041e-07
TS_DHN_SEASONAL,4415.589231942218
TS_HIGH_TEMP,5.659520507058851
WIND_OFFSHORE,8.906519148917568e-10
WIND_ONSHORE,349.2856661425957
