j,h,td,val
AMMONIA_STORAGE,1,1,3.200156825291112e-06
AMMONIA_STORAGE,1,2,3.200194743974497e-06
AMMONIA_STORAGE,1,3,3.200178251987901e-06
AMMONIA_STORAGE,1,4,3.200194193926208e-06
AMMONIA_STORAGE,1,5,3.200166838045193e-06
AMMONIA_STORAGE,1,6,3.200192806042911e-06
AMMONIA_STORAGE,1,7,3.200193527078121e-06
AMMONIA_STORAGE,1,8,3.200189957017641e-06
AMMONIA_STORAGE,1,9,3.200196262036215e-06
AMMONIA_STORAGE,1,10,3.200155985454232e-06
AMMONIA_STORAGE,1,11,3.200194417235427e-06
AMMONIA_STORAGE,1,12,3.200165953637629e-06
AMMONIA_STORAGE,2,1,3.200156825288944e-06
AMMONIA_STORAGE,2,2,3.20019474397493e-06
AMMONIA_STORAGE,2,3,3.200178251989635e-06
AMMONIA_STORAGE,2,4,3.200194193966974e-06
AMMONIA_STORAGE,2,5,3.200166891884071e-06
AMMONIA_STORAGE,2,6,3.200192806045513e-06
AMMONIA_STORAGE,2,7,3.200193527077254e-06
AMMONIA_STORAGE,2,8,3.200189957016774e-06
AMMONIA_STORAGE,2,9,3.200196262040551e-06
AMMONIA_STORAGE,2,10,3.200155985450329e-06
AMMONIA_STORAGE,2,11,3.200194417230656e-06
AMMONIA_STORAGE,2,12,3.200165953637195e-06
AMMONIA_STORAGE,3,1,3.200156825290679e-06
AMMONIA_STORAGE,3,2,3.200194743981002e-06
AMMONIA_STORAGE,3,3,3.200178251990069e-06
AMMONIA_STORAGE,3,4,3.200194193983888e-06
AMMONIA_STORAGE,3,5,3.200167376019372e-06
AMMONIA_STORAGE,3,6,3.200192806040742e-06
AMMONIA_STORAGE,3,7,3.200193527075519e-06
AMMONIA_STORAGE,3,8,3.200189956983814e-06
AMMONIA_STORAGE,3,9,3.200196262040985e-06
AMMONIA_STORAGE,3,10,3.200155985455966e-06
AMMONIA_STORAGE,3,11,3.200194417238029e-06
AMMONIA_STORAGE,3,12,3.200165953632858e-06
AMMONIA_STORAGE,4,1,3.200156825290245e-06
AMMONIA_STORAGE,4,2,3.200194743976665e-06
AMMONIA_STORAGE,4,3,3.200178251989635e-06
AMMONIA_STORAGE,4,4,3.20019419397825e-06
AMMONIA_STORAGE,4,5,3.200167376025877e-06
AMMONIA_STORAGE,4,6,3.200192806042043e-06
AMMONIA_STORAGE,4,7,3.200193527078121e-06
AMMONIA_STORAGE,4,8,3.200183711865676e-06
AMMONIA_STORAGE,4,9,3.200196262034046e-06
AMMONIA_STORAGE,4,10,3.200155985455533e-06
AMMONIA_STORAGE,4,11,3.200194417234559e-06
AMMONIA_STORAGE,4,12,3.200165953629389e-06
AMMONIA_STORAGE,5,1,3.200156825289378e-06
AMMONIA_STORAGE,5,2,3.200194743980134e-06
AMMONIA_STORAGE,5,3,3.200178251989635e-06
AMMONIA_STORAGE,5,4,3.200194193980852e-06
AMMONIA_STORAGE,5,5,3.200167376031082e-06
AMMONIA_STORAGE,5,6,3.200192806042477e-06
AMMONIA_STORAGE,5,7,3.200193527072483e-06
AMMONIA_STORAGE,5,8,3.200189957006366e-06
AMMONIA_STORAGE,5,9,3.200196262038817e-06
AMMONIA_STORAGE,5,10,3.200155985454665e-06
AMMONIA_STORAGE,5,11,3.20019441723109e-06
AMMONIA_STORAGE,5,12,3.200165953636327e-06
AMMONIA_STORAGE,6,1,3.20015682528851e-06
AMMONIA_STORAGE,6,2,3.200194743980568e-06
AMMONIA_STORAGE,6,3,3.200178251990503e-06
AMMONIA_STORAGE,6,4,3.20019419397825e-06
AMMONIA_STORAGE,6,5,3.200167376031082e-06
AMMONIA_STORAGE,6,6,3.200192806041609e-06
AMMONIA_STORAGE,6,7,3.200193527074218e-06
AMMONIA_STORAGE,6,8,3.200189957018509e-06
AMMONIA_STORAGE,6,9,3.200196262040551e-06
AMMONIA_STORAGE,6,10,3.200155985455099e-06
AMMONIA_STORAGE,6,11,3.200194417234559e-06
AMMONIA_STORAGE,6,12,3.200165953633292e-06
AMMONIA_STORAGE,7,1,3.20015682528851e-06
AMMONIA_STORAGE,7,2,3.200194743981002e-06
AMMONIA_STORAGE,7,3,3.200178251989635e-06
AMMONIA_STORAGE,7,4,3.200194193982153e-06
AMMONIA_STORAGE,7,5,3.200167376025444e-06
AMMONIA_STORAGE,7,6,3.200192806039441e-06
AMMONIA_STORAGE,7,7,3.200193527080723e-06
AMMONIA_STORAGE,7,8,3.20018500120367e-06
AMMONIA_STORAGE,7,9,3.200196262037082e-06
AMMONIA_STORAGE,7,10,3.200155985454232e-06
AMMONIA_STORAGE,7,11,3.200194417231524e-06
AMMONIA_STORAGE,7,12,3.200165953633292e-06
AMMONIA_STORAGE,8,1,3.200156825289378e-06
AMMONIA_STORAGE,8,2,3.200194743980134e-06
AMMONIA_STORAGE,8,3,3.200178251988768e-06
AMMONIA_STORAGE,8,4,3.200194193974347e-06
AMMONIA_STORAGE,8,5,3.20016737602501e-06
AMMONIA_STORAGE,8,6,3.200161157104666e-06
AMMONIA_STORAGE,8,7,3.20019352707682e-06
AMMONIA_STORAGE,8,8,3.200171453271363e-06
AMMONIA_STORAGE,8,9,3.200196262037516e-06
AMMONIA_STORAGE,8,10,3.200155985458569e-06
AMMONIA_STORAGE,8,11,3.200194417232391e-06
AMMONIA_STORAGE,8,12,3.200165953632424e-06
AMMONIA_STORAGE,9,1,3.200156825289811e-06
AMMONIA_STORAGE,9,2,3.200194743978833e-06
