ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.465897878026794
ELECTRICITY,GERMANY,1,2,0.7916832501145024
ELECTRICITY,GERMANY,1,3,0.7906230850800142
ELECTRICITY,GERMANY,1,4,0.7563293275692118
ELECTRICITY,GERMANY,1,5,2.343955461953072
ELECTRICITY,GERMANY,1,6,0.7309507159409776
ELECTRICITY,GERMANY,1,7,0.7365116862536141
ELECTRICITY,GERMANY,1,8,0.7357603405422353
ELECTRICITY,GERMANY,1,9,0.7516148904664703
ELECTRICITY,GERMANY,1,10,6.135107105790652
ELECTRICITY,GERMANY,1,11,0.7507923336897662
ELECTRICITY,GERMANY,1,12,6.236350454592184
ELECTRICITY,GERMANY,2,1,6.412383362698733
ELECTRICITY,GERMANY,2,2,0.7834918422046258
ELECTRICITY,GERMANY,2,3,0.7854479580786773
ELECTRICITY,GERMANY,2,4,0.7573611553873363
ELECTRICITY,GERMANY,2,5,2.327905968285343
ELECTRICITY,GERMANY,2,6,0.7353323524881432
ELECTRICITY,GERMANY,2,7,0.7372339659794847
ELECTRICITY,GERMANY,2,8,0.7362537288625646
ELECTRICITY,GERMANY,2,9,0.7519854766282776
ELECTRICITY,GERMANY,2,10,6.151139601977924
ELECTRICITY,GERMANY,2,11,0.7449566913787464
ELECTRICITY,GERMANY,2,12,6.201818582958353
ELECTRICITY,GERMANY,3,1,6.411651661393904
ELECTRICITY,GERMANY,3,2,0.77967625783171
ELECTRICITY,GERMANY,3,3,0.7872914426129753
ELECTRICITY,GERMANY,3,4,0.7635877296939952
ELECTRICITY,GERMANY,3,5,2.335744050287268
ELECTRICITY,GERMANY,3,6,0.7413438415546878
ELECTRICITY,GERMANY,3,7,0.7449516047463121
ELECTRICITY,GERMANY,3,8,0.7398469616686683
ELECTRICITY,GERMANY,3,9,0.7565727521591441
ELECTRICITY,GERMANY,3,10,6.21526369381202
ELECTRICITY,GERMANY,3,11,0.7428799555151002
ELECTRICITY,GERMANY,3,12,6.214829995493204
ELECTRICITY,GERMANY,4,1,6.43305392605518
ELECTRICITY,GERMANY,4,2,0.7801420337652303
ELECTRICITY,GERMANY,4,3,0.7899444036379748
ELECTRICITY,GERMANY,4,4,0.7817762445028507
ELECTRICITY,GERMANY,4,5,2.319446635819851
ELECTRICITY,GERMANY,4,6,0.7601550864875506
ELECTRICITY,GERMANY,4,7,0.7613961846244734
ELECTRICITY,GERMANY,4,8,0.7631277665002045
ELECTRICITY,GERMANY,4,9,0.7807960085107268
ELECTRICITY,GERMANY,4,10,6.347565772621408
ELECTRICITY,GERMANY,4,11,0.7408693438527933
ELECTRICITY,GERMANY,4,12,6.266922854162509
ELECTRICITY,GERMANY,5,1,6.546284732310028
ELECTRICITY,GERMANY,5,2,0.7918234913146165
ELECTRICITY,GERMANY,5,3,0.8077427129941555
ELECTRICITY,GERMANY,5,4,0.8244219936212289
ELECTRICITY,GERMANY,5,5,2.432970097746065
ELECTRICITY,GERMANY,5,6,0.8014144073568019
ELECTRICITY,GERMANY,5,7,0.8009348229873297
ELECTRICITY,GERMANY,5,8,0.8047409606098483
ELECTRICITY,GERMANY,5,9,0.8208556474353514
ELECTRICITY,GERMANY,5,10,6.720278958408571
ELECTRICITY,GERMANY,5,11,0.739577378714209
ELECTRICITY,GERMANY,5,12,6.416987843539815
ELECTRICITY,GERMANY,6,1,6.869696985605074
ELECTRICITY,GERMANY,6,2,0.8314464198570306
ELECTRICITY,GERMANY,6,3,0.8512989414704322
ELECTRICITY,GERMANY,6,4,0.8507641309412151
ELECTRICITY,GERMANY,6,5,2.52867829297378
ELECTRICITY,GERMANY,6,6,0.8324891481660899
ELECTRICITY,GERMANY,6,7,0.8326257541061892
ELECTRICITY,GERMANY,6,8,0.8349720728246979
ELECTRICITY,GERMANY,6,9,0.8498093273366578
ELECTRICITY,GERMANY,6,10,6.979702619476996
ELECTRICITY,GERMANY,6,11,0.748393696493153
ELECTRICITY,GERMANY,6,12,6.794856082212732
ELECTRICITY,GERMANY,7,1,7.186589092631564
ELECTRICITY,GERMANY,7,2,0.8675436932589236
ELECTRICITY,GERMANY,7,3,0.883180978795508
ELECTRICITY,GERMANY,7,4,0.8667727270994732
ELECTRICITY,GERMANY,7,5,2.589620198225589
ELECTRICITY,GERMANY,7,6,0.8477892707925463
ELECTRICITY,GERMANY,7,7,0.8479120705268315
ELECTRICITY,GERMANY,7,8,0.8525334978342869
ELECTRICITY,GERMANY,7,9,0.8693973499633927
ELECTRICITY,GERMANY,7,10,7.118838131723095
ELECTRICITY,GERMANY,7,11,0.7651565444991846
ELECTRICITY,GERMANY,7,12,7.108434537820216
ELECTRICITY,GERMANY,8,1,7.335579155732901
ELECTRICITY,GERMANY,8,2,0.8792266040971981
ELECTRICITY,GERMANY,8,3,0.8899568926954657
ELECTRICITY,GERMANY,8,4,0.8707532586179667
ELECTRICITY,GERMANY,8,5,2.587392135420515
ELECTRICITY,GERMANY,8,6,0.9350257416135861
ELECTRICITY,GERMANY,8,7,0.8553259739647814
ELECTRICITY,GERMANY,8,8,1.605394625480272
ELECTRICITY,GERMANY,8,9,0.8768759243221069
ELECTRICITY,GERMANY,8,10,7.153641195051733
ELECTRICITY,GERMANY,8,11,0.7939430972989499
ELECTRICITY,GERMANY,8,12,7.208631455553189
ELECTRICITY,GERMANY,9,1,7.32470392378093
ELECTRICITY,GERMANY,9,2,0.88274717276893
