j,n,h,td,val
BATT_LI,GERMANY,1,1,1.515708395622956e-07
BATT_LI,GERMANY,1,2,1.501501210862784e-07
BATT_LI,GERMANY,1,3,1.507617507899644e-07
BATT_LI,GERMANY,1,4,1.475642614616159e-07
BATT_LI,GERMANY,1,5,1.536144168642088e-07
BATT_LI,GERMANY,1,6,1.415150466269488e-07
BATT_LI,GERMANY,1,7,1.471181851352917e-07
BATT_LI,GERMANY,1,8,1.337740962385075e-07
BATT_LI,GERMANY,1,9,1.49625752405739e-07
BATT_LI,GERMANY,1,10,1.515708394045924e-07
BATT_LI,GERMANY,1,11,1.487051449938532e-07
BATT_LI,GERMANY,1,12,1.531145812879299e-07
BATT_LI,GERMANY,2,1,1.574003808576961e-07
BATT_LI,GERMANY,2,2,1.552008132095048e-07
BATT_LI,GERMANY,2,3,1.561588332539167e-07
BATT_LI,GERMANY,2,4,1.505685800731545e-07
BATT_LI,GERMANY,2,5,1.598460106193627e-07
BATT_LI,GERMANY,2,6,1.370602572631669e-07
BATT_LI,GERMANY,2,7,1.497496134739817e-07
BATT_LI,GERMANY,2,8,1.22799118132324e-07
BATT_LI,GERMANY,2,9,1.543674159505313e-07
BATT_LI,GERMANY,2,10,1.574003805845453e-07
BATT_LI,GERMANY,2,11,1.528661546696775e-07
BATT_LI,GERMANY,2,12,1.606873011976683e-07
BATT_LI,GERMANY,3,1,1.615994444672356e-07
BATT_LI,GERMANY,3,2,1.590332893428209e-07
BATT_LI,GERMANY,3,3,1.601644799827757e-07
BATT_LI,GERMANY,3,4,1.526563579087531e-07
BATT_LI,GERMANY,3,5,1.626733080220374e-07
BATT_LI,GERMANY,3,6,1.29702154113737e-07
BATT_LI,GERMANY,3,7,1.515096324374944e-07
BATT_LI,GERMANY,3,8,1.100004368016475e-07
BATT_LI,GERMANY,3,9,1.580354622932421e-07
BATT_LI,GERMANY,3,10,1.615994440549449e-07
BATT_LI,GERMANY,3,11,1.561887571419183e-07
BATT_LI,GERMANY,3,12,1.670081228615929e-07
BATT_LI,GERMANY,4,1,1.646182477874364e-07
BATT_LI,GERMANY,4,2,1.619375498752271e-07
BATT_LI,GERMANY,4,3,1.631335275793279e-07
BATT_LI,GERMANY,4,4,1.539290360508671e-07
BATT_LI,GERMANY,4,5,1.548802428285887e-07
BATT_LI,GERMANY,4,6,1.186997097301078e-07
BATT_LI,GERMANY,4,7,1.524776616979776e-07
BATT_LI,GERMANY,4,8,9.448712937139442e-08
BATT_LI,GERMANY,4,9,1.608696638491177e-07
BATT_LI,GERMANY,4,10,1.646182473323472e-07
BATT_LI,GERMANY,4,11,1.588370717900308e-07
BATT_LI,GERMANY,4,12,1.727503040168104e-07
BATT_LI,GERMANY,5,1,1.667833223547201e-07
BATT_LI,GERMANY,5,2,1.641316554822847e-07
BATT_LI,GERMANY,5,3,1.653288229553107e-07
BATT_LI,GERMANY,5,4,1.544472329418682e-07
BATT_LI,GERMANY,5,5,1.456077604767935e-07
BATT_LI,GERMANY,5,6,1.028359702469992e-07
BATT_LI,GERMANY,5,7,1.526964449269406e-07
BATT_LI,GERMANY,5,8,7.464497826130489e-08
BATT_LI,GERMANY,5,9,1.630528064683117e-07
BATT_LI,GERMANY,5,10,1.667833219808449e-07
BATT_LI,GERMANY,5,11,1.609391446479791e-07
BATT_LI,GERMANY,5,12,1.785292924670974e-07
BATT_LI,GERMANY,6,1,1.683303392470354e-07
BATT_LI,GERMANY,6,2,1.657797169544338e-07
BATT_LI,GERMANY,6,3,1.669448639156791e-07
BATT_LI,GERMANY,6,4,1.542349360329731e-07
BATT_LI,GERMANY,6,5,1.340055140711946e-07
BATT_LI,GERMANY,6,6,8.00879997388793e-08
BATT_LI,GERMANY,6,7,1.521749246743162e-07
BATT_LI,GERMANY,6,8,4.694421008590025e-08
BATT_LI,GERMANY,6,9,1.647245970675838e-07
BATT_LI,GERMANY,6,10,1.683303389422222e-07
BATT_LI,GERMANY,6,11,1.625952098897649e-07
BATT_LI,GERMANY,6,12,1.849642031686339e-07
BATT_LI,GERMANY,7,1,1.694284553713776e-07
BATT_LI,GERMANY,7,2,1.670047963359541e-07
BATT_LI,GERMANY,7,3,1.681250086923618e-07
BATT_LI,GERMANY,7,4,1.53280989011323e-07
BATT_LI,GERMANY,7,5,1.189341601799107e-07
BATT_LI,GERMANY,7,6,4.697243346197017e-08
BATT_LI,GERMANY,7,7,1.508887107888289e-07
BATT_LI,GERMANY,7,8,2.355500723272279e-09
BATT_LI,GERMANY,7,9,1.65991552157667e-07
BATT_LI,GERMANY,7,10,1.694284552009611e-07
BATT_LI,GERMANY,7,11,1.638835296226549e-07
BATT_LI,GERMANY,7,12,1.927395548810595e-07
BATT_LI,GERMANY,8,1,1.70198128920915e-07
BATT_LI,GERMANY,8,2,1.678983183084252e-07
BATT_LI,GERMANY,8,3,1.689740836229683e-07
BATT_LI,GERMANY,8,4,1.515381519575771e-07
BATT_LI,GERMANY,8,5,9.623872849532339e-08
BATT_LI,GERMANY,8,6,9.844353737365555e-09
BATT_LI,GERMANY,8,7,1.487782268715681e-07
BATT_LI,GERMANY,8,8,5.2397102435774e-09
BATT_LI,GERMANY,8,9,1.669342022158344e-07
BATT_LI,GERMANY,8,10,1.70198128767097e-07
BATT_LI,GERMANY,8,11,1.648646364991781e-07
BATT_LI,GERMANY,8,12,2.026714884262889e-07
BATT_LI,GERMANY,9,1,1.707239794685286e-07
BATT_LI,GERMANY,9,2,1.685269584620416e-07
BATT_LI,GERMANY,9,3,1.69567592167843e-07
BATT_LI,GERMANY,9,4,1.489195265838184e-07
BATT_LI,GERMANY,9,5,8.040643972340602e-08
BATT_LI,GERMANY,9,6,5.74339513869833e-08
BATT_LI,GERMANY,9,7,1.457441290263705e-07
BATT_LI,GERMANY,9,8,4.810881280582374e-08
BATT_LI,GERMANY,9,9,1.676123863078839e-07
BATT_LI,GERMANY,9,10,1.707239789966715e-07
BATT_LI,GERMANY,9,11,1.65584456499343e-07
BATT_LI,GERMANY,9,12,2.157823174693789e-07
BATT_LI,GERMANY,10,1,1.71063907716012e-07
BATT_LI,GERMANY,10,2,1.689376279686828e-07
BATT_LI,GERMANY,10,3,1.699583563757338e-07
BATT_LI,GERMANY,10,4,1.452915929812012e-07
BATT_LI,GERMANY,10,5,5.347509814049109e-08
BATT_LI,GERMANY,10,6,9.581497698123484e-08
BATT_LI,GERMANY,10,7,1.416389251161584e-07
BATT_LI,GERMANY,10,8,7.692119321616023e-08
BATT_LI,GERMANY,10,9,1.680691232534043e-07
BATT_LI,GERMANY,10,10,1.710639066453147e-07
BATT_LI,GERMANY,10,11,1.660766007437566e-07
BATT_LI,GERMANY,10,12,2.333867009329858e-07
BATT_LI,GERMANY,11,1,1.712553754474498e-07
BATT_LI,GERMANY,11,2,1.691609657511719e-07
BATT_LI,GERMANY,11,3,1.701811692962761e-07
BATT_LI,GERMANY,11,4,1.404620791720952e-07
BATT_LI,GERMANY,11,5,9.891834161978997e-09
BATT_LI,GERMANY,11,6,1.28555637414816e-07
BATT_LI,GERMANY,11,7,1.362525484312314e-07
BATT_LI,GERMANY,11,8,9.647434565511397e-08
BATT_LI,GERMANY,11,9,1.683333647806656e-07
BATT_LI,GERMANY,11,10,1.712553753129325e-07
BATT_LI,GERMANY,11,11,1.663640056161603e-07
BATT_LI,GERMANY,11,12,2.571951694433341e-07
BATT_LI,GERMANY,12,1,1.713194830153703e-07
BATT_LI,GERMANY,12,2,1.692136114113193e-07
BATT_LI,GERMANY,12,3,1.702558606606379e-07
BATT_LI,GERMANY,12,4,1.489677718266835e-07
BATT_LI,GERMANY,12,5,6.756266262916101e-08
BATT_LI,GERMANY,12,6,1.581509197032429e-07
BATT_LI,GERMANY,12,7,1.292871737527916e-07
BATT_LI,GERMANY,12,8,1.094659283685227e-07
BATT_LI,GERMANY,12,9,1.684218371367294e-07
BATT_LI,GERMANY,12,10,1.713194835310105e-07
BATT_LI,GERMANY,12,11,1.664600344810691e-07
BATT_LI,GERMANY,12,12,2.894746868118025e-07
BATT_LI,GERMANY,13,1,1.712632665224801e-07
BATT_LI,GERMANY,13,2,1.690994313398785e-07
BATT_LI,GERMANY,13,3,1.701890407466112e-07
BATT_LI,GERMANY,13,4,1.563649408837402e-07
BATT_LI,GERMANY,13,5,1.257812384937176e-07
BATT_LI,GERMANY,13,6,1.867447759509069e-07
BATT_LI,GERMANY,13,7,1.538546373302946e-07
BATT_LI,GERMANY,13,8,1.273275723842634e-07
BATT_LI,GERMANY,13,9,1.683400976051144e-07
BATT_LI,GERMANY,13,10,1.712632669730769e-07
BATT_LI,GERMANY,13,11,1.663691107881139e-07
BATT_LI,GERMANY,13,12,3.336211031585871e-07
BATT_LI,GERMANY,14,1,1.710804503240413e-07
BATT_LI,GERMANY,14,2,1.688097858637235e-07
BATT_LI,GERMANY,14,3,1.699746680404626e-07
BATT_LI,GERMANY,14,4,1.630406714149299e-07
BATT_LI,GERMANY,14,5,1.83002182551405e-07
BATT_LI,GERMANY,14,6,2.163838981506456e-07
BATT_LI,GERMANY,14,7,1.724424145777111e-07
BATT_LI,GERMANY,14,8,2.039806277978574e-07
BATT_LI,GERMANY,14,9,1.680828757175135e-07
BATT_LI,GERMANY,14,10,1.710804505479441e-07
BATT_LI,GERMANY,14,11,1.660869208488199e-07
BATT_LI,GERMANY,14,12,3.39125977568733e-07
BATT_LI,GERMANY,15,1,1.707507272087136e-07
BATT_LI,GERMANY,15,2,1.683228528450954e-07
BATT_LI,GERMANY,15,3,1.695934840356435e-07
BATT_LI,GERMANY,15,4,1.693274159373583e-07
BATT_LI,GERMANY,15,5,2.403878550675508e-07
BATT_LI,GERMANY,15,6,2.492076939325193e-07
BATT_LI,GERMANY,15,7,1.864483147790566e-07
BATT_LI,GERMANY,15,8,2.793568125565678e-07
BATT_LI,GERMANY,15,9,1.676337101120097e-07
BATT_LI,GERMANY,15,10,1.707507270879631e-07
BATT_LI,GERMANY,15,11,1.65600194634577e-07
BATT_LI,GERMANY,15,12,3.321292621678042e-07
BATT_LI,GERMANY,16,1,1.702374748782373e-07
BATT_LI,GERMANY,16,2,1.676019437912305e-07
BATT_LI,GERMANY,16,3,1.690112530403389e-07
BATT_LI,GERMANY,16,4,1.717511019433549e-07
BATT_LI,GERMANY,16,5,2.992098414449151e-07
BATT_LI,GERMANY,16,6,2.877006647316528e-07
BATT_LI,GERMANY,16,7,1.968943838510879e-07
BATT_LI,GERMANY,16,8,2.989300377670407e-07
BATT_LI,GERMANY,16,9,1.66963863050896e-07
BATT_LI,GERMANY,16,10,1.702374744462782e-07
BATT_LI,GERMANY,16,11,1.64886043474245e-07
BATT_LI,GERMANY,16,12,2.952096322656049e-07
BATT_LI,GERMANY,17,1,1.694836393059122e-07
BATT_LI,GERMANY,17,2,1.665926705195934e-07
BATT_LI,GERMANY,17,3,1.681756345990203e-07
BATT_LI,GERMANY,17,4,1.705084576458698e-07
BATT_LI,GERMANY,17,5,2.242870188112766e-07
BATT_LI,GERMANY,17,6,3.330502382836692e-07
BATT_LI,GERMANY,17,7,1.892378220930318e-07
BATT_LI,GERMANY,17,8,3.356282498931951e-07
BATT_LI,GERMANY,17,9,1.660304271885124e-07
BATT_LI,GERMANY,17,10,1.69483638669282e-07
BATT_LI,GERMANY,17,11,1.639108243842873e-07
BATT_LI,GERMANY,17,12,2.584069449583531e-07
BATT_LI,GERMANY,18,1,1.684052998705822e-07
BATT_LI,GERMANY,18,2,1.652187085763227e-07
BATT_LI,GERMANY,18,3,1.67011389943298e-07
BATT_LI,GERMANY,18,4,1.655046001740499e-07
BATT_LI,GERMANY,18,5,1.486822853942038e-07
BATT_LI,GERMANY,18,6,2.903071712531949e-07
BATT_LI,GERMANY,18,7,1.824459212827192e-07
BATT_LI,GERMANY,18,8,3.428483778044568e-07
BATT_LI,GERMANY,18,9,1.647734697144671e-07
BATT_LI,GERMANY,18,10,1.684052995829685e-07
BATT_LI,GERMANY,18,11,1.62628441534746e-07
BATT_LI,GERMANY,18,12,2.41608256432364e-07
BATT_LI,GERMANY,19,1,1.66882148536368e-07
BATT_LI,GERMANY,19,2,1.633757627831903e-07
BATT_LI,GERMANY,19,3,1.654134070601681e-07
BATT_LI,GERMANY,19,4,1.568348983241446e-07
BATT_LI,GERMANY,19,5,7.407564527568552e-08
BATT_LI,GERMANY,19,6,2.614322640199983e-07
BATT_LI,GERMANY,19,7,1.761988435764263e-07
BATT_LI,GERMANY,19,8,2.914135274337295e-07
BATT_LI,GERMANY,19,9,1.6311197874004e-07
BATT_LI,GERMANY,19,10,1.668821486114526e-07
BATT_LI,GERMANY,19,11,1.609779605690364e-07
BATT_LI,GERMANY,19,12,2.272762994868826e-07
BATT_LI,GERMANY,20,1,1.647437215347416e-07
BATT_LI,GERMANY,20,2,1.609231298398776e-07
BATT_LI,GERMANY,20,3,1.632368499807364e-07
BATT_LI,GERMANY,20,4,1.620961060239583e-07
BATT_LI,GERMANY,20,5,1.538255117829079e-08
BATT_LI,GERMANY,20,6,2.401041244269806e-07
BATT_LI,GERMANY,20,7,1.702149486025552e-07
BATT_LI,GERMANY,20,8,2.533962726685131e-07
BATT_LI,GERMANY,20,9,1.609382403882382e-07
BATT_LI,GERMANY,20,10,1.647437218120697e-07
BATT_LI,GERMANY,20,11,1.588803309205242e-07
BATT_LI,GERMANY,20,12,2.137871047840596e-07
BATT_LI,GERMANY,21,1,1.617496511829126e-07
BATT_LI,GERMANY,21,2,1.576718837881514e-07
BATT_LI,GERMANY,21,3,1.602832769858071e-07
BATT_LI,GERMANY,21,4,1.638017690458223e-07
BATT_LI,GERMANY,21,5,5.984186461931383e-08
BATT_LI,GERMANY,21,6,2.229179496205361e-07
BATT_LI,GERMANY,21,7,1.642295660067931e-07
BATT_LI,GERMANY,21,8,2.224068044946282e-07
BATT_LI,GERMANY,21,9,1.581100590194138e-07
BATT_LI,GERMANY,21,10,1.617496516180711e-07
BATT_LI,GERMANY,21,11,1.562338882779015e-07
BATT_LI,GERMANY,21,12,1.998760931597766e-07
BATT_LI,GERMANY,22,1,1.575613484008532e-07
BATT_LI,GERMANY,22,2,1.533680843382858e-07
BATT_LI,GERMANY,22,3,1.562809403513956e-07
BATT_LI,GERMANY,22,4,1.614741695201482e-07
BATT_LI,GERMANY,22,5,9.395111257129405e-08
BATT_LI,GERMANY,22,6,2.077300685965437e-07
BATT_LI,GERMANY,22,7,1.579771933390162e-07
BATT_LI,GERMANY,22,8,1.950509645889505e-07
BATT_LI,GERMANY,22,9,1.544398427688591e-07
BATT_LI,GERMANY,22,10,1.575613489199309e-07
BATT_LI,GERMANY,22,11,1.529080881756282e-07
BATT_LI,GERMANY,22,12,1.843809519180477e-07
BATT_LI,GERMANY,23,1,1.517012071606826e-07
BATT_LI,GERMANY,23,2,1.476681583131544e-07
BATT_LI,GERMANY,23,3,1.508566382593062e-07
BATT_LI,GERMANY,23,4,1.549123566336316e-07
BATT_LI,GERMANY,23,5,1.210388783828695e-07
BATT_LI,GERMANY,23,6,1.754601497539214e-07
BATT_LI,GERMANY,23,7,1.511735255962328e-07
BATT_LI,GERMANY,23,8,1.692707522131423e-07
BATT_LI,GERMANY,23,9,1.496788454297443e-07
BATT_LI,GERMANY,23,10,1.517012073535797e-07
BATT_LI,GERMANY,23,11,1.487345093424667e-07
BATT_LI,GERMANY,23,12,1.66071826391627e-07
BATT_LI,GERMANY,24,1,1.434933623915878e-07
BATT_LI,GERMANY,24,2,1.434933623915878e-07
BATT_LI,GERMANY,24,3,1.434933623915878e-07
BATT_LI,GERMANY,24,4,1.434933623915876e-07
BATT_LI,GERMANY,24,5,1.434933623915876e-07
BATT_LI,GERMANY,24,6,1.434933623915878e-07
BATT_LI,GERMANY,24,7,1.434933623915876e-07
BATT_LI,GERMANY,24,8,1.434933623915876e-07
BATT_LI,GERMANY,24,9,1.434933623915876e-07
BATT_LI,GERMANY,24,10,1.434933623915876e-07
BATT_LI,GERMANY,24,11,1.434933623915878e-07
BATT_LI,GERMANY,24,12,1.434933623915878e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,1,3.144558920854243e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,2,3.14557121773805e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,3,3.142303684794651e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,4,3.144707325783281e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,5,3.131067117510708e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,6,3.149767694481108e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,7,3.146046220445209e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,8,3.15297408623645e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,9,3.142296140371178e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,10,3.139551834026782e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,11,3.14737905621534e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,1,12,3.134266671194406e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,1,3.141812450580526e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,2,3.14353236780992e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,3,3.137005013473209e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,4,3.141789944964038e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,5,3.114771387640802e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,6,3.15192999135065e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,7,3.144471484828251e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,8,3.158336634160789e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,9,3.13698344550114e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,10,3.131759066825098e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,11,3.1471401393323e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,2,12,3.121270738598835e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,1,3.139291917701552e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,2,3.14141208948458e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,3,3.131636388736173e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,4,3.138774727046498e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,5,3.098650164285673e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,6,3.154014176829016e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,7,3.142814758258511e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,8,3.163626605779947e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,9,3.131601018954276e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,10,3.124153237798276e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,11,3.146814845291405e-07
TS_DEC_ADVCOGEN_GAS,GERMANY,3,12,3.108546939146399e-07
