index,capacity
AMMONIA_STORAGE,0.07592844756181716
BATT_LI,1.789191178668043e-07
CCGT,8.158044799405678
CCGT_AMMONIA,1.460484703580021e-08
COAL_IGCC,0.0
COAL_US,0.0
DEC_ADVCOGEN_GAS,2.655720760518601e-09
DEC_ADVCOGEN_H2,1.731620124933128e-09
DEC_BOILER_GAS,4.896629390730643e-08
DEC_BOILER_OIL,4.090603534075276e-08
DEC_BOILER_WOOD,1.976303256894838e-08
DEC_COGEN_GAS,6.626442352486155e-09
DEC_COGEN_OIL,6.142987803590543e-09
DEC_DIRECT_ELEC,2.271722393767187e-07
DEC_HP_ELEC,74.7846809109186
DEC_SOLAR,1.406216387973789e-07
DEC_THHP_GAS,4.395695920653348e-08
DHN,36.66132144634789
DHN_BOILER_GAS,2.973511630373185e-08
DHN_BOILER_OIL,2.916925390980257e-08
DHN_BOILER_WOOD,2.655681085329391e-08
DHN_COGEN_BIO_HYDROLYSIS,3.973252491824592e-09
DHN_COGEN_GAS,1.28662059728629e-08
DHN_COGEN_WASTE,4.716864491675903e-09
DHN_COGEN_WET_BIOMASS,2.743637212298935
DHN_COGEN_WOOD,8.628676346102698e-09
DHN_DEEP_GEO,0.0
DHN_HP_ELEC,33.91768410322567
DHN_SOLAR,1.517708716905198e-08
EFFICIENCY,0.9852216748768474
GAS_STORAGE,15758.99381104213
GEOTHERMAL,0.0
GRID,3.003001525168495
H2_STORAGE,5.71340727338332e-05
HYDRO_RIVER,9.879187152092406e-08
IND_BOILER_COAL,24.24237852297063
IND_BOILER_GAS,1.397173653469548e-07
IND_BOILER_OIL,1.46058174501703e-07
IND_BOILER_WASTE,8.378907274569234e-08
IND_BOILER_WOOD,7.521117971924081e-08
IND_COGEN_GAS,8.310573613109778e-09
IND_COGEN_WASTE,5.553230531595083e-09
IND_COGEN_WOOD,1.075177791749926e-08
IND_DIRECT_ELEC,24.77705623348098
LFO_STORAGE,0.07592844766291229
NUCLEAR,0.0
PHS,7.241999999459679
PV,81.26821879992688
TS_DEC_ADVCOGEN_GAS,2.29434102046858e-06
TS_DEC_ADVCOGEN_H2,2.268118792909821e-06
TS_DEC_BOILER_GAS,2.328343775896891e-06
TS_DEC_BOILER_OIL,2.3228951901094e-06
TS_DEC_BOILER_WOOD,2.331359766114715e-06
TS_DEC_COGEN_GAS,2.330331627051815e-06
TS_DEC_COGEN_OIL,2.307934757252834e-06
TS_DEC_DIRECT_ELEC,2.331328554760603e-06
TS_DEC_HP_ELEC,176.5275275869059
TS_DEC_THHP_GAS,2.330981571004991e-06
TS_DHN_DAILY,2.557108928810019e-05
TS_DHN_SEASONAL,5374.650723186846
TS_HIGH_TEMP,5.080958304754749e-06
WIND_OFFSHORE,3.648566309631037e-08
WIND_ONSHORE,326.7333892228316
