ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.465771279255165
ELECTRICITY,GERMANY,1,2,0.8470473346501137
ELECTRICITY,GERMANY,1,3,0.8459130289580798
ELECTRICITY,GERMANY,1,4,0.82072165873209
ELECTRICITY,GERMANY,1,5,2.899630016399747
ELECTRICITY,GERMANY,1,6,0.7820676456210194
ELECTRICITY,GERMANY,1,7,0.7880175075079663
ELECTRICITY,GERMANY,1,8,0.7872136188867103
ELECTRICITY,GERMANY,1,9,0.8041769102876444
ELECTRICITY,GERMANY,1,10,6.134981427439371
ELECTRICITY,GERMANY,1,11,0.8032968307755723
ELECTRICITY,GERMANY,1,12,6.236256678737632
ELECTRICITY,GERMANY,2,1,6.412257288328988
ELECTRICITY,GERMANY,2,2,0.8382830843357993
ELECTRICITY,GERMANY,2,3,0.8403759943780216
ELECTRICITY,GERMANY,2,4,0.8103250245712132
ELECTRICITY,GERMANY,2,5,2.888665616689643
ELECTRICITY,GERMANY,2,6,0.7867556992905591
ELECTRICITY,GERMANY,2,7,0.7887902977838124
ELECTRICITY,GERMANY,2,8,0.7877415120007996
ELECTRICITY,GERMANY,2,9,0.8045734123270591
ELECTRICITY,GERMANY,2,10,6.151013760313425
ELECTRICITY,GERMANY,2,11,0.7970530896410324
ELECTRICITY,GERMANY,2,12,6.2017239240717
ELECTRICITY,GERMANY,3,1,6.41152559460194
ELECTRICITY,GERMANY,3,2,0.8342006680680925
ELECTRICITY,GERMANY,3,3,0.8423483976983235
ELECTRICITY,GERMANY,3,4,0.8169870359377924
ELECTRICITY,GERMANY,3,5,2.907526561678743
ELECTRICITY,GERMANY,3,6,0.793187584519714
ELECTRICITY,GERMANY,3,7,0.7970476473732049
ELECTRICITY,GERMANY,3,8,0.8250586591354292
ELECTRICITY,GERMANY,3,9,0.8094814857529684
ELECTRICITY,GERMANY,3,10,6.215137200902831
ELECTRICITY,GERMANY,3,11,0.7948311232409253
ELECTRICITY,GERMANY,3,12,6.214735220131388
ELECTRICITY,GERMANY,4,1,6.432927650298495
ELECTRICITY,GERMANY,4,2,0.834699016703226
ELECTRICITY,GERMANY,4,3,0.8451868859028338
ELECTRICITY,GERMANY,4,4,0.8364475121060337
ELECTRICITY,GERMANY,4,5,2.96833697742364
ELECTRICITY,GERMANY,4,6,0.8133143396460341
ELECTRICITY,GERMANY,4,7,0.8146422315478077
ELECTRICITY,GERMANY,4,8,0.839607277450753
ELECTRICITY,GERMANY,4,9,0.8353987257242537
ELECTRICITY,GERMANY,4,10,6.347437942990268
ELECTRICITY,GERMANY,4,11,0.7926799052471694
ELECTRICITY,GERMANY,4,12,6.266827938723885
ELECTRICITY,GERMANY,5,1,6.546157353047974
ELECTRICITY,GERMANY,5,2,0.8471973833208892
ELECTRICITY,GERMANY,5,3,0.8642298687296659
ELECTRICITY,GERMANY,5,4,0.882075568774269
ELECTRICITY,GERMANY,5,5,2.949635326988329
ELECTRICITY,GERMANY,5,6,0.8574590121956334
ELECTRICITY,GERMANY,5,7,0.8569458906258518
ELECTRICITY,GERMANY,5,8,0.8732549564689833
ELECTRICITY,GERMANY,5,9,0.8782598200379397
ELECTRICITY,GERMANY,5,10,6.720147437331491
ELECTRICITY,GERMANY,5,11,0.791297590250764
ELECTRICITY,GERMANY,5,12,6.41689157242989
ELECTRICITY,GERMANY,6,1,6.869566505070324
ELECTRICITY,GERMANY,6,2,0.8895912271720192
ELECTRICITY,GERMANY,6,3,0.910832076521146
ELECTRICITY,GERMANY,6,4,0.9102598675435871
ELECTRICITY,GERMANY,6,5,2.654476264313345
ELECTRICITY,GERMANY,6,6,0.8907068754330396
ELECTRICITY,GERMANY,6,7,0.8908530356723219
ELECTRICITY,GERMANY,6,8,0.8933634377191311
ELECTRICITY,GERMANY,6,9,0.9092382920909756
ELECTRICITY,GERMANY,6,10,6.979568589667366
ELECTRICITY,GERMANY,6,11,0.8007304518027709
ELECTRICITY,GERMANY,6,12,6.794756955275048
ELECTRICITY,GERMANY,7,1,7.186455643272495
ELECTRICITY,GERMANY,7,2,0.9282128593516461
ELECTRICITY,GERMANY,7,3,0.944943692234915
ELECTRICITY,GERMANY,7,4,0.9273879787275661
ELECTRICITY,GERMANY,7,5,3.266617637257568
ELECTRICITY,GERMANY,7,6,0.9070769680228636
ELECTRICITY,GERMANY,7,7,0.9072083565719851
ELECTRICITY,GERMANY,7,8,0.9121529709567113
ELECTRICITY,GERMANY,7,9,0.9301961466160975
ELECTRICITY,GERMANY,7,10,7.118702774885961
ELECTRICITY,GERMANY,7,11,0.8186655612693272
ELECTRICITY,GERMANY,7,12,7.108333128612841
ELECTRICITY,GERMANY,8,1,7.33544433298411
ELECTRICITY,GERMANY,8,2,0.9407127808879352
ELECTRICITY,GERMANY,8,3,0.9521934601415865
ELECTRICITY,GERMANY,8,4,0.9316468772375117
ELECTRICITY,GERMANY,8,5,2.739470442679362
ELECTRICITY,GERMANY,8,6,1.159203428217239
ELECTRICITY,GERMANY,8,7,0.9151407299739276
ELECTRICITY,GERMANY,8,8,1.190595051749597
ELECTRICITY,GERMANY,8,9,0.9381977135111441
ELECTRICITY,GERMANY,8,10,7.153505509345251
ELECTRICITY,GERMANY,8,11,0.8494652186687688
ELECTRICITY,GERMANY,8,12,7.208529484185334
ELECTRICITY,GERMANY,9,1,7.324569200472055
ELECTRICITY,GERMANY,9,2,0.9444795503802794
ELECTRICITY,GERMANY,9,3,0.9497211532617058
ELECTRICITY,GERMANY,9,4,0.9384309496224574
ELECTRICITY,GERMANY,9,5,3.376115289331565
ELECTRICITY,GERMANY,9,6,3.318001477143127
ELECTRICITY,GERMANY,9,7,0.9316429898958063
ELECTRICITY,GERMANY,9,8,1.35963831863512
ELECTRICITY,GERMANY,9,9,0.9493573026421842
ELECTRICITY,GERMANY,9,10,7.182808734381354
ELECTRICITY,GERMANY,9,11,0.8662916772986193
ELECTRICITY,GERMANY,9,12,7.246283674328097
ELECTRICITY,GERMANY,10,1,7.392611066196849
ELECTRICITY,GERMANY,10,2,0.9500344663840963
ELECTRICITY,GERMANY,10,3,0.9538657659191472
ELECTRICITY,GERMANY,10,4,0.9416760469700307
ELECTRICITY,GERMANY,10,5,3.423710578537879
ELECTRICITY,GERMANY,10,6,3.356038803718178
ELECTRICITY,GERMANY,10,7,0.9417032577792526
ELECTRICITY,GERMANY,10,8,2.609207142465465
ELECTRICITY,GERMANY,10,9,0.9596282607164
ELECTRICITY,GERMANY,10,10,7.252809576146845
ELECTRICITY,GERMANY,10,11,0.8787192955262668
ELECTRICITY,GERMANY,10,12,7.271226543353876
ELECTRICITY,GERMANY,11,1,7.462458583148717
