ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.12947595911854
ELECTRICITY,GERMANY,1,2,65.13957699269265
ELECTRICITY,GERMANY,1,3,65.05234660483264
ELECTRICITY,GERMANY,1,4,62.2421623642037
ELECTRICITY,GERMANY,1,5,63.68877495735462
ELECTRICITY,GERMANY,1,6,60.14251330942099
ELECTRICITY,GERMANY,1,7,60.60006928291285
ELECTRICITY,GERMANY,1,8,60.53824870548988
ELECTRICITY,GERMANY,1,9,61.8427585471466
ELECTRICITY,GERMANY,1,10,67.49074362746002
ELECTRICITY,GERMANY,1,11,61.77507876577424
ELECTRICITY,GERMANY,1,12,68.60327902962374
ELECTRICITY,GERMANY,2,1,70.54079721892477
ELECTRICITY,GERMANY,2,2,64.46558920963011
ELECTRICITY,GERMANY,2,3,64.62653794777117
ELECTRICITY,GERMANY,2,4,62.31556040905484
ELECTRICITY,GERMANY,2,5,63.72861845808772
ELECTRICITY,GERMANY,2,6,60.50303369720495
ELECTRICITY,GERMANY,2,7,60.65949834849711
ELECTRICITY,GERMANY,2,8,60.57884461765268
ELECTRICITY,GERMANY,2,9,61.87325032122555
ELECTRICITY,GERMANY,2,10,67.66710704686622
ELECTRICITY,GERMANY,2,11,61.29492300552315
ELECTRICITY,GERMANY,2,12,68.22341778088855
ELECTRICITY,GERMANY,3,1,70.53274824336849
ELECTRICITY,GERMANY,3,2,64.15164351202993
ELECTRICITY,GERMANY,3,3,64.7782195769038
ELECTRICITY,GERMANY,3,4,62.82788200102281
ELECTRICITY,GERMANY,3,5,64.43223535748207
ELECTRICITY,GERMANY,3,6,60.9976581031851
ELECTRICITY,GERMANY,3,7,61.29450449089399
ELECTRICITY,GERMANY,3,8,60.90796788289606
ELECTRICITY,GERMANY,3,9,62.25069065423094
ELECTRICITY,GERMANY,3,10,68.3724958232469
ELECTRICITY,GERMANY,3,11,61.12404949502702
ELECTRICITY,GERMANY,3,12,68.3665468707662
ELECTRICITY,GERMANY,4,1,70.7681807925697
ELECTRICITY,GERMANY,4,2,64.18996748689514
ELECTRICITY,GERMANY,4,3,64.99650480670891
ELECTRICITY,GERMANY,4,4,64.32443023095853
ELECTRICITY,GERMANY,4,5,66.0785945270114
