pt,n,h,td,val
CCGT,GERMANY,1,1,1.303100885360898e-09
CCGT,GERMANY,1,2,8.158044788757238
CCGT,GERMANY,1,3,8.15804478130369
CCGT,GERMANY,1,4,8.158044793948028
CCGT,GERMANY,1,5,1.426594199274969e-09
CCGT,GERMANY,1,6,8.158044787337293
CCGT,GERMANY,1,7,8.15804479464172
CCGT,GERMANY,1,8,8.15804479622948
CCGT,GERMANY,1,9,8.158044791534842
CCGT,GERMANY,1,10,1.357026155861135e-09
CCGT,GERMANY,1,11,8.158044794081325
CCGT,GERMANY,1,12,7.415745018872748e-10
CCGT,GERMANY,2,1,1.303076834124595e-09
CCGT,GERMANY,2,2,8.158044788757284
CCGT,GERMANY,2,3,8.158044781303662
CCGT,GERMANY,2,4,8.15804479423353
CCGT,GERMANY,2,5,1.432095025062285e-09
CCGT,GERMANY,2,6,8.158044787337294
CCGT,GERMANY,2,7,8.158044794641736
CCGT,GERMANY,2,8,8.158044796229548
CCGT,GERMANY,2,9,8.158044791534738
CCGT,GERMANY,2,10,1.357024397199661e-09
CCGT,GERMANY,2,11,8.158044794081208
CCGT,GERMANY,2,12,7.415413951490791e-10
CCGT,GERMANY,3,1,1.303049907697818e-09
CCGT,GERMANY,3,2,8.158044788757286
CCGT,GERMANY,3,3,8.15804478130368
CCGT,GERMANY,3,4,8.158044794233634
CCGT,GERMANY,3,5,1.437684641083154e-09
CCGT,GERMANY,3,6,8.15804478733736
CCGT,GERMANY,3,7,8.158044794641674
CCGT,GERMANY,3,8,8.1580447956446
CCGT,GERMANY,3,9,8.158044791534829
CCGT,GERMANY,3,10,1.35702094533845e-09
CCGT,GERMANY,3,11,8.158044794081095
CCGT,GERMANY,3,12,7.415071768557009e-10
CCGT,GERMANY,4,1,1.303019667280351e-09
CCGT,GERMANY,4,2,8.158044788757383
CCGT,GERMANY,4,3,8.158044781303678
CCGT,GERMANY,4,4,8.15804479423325
CCGT,GERMANY,4,5,1.443364484355004e-09
CCGT,GERMANY,4,6,8.1580447873374
CCGT,GERMANY,4,7,8.158044794641834
CCGT,GERMANY,4,8,8.158044795860597
CCGT,GERMANY,4,9,8.15804479153479
CCGT,GERMANY,4,10,1.357016487344703e-09
CCGT,GERMANY,4,11,8.158044794081375
CCGT,GERMANY,4,12,7.414718360181914e-10
CCGT,GERMANY,5,1,1.302987512716773e-09
CCGT,GERMANY,5,2,8.158044788757156
CCGT,GERMANY,5,3,8.15804478130361
CCGT,GERMANY,5,4,8.158044794233705
CCGT,GERMANY,5,5,1.509470672818627e-09
CCGT,GERMANY,5,6,8.158044787337383
CCGT,GERMANY,5,7,8.15804479464172
CCGT,GERMANY,5,8,8.15804479605469
CCGT,GERMANY,5,9,8.158044791534651
CCGT,GERMANY,5,10,1.357012764894423e-09
CCGT,GERMANY,5,11,8.15804479408114
CCGT,GERMANY,5,12,7.414357258083277e-10
CCGT,GERMANY,6,1,1.302958546118049e-09
CCGT,GERMANY,6,2,8.15804478875734
CCGT,GERMANY,6,3,8.158044781303765
CCGT,GERMANY,6,4,8.158044794233387
CCGT,GERMANY,6,5,1.697300249252357e-09
CCGT,GERMANY,6,6,8.158044787337317
CCGT,GERMANY,6,7,8.158044794641738
CCGT,GERMANY,6,8,8.158044796229749
CCGT,GERMANY,6,9,8.158044791534756
CCGT,GERMANY,6,10,1.35700994048945e-09
CCGT,GERMANY,6,11,8.15804479408129
CCGT,GERMANY,6,12,7.414008600151912e-10
CCGT,GERMANY,7,1,1.302932749406166e-09
CCGT,GERMANY,7,2,8.15804478875743
CCGT,GERMANY,7,3,8.158044781303687
CCGT,GERMANY,7,4,8.158044794233483
CCGT,GERMANY,7,5,1.46096923108227e-09
CCGT,GERMANY,7,6,8.158044787337339
CCGT,GERMANY,7,7,8.158044794641693
CCGT,GERMANY,7,8,8.15804479622957
CCGT,GERMANY,7,9,8.158044791534849
CCGT,GERMANY,7,10,1.357007222764784e-09
CCGT,GERMANY,7,11,8.158044794081423
CCGT,GERMANY,7,12,7.413671504294393e-10
CCGT,GERMANY,8,1,1.302908287169361e-09
CCGT,GERMANY,8,2,8.158044788757232
CCGT,GERMANY,8,3,8.15804478130369
CCGT,GERMANY,8,4,8.158044794233723
CCGT,GERMANY,8,5,1.696880043963293e-09
CCGT,GERMANY,8,6,7.970720868648955
CCGT,GERMANY,8,7,8.158044794641805
CCGT,GERMANY,8,8,3.038097757957231
CCGT,GERMANY,8,9,8.158044791534689
CCGT,GERMANY,8,10,1.357004611186885e-09
CCGT,GERMANY,8,11,8.158044794081253
CCGT,GERMANY,8,12,7.413341143112524e-10
CCGT,GERMANY,9,1,1.302884919992274e-09
