st,n,h,td,val
AMMONIA,GERMANY,1,1,3.973697135812435e-09
AMMONIA,GERMANY,1,2,6.311166436596783e-09
AMMONIA,GERMANY,1,3,1.072898168273783e-08
AMMONIA,GERMANY,1,4,3.065423688387124e-09
AMMONIA,GERMANY,1,5,2.980273261587308e-09
AMMONIA,GERMANY,1,6,7.152655459940271e-09
AMMONIA,GERMANY,1,7,2.82341727483763e-09
AMMONIA,GERMANY,1,8,1.882278195131687e-09
AMMONIA,GERMANY,1,9,4.664776450329147e-09
AMMONIA,GERMANY,1,10,4.126532202430489e-09
AMMONIA,GERMANY,1,11,3.155583507454899e-09
AMMONIA,GERMANY,1,12,2.282762369721998e-09
AMMONIA,GERMANY,2,1,3.97369713544604e-09
AMMONIA,GERMANY,2,2,6.311166435668329e-09
AMMONIA,GERMANY,2,3,1.072898168388556e-08
AMMONIA,GERMANY,2,4,3.065423688786977e-09
AMMONIA,GERMANY,2,5,2.980273261950738e-09
AMMONIA,GERMANY,2,6,7.152655460826267e-09
AMMONIA,GERMANY,2,7,2.823417274830377e-09
AMMONIA,GERMANY,2,8,1.882278195221473e-09
AMMONIA,GERMANY,2,9,4.664776450526505e-09
AMMONIA,GERMANY,2,10,4.126532202247371e-09
AMMONIA,GERMANY,2,11,3.155583507112327e-09
AMMONIA,GERMANY,2,12,2.282762369439619e-09
AMMONIA,GERMANY,3,1,3.973697135084145e-09
AMMONIA,GERMANY,3,2,6.311166434703876e-09
AMMONIA,GERMANY,3,3,1.072898168517358e-08
AMMONIA,GERMANY,3,4,3.065423689177353e-09
AMMONIA,GERMANY,3,5,2.980273262317344e-09
AMMONIA,GERMANY,3,6,7.152655461773462e-09
AMMONIA,GERMANY,3,7,2.823417274829133e-09
AMMONIA,GERMANY,3,8,1.882278195294715e-09
AMMONIA,GERMANY,3,9,4.664776450751922e-09
AMMONIA,GERMANY,3,10,4.12653220202169e-09
AMMONIA,GERMANY,3,11,3.155583506772932e-09
AMMONIA,GERMANY,3,12,2.282762369164995e-09
AMMONIA,GERMANY,4,1,3.973697134743003e-09
AMMONIA,GERMANY,4,2,6.311166433754775e-09
AMMONIA,GERMANY,4,3,1.072898168654927e-08
AMMONIA,GERMANY,4,4,3.065423689580911e-09
AMMONIA,GERMANY,4,5,2.980273262729505e-09
AMMONIA,GERMANY,4,6,7.152655462955602e-09
AMMONIA,GERMANY,4,7,2.823417274817724e-09
AMMONIA,GERMANY,4,8,1.882278195396465e-09
AMMONIA,GERMANY,4,9,4.664776450964686e-09
AMMONIA,GERMANY,4,10,4.126532201924863e-09
AMMONIA,GERMANY,4,11,3.155583506415113e-09
AMMONIA,GERMANY,4,12,2.28276236890432e-09
AMMONIA,GERMANY,5,1,3.973697134402019e-09
AMMONIA,GERMANY,5,2,6.311166432831615e-09
AMMONIA,GERMANY,5,3,1.072898168795492e-08
AMMONIA,GERMANY,5,4,3.065423689983093e-09
AMMONIA,GERMANY,5,5,2.980273263122237e-09
AMMONIA,GERMANY,5,6,7.152655463907879e-09
AMMONIA,GERMANY,5,7,2.823417274834691e-09
AMMONIA,GERMANY,5,8,1.882278195503588e-09
AMMONIA,GERMANY,5,9,4.66477645118735e-09
AMMONIA,GERMANY,5,10,4.12653220178055e-09
AMMONIA,GERMANY,5,11,3.1555835060835e-09
AMMONIA,GERMANY,5,12,2.282762368668845e-09
AMMONIA,GERMANY,6,1,3.97369713406257e-09
AMMONIA,GERMANY,6,2,6.311166431908879e-09
AMMONIA,GERMANY,6,3,1.072898168938026e-08
AMMONIA,GERMANY,6,4,3.065423690384163e-09
AMMONIA,GERMANY,6,5,2.980273263514758e-09
AMMONIA,GERMANY,6,6,7.152655464922836e-09
AMMONIA,GERMANY,6,7,2.823417274858832e-09
AMMONIA,GERMANY,6,8,1.882278195612908e-09
AMMONIA,GERMANY,6,9,4.664776451415943e-09
AMMONIA,GERMANY,6,10,4.126532201646666e-09
AMMONIA,GERMANY,6,11,3.155583505744634e-09
AMMONIA,GERMANY,6,12,2.282762368402903e-09
AMMONIA,GERMANY,7,1,3.973697133720581e-09
AMMONIA,GERMANY,7,2,6.311166431028706e-09
AMMONIA,GERMANY,7,3,1.07289816908235e-08
AMMONIA,GERMANY,7,4,3.065423690751246e-09
AMMONIA,GERMANY,7,5,2.980273263853703e-09
AMMONIA,GERMANY,7,6,7.152655465937158e-09
AMMONIA,GERMANY,7,7,2.823417274901633e-09
AMMONIA,GERMANY,7,8,1.88227819570894e-09
AMMONIA,GERMANY,7,9,4.664776451620607e-09
AMMONIA,GERMANY,7,10,4.126532201526493e-09
AMMONIA,GERMANY,7,11,3.155583505401109e-09
AMMONIA,GERMANY,7,12,2.282762368124812e-09
AMMONIA,GERMANY,8,1,3.973697133387538e-09
AMMONIA,GERMANY,8,2,6.311166430159544e-09
AMMONIA,GERMANY,8,3,1.072898169228019e-08
AMMONIA,GERMANY,8,4,3.0654236911061e-09
AMMONIA,GERMANY,8,5,2.980273264348185e-09
AMMONIA,GERMANY,8,6,7.152655464691172e-09
AMMONIA,GERMANY,8,7,2.823417274956055e-09
AMMONIA,GERMANY,8,8,1.882278195749624e-09
AMMONIA,GERMANY,8,9,4.664776451833901e-09
AMMONIA,GERMANY,8,10,4.126532201397109e-09
AMMONIA,GERMANY,8,11,3.155583505063672e-09
AMMONIA,GERMANY,8,12,2.282762367849129e-09
AMMONIA,GERMANY,9,1,3.973697133060425e-09
AMMONIA,GERMANY,9,2,6.311166429388426e-09
AMMONIA,GERMANY,9,3,1.072898169373041e-08
AMMONIA,GERMANY,9,4,3.065423691516858e-09
AMMONIA,GERMANY,9,5,2.980273264732923e-09
AMMONIA,GERMANY,9,6,7.152655462163414e-09
AMMONIA,GERMANY,9,7,2.823417275000763e-09
AMMONIA,GERMANY,9,8,1.88227819582816e-09
AMMONIA,GERMANY,9,9,4.664776452159373e-09
AMMONIA,GERMANY,9,10,4.126532201202186e-09
AMMONIA,GERMANY,9,11,3.155583504737882e-09
AMMONIA,GERMANY,9,12,2.282762367560608e-09
AMMONIA,GERMANY,10,1,3.973697132730346e-09
AMMONIA,GERMANY,10,2,6.31116642870413e-09
AMMONIA,GERMANY,10,3,1.072898169487179e-08
AMMONIA,GERMANY,10,4,3.065423691933969e-09
AMMONIA,GERMANY,10,5,2.980273265133332e-09
AMMONIA,GERMANY,10,6,7.15265546309568e-09
AMMONIA,GERMANY,10,7,2.823417275094916e-09
AMMONIA,GERMANY,10,8,1.882278195878585e-09
AMMONIA,GERMANY,10,9,4.66477645233995e-09
AMMONIA,GERMANY,10,10,4.126532201074866e-09
AMMONIA,GERMANY,10,11,3.155583504410345e-09
AMMONIA,GERMANY,10,12,2.282762367242971e-09
AMMONIA,GERMANY,11,1,3.973697132376287e-09
AMMONIA,GERMANY,11,2,6.311166428024386e-09
AMMONIA,GERMANY,11,3,1.072898169610931e-08
