j,h,td,val
AMMONIA_STORAGE,1,1,0.0001506528662528501
AMMONIA_STORAGE,1,2,0.0001506508988212592
AMMONIA_STORAGE,1,3,0.0001506520104962543
AMMONIA_STORAGE,1,4,0.0001506508390783385
AMMONIA_STORAGE,1,5,0.0001506524130008777
AMMONIA_STORAGE,1,6,0.000150651047519065
AMMONIA_STORAGE,1,7,0.0001506508127793339
AMMONIA_STORAGE,1,8,0.0001506509877313468
AMMONIA_STORAGE,1,9,0.0001506507347739591
AMMONIA_STORAGE,1,10,0.000150652914386781
AMMONIA_STORAGE,1,11,0.000150650774408307
AMMONIA_STORAGE,1,12,0.000150652342938061
AMMONIA_STORAGE,2,1,0.0001506528662527564
AMMONIA_STORAGE,2,2,0.0001506508988207717
AMMONIA_STORAGE,2,3,0.0001506520104953505
AMMONIA_STORAGE,2,4,0.0001506507836853237
AMMONIA_STORAGE,2,5,0.0001506524115167072
AMMONIA_STORAGE,2,6,0.0001506510475186278
AMMONIA_STORAGE,2,7,0.000150650812779294
AMMONIA_STORAGE,2,8,0.0001506509877349117
AMMONIA_STORAGE,2,9,0.0001506507347740684
AMMONIA_STORAGE,2,10,0.0001506529143870169
AMMONIA_STORAGE,2,11,0.0001506507744083018
AMMONIA_STORAGE,2,12,0.000150652342938009
AMMONIA_STORAGE,3,1,0.0001506528662528709
AMMONIA_STORAGE,3,2,0.0001506508988201663
AMMONIA_STORAGE,3,3,0.000150652010493758
AMMONIA_STORAGE,3,4,0.0001506507836829228
AMMONIA_STORAGE,3,5,0.0001506524100141418
AMMONIA_STORAGE,3,6,0.0001506510475179964
AMMONIA_STORAGE,3,7,0.0001506508127793182
AMMONIA_STORAGE,3,8,0.0001506511048610711
AMMONIA_STORAGE,3,9,0.000150650734774228
AMMONIA_STORAGE,3,10,0.0001506529143869163
AMMONIA_STORAGE,3,11,0.0001506507744082151
AMMONIA_STORAGE,3,12,0.0001506523429379639
AMMONIA_STORAGE,4,1,0.0001506528662529854
AMMONIA_STORAGE,4,2,0.000150650898819861
AMMONIA_STORAGE,4,3,0.000150652010486264
AMMONIA_STORAGE,4,4,0.0001506507836830824
AMMONIA_STORAGE,4,5,0.0001506524084932351
AMMONIA_STORAGE,4,6,0.0001506510475176928
AMMONIA_STORAGE,4,7,0.0001506508127793547
AMMONIA_STORAGE,4,8,0.0001506510680349855
AMMONIA_STORAGE,4,9,0.0001506507347745906
AMMONIA_STORAGE,4,10,0.0001506529143868382
AMMONIA_STORAGE,4,11,0.0001506507744083747
AMMONIA_STORAGE,4,12,0.0001506523429379986
AMMONIA_STORAGE,5,1,0.0001506528662528952
AMMONIA_STORAGE,5,2,0.0001506508988197656
AMMONIA_STORAGE,5,3,0.000150652010478803
AMMONIA_STORAGE,5,4,0.0001506507836832958
AMMONIA_STORAGE,5,5,0.0001506523912308023
AMMONIA_STORAGE,5,6,0.0001506510475171915
AMMONIA_STORAGE,5,7,0.0001506508127794466
AMMONIA_STORAGE,5,8,0.0001506510290538408
AMMONIA_STORAGE,5,9,0.0001506507347749531
AMMONIA_STORAGE,5,10,0.0001506529143868191
AMMONIA_STORAGE,5,11,0.0001506507744086106
AMMONIA_STORAGE,5,12,0.0001506523429381512
AMMONIA_STORAGE,6,1,0.0001506528662529143
AMMONIA_STORAGE,6,2,0.0001506508988200241
AMMONIA_STORAGE,6,3,0.0001506520104703809
AMMONIA_STORAGE,6,4,0.000150650783683497
AMMONIA_STORAGE,6,5,0.0001506523460817061
AMMONIA_STORAGE,6,6,0.0001506510475166815
AMMONIA_STORAGE,6,7,0.0001506508127792558
AMMONIA_STORAGE,6,8,0.0001506509877313277
AMMONIA_STORAGE,6,9,0.0001506507347750399
AMMONIA_STORAGE,6,10,0.0001506529143869683
AMMONIA_STORAGE,6,11,0.0001506507744089298
AMMONIA_STORAGE,6,12,0.0001506523429376846
AMMONIA_STORAGE,7,1,0.0001506528662528258
AMMONIA_STORAGE,7,2,0.0001506508988204907
AMMONIA_STORAGE,7,3,0.0001506520104578683
AMMONIA_STORAGE,7,4,0.0001506507836837954
AMMONIA_STORAGE,7,5,0.0001506524038149687
AMMONIA_STORAGE,7,6,0.0001506510475169365
AMMONIA_STORAGE,7,7,0.000150650812779549
AMMONIA_STORAGE,7,8,0.0001506509877341414
AMMONIA_STORAGE,7,9,0.000150650734774594
AMMONIA_STORAGE,7,10,0.0001506529143867359
AMMONIA_STORAGE,7,11,0.0001506507744091952
AMMONIA_STORAGE,7,12,0.0001506523429376013
AMMONIA_STORAGE,8,1,0.0001506528662527894
AMMONIA_STORAGE,8,2,0.0001506508988207544
AMMONIA_STORAGE,8,3,0.0001506520104345242
AMMONIA_STORAGE,8,4,0.0001506507836842429
AMMONIA_STORAGE,8,5,0.0001506523461725692
AMMONIA_STORAGE,8,6,0.0001506520448762063
AMMONIA_STORAGE,8,7,0.0001506508127793304
AMMONIA_STORAGE,8,8,0.0001506515577863899
AMMONIA_STORAGE,8,9,0.0001506507347740198
AMMONIA_STORAGE,8,10,0.0001506529143865468
AMMONIA_STORAGE,8,11,0.0001506507744095699
AMMONIA_STORAGE,8,12,0.0001506523429379257
AMMONIA_STORAGE,9,1,0.0001506528662528067
AMMONIA_STORAGE,9,2,0.0001506508988207457
AMMONIA_STORAGE,9,3,0.0001506520104263206
AMMONIA_STORAGE,9,4,0.0001506507836839845
AMMONIA_STORAGE,9,5,0.0001506524099475093
AMMONIA_STORAGE,9,6,0.0001506535966000373
AMMONIA_STORAGE,9,7,0.000150650812779313
AMMONIA_STORAGE,9,8,0.0001506517328827475
AMMONIA_STORAGE,9,9,0.0001506507347735983
AMMONIA_STORAGE,9,10,0.0001506529143867757
AMMONIA_STORAGE,9,11,0.0001506507744094606
AMMONIA_STORAGE,9,12,0.0001506523429377384
AMMONIA_STORAGE,10,1,0.0001506528662526558
AMMONIA_STORAGE,10,2,0.0001506508988200171
AMMONIA_STORAGE,10,3,0.00015065201042401
AMMONIA_STORAGE,10,4,0.0001506507836844286
AMMONIA_STORAGE,10,5,0.0001506524115168113
AMMONIA_STORAGE,10,6,0.0001506535966216225
AMMONIA_STORAGE,10,7,0.0001506508127799254
AMMONIA_STORAGE,10,8,0.0001506520718160386
AMMONIA_STORAGE,10,9,0.0001506507347736642
AMMONIA_STORAGE,10,10,0.0001506529143868972
AMMONIA_STORAGE,10,11,0.0001506507744093461
AMMONIA_STORAGE,10,12,0.0001506523429379431
AMMONIA_STORAGE,11,1,0.0001506528662527373
AMMONIA_STORAGE,11,2,0.0001506508988194221
AMMONIA_STORAGE,11,3,0.0001506520104235017
AMMONIA_STORAGE,11,4,0.0001506507836879119
AMMONIA_STORAGE,11,5,0.0001506524115168772
AMMONIA_STORAGE,11,6,0.0001506535966203145
AMMONIA_STORAGE,11,7,0.0001506508127796357
AMMONIA_STORAGE,11,8,0.000150652126184439
AMMONIA_STORAGE,11,9,0.0001506507347741864
AMMONIA_STORAGE,11,10,0.0001506529143868746
AMMONIA_STORAGE,11,11,0.0001506507744091137
AMMONIA_STORAGE,11,12,0.0001506523429374643
AMMONIA_STORAGE,12,1,0.0001506528662527321
AMMONIA_STORAGE,12,2,0.0001506508988190908
AMMONIA_STORAGE,12,3,0.0001506520104229137
AMMONIA_STORAGE,12,4,0.0001506511340012735
AMMONIA_STORAGE,12,5,0.0001506524115171756
AMMONIA_STORAGE,12,6,0.0001506535935998574
AMMONIA_STORAGE,12,7,0.0001506508127930191
AMMONIA_STORAGE,12,8,0.0001506521261848155
AMMONIA_STORAGE,12,9,0.0001506507347744206
AMMONIA_STORAGE,12,10,0.000150652914386951
AMMONIA_STORAGE,12,11,0.000150650774409079
AMMONIA_STORAGE,12,12,0.0001506523429374417
AMMONIA_STORAGE,13,1,0.0001506528662526402
AMMONIA_STORAGE,13,2,0.0001506508988190561
AMMONIA_STORAGE,13,3,0.0001506520104225233
AMMONIA_STORAGE,13,4,0.00015065113371379
AMMONIA_STORAGE,13,5,0.000150652420090434
AMMONIA_STORAGE,13,6,0.0001506535966211923
AMMONIA_STORAGE,13,7,0.0001506512732380033
AMMONIA_STORAGE,13,8,0.000150652126184668
AMMONIA_STORAGE,13,9,0.0001506507347747137
AMMONIA_STORAGE,13,10,0.0001506529143870828
AMMONIA_STORAGE,13,11,0.0001506507744093478
AMMONIA_STORAGE,13,12,0.0001506523429373376
AMMONIA_STORAGE,14,1,0.0001506528662525899
AMMONIA_STORAGE,14,2,0.0001506508988190249
AMMONIA_STORAGE,14,3,0.0001506520104224002
AMMONIA_STORAGE,14,4,0.0001506511334259924
AMMONIA_STORAGE,14,5,0.0001506524186930414
AMMONIA_STORAGE,14,6,0.0001506535966224187
AMMONIA_STORAGE,14,7,0.0001506512404931548
AMMONIA_STORAGE,14,8,0.0001506522070708356
AMMONIA_STORAGE,14,9,0.0001506507347744119
AMMONIA_STORAGE,14,10,0.0001506529143873257
AMMONIA_STORAGE,14,11,0.0001506507744095924
AMMONIA_STORAGE,14,12,0.0001506522301160662
AMMONIA_STORAGE,15,1,0.0001506528662525673
AMMONIA_STORAGE,15,2,0.0001506508988195626
AMMONIA_STORAGE,15,3,0.0001506520104221469
AMMONIA_STORAGE,15,4,0.0001506511331370204
AMMONIA_STORAGE,15,5,0.0001506524172787335
AMMONIA_STORAGE,15,6,0.0001506535966231647
AMMONIA_STORAGE,15,7,0.0001506512062762772
AMMONIA_STORAGE,15,8,0.0001506521261851607
AMMONIA_STORAGE,15,9,0.0001506507347740233
AMMONIA_STORAGE,15,10,0.0001506529143872858
AMMONIA_STORAGE,15,11,0.0001506507744098596
AMMONIA_STORAGE,15,12,0.0001506522289477976
AMMONIA_STORAGE,16,1,0.0001506528662525482
AMMONIA_STORAGE,16,2,0.0001506508988201559
