j,h,td,val
AMMONIA_STORAGE,1,1,0.0001506504607038418
AMMONIA_STORAGE,1,2,0.0001506524281358942
AMMONIA_STORAGE,1,3,0.0001506513165927068
AMMONIA_STORAGE,1,4,0.0001506524878863123
AMMONIA_STORAGE,1,5,0.0001506509139515833
AMMONIA_STORAGE,1,6,0.000150652279466288
AMMONIA_STORAGE,1,7,0.0001506525141735295
AMMONIA_STORAGE,1,8,0.0001506523392202572
AMMONIA_STORAGE,1,9,0.0001506525921793987
AMMONIA_STORAGE,1,10,0.0001506504125746069
AMMONIA_STORAGE,1,11,0.0001506525525474083
AMMONIA_STORAGE,1,12,0.0001506509840151719
AMMONIA_STORAGE,2,1,0.0001506504607037482
AMMONIA_STORAGE,2,2,0.0001506524281361266
AMMONIA_STORAGE,2,3,0.0001506513165921951
AMMONIA_STORAGE,2,4,0.0001506525432801303
AMMONIA_STORAGE,2,5,0.0001506509154354779
AMMONIA_STORAGE,2,6,0.0001506522794659324
AMMONIA_STORAGE,2,7,0.0001506525141734671
AMMONIA_STORAGE,2,8,0.0001506523392165917
AMMONIA_STORAGE,2,9,0.000150652592179645
AMMONIA_STORAGE,2,10,0.000150650412574841
AMMONIA_STORAGE,2,11,0.0001506525525474429
AMMONIA_STORAGE,2,12,0.0001506509840150591
AMMONIA_STORAGE,3,1,0.0001506504607038626
AMMONIA_STORAGE,3,2,0.0001506524281361214
AMMONIA_STORAGE,3,3,0.0001506513165908229
AMMONIA_STORAGE,3,4,0.0001506525432819778
AMMONIA_STORAGE,3,5,0.0001506509169380433
AMMONIA_STORAGE,3,6,0.0001506522794655265
AMMONIA_STORAGE,3,7,0.0001506525141734757
AMMONIA_STORAGE,3,8,0.0001506522220902969
AMMONIA_STORAGE,3,9,0.0001506525921799052
AMMONIA_STORAGE,3,10,0.000150650412574737
AMMONIA_STORAGE,3,11,0.0001506525525473562
AMMONIA_STORAGE,3,12,0.0001506509840150071
AMMONIA_STORAGE,4,1,0.0001506504607039771
AMMONIA_STORAGE,4,2,0.0001506524281361145
AMMONIA_STORAGE,4,3,0.0001506513165834538
AMMONIA_STORAGE,4,4,0.0001506525432822588
AMMONIA_STORAGE,4,5,0.000150650918459309
AMMONIA_STORAGE,4,6,0.000150652279465268
AMMONIA_STORAGE,4,7,0.0001506525141735
AMMONIA_STORAGE,4,8,0.0001506522589162559
AMMONIA_STORAGE,4,9,0.0001506525921804187
AMMONIA_STORAGE,4,10,0.0001506504125746658
AMMONIA_STORAGE,4,11,0.0001506525525475106
AMMONIA_STORAGE,4,12,0.00015065098401504
AMMONIA_STORAGE,5,1,0.0001506504607038869
AMMONIA_STORAGE,5,2,0.0001506524281362116
AMMONIA_STORAGE,5,3,0.0001506513165761662
AMMONIA_STORAGE,5,4,0.0001506525432826006
AMMONIA_STORAGE,5,5,0.0001506509357208224
AMMONIA_STORAGE,5,6,0.0001506522794647303
AMMONIA_STORAGE,5,7,0.0001506525141736284
AMMONIA_STORAGE,5,8,0.000150652297897581
AMMONIA_STORAGE,5,9,0.0001506525921808957
AMMONIA_STORAGE,5,10,0.0001506504125746485
AMMONIA_STORAGE,5,11,0.00015065255254775
AMMONIA_STORAGE,5,12,0.0001506509840151996
AMMONIA_STORAGE,6,1,0.0001506504607039043
AMMONIA_STORAGE,6,2,0.0001506524281366783
AMMONIA_STORAGE,6,3,0.0001506513165678066
AMMONIA_STORAGE,6,4,0.0001506525432829441
AMMONIA_STORAGE,6,5,0.0001506509808702379
AMMONIA_STORAGE,6,6,0.0001506522794641179
AMMONIA_STORAGE,6,7,0.0001506525141734601
AMMONIA_STORAGE,6,8,0.0001506523392205625
AMMONIA_STORAGE,6,9,0.0001506525921809807
AMMONIA_STORAGE,6,10,0.0001506504125747959
AMMONIA_STORAGE,6,11,0.0001506525525480709
AMMONIA_STORAGE,6,12,0.0001506509840147469
AMMONIA_STORAGE,7,1,0.0001506504607038158
AMMONIA_STORAGE,7,2,0.0001506524281373062
AMMONIA_STORAGE,7,3,0.0001506513165552646
AMMONIA_STORAGE,7,4,0.0001506525432829926
AMMONIA_STORAGE,7,5,0.0001506509231372632
AMMONIA_STORAGE,7,6,0.000150652279464274
AMMONIA_STORAGE,7,7,0.0001506525141737481
AMMONIA_STORAGE,7,8,0.0001506523392175128
AMMONIA_STORAGE,7,9,0.0001506525921803475
AMMONIA_STORAGE,7,10,0.000150650412574567
AMMONIA_STORAGE,7,11,0.0001506525525483329
AMMONIA_STORAGE,7,12,0.0001506509840146584
AMMONIA_STORAGE,8,1,0.0001506504607037846
AMMONIA_STORAGE,8,2,0.000150652428137648
AMMONIA_STORAGE,8,3,0.0001506513165317486
AMMONIA_STORAGE,8,4,0.0001506525432833257
AMMONIA_STORAGE,8,5,0.0001506509807792378
AMMONIA_STORAGE,8,6,0.000150651282102952
AMMONIA_STORAGE,8,7,0.0001506525141734584
AMMONIA_STORAGE,8,8,0.0001506517691632833
AMMONIA_STORAGE,8,9,0.0001506525921796849
AMMONIA_STORAGE,8,10,0.0001506504125743761
AMMONIA_STORAGE,8,11,0.0001506525525487336
AMMONIA_STORAGE,8,12,0.0001506509840149741
AMMONIA_STORAGE,9,1,0.0001506504607038002
AMMONIA_STORAGE,9,2,0.0001506524281375942
AMMONIA_STORAGE,9,3,0.0001506513165235764
AMMONIA_STORAGE,9,4,0.0001506525432826127
AMMONIA_STORAGE,9,5,0.0001506509170047347
AMMONIA_STORAGE,9,6,0.0001506497303951776
AMMONIA_STORAGE,9,7,0.000150652514173193
AMMONIA_STORAGE,9,8,0.0001506515940665181
AMMONIA_STORAGE,9,9,0.0001506525921790586
