j,n,h,td,val
BATT_LI,GERMANY,1,1,6.897233922128929e-08
BATT_LI,GERMANY,1,2,6.785863664309209e-08
BATT_LI,GERMANY,1,3,6.832813775923517e-08
BATT_LI,GERMANY,1,4,6.701325541634705e-08
BATT_LI,GERMANY,1,5,7.348898235632248e-08
BATT_LI,GERMANY,1,6,6.332249190183709e-08
BATT_LI,GERMANY,1,7,6.544182681705067e-08
BATT_LI,GERMANY,1,8,5.739274804710438e-08
BATT_LI,GERMANY,1,9,6.745198107314804e-08
BATT_LI,GERMANY,1,10,6.897233631075534e-08
BATT_LI,GERMANY,1,11,6.667267452552413e-08
BATT_LI,GERMANY,1,12,6.976688829596592e-08
BATT_LI,GERMANY,2,1,7.4673996501139e-08
BATT_LI,GERMANY,2,2,7.292078913375042e-08
BATT_LI,GERMANY,2,3,7.365627953584335e-08
BATT_LI,GERMANY,2,4,6.969455721912573e-08
BATT_LI,GERMANY,2,5,8.373092880885389e-08
BATT_LI,GERMANY,2,6,6.328587176733052e-08
BATT_LI,GERMANY,2,7,6.863089800231889e-08
BATT_LI,GERMANY,2,8,5.253630313706433e-08
BATT_LI,GERMANY,2,9,7.228157439200643e-08
BATT_LI,GERMANY,2,10,7.467399282174477e-08
BATT_LI,GERMANY,2,11,7.101805834459069e-08
BATT_LI,GERMANY,2,12,7.639984133279287e-08
BATT_LI,GERMANY,3,1,7.879515392841385e-08
BATT_LI,GERMANY,3,2,7.672778435853256e-08
BATT_LI,GERMANY,3,3,7.758678387897194e-08
BATT_LI,GERMANY,3,4,7.142571007413672e-08
BATT_LI,GERMANY,3,5,9.261706923596109e-08
BATT_LI,GERMANY,3,6,6.096621916319307e-08
BATT_LI,GERMANY,3,7,7.08788476488345e-08
BATT_LI,GERMANY,3,8,5.218421682471069e-08
BATT_LI,GERMANY,3,9,7.597871951750852e-08
BATT_LI,GERMANY,3,10,7.879515036671908e-08
BATT_LI,GERMANY,3,11,7.443496963010589e-08
BATT_LI,GERMANY,3,12,8.167351317212678e-08
BATT_LI,GERMANY,4,1,8.176545904407447e-08
BATT_LI,GERMANY,4,2,7.958879454268793e-08
BATT_LI,GERMANY,4,3,8.047641083263264e-08
BATT_LI,GERMANY,4,4,7.231014020291783e-08
BATT_LI,GERMANY,4,5,1.008564556194194e-07
BATT_LI,GERMANY,4,6,5.607086521974138e-08
BATT_LI,GERMANY,4,7,7.231555311346696e-08
BATT_LI,GERMANY,4,8,4.868928434821243e-08
BATT_LI,GERMANY,4,9,7.8814199788267e-08
BATT_LI,GERMANY,4,10,8.176545607772359e-08
BATT_LI,GERMANY,4,11,7.712826528837238e-08
BATT_LI,GERMANY,4,12,8.613073113548429e-08
BATT_LI,GERMANY,5,1,8.389973109408009e-08
BATT_LI,GERMANY,5,2,8.172930425082e-08
BATT_LI,GERMANY,5,3,8.258489080148787e-08
BATT_LI,GERMANY,5,4,7.239773744683453e-08
BATT_LI,GERMANY,5,5,9.936683832983763e-08
BATT_LI,GERMANY,5,6,4.795548306867975e-08
BATT_LI,GERMANY,5,7,7.301889010164872e-08
BATT_LI,GERMANY,5,8,4.110752465798885e-08
BATT_LI,GERMANY,5,9,8.098620067024327e-08
BATT_LI,GERMANY,5,10,8.389972862646305e-08
BATT_LI,GERMANY,5,11,7.924822328741621e-08
BATT_LI,GERMANY,5,12,9.02376016881549e-08
BATT_LI,GERMANY,6,1,8.54269017822359e-08
BATT_LI,GERMANY,6,2,8.331519712213588e-08
BATT_LI,GERMANY,6,3,8.410102188259559e-08
BATT_LI,GERMANY,6,4,7.169138312752702e-08
BATT_LI,GERMANY,6,5,7.539517775477997e-08
BATT_LI,GERMANY,6,6,3.540476315826486e-08
BATT_LI,GERMANY,6,7,7.302508297775227e-08
BATT_LI,GERMANY,6,8,2.673622323461065e-08
BATT_LI,GERMANY,6,9,8.264228361730324e-08
BATT_LI,GERMANY,6,10,8.542689977653812e-08
BATT_LI,GERMANY,6,11,8.09076478855372e-08
BATT_LI,GERMANY,6,12,9.442672501172438e-08
BATT_LI,GERMANY,7,1,8.65121965879168e-08
BATT_LI,GERMANY,7,2,8.446827373605405e-08
