j,n,h,td,val
BATT_LI,GERMANY,1,1,63.87841247236427
BATT_LI,GERMANY,1,2,79.01267631780618
BATT_LI,GERMANY,1,3,73.89127368731543
BATT_LI,GERMANY,1,4,73.89127368733105
BATT_LI,GERMANY,1,5,67.5362589268223
BATT_LI,GERMANY,1,6,53.09846019852035
BATT_LI,GERMANY,1,7,54.99072166733236
BATT_LI,GERMANY,1,8,53.15312090736495
BATT_LI,GERMANY,1,9,77.78002694557553
BATT_LI,GERMANY,1,10,63.91051577047096
BATT_LI,GERMANY,1,11,62.7282076859636
BATT_LI,GERMANY,1,12,63.95914336978338
BATT_LI,GERMANY,2,1,56.85103694695438
BATT_LI,GERMANY,2,2,79.01269143958243
BATT_LI,GERMANY,2,3,73.87649541829518
BATT_LI,GERMANY,2,4,71.84700003842502
BATT_LI,GERMANY,2,5,65.38765213936564
BATT_LI,GERMANY,2,6,32.29503169124391
BATT_LI,GERMANY,2,7,40.48868507191013
BATT_LI,GERMANY,2,8,37.16673502752222
BATT_LI,GERMANY,2,9,75.39811466569891
BATT_LI,GERMANY,2,10,56.91667838400795
BATT_LI,GERMANY,2,11,55.98184497761571
BATT_LI,GERMANY,2,12,57.08215332305635
BATT_LI,GERMANY,3,1,51.89235865878264
BATT_LI,GERMANY,3,2,78.99689240001759
BATT_LI,GERMANY,3,3,73.86172009437102
BATT_LI,GERMANY,3,4,63.3067152380592
BATT_LI,GERMANY,3,5,63.11671598901141
BATT_LI,GERMANY,3,6,11.49576870300902
BATT_LI,GERMANY,3,7,28.57110661702887
BATT_LI,GERMANY,3,8,28.26030497558984
BATT_LI,GERMANY,3,9,66.59555004117259
BATT_LI,GERMANY,3,10,52.0042114861886
BATT_LI,GERMANY,3,11,55.33743296497113
BATT_LI,GERMANY,3,12,52.29615605200817
BATT_LI,GERMANY,4,1,48.39428269542829
BATT_LI,GERMANY,4,2,79.01269143464795
BATT_LI,GERMANY,4,3,73.84694769509693
BATT_LI,GERMANY,4,4,53.67019600817199
BATT_LI,GERMANY,4,5,59.45800094686074
BATT_LI,GERMANY,4,6,7.452301427084866
BATT_LI,GERMANY,4,7,21.63449411404777
BATT_LI,GERMANY,4,8,26.31822863849627
BATT_LI,GERMANY,4,9,49.83767983101945
BATT_LI,GERMANY,4,10,48.5146392972354
BATT_LI,GERMANY,4,11,55.32636544762584
BATT_LI,GERMANY,4,12,48.99708893689349
BATT_LI,GERMANY,5,1,45.91555028678584
BATT_LI,GERMANY,5,2,79.01269143919174
BATT_LI,GERMANY,5,3,61.85522606559243
BATT_LI,GERMANY,5,4,32.86665104462054
BATT_LI,GERMANY,5,5,51.64562323669237
BATT_LI,GERMANY,5,6,2.181400658498713
BATT_LI,GERMANY,5,7,14.86627648285991
BATT_LI,GERMANY,5,8,16.97734653476431
BATT_LI,GERMANY,5,9,29.03489922341988
BATT_LI,GERMANY,5,10,45.99216342548226
BATT_LI,GERMANY,5,11,40.49682037568022
BATT_LI,GERMANY,5,12,46.73608133654429
BATT_LI,GERMANY,6,1,44.14746014700044
BATT_LI,GERMANY,6,2,78.99688904887934
BATT_LI,GERMANY,6,3,41.05004155122754
BATT_LI,GERMANY,6,4,12.06726819277553
BATT_LI,GERMANY,6,5,41.74579908549715
BATT_LI,GERMANY,6,6,6.193238232438157e-06
BATT_LI,GERMANY,6,7,6.80513014075105
BATT_LI,GERMANY,6,8,2.0879210969046
BATT_LI,GERMANY,6,9,10.32794955423391
BATT_LI,GERMANY,6,10,44.18288827600418
BATT_LI,GERMANY,6,11,26.53508471651105
BATT_LI,GERMANY,6,12,45.28503614326896
BATT_LI,GERMANY,7,1,42.88911070799214
BATT_LI,GERMANY,7,2,70.47659390491584
BATT_LI,GERMANY,7,3,20.24901804280786
BATT_LI,GERMANY,7,4,1.420449380599379e-05
BATT_LI,GERMANY,7,5,36.20588066657034
BATT_LI,GERMANY,7,6,1.865215281595319e-09
BATT_LI,GERMANY,7,7,7.349550649721594e-07
BATT_LI,GERMANY,7,8,0.0252848379098268
BATT_LI,GERMANY,7,9,3.33044033981357
BATT_LI,GERMANY,7,10,42.86188233054276
BATT_LI,GERMANY,7,11,15.35195879230413
BATT_LI,GERMANY,7,12,44.48635040707546
BATT_LI,GERMANY,8,1,42.00236739760044
BATT_LI,GERMANY,8,2,57.28608469495769
BATT_LI,GERMANY,8,3,3.659713071896343e-08
BATT_LI,GERMANY,8,4,7.074974369849271e-06
BATT_LI,GERMANY,8,5,26.40225383481453
BATT_LI,GERMANY,8,6,0.1181562806230761
BATT_LI,GERMANY,8,7,2.182325347264437e-10
BATT_LI,GERMANY,8,8,1.077889338462767
BATT_LI,GERMANY,8,9,2.253922027109352e-10
BATT_LI,GERMANY,8,10,41.95275082438052
BATT_LI,GERMANY,8,11,4.161190701765781
BATT_LI,GERMANY,8,12,44.2590786252967
BATT_LI,GERMANY,9,1,41.39075042377738
BATT_LI,GERMANY,9,2,47.91192400575982
BATT_LI,GERMANY,9,3,2.148205622064123e-09
BATT_LI,GERMANY,9,4,3.588852491713621e-06
BATT_LI,GERMANY,9,5,23.41782475490103
BATT_LI,GERMANY,9,6,5.463392085292113
BATT_LI,GERMANY,9,7,0.9389747551081776
BATT_LI,GERMANY,9,8,2.458056421105862
BATT_LI,GERMANY,9,9,4.323694222240771
BATT_LI,GERMANY,9,10,41.44697537351438
BATT_LI,GERMANY,9,11,1.216294778075535e-10
BATT_LI,GERMANY,9,12,44.71230366798351
BATT_LI,GERMANY,10,1,41.00381488870832
BATT_LI,GERMANY,10,2,47.33021061867267
BATT_LI,GERMANY,10,3,3.834261895525277e-08
BATT_LI,GERMANY,10,4,3.874029532874566e-09
BATT_LI,GERMANY,10,5,26.60839971084953
BATT_LI,GERMANY,10,6,17.25046221953572
BATT_LI,GERMANY,10,7,18.87929936363899
BATT_LI,GERMANY,10,8,7.651059234178982
BATT_LI,GERMANY,10,9,20.21478709555475
BATT_LI,GERMANY,10,10,41.28587943976341
BATT_LI,GERMANY,10,11,3.861081799581672e-10
BATT_LI,GERMANY,10,12,45.79478434214046
BATT_LI,GERMANY,11,1,40.76510383745633
BATT_LI,GERMANY,11,2,47.32074498159972
BATT_LI,GERMANY,11,3,4.938860267139458e-08
BATT_LI,GERMANY,11,4,5.243927147021311e-06
BATT_LI,GERMANY,11,5,28.78449238023131
BATT_LI,GERMANY,11,6,23.70669440892184
BATT_LI,GERMANY,11,7,28.36575531268655
BATT_LI,GERMANY,11,8,12.6083913494917
BATT_LI,GERMANY,11,9,38.9762583331387
BATT_LI,GERMANY,11,10,40.82214556077786
BATT_LI,GERMANY,11,11,5.676901022433843e-10
BATT_LI,GERMANY,11,12,46.87139373672859
BATT_LI,GERMANY,12,1,40.71699423546662
BATT_LI,GERMANY,12,2,47.31973026519432
BATT_LI,GERMANY,12,3,5.239669810326963e-08
BATT_LI,GERMANY,12,4,9.394237255655469e-06
BATT_LI,GERMANY,12,5,32.59879054041038
BATT_LI,GERMANY,12,6,31.67170249240119
BATT_LI,GERMANY,12,7,44.49335310850522
BATT_LI,GERMANY,12,8,23.003459901592
BATT_LI,GERMANY,12,9,53.4510171964832
BATT_LI,GERMANY,12,10,40.58382711457026
BATT_LI,GERMANY,12,11,13.50490273645064
BATT_LI,GERMANY,12,12,49.32297010454045
