k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,1,1,0.17462108929281464
1,ELECTRICITY,GERMANY,1,2,0.1756292155397266
1,ELECTRICITY,GERMANY,1,3,0.17586472133766723
1,ELECTRICITY,GERMANY,1,4,0.18383884225465136
1,ELECTRICITY,GERMANY,1,5,0.18575103433144705
1,ELECTRICITY,GERMANY,1,6,0.19022172799812131
1,ELECTRICITY,GERMANY,1,7,0.1887854740597583
1,ELECTRICITY,GERMANY,1,8,0.1889782584107623
1,ELECTRICITY,GERMANY,1,9,0.1849919550241975
1,ELECTRICITY,GERMANY,1,10,0.1840356332318991
1,ELECTRICITY,GERMANY,1,11,0.18519462922937888
1,ELECTRICITY,GERMANY,1,12,0.18105155775079565
1,ELECTRICITY,GERMANY,2,1,0.17607833518628677
1,ELECTRICITY,GERMANY,2,2,0.17746541911850253
1,ELECTRICITY,GERMANY,2,3,0.17702345153102525
1,ELECTRICITY,GERMANY,2,4,0.18358838037640035
1,ELECTRICITY,GERMANY,2,5,0.18559591225099215
1,ELECTRICITY,GERMANY,2,6,0.18908825076641553
1,ELECTRICITY,GERMANY,2,7,0.18860051795849925
1,ELECTRICITY,GERMANY,2,8,0.18885161775580708
1,ELECTRICITY,GERMANY,2,9,0.1849007890862178
1,ELECTRICITY,GERMANY,2,10,0.18355597609731392
1,ELECTRICITY,GERMANY,2,11,0.1866453573424458
1,ELECTRICITY,GERMANY,2,12,0.18205962860308988
1,ELECTRICITY,GERMANY,3,1,0.17609842860854785
1,ELECTRICITY,GERMANY,3,2,0.17833390045036265
1,ELECTRICITY,GERMANY,3,3,0.1766089417512953
1,ELECTRICITY,GERMANY,3,4,0.18209133339011366
1,ELECTRICITY,GERMANY,3,5,0.18353027214452797
1,ELECTRICITY,GERMANY,3,6,0.1875549515115465
1,ELECTRICITY,GERMANY,3,7,0.1866466317437597
1,ELECTRICITY,GERMANY,3,8,0.1879344175371784
1,ELECTRICITY,GERMANY,3,9,0.1837796928433454
1,ELECTRICITY,GERMANY,3,10,0.18166226492204168
1,ELECTRICITY,GERMANY,3,11,0.18716712819517206
1,ELECTRICITY,GERMANY,3,12,0.18167847805271958
1,ELECTRICITY,GERMANY,4,1,0.17551258442919673
1,ELECTRICITY,GERMANY,4,2,0.17822742798760668
1,ELECTRICITY,GERMANY,4,3,0.17601581565083357
1,ELECTRICITY,GERMANY,4,4,0.17785486426478647
1,ELECTRICITY,GERMANY,4,5,0.17891935459199176
1,ELECTRICITY,GERMANY,4,6,0.18291360633188244
1,ELECTRICITY,GERMANY,4,7,0.18261545124632017
1,ELECTRICITY,GERMANY,4,8,0.18220108597795134
1,ELECTRICITY,GERMANY,4,9,0.17807814906083047
1,ELECTRICITY,GERMANY,4,10,0.17787602661799448
1,ELECTRICITY,GERMANY,4,11,0.18767507256430735
1,ELECTRICITY,GERMANY,4,12,0.18016834532602008
1,ELECTRICITY,GERMANY,5,1,0.1724768605660352
1,ELECTRICITY,GERMANY,5,2,0.17559810949956609
1,ELECTRICITY,GERMANY,5,3,0.17213737278437852
1,ELECTRICITY,GERMANY,5,4,0.16865477742218551
1,ELECTRICITY,GERMANY,5,5,0.17056036901086213
1,ELECTRICITY,GERMANY,5,6,0.173496641605881
1,ELECTRICITY,GERMANY,5,7,0.17360052756903788
1,ELECTRICITY,GERMANY,5,8,0.17277945892653357
1,ELECTRICITY,GERMANY,5,9,0.16938752678711663
1,ELECTRICITY,GERMANY,5,10,0.16801120498152994
1,ELECTRICITY,GERMANY,5,11,0.18800292149314868
1,ELECTRICITY,GERMANY,5,12,0.17595512026292917
1,ELECTRICITY,GERMANY,6,1,0.16435726280999713
1,ELECTRICITY,GERMANY,6,2,0.1672299077639944
1,ELECTRICITY,GERMANY,6,3,0.16333006148262155
1,ELECTRICITY,GERMANY,6,4,0.16343273390472848
1,ELECTRICITY,GERMANY,6,5,0.16409467952523177
1,ELECTRICITY,GERMANY,6,6,0.1670204452506692
1,ELECTRICITY,GERMANY,6,7,0.16699304234061652
1,ELECTRICITY,GERMANY,6,8,0.16652378236837959
1,ELECTRICITY,GERMANY,6,9,0.16361635896723417
1,ELECTRICITY,GERMANY,6,10,0.1617667363078307
1,ELECTRICITY,GERMANY,6,11,0.18578818677467399
1,ELECTRICITY,GERMANY,6,12,0.16617035365121233
1,ELECTRICITY,GERMANY,7,1,0.1571101900265237
1,ELECTRICITY,GERMANY,7,2,0.1602717063823248
1,ELECTRICITY,GERMANY,7,3,0.15743399343635364
1,ELECTRICITY,GERMANY,7,4,0.1604142625611532
1,ELECTRICITY,GERMANY,7,5,0.16022312594122806
1,ELECTRICITY,GERMANY,7,6,0.16400621354999734
1,ELECTRICITY,GERMANY,7,7,0.1639824607272584
1,ELECTRICITY,GERMANY,7,8,0.1630935419072019
1,ELECTRICITY,GERMANY,7,9,0.1599299882322597
1,ELECTRICITY,GERMANY,7,10,0.158605166624533
1,ELECTRICITY,GERMANY,7,11,0.18171798811435647
1,ELECTRICITY,GERMANY,7,12,0.15884017683679388
1,ELECTRICITY,GERMANY,8,1,0.1539192956728391
1,ELECTRICITY,GERMANY,8,2,0.1581420619264078
1,ELECTRICITY,GERMANY,8,3,0.15623532954727687
1,ELECTRICITY,GERMANY,8,4,0.15968095031525917
1,ELECTRICITY,GERMANY,8,5,0.15900357934904127
1,ELECTRICITY,GERMANY,8,6,0.16321067193073957
1,ELECTRICITY,GERMANY,8,7,0.1625610726637325
1,ELECTRICITY,GERMANY,8,8,0.16162163075015132
1,ELECTRICITY,GERMANY,8,9,0.15856600014943725
1,ELECTRICITY,GERMANY,8,10,0.1578335664968876
1,ELECTRICITY,GERMANY,8,11,0.17512931130896398
1,ELECTRICITY,GERMANY,8,12,0.15663242356279383
1,ELECTRICITY,GERMANY,9,1,0.1541478169291922
1,ELECTRICITY,GERMANY,9,2,0.15751136039901237
1,ELECTRICITY,GERMANY,9,3,0.15664204017457284
1,ELECTRICITY,GERMANY,9,4,0.15852659034620145
1,ELECTRICITY,GERMANY,9,5,0.1580243915516212
1,ELECTRICITY,GERMANY,9,6,0.16158055118032072
1,ELECTRICITY,GERMANY,9,7,0.1596816165831062
1,ELECTRICITY,GERMANY,9,8,0.15987680566944215
1,ELECTRICITY,GERMANY,9,9,0.1567020745161441
1,ELECTRICITY,GERMANY,9,10,0.15718969237393765
1,ELECTRICITY,GERMANY,9,11,0.17172767858871593
1,ELECTRICITY,GERMANY,9,12,0.1558163865561941
1,ELECTRICITY,GERMANY,10,1,0.15272909607058185
1,ELECTRICITY,GERMANY,10,2,0.15659038078391965
1,ELECTRICITY,GERMANY,10,3,0.15596141969107233
1,ELECTRICITY,GERMANY,10,4,0.15798029399092506
1,ELECTRICITY,GERMANY,10,5,0.15659166224239068
1,ELECTRICITY,GERMANY,10,6,0.15974920502074538
1,ELECTRICITY,GERMANY,10,7,0.1579757290816322
1,ELECTRICITY,GERMANY,10,8,0.15813461254838382
1,ELECTRICITY,GERMANY,10,9,0.155024882939865
1,ELECTRICITY,GERMANY,10,10,0.1556726360824207
1,ELECTRICITY,GERMANY,10,11,0.1692989552854491
1,ELECTRICITY,GERMANY,10,12,0.15528189969490153
1,ELECTRICITY,GERMANY,11,1,0.15129963565615714
1,ELECTRICITY,GERMANY,11,2,0.15623405391420098
1,ELECTRICITY,GERMANY,11,3,0.15628918025731042
1,ELECTRICITY,GERMANY,11,4,0.15820325178899944
1,ELECTRICITY,GERMANY,11,5,0.1568526190371586
1,ELECTRICITY,GERMANY,11,6,0.15901256434894637
1,ELECTRICITY,GERMANY,11,7,0.16019696912212386
1,ELECTRICITY,GERMANY,11,8,0.15934001906109385
1,ELECTRICITY,GERMANY,11,9,0.15559377488527398
1,ELECTRICITY,GERMANY,11,10,0.15605541610523035
1,ELECTRICITY,GERMANY,11,11,0.1681947711687598
1,ELECTRICITY,GERMANY,11,12,0.15478661849050668
1,ELECTRICITY,GERMANY,12,1,0.1517683650606828
1,ELECTRICITY,GERMANY,12,2,0.15650892308814393
1,ELECTRICITY,GERMANY,12,3,0.1582367432064857
1,ELECTRICITY,GERMANY,12,4,0.15869053241505626
1,ELECTRICITY,GERMANY,12,5,0.158513983346188
