ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,71.12985401283781
ELECTRICITY,GERMANY,1,2,65.08060775960443
ELECTRICITY,GERMANY,1,3,64.99345633809733
ELECTRICITY,GERMANY,1,4,62.17432587963033
ELECTRICITY,GERMANY,1,5,64.35192012554576
ELECTRICITY,GERMANY,1,6,60.0880677930841
ELECTRICITY,GERMANY,1,7,60.54520955381642
ELECTRICITY,GERMANY,1,8,60.48344494116244
ELECTRICITY,GERMANY,1,9,61.78677384198261
ELECTRICITY,GERMANY,1,10,67.49111891214503
ELECTRICITY,GERMANY,1,11,61.7191553298655
ELECTRICITY,GERMANY,1,12,68.60355998301327
ELECTRICITY,GERMANY,2,1,70.54117370561451
ELECTRICITY,GERMANY,2,2,64.4072301209024
ELECTRICITY,GERMANY,2,3,64.56803315502027
ELECTRICITY,GERMANY,2,4,62.25914768805857
ELECTRICITY,GERMANY,2,5,64.38571392565417
ELECTRICITY,GERMANY,2,6,60.44826181076972
ELECTRICITY,GERMANY,2,7,60.60458481975
ELECTRICITY,GERMANY,2,8,60.52400410169666
ELECTRICITY,GERMANY,2,9,61.81723801263234
ELECTRICITY,GERMANY,2,10,67.66748282071539
ELECTRICITY,GERMANY,2,11,61.23943424263016
ELECTRICITY,GERMANY,2,12,68.22369909587879
ELECTRICITY,GERMANY,3,1,70.53312470816648
ELECTRICITY,GERMANY,3,2,64.09356863054232
ELECTRICITY,GERMANY,3,3,64.71957747058609
ELECTRICITY,GERMANY,3,4,62.77100548864389
ELECTRICITY,GERMANY,3,5,64.96407711034537
ELECTRICITY,GERMANY,3,6,60.94243844564779
ELECTRICITY,GERMANY,3,7,61.23901610695304
ELECTRICITY,GERMANY,3,8,60.81938708971695
ELECTRICITY,GERMANY,3,9,62.19433665834466
ELECTRICITY,GERMANY,3,10,68.37287354744883
ELECTRICITY,GERMANY,3,11,61.06871541965425
ELECTRICITY,GERMANY,3,12,68.36682849698383
ELECTRICITY,GERMANY,4,1,70.7685578838155
ELECTRICITY,GERMANY,4,2,64.13185791169208
ELECTRICITY,GERMANY,4,3,64.93766509223859
ELECTRICITY,GERMANY,4,4,64.26619893087653
ELECTRICITY,GERMANY,4,5,66.63826157245114
ELECTRICITY,GERMANY,4,6,62.48882364130711
ELECTRICITY,GERMANY,4,7,62.59084874612942
ELECTRICITY,GERMANY,4,8,63.01329828750538
ELECTRICITY,GERMANY,4,9,64.18561821283083
ELECTRICITY,GERMANY,4,10,69.82824905907944
ELECTRICITY,GERMANY,4,11,60.90343236046095
ELECTRICITY,GERMANY,4,12,68.93986539354603
ELECTRICITY,GERMANY,5,1,72.0141402505384
ELECTRICITY,GERMANY,5,2,65.0921363575138
ELECTRICITY,GERMANY,5,3,66.40078155478894
ELECTRICITY,GERMANY,5,4,67.77190816867486
ELECTRICITY,GERMANY,5,5,69.90413318645582
ELECTRICITY,GERMANY,5,6,65.88056104067437
ELECTRICITY,GERMANY,5,7,65.84113681981148
ELECTRICITY,GERMANY,5,8,66.1540217724932
ELECTRICITY,GERMANY,5,9,67.47873532642664
ELECTRICITY,GERMANY,5,10,73.92823952833484
ELECTRICITY,GERMANY,5,11,60.79722589886153
ELECTRICITY,GERMANY,5,12,70.59062450727973
ELECTRICITY,GERMANY,6,1,75.57179724604157
ELECTRICITY,GERMANY,6,2,68.34935353667679
ELECTRICITY,GERMANY,6,3,69.98133707851754
ELECTRICITY,GERMANY,6,4,69.93737309887757
ELECTRICITY,GERMANY,6,5,72.65850901539481
ELECTRICITY,GERMANY,6,6,68.43507135017863
ELECTRICITY,GERMANY,6,7,68.44630127972904
ELECTRICITY,GERMANY,6,8,68.6391812935105
ELECTRICITY,GERMANY,6,9,69.85888305920994
ELECTRICITY,GERMANY,6,10,76.78199865372339
ELECTRICITY,GERMANY,6,11,61.52197449199156
ELECTRICITY,GERMANY,6,12,74.74728421923324
ELECTRICITY,GERMANY,7,1,79.05772740862518
ELECTRICITY,GERMANY,7,2,71.31674295898935
ELECTRICITY,GERMANY,7,3,72.60221149310367
ELECTRICITY,GERMANY,7,4,71.25336553728957
ELECTRICITY,GERMANY,7,5,74.41419384146663
ELECTRICITY,GERMANY,7,6,69.69282346234941
ELECTRICITY,GERMANY,7,7,69.70291845220704
ELECTRICITY,GERMANY,7,8,70.32251007125546
ELECTRICITY,GERMANY,7,9,71.46912354589986
ELECTRICITY,GERMANY,7,10,78.31254155007366
ELECTRICITY,GERMANY,7,11,62.89997047772609
ELECTRICITY,GERMANY,7,12,78.19673546926741
ELECTRICITY,GERMANY,8,1,80.69667221252395
ELECTRICITY,GERMANY,8,2,72.27714087214717
ELECTRICITY,GERMANY,8,3,73.15922794665507
ELECTRICITY,GERMANY,8,4,71.58058657027152
ELECTRICITY,GERMANY,8,5,74.98494562504476
ELECTRICITY,GERMANY,8,6,71.1396943072978
ELECTRICITY,GERMANY,8,7,70.3123810662108
ELECTRICITY,GERMANY,8,8,73.77029111949749
ELECTRICITY,GERMANY,8,9,72.0839024563504
ELECTRICITY,GERMANY,8,10,78.69538823935365
ELECTRICITY,GERMANY,8,11,65.26637946688288
ELECTRICITY,GERMANY,8,12,79.2989293157917
ELECTRICITY,GERMANY,9,1,80.57704073030433
ELECTRICITY,GERMANY,9,2,72.56655049332214
ELECTRICITY,GERMANY,9,3,72.96927488260366
ELECTRICITY,GERMANY,9,4,72.10182255672775
ELECTRICITY,GERMANY,9,5,75.44958493200262
ELECTRICITY,GERMANY,9,6,73.78904617281516
ELECTRICITY,GERMANY,9,7,71.58028790193067
ELECTRICITY,GERMANY,9,8,74.57538760391506
ELECTRICITY,GERMANY,9,9,72.94131952597857
ELECTRICITY,GERMANY,9,10,79.01773762310754
ELECTRICITY,GERMANY,9,11,66.5591952421334
ELECTRICITY,GERMANY,9,12,79.7142318050642
ELECTRICITY,GERMANY,10,1,81.3255326594331
ELECTRICITY,GERMANY,10,2,72.993347550762
ELECTRICITY,GERMANY,10,3,73.28771506640092
ELECTRICITY,GERMANY,10,4,72.87219427876155
ELECTRICITY,GERMANY,10,5,76.53473176871387
ELECTRICITY,GERMANY,10,6,74.68397526934362
ELECTRICITY,GERMANY,10,7,72.35324156509773
ELECTRICITY,GERMANY,10,8,75.39699601204985
ELECTRICITY,GERMANY,10,9,73.73046101315104
ELECTRICITY,GERMANY,10,10,79.78778006355877
ELECTRICITY,GERMANY,10,11,67.5140379241728
ELECTRICITY,GERMANY,10,12,79.98861186545636
ELECTRICITY,GERMANY,11,1,82.09388744437366
ELECTRICITY,GERMANY,11,2,73.15982528331413
ELECTRICITY,GERMANY,11,3,73.13402033878721
ELECTRICITY,GERMANY,11,4,72.86904287898663
ELECTRICITY,GERMANY,11,5,77.0742078607791
ELECTRICITY,GERMANY,11,6,75.00543407747516
ELECTRICITY,GERMANY,11,7,71.35001461202165
ELECTRICITY,GERMANY,11,8,74.82661808335834
ELECTRICITY,GERMANY,11,9,73.46088296973919
ELECTRICITY,GERMANY,11,10,79.59207257268483
ELECTRICITY,GERMANY,11,11,67.9572617402963
ELECTRICITY,GERMANY,11,12,80.24455711743643
ELECTRICITY,GERMANY,12,1,81.84034399613265
ELECTRICITY,GERMANY,12,2,73.03133816357304
ELECTRICITY,GERMANY,12,3,72.23389369658129
ELECTRICITY,GERMANY,12,4,72.79590151020648
ELECTRICITY,GERMANY,12,5,78.35762549020097
ELECTRICITY,GERMANY,12,6,74.67595456668695
ELECTRICITY,GERMANY,12,7,71.3429196484637
ELECTRICITY,GERMANY,12,8,74.03310373457157
ELECTRICITY,GERMANY,12,9,73.28618429462736
ELECTRICITY,GERMANY,12,10,79.35793760812152
ELECTRICITY,GERMANY,12,11,67.76103664111012
ELECTRICITY,GERMANY,12,12,80.27279353253186
ELECTRICITY,GERMANY,13,1,81.6058844638571
ELECTRICITY,GERMANY,13,2,72.84323684322638
ELECTRICITY,GERMANY,13,3,71.39636793837883
ELECTRICITY,GERMANY,13,4,72.25871102046749
ELECTRICITY,GERMANY,13,5,77.66249051103375
ELECTRICITY,GERMANY,13,6,74.04177207180761
ELECTRICITY,GERMANY,13,7,71.16742258857668
