j,h,td,val
AMMONIA_STORAGE,1,1,2.458359376822459e-06
AMMONIA_STORAGE,1,2,2.458330125701402e-06
AMMONIA_STORAGE,1,3,2.458342755491628e-06
AMMONIA_STORAGE,1,4,2.458330605692666e-06
AMMONIA_STORAGE,1,5,2.458351635068173e-06
AMMONIA_STORAGE,1,6,2.45833160515403e-06
AMMONIA_STORAGE,1,7,2.458331124485791e-06
AMMONIA_STORAGE,1,8,2.458333896012939e-06
AMMONIA_STORAGE,1,9,2.458328983158311e-06
AMMONIA_STORAGE,1,10,2.458360020057056e-06
AMMONIA_STORAGE,1,11,2.458330431935173e-06
AMMONIA_STORAGE,1,12,2.458352386016955e-06
AMMONIA_STORAGE,2,1,2.458359376822242e-06
AMMONIA_STORAGE,2,2,2.458330125713112e-06
AMMONIA_STORAGE,2,3,2.458342755485557e-06
AMMONIA_STORAGE,2,4,2.458330605763573e-06
AMMONIA_STORAGE,2,5,2.458351592771928e-06
AMMONIA_STORAGE,2,6,2.458331605135816e-06
AMMONIA_STORAGE,2,7,2.458331124510944e-06
AMMONIA_STORAGE,2,8,2.458333896067366e-06
AMMONIA_STORAGE,2,9,2.458328983154841e-06
AMMONIA_STORAGE,2,10,2.458360020068983e-06
AMMONIA_STORAGE,2,11,2.458330431957942e-06
AMMONIA_STORAGE,2,12,2.458352385980959e-06
AMMONIA_STORAGE,3,1,2.458359376821808e-06
AMMONIA_STORAGE,3,2,2.458330125720267e-06
AMMONIA_STORAGE,3,3,2.458342755491628e-06
AMMONIA_STORAGE,3,4,2.45833060575143e-06
AMMONIA_STORAGE,3,5,2.458351277952577e-06
AMMONIA_STORAGE,3,6,2.458331605127359e-06
AMMONIA_STORAGE,3,7,2.458331124541953e-06
AMMONIA_STORAGE,3,8,2.458333895998628e-06
AMMONIA_STORAGE,3,9,2.458328983139229e-06
AMMONIA_STORAGE,3,10,2.45836002006573e-06
AMMONIA_STORAGE,3,11,2.458330431974421e-06
AMMONIA_STORAGE,3,12,2.458352385983128e-06
