j,h,td,val
AMMONIA_STORAGE,1,1,5.989972440350547e-06
AMMONIA_STORAGE,1,2,5.990043714331188e-06
AMMONIA_STORAGE,1,3,5.990012941613481e-06
AMMONIA_STORAGE,1,4,5.990042543951857e-06
AMMONIA_STORAGE,1,5,5.989991303750539e-06
AMMONIA_STORAGE,1,6,5.990040109288275e-06
AMMONIA_STORAGE,1,7,5.990041280047511e-06
AMMONIA_STORAGE,1,8,5.990034526862694e-06
AMMONIA_STORAGE,1,9,5.990046498114375e-06
AMMONIA_STORAGE,1,10,5.989970873071255e-06
AMMONIA_STORAGE,1,11,5.9900429678671e-06
AMMONIA_STORAGE,1,12,5.98998947414723e-06
AMMONIA_STORAGE,2,1,5.989972440349246e-06
AMMONIA_STORAGE,2,2,5.990043714414455e-06
AMMONIA_STORAGE,2,3,5.990012941469065e-06
AMMONIA_STORAGE,2,4,5.990042544029052e-06
AMMONIA_STORAGE,2,5,5.989991406799618e-06
AMMONIA_STORAGE,2,6,5.990040109340317e-06
AMMONIA_STORAGE,2,7,5.990041280044042e-06
AMMONIA_STORAGE,2,8,5.990034526824096e-06
AMMONIA_STORAGE,2,9,5.990046498160779e-06
AMMONIA_STORAGE,2,10,5.989970873058678e-06
AMMONIA_STORAGE,2,11,5.99004296790483e-06
AMMONIA_STORAGE,2,12,5.989989474129015e-06
AMMONIA_STORAGE,3,1,5.989972440344042e-06
AMMONIA_STORAGE,3,2,5.99004371447517e-06
AMMONIA_STORAGE,3,3,5.990012941324216e-06
AMMONIA_STORAGE,3,4,5.990042544028618e-06
AMMONIA_STORAGE,3,5,5.989992173900845e-06
AMMONIA_STORAGE,3,6,5.990040109341184e-06
AMMONIA_STORAGE,3,7,5.990041280048812e-06
AMMONIA_STORAGE,3,8,5.990034526781162e-06
AMMONIA_STORAGE,3,9,5.990046498174657e-06
AMMONIA_STORAGE,3,10,5.989970873067785e-06
AMMONIA_STORAGE,3,11,5.990042967864064e-06
AMMONIA_STORAGE,3,12,5.989989474135954e-06
AMMONIA_STORAGE,4,1,5.989972440347512e-06
AMMONIA_STORAGE,4,2,5.990043714511166e-06
AMMONIA_STORAGE,4,3,5.990012941167223e-06
AMMONIA_STORAGE,4,4,5.990042544029919e-06
AMMONIA_STORAGE,4,5,5.989992173893472e-06
AMMONIA_STORAGE,4,6,5.990040109317332e-06
AMMONIA_STORAGE,4,7,5.990041280043174e-06
AMMONIA_STORAGE,4,8,5.990022284283782e-06
AMMONIA_STORAGE,4,9,5.99004649815861e-06
AMMONIA_STORAGE,4,10,5.989970873071689e-06
AMMONIA_STORAGE,4,11,5.990042967847584e-06
AMMONIA_STORAGE,4,12,5.989989474139857e-06
AMMONIA_STORAGE,5,1,5.989972440355752e-06
AMMONIA_STORAGE,5,2,5.990043714522008e-06
AMMONIA_STORAGE,5,3,5.990012941000256e-06
AMMONIA_STORAGE,5,4,5.990042544034256e-06
AMMONIA_STORAGE,5,5,5.989992173901278e-06
AMMONIA_STORAGE,5,6,5.990040109232764e-06
AMMONIA_STORAGE,5,7,5.990041280045343e-06
AMMONIA_STORAGE,5,8,5.990034526810219e-06
AMMONIA_STORAGE,5,9,5.990046498097895e-06
AMMONIA_STORAGE,5,10,5.989970873076459e-06
AMMONIA_STORAGE,5,11,5.990042967805517e-06
AMMONIA_STORAGE,5,12,5.989989474145061e-06
AMMONIA_STORAGE,6,1,5.989972440347512e-06
AMMONIA_STORAGE,6,2,5.990043714489916e-06
AMMONIA_STORAGE,6,3,5.990012940807268e-06
AMMONIA_STORAGE,6,4,5.990042544033389e-06
AMMONIA_STORAGE,6,5,5.989992173903447e-06
AMMONIA_STORAGE,6,6,5.990040109083144e-06
AMMONIA_STORAGE,6,7,5.990041280050113e-06
AMMONIA_STORAGE,6,8,5.99003452683624e-06
AMMONIA_STORAGE,6,9,5.990046497959551e-06
AMMONIA_STORAGE,6,10,5.989970873074724e-06
AMMONIA_STORAGE,6,11,5.990042967739598e-06
AMMONIA_STORAGE,6,12,5.989989474146796e-06
AMMONIA_STORAGE,7,1,5.989972440355752e-06
AMMONIA_STORAGE,7,2,5.990043714378893e-06
AMMONIA_STORAGE,7,3,5.990012940574815e-06
AMMONIA_STORAGE,7,4,5.990042544041195e-06
AMMONIA_STORAGE,7,5,5.989992173903013e-06
AMMONIA_STORAGE,7,6,5.990040109034138e-06
