pt,p,layers_in_out
CCGT,AMMONIA,0.0
CCGT,COAL,0.0
CCGT,ELECTRICITY,1.0
CCGT,GAS,-1.59
CCGT,H2,0.0
CCGT,HEAT_HIGH_T,0.0
CCGT,HEAT_LOW_T_DECEN,0.0
CCGT,HEAT_LOW_T_DHN,0.0
CCGT,LFO,0.0
CCGT,RES_GEO,0.0
CCGT,RES_HYDRO,0.0
CCGT,RES_SOLAR,0.0
CCGT,RES_WIND,0.0
CCGT,URANIUM,0.0
CCGT,WASTE,0.0
CCGT,WET_BIOMASS,0.0
CCGT,WOOD,0.0
CCGT_AMMONIA,AMMONIA,-2.0
CCGT_AMMONIA,COAL,0.0
CCGT_AMMONIA,ELECTRICITY,1.0
CCGT_AMMONIA,GAS,0.0
CCGT_AMMONIA,H2,0.0
CCGT_AMMONIA,HEAT_HIGH_T,0.0
CCGT_AMMONIA,HEAT_LOW_T_DECEN,0.0
CCGT_AMMONIA,HEAT_LOW_T_DHN,0.0
CCGT_AMMONIA,LFO,0.0
CCGT_AMMONIA,RES_GEO,0.0
CCGT_AMMONIA,RES_HYDRO,0.0
CCGT_AMMONIA,RES_SOLAR,0.0
CCGT_AMMONIA,RES_WIND,0.0
CCGT_AMMONIA,URANIUM,0.0
CCGT_AMMONIA,WASTE,0.0
CCGT_AMMONIA,WET_BIOMASS,0.0
CCGT_AMMONIA,WOOD,0.0
COAL_IGCC,AMMONIA,0.0
COAL_IGCC,COAL,-1.85
COAL_IGCC,ELECTRICITY,1.0
COAL_IGCC,GAS,0.0
COAL_IGCC,H2,0.0
COAL_IGCC,HEAT_HIGH_T,0.0
COAL_IGCC,HEAT_LOW_T_DECEN,0.0
COAL_IGCC,HEAT_LOW_T_DHN,0.0
COAL_IGCC,LFO,0.0
COAL_IGCC,RES_GEO,0.0
COAL_IGCC,RES_HYDRO,0.0
COAL_IGCC,RES_SOLAR,0.0
COAL_IGCC,RES_WIND,0.0
COAL_IGCC,URANIUM,0.0
COAL_IGCC,WASTE,0.0
COAL_IGCC,WET_BIOMASS,0.0
COAL_IGCC,WOOD,0.0
COAL_US,AMMONIA,0.0
COAL_US,COAL,-2.04
COAL_US,ELECTRICITY,1.0
COAL_US,GAS,0.0
COAL_US,H2,0.0
COAL_US,HEAT_HIGH_T,0.0
COAL_US,HEAT_LOW_T_DECEN,0.0
COAL_US,HEAT_LOW_T_DHN,0.0
COAL_US,LFO,0.0
COAL_US,RES_GEO,0.0
COAL_US,RES_HYDRO,0.0
COAL_US,RES_SOLAR,0.0
COAL_US,RES_WIND,0.0
COAL_US,URANIUM,0.0
COAL_US,WASTE,0.0
COAL_US,WET_BIOMASS,0.0
COAL_US,WOOD,0.0
DEC_ADVCOGEN_GAS,AMMONIA,0.0
DEC_ADVCOGEN_GAS,COAL,0.0
DEC_ADVCOGEN_GAS,ELECTRICITY,2.64
DEC_ADVCOGEN_GAS,GAS,-4.55
DEC_ADVCOGEN_GAS,H2,0.0
DEC_ADVCOGEN_GAS,HEAT_HIGH_T,0.0
DEC_ADVCOGEN_GAS,HEAT_LOW_T_DECEN,1.0
DEC_ADVCOGEN_GAS,HEAT_LOW_T_DHN,0.0
DEC_ADVCOGEN_GAS,LFO,0.0
DEC_ADVCOGEN_GAS,RES_GEO,0.0
DEC_ADVCOGEN_GAS,RES_HYDRO,0.0
DEC_ADVCOGEN_GAS,RES_SOLAR,0.0
DEC_ADVCOGEN_GAS,RES_WIND,0.0
DEC_ADVCOGEN_GAS,URANIUM,0.0
DEC_ADVCOGEN_GAS,WASTE,0.0
DEC_ADVCOGEN_GAS,WET_BIOMASS,0.0
DEC_ADVCOGEN_GAS,WOOD,0.0
DEC_ADVCOGEN_H2,AMMONIA,0.0
DEC_ADVCOGEN_H2,COAL,0.0
DEC_ADVCOGEN_H2,ELECTRICITY,2.64
DEC_ADVCOGEN_H2,GAS,0.0
DEC_ADVCOGEN_H2,H2,-4.55
DEC_ADVCOGEN_H2,HEAT_HIGH_T,0.0
DEC_ADVCOGEN_H2,HEAT_LOW_T_DECEN,1.0
DEC_ADVCOGEN_H2,HEAT_LOW_T_DHN,0.0
DEC_ADVCOGEN_H2,LFO,0.0
DEC_ADVCOGEN_H2,RES_GEO,0.0
DEC_ADVCOGEN_H2,RES_HYDRO,0.0
DEC_ADVCOGEN_H2,RES_SOLAR,0.0
DEC_ADVCOGEN_H2,RES_WIND,0.0
DEC_ADVCOGEN_H2,URANIUM,0.0
DEC_ADVCOGEN_H2,WASTE,0.0
DEC_ADVCOGEN_H2,WET_BIOMASS,0.0
DEC_ADVCOGEN_H2,WOOD,0.0
DEC_BOILER_GAS,AMMONIA,0.0
DEC_BOILER_GAS,COAL,0.0
DEC_BOILER_GAS,ELECTRICITY,0.0
DEC_BOILER_GAS,GAS,-1.11
DEC_BOILER_GAS,H2,0.0
DEC_BOILER_GAS,HEAT_HIGH_T,0.0
DEC_BOILER_GAS,HEAT_LOW_T_DECEN,1.0
