ct,n,h,td,val
ELECTRICITY,GERMANY,1,1,6.466012248615669
ELECTRICITY,GERMANY,1,2,1.014145131619671
ELECTRICITY,GERMANY,1,3,1.012787059066341
ELECTRICITY,GERMANY,1,4,0.9906656730066814
ELECTRICITY,GERMANY,1,5,4.541990729321377
ELECTRICITY,GERMANY,1,6,0.9363468400052994
ELECTRICITY,GERMANY,1,7,0.9434704380171013
ELECTRICITY,GERMANY,1,8,0.942507965729277
ELECTRICITY,GERMANY,1,9,0.9628176202732917
ELECTRICITY,GERMANY,1,10,6.135220635892537
ELECTRICITY,GERMANY,1,11,0.961763927194383
ELECTRICITY,GERMANY,1,12,6.23643551210516
ELECTRICITY,GERMANY,2,1,6.412497259090088
ELECTRICITY,GERMANY,2,2,1.003651949737716
ELECTRICITY,GERMANY,2,3,1.006157728686787
ELECTRICITY,GERMANY,2,4,0.9701785785306356
ELECTRICITY,GERMANY,2,5,4.533006805038561
ELECTRICITY,GERMANY,2,6,0.9419597102907318
ELECTRICITY,GERMANY,2,7,0.9443956773313005
ELECTRICITY,GERMANY,2,8,0.943139995456562
ELECTRICITY,GERMANY,2,9,0.9632923406450047
ELECTRICITY,GERMANY,2,10,6.151253280292501
ELECTRICITY,GERMANY,2,11,0.9542884775652709
ELECTRICITY,GERMANY,2,12,6.201903474069738
ELECTRICITY,GERMANY,3,1,6.411765551291893
ELECTRICITY,GERMANY,3,2,0.9987641915480339
ELECTRICITY,GERMANY,3,3,1.008519229832139
ELECTRICITY,GERMANY,3,4,0.9781548115828471
ELECTRICITY,GERMANY,3,5,4.570994602364912
ELECTRICITY,GERMANY,3,6,0.9496604193897582
ELECTRICITY,GERMANY,3,7,0.9542819617925957
ELECTRICITY,GERMANY,3,8,1.011217783763627
ELECTRICITY,GERMANY,3,9,0.969168634195384
ELECTRICITY,GERMANY,3,10,6.215377963054451
ELECTRICITY,GERMANY,3,11,0.9516281818312677
ELECTRICITY,GERMANY,3,12,6.214914983732143
ELECTRICITY,GERMANY,4,1,6.433168005866563
ELECTRICITY,GERMANY,4,2,0.9993608498972293
ELECTRICITY,GERMANY,4,3,1.011917669203612
ELECTRICITY,GERMANY,4,4,1.001454273624105
ELECTRICITY,GERMANY,4,5,4.675315112997474
ELECTRICITY,GERMANY,4,6,0.973757597822626
ELECTRICITY,GERMANY,4,7,0.9753474456115754
ELECTRICITY,GERMANY,4,8,1.021394077052982
ELECTRICITY,GERMANY,4,9,1.000198591712739
ELECTRICITY,GERMANY,4,10,6.34768125144528
ELECTRICITY,GERMANY,4,11,0.9490525911049446
ELECTRICITY,GERMANY,4,12,6.26700820143467
ELECTRICITY,GERMANY,5,1,6.546399811577857
ELECTRICITY,GERMANY,5,2,1.014324780693897
ELECTRICITY,GERMANY,5,3,1.034717278617606
ELECTRICITY,GERMANY,5,4,1.056083418595293
ELECTRICITY,GERMANY,5,5,4.351207680575598
ELECTRICITY,GERMANY,5,6,1.026610730108018
ELECTRICITY,GERMANY,5,7,1.025996386048874
ELECTRICITY,GERMANY,5,8,1.054076864728401
ELECTRICITY,GERMANY,5,9,1.051514933144091
ELECTRICITY,GERMANY,5,10,6.720397778647552
ELECTRICITY,GERMANY,5,11,0.9473975855713235
ELECTRICITY,GERMANY,5,12,6.417074205134426
ELECTRICITY,GERMANY,6,1,6.869814872836969
ELECTRICITY,GERMANY,6,2,1.065081696744912
ELECTRICITY,GERMANY,6,3,1.090512746385798
ELECTRICITY,GERMANY,6,4,1.089827659654134
ELECTRICITY,GERMANY,6,5,4.075325953065843
ELECTRICITY,GERMANY,6,6,1.066417429571487
ELECTRICITY,GERMANY,6,7,1.066592424482621
ELECTRICITY,GERMANY,6,8,1.069598056012737
ELECTRICITY,GERMANY,6,9,1.088604556592088
ELECTRICITY,GERMANY,6,10,6.979823711046393
ELECTRICITY,GERMANY,6,11,0.9586912763130115
ELECTRICITY,GERMANY,6,12,6.794944948481174
ELECTRICITY,GERMANY,7,1,7.186709667788165
ELECTRICITY,GERMANY,7,2,1.111322253488552
ELECTRICITY,GERMANY,7,3,1.131353591599634
ELECTRICITY,GERMANY,7,4,1.110334648917998
ELECTRICITY,GERMANY,7,5,5.174964049720387
ELECTRICITY,GERMANY,7,6,1.086016865184163
ELECTRICITY,GERMANY,7,7,1.086174174431804
ELECTRICITY,GERMANY,7,8,1.092094216765759
ELECTRICITY,GERMANY,7,9,1.113696786158499
ELECTRICITY,GERMANY,7,10,7.118960424076093
ELECTRICITY,GERMANY,7,11,0.9801644611577345
ELECTRICITY,GERMANY,7,12,7.10852543106904
ELECTRICITY,GERMANY,8,1,7.335700974141901
ELECTRICITY,GERMANY,8,2,1.126288045934203
ELECTRICITY,GERMANY,8,3,1.140033527820563
ELECTRICITY,GERMANY,8,4,1.115433704212279
ELECTRICITY,GERMANY,8,5,4.667464672301179
ELECTRICITY,GERMANY,8,6,1.535689110137895
ELECTRICITY,GERMANY,8,7,1.095671374352804
ELECTRICITY,GERMANY,8,8,1.614302732355952
ELECTRICITY,GERMANY,8,9,1.123276829438495
ELECTRICITY,GERMANY,8,10,7.153763785928746
