p,n,h,td,dual_raw
AMMONIA,GERMANY,1,1,1.446651426008841
AMMONIA,GERMANY,1,2,0.9108546206299302
AMMONIA,GERMANY,1,3,0.5357968136385243
AMMONIA,GERMANY,1,4,1.875288941700539
AMMONIA,GERMANY,1,5,1.928868683387778
AMMONIA,GERMANY,1,6,0.803695266850709
AMMONIA,GERMANY,1,7,2.036028178528224
AMMONIA,GERMANY,1,8,3.054042281002553
AMMONIA,GERMANY,1,9,1.232332854892075
AMMONIA,GERMANY,1,10,1.393071817614556
AMMONIA,GERMANY,1,11,1.821709289626565
AMMONIA,GERMANY,1,12,2.51824514361573
AMMONIA,GERMANY,2,1,1.446651425975173
AMMONIA,GERMANY,2,2,0.9108546205984868
AMMONIA,GERMANY,2,3,0.5357968136359058
AMMONIA,GERMANY,2,4,1.875288941798762
AMMONIA,GERMANY,2,5,1.928868683477775
AMMONIA,GERMANY,2,6,0.8036952668902426
AMMONIA,GERMANY,2,7,2.036028178515513
AMMONIA,GERMANY,2,8,3.054042281045914
AMMONIA,GERMANY,2,9,1.232332854910142
AMMONIA,GERMANY,2,10,1.393071817595178
AMMONIA,GERMANY,2,11,1.82170928954508
AMMONIA,GERMANY,2,12,2.51824514350949
AMMONIA,GERMANY,3,1,1.446651425941593
AMMONIA,GERMANY,3,2,0.9108546205650064
AMMONIA,GERMANY,3,3,0.5357968136319273
AMMONIA,GERMANY,3,4,1.875288941890101
AMMONIA,GERMANY,3,5,1.928868683568352
AMMONIA,GERMANY,3,6,0.80369526692998
AMMONIA,GERMANY,3,7,2.036028178502668
AMMONIA,GERMANY,3,8,3.05404228107822
AMMONIA,GERMANY,3,9,1.232332854928189
AMMONIA,GERMANY,3,10,1.39307181757574
AMMONIA,GERMANY,3,11,1.821709289462357
AMMONIA,GERMANY,3,12,2.518245143403334
AMMONIA,GERMANY,4,1,1.446651425908134
AMMONIA,GERMANY,4,2,0.9108546205298186
AMMONIA,GERMANY,4,3,0.5357968136275132
AMMONIA,GERMANY,4,4,1.875288941980336
AMMONIA,GERMANY,4,5,1.928868683658539
AMMONIA,GERMANY,4,6,0.8036952669681627
AMMONIA,GERMANY,4,7,2.036028178489063
AMMONIA,GERMANY,4,8,3.054042281125255
AMMONIA,GERMANY,4,9,1.232332854945753
AMMONIA,GERMANY,4,10,1.393071817556009
AMMONIA,GERMANY,4,11,1.821709289381787
AMMONIA,GERMANY,4,12,2.51824514329724
AMMONIA,GERMANY,5,1,1.446651425874763
AMMONIA,GERMANY,5,2,0.9108546204965633
AMMONIA,GERMANY,5,3,0.5357968136214323
AMMONIA,GERMANY,5,4,1.875288942070719
AMMONIA,GERMANY,5,5,1.928868683757112
AMMONIA,GERMANY,5,6,0.803695267006739
AMMONIA,GERMANY,5,7,2.036028178475146
AMMONIA,GERMANY,5,8,3.054042281172312
AMMONIA,GERMANY,5,9,1.232332854963852
AMMONIA,GERMANY,5,10,1.393071817536595
AMMONIA,GERMANY,5,11,1.821709289299857
AMMONIA,GERMANY,5,12,2.518245143191153
AMMONIA,GERMANY,6,1,1.446651425841644
AMMONIA,GERMANY,6,2,0.910854620470251
AMMONIA,GERMANY,6,3,0.535796813616198
AMMONIA,GERMANY,6,4,1.87528894216122
AMMONIA,GERMANY,6,5,1.928868683855547
AMMONIA,GERMANY,6,6,0.8036952670445358
AMMONIA,GERMANY,6,7,2.03602817846118
