pt,n,h,td,val
CCGT,GERMANY,1,1,3.890886277417612e-11
CCGT,GERMANY,1,2,7.514966091787307
CCGT,GERMANY,1,3,7.514966091564502
CCGT,GERMANY,1,4,7.514966091942232
CCGT,GERMANY,1,5,4.259797212649492e-11
CCGT,GERMANY,1,6,7.514966091744784
CCGT,GERMANY,1,7,7.514966091963029
CCGT,GERMANY,1,8,7.514966092010224
CCGT,GERMANY,1,9,7.514966091870189
CCGT,GERMANY,1,10,4.05204635155459e-11
CCGT,GERMANY,1,11,7.514966091946373
CCGT,GERMANY,1,12,2.214186314095668e-11
CCGT,GERMANY,2,1,3.890814341841592e-11
CCGT,GERMANY,2,2,7.514966091787094
CCGT,GERMANY,2,3,7.514966091564512
CCGT,GERMANY,2,4,7.514966091950567
CCGT,GERMANY,2,5,4.276231155133683e-11
CCGT,GERMANY,2,6,7.514966091744797
CCGT,GERMANY,2,7,7.514966091963033
CCGT,GERMANY,2,8,7.514966092010383
CCGT,GERMANY,2,9,7.514966091870087
CCGT,GERMANY,2,10,4.052037073004808e-11
CCGT,GERMANY,2,11,7.514966091946204
CCGT,GERMANY,2,12,2.214087204904966e-11
CCGT,GERMANY,3,1,3.890731297055244e-11
CCGT,GERMANY,3,2,7.514966091787234
CCGT,GERMANY,3,3,7.51496609156453
CCGT,GERMANY,3,4,7.514966091950726
CCGT,GERMANY,3,5,4.292922943133738e-11
CCGT,GERMANY,3,6,7.514966091744691
CCGT,GERMANY,3,7,7.51496609196302
CCGT,GERMANY,3,8,7.514966091993006
CCGT,GERMANY,3,9,7.514966091870249
CCGT,GERMANY,3,10,4.052032005109408e-11
CCGT,GERMANY,3,11,7.514966091946013
CCGT,GERMANY,3,12,2.213983284348749e-11
CCGT,GERMANY,4,1,3.890639394764634e-11
CCGT,GERMANY,4,2,7.514966091787187
CCGT,GERMANY,4,3,7.514966091564606
CCGT,GERMANY,4,4,7.514966091950546
CCGT,GERMANY,4,5,4.309878560882504e-11
CCGT,GERMANY,4,6,7.514966091744628
CCGT,GERMANY,4,7,7.51496609196285
CCGT,GERMANY,4,8,7.514966091999529
CCGT,GERMANY,4,9,7.514966091870146
CCGT,GERMANY,4,10,4.052018537359e-11
CCGT,GERMANY,4,11,7.514966091946207
CCGT,GERMANY,4,12,2.213876602062783e-11
CCGT,GERMANY,5,1,3.890540809186209e-11
CCGT,GERMANY,5,2,7.514966091787153
CCGT,GERMANY,5,3,7.514966091564573
CCGT,GERMANY,5,4,7.514966091950545
CCGT,GERMANY,5,5,5.099881697287717e-11
CCGT,GERMANY,5,6,7.51496609174468
CCGT,GERMANY,5,7,7.514966091962853
CCGT,GERMANY,5,8,7.51496609200496
CCGT,GERMANY,5,9,7.514966091870225
CCGT,GERMANY,5,10,4.052002765984702e-11
CCGT,GERMANY,5,11,7.514966091946179
CCGT,GERMANY,5,12,2.213768248910361e-11
CCGT,GERMANY,6,1,3.890453547997566e-11
CCGT,GERMANY,6,2,7.514966091787038
CCGT,GERMANY,6,3,7.514966091564454
CCGT,GERMANY,6,4,7.514966091950723
CCGT,GERMANY,6,5,5.970527392724946e-11
CCGT,GERMANY,6,6,7.514966091744749
CCGT,GERMANY,6,7,7.51496609196301
CCGT,GERMANY,6,8,7.51496609201022
CCGT,GERMANY,6,9,7.514966091870227
CCGT,GERMANY,6,10,4.051995838989626e-11
CCGT,GERMANY,6,11,7.514966091946177
CCGT,GERMANY,6,12,2.213663088197985e-11
CCGT,GERMANY,7,1,3.890376633684966e-11
CCGT,GERMANY,7,2,7.514966091787177
CCGT,GERMANY,7,3,7.514966091564615
CCGT,GERMANY,7,4,7.514966091950567
CCGT,GERMANY,7,5,4.362442624550411e-11
CCGT,GERMANY,7,6,7.514966091744692
CCGT,GERMANY,7,7,7.514966091962846
CCGT,GERMANY,7,8,7.514966092010352
CCGT,GERMANY,7,9,7.514966091869981
CCGT,GERMANY,7,10,4.051985222833206e-11
CCGT,GERMANY,7,11,7.514966091945998
CCGT,GERMANY,7,12,2.213560823881023e-11
CCGT,GERMANY,8,1,3.890298485318816e-11
CCGT,GERMANY,8,2,7.51496609178716
CCGT,GERMANY,8,3,7.514966091564554
CCGT,GERMANY,8,4,7.51496609195076
CCGT,GERMANY,8,5,5.100698051983421e-11
CCGT,GERMANY,8,6,7.514966085189279
CCGT,GERMANY,8,7,7.514966091963195
CCGT,GERMANY,8,8,2.336978709861993
CCGT,GERMANY,8,9,7.514966091870161
CCGT,GERMANY,8,10,4.051976774586809e-11
CCGT,GERMANY,8,11,7.514966091946007
CCGT,GERMANY,8,12,2.213460409451262e-11
CCGT,GERMANY,9,1,3.89022888385524e-11
CCGT,GERMANY,9,2,7.51496609178726
CCGT,GERMANY,9,3,7.514966091564574
CCGT,GERMANY,9,4,7.514966091950431
CCGT,GERMANY,9,5,4.293586732590278e-11
CCGT,GERMANY,9,6,1.070844284074164e-10
CCGT,GERMANY,9,7,7.514966091962871
CCGT,GERMANY,9,8,8.889869820734821e-11
CCGT,GERMANY,9,9,7.51496609187018
CCGT,GERMANY,9,10,4.051970298076942e-11
CCGT,GERMANY,9,11,7.514966091946158
CCGT,GERMANY,9,12,2.213362722924195e-11
CCGT,GERMANY,10,1,3.890162652989209e-11
CCGT,GERMANY,10,2,7.514966091787173
CCGT,GERMANY,10,3,7.514966091564613
CCGT,GERMANY,10,4,7.514966091950614
CCGT,GERMANY,10,5,4.276115616941236e-11
CCGT,GERMANY,10,6,1.062403195588741e-10
CCGT,GERMANY,10,7,7.514966091963178
CCGT,GERMANY,10,8,4.23067871871045e-11
CCGT,GERMANY,10,9,7.514966091870227
CCGT,GERMANY,10,10,4.051962588360556e-11
CCGT,GERMANY,10,11,7.514966091946161
CCGT,GERMANY,10,12,2.213265921337447e-11
CCGT,GERMANY,11,1,3.890095288237891e-11
CCGT,GERMANY,11,2,7.514966091787258
CCGT,GERMANY,11,3,7.514966091564443
CCGT,GERMANY,11,4,7.514966091950641
CCGT,GERMANY,11,5,4.276101530167901e-11
CCGT,GERMANY,11,6,1.066796937587115e-10
CCGT,GERMANY,11,7,7.514966091963108
CCGT,GERMANY,11,8,2.670959288476203e-11
CCGT,GERMANY,11,9,7.514966091870225
CCGT,GERMANY,11,10,4.051953284750511e-11
CCGT,GERMANY,11,11,7.514966091946321
CCGT,GERMANY,11,12,2.213164506139251e-11
CCGT,GERMANY,12,1,3.890023699401425e-11
CCGT,GERMANY,12,2,7.514966091787256
CCGT,GERMANY,12,3,7.514966091564621
CCGT,GERMANY,12,4,7.514966091859198
CCGT,GERMANY,12,5,4.276085226986614e-11
CCGT,GERMANY,12,6,1.071263138024758e-10
CCGT,GERMANY,12,7,7.514966091945966
CCGT,GERMANY,12,8,2.670912371597533e-11
CCGT,GERMANY,12,9,7.514966091870206
CCGT,GERMANY,12,10,4.051944302930267e-11
CCGT,GERMANY,12,11,7.514966091946153
CCGT,GERMANY,12,12,2.21306990046722e-11
CCGT,GERMANY,13,1,3.889957824773629e-11
CCGT,GERMANY,13,2,7.514966091787163
CCGT,GERMANY,13,3,7.51496609156449
CCGT,GERMANY,13,4,7.514966091859679
CCGT,GERMANY,13,5,4.211831964245347e-11
CCGT,GERMANY,13,6,1.062776628183293e-10
CCGT,GERMANY,13,7,7.514966091787509
CCGT,GERMANY,13,8,2.670851036813217e-11
CCGT,GERMANY,13,9,7.514966091870168
CCGT,GERMANY,13,10,4.051929090419043e-11
CCGT,GERMANY,13,11,7.514966091946193
CCGT,GERMANY,13,12,2.212971113994417e-11
CCGT,GERMANY,14,1,3.889890315255778e-11
CCGT,GERMANY,14,2,7.514966091787241
CCGT,GERMANY,14,3,7.514966091564503
CCGT,GERMANY,14,4,7.514966091857956
CCGT,GERMANY,14,5,4.227490038251273e-11
CCGT,GERMANY,14,6,1.062902243914496e-10
CCGT,GERMANY,14,7,7.514966091818321
CCGT,GERMANY,14,8,1.822720963280959e-11
CCGT,GERMANY,14,9,7.514966091870181
CCGT,GERMANY,14,10,4.051908327326061e-11
CCGT,GERMANY,14,11,7.514966091946211
CCGT,GERMANY,14,12,3.228167549790641e-11
CCGT,GERMANY,15,1,3.889820087646919e-11
CCGT,GERMANY,15,2,7.514966091787129
CCGT,GERMANY,15,3,7.514966091564541
CCGT,GERMANY,15,4,7.514966091857931
CCGT,GERMANY,15,5,4.243397227810786e-11
CCGT,GERMANY,15,6,1.063025043197091e-10
CCGT,GERMANY,15,7,7.514966091843848
CCGT,GERMANY,15,8,2.670728006739752e-11
CCGT,GERMANY,15,9,7.514966091870277
CCGT,GERMANY,15,10,4.051888897073834e-11
CCGT,GERMANY,15,11,7.514966091945993
CCGT,GERMANY,15,12,3.240299505627497e-11
CCGT,GERMANY,16,1,3.889752075100023e-11
CCGT,GERMANY,16,2,7.514966091787191
CCGT,GERMANY,16,3,7.514966091564536
CCGT,GERMANY,16,4,7.514966091858445
CCGT,GERMANY,16,5,4.276005697096492e-11
CCGT,GERMANY,16,6,1.08981545949516e-10
CCGT,GERMANY,16,7,7.514966091865495
CCGT,GERMANY,16,8,2.67065743915172e-11
CCGT,GERMANY,16,9,7.514966091870082
CCGT,GERMANY,16,10,4.051870828730809e-11
CCGT,GERMANY,16,11,7.514966091946128
CCGT,GERMANY,16,12,1.462644127233266e-10
CCGT,GERMANY,17,1,3.889681677264673e-11
CCGT,GERMANY,17,2,7.514966091787261
CCGT,GERMANY,17,3,7.51496609156451
CCGT,GERMANY,17,4,7.514966091862056
CCGT,GERMANY,17,5,4.275962755196867e-11
CCGT,GERMANY,17,6,1.094629943343321e-10
CCGT,GERMANY,17,7,7.514966091883841
CCGT,GERMANY,17,8,2.712996735112755e-11
CCGT,GERMANY,17,9,7.514966091870199
CCGT,GERMANY,17,10,4.051850419955018e-11
CCGT,GERMANY,17,11,7.514966091946101
CCGT,GERMANY,17,12,1.532455434109997e-10
CCGT,GERMANY,18,1,3.889617457403751e-11
CCGT,GERMANY,18,2,7.514966091787161
CCGT,GERMANY,18,3,7.514966091564514
CCGT,GERMANY,18,4,7.514966091878291
CCGT,GERMANY,18,5,4.6705289291433e-11
CCGT,GERMANY,18,6,1.466632439721384e-08
CCGT,GERMANY,18,7,7.514966091962743
CCGT,GERMANY,18,8,3.442868921722523e-09
CCGT,GERMANY,18,9,7.514966091870092
CCGT,GERMANY,18,10,4.051833419610029e-11
CCGT,GERMANY,18,11,7.51496609194627
CCGT,GERMANY,18,12,1.612284156789345e-10
CCGT,GERMANY,19,1,3.88954964212752e-11
CCGT,GERMANY,19,2,7.514966091787179
CCGT,GERMANY,19,3,7.514966091564538
CCGT,GERMANY,19,4,7.514966091890463
CCGT,GERMANY,19,5,4.275920656200903e-11
CCGT,GERMANY,19,6,9.370652705395781e-08
CCGT,GERMANY,19,7,7.514966091963203
CCGT,GERMANY,19,8,7.514966092010365
CCGT,GERMANY,19,9,7.514966091870256
CCGT,GERMANY,19,10,4.051817568483608e-11
CCGT,GERMANY,19,11,7.514966091946262
CCGT,GERMANY,19,12,1.700298067274471e-10
CCGT,GERMANY,20,1,3.889487466421137e-11
CCGT,GERMANY,20,2,7.514966091787256
CCGT,GERMANY,20,3,7.514966091564578
CCGT,GERMANY,20,4,7.514966091725331
CCGT,GERMANY,20,5,4.275904423862672e-11
CCGT,GERMANY,20,6,4.039012588033642
CCGT,GERMANY,20,7,7.514966091963012
CCGT,GERMANY,20,8,7.514966092010333
CCGT,GERMANY,20,9,7.514966091870255
CCGT,GERMANY,20,10,4.051798761889828e-11
CCGT,GERMANY,20,11,7.514966091946261
CCGT,GERMANY,20,12,1.799285959368816e-10
CCGT,GERMANY,21,1,3.889431973079435e-11
CCGT,GERMANY,21,2,7.51496609178716
CCGT,GERMANY,21,3,7.514966091564518
CCGT,GERMANY,21,4,7.514966091537802
CCGT,GERMANY,21,5,2.910138163783682e-11
CCGT,GERMANY,21,6,5.978426692788801
CCGT,GERMANY,21,7,7.514966091962856
CCGT,GERMANY,21,8,7.514966092010344
CCGT,GERMANY,21,9,7.514966091870102
CCGT,GERMANY,21,10,4.051785904441217e-11
CCGT,GERMANY,21,11,7.514966091946253
CCGT,GERMANY,21,12,1.911433562586901e-10
CCGT,GERMANY,22,1,3.889389247763487e-11
CCGT,GERMANY,22,2,7.514966091787273
CCGT,GERMANY,22,3,1.221302309603238
CCGT,GERMANY,22,4,7.514966091621303
CCGT,GERMANY,22,5,2.910133893847913e-11
CCGT,GERMANY,22,6,7.51496608399164
CCGT,GERMANY,22,7,7.514966091963234
CCGT,GERMANY,22,8,7.514966092010517
CCGT,GERMANY,22,9,7.514966091870113
CCGT,GERMANY,22,10,4.051767076839035e-11
CCGT,GERMANY,22,11,7.514966091946254
CCGT,GERMANY,22,12,2.039518985365745e-10
CCGT,GERMANY,23,1,3.889330418236939e-11
CCGT,GERMANY,23,2,7.514966091787138
CCGT,GERMANY,23,3,4.039012592571981
CCGT,GERMANY,23,4,7.514966091683216
CCGT,GERMANY,23,5,2.910127068935527e-11
CCGT,GERMANY,23,6,7.514966091744847
CCGT,GERMANY,23,7,7.514966091963234
CCGT,GERMANY,23,8,7.514966092010369
CCGT,GERMANY,23,9,7.514966091870137
CCGT,GERMANY,23,10,4.051747618244952e-11
