st,n,h,td,val
AMMONIA,GERMANY,1,1,1.186334193624071e-10
AMMONIA,GERMANY,1,2,1.884177944559235e-10
AMMONIA,GERMANY,1,3,3.203102113724713e-10
AMMONIA,GERMANY,1,4,9.151721421285225e-11
AMMONIA,GERMANY,1,5,8.89750765284841e-11
AMMONIA,GERMANY,1,6,2.135401703927245e-10
AMMONIA,GERMANY,1,7,8.429219273026674e-11
AMMONIA,GERMANY,1,8,5.619479550981204e-11
AMMONIA,GERMANY,1,9,1.392653639686088e-10
AMMONIA,GERMANY,1,10,1.231962598596928e-10
AMMONIA,GERMANY,1,11,9.42089039797937e-11
AMMONIA,GERMANY,1,12,6.815111844308152e-11
AMMONIA,GERMANY,2,1,1.186334193542676e-10
AMMONIA,GERMANY,2,2,1.884177944360711e-10
AMMONIA,GERMANY,2,3,3.203102113699302e-10
AMMONIA,GERMANY,2,4,9.151721422488277e-11
AMMONIA,GERMANY,2,5,8.897507653995875e-11
AMMONIA,GERMANY,2,6,2.13540170417659e-10
AMMONIA,GERMANY,2,7,8.429219272960499e-11
AMMONIA,GERMANY,2,8,5.619479551238622e-11
AMMONIA,GERMANY,2,9,1.392653639750674e-10
AMMONIA,GERMANY,2,10,1.231962598551268e-10
AMMONIA,GERMANY,2,11,9.420890396876904e-11
AMMONIA,GERMANY,2,12,6.815111843522e-11
AMMONIA,GERMANY,3,1,1.186334193461679e-10
AMMONIA,GERMANY,3,2,1.884177944161394e-10
AMMONIA,GERMANY,3,3,3.203102113674421e-10
AMMONIA,GERMANY,3,4,9.151721423622507e-11
AMMONIA,GERMANY,3,5,8.897507655145987e-11
AMMONIA,GERMANY,3,6,2.135401704425406e-10
AMMONIA,GERMANY,3,7,8.429219272894325e-11
AMMONIA,GERMANY,3,8,5.619479551439131e-11
AMMONIA,GERMANY,3,9,1.392653639814731e-10
AMMONIA,GERMANY,3,10,1.231962598506534e-10
AMMONIA,GERMANY,3,11,9.420890395770467e-11
AMMONIA,GERMANY,3,12,6.815111842735847e-11
AMMONIA,GERMANY,4,1,1.186334193380946e-10
AMMONIA,GERMANY,4,2,1.884177943961812e-10
AMMONIA,GERMANY,4,3,3.20310211364848e-10
AMMONIA,GERMANY,4,4,9.15172142475409e-11
AMMONIA,GERMANY,4,5,8.897507656297423e-11
AMMONIA,GERMANY,4,6,2.135401704673692e-10
AMMONIA,GERMANY,4,7,8.429219272825503e-11
AMMONIA,GERMANY,4,8,5.619479551711108e-11
AMMONIA,GERMANY,4,9,1.392653639878258e-10
AMMONIA,GERMANY,4,10,1.231962598462065e-10
AMMONIA,GERMANY,4,11,9.420890394662707e-11
AMMONIA,GERMANY,4,12,6.815111841951018e-11
AMMONIA,GERMANY,5,1,1.186334193300742e-10
AMMONIA,GERMANY,5,2,1.8841779437617e-10
AMMONIA,GERMANY,5,3,3.203102113624128e-10
AMMONIA,GERMANY,5,4,9.15172142588435e-11
AMMONIA,GERMANY,5,5,8.897507657526944e-11
AMMONIA,GERMANY,5,6,2.13540170492145e-10
AMMONIA,GERMANY,5,7,8.429219272754035e-11
AMMONIA,GERMANY,5,8,5.619479551983085e-11
AMMONIA,GERMANY,5,9,1.39265363994205e-10
AMMONIA,GERMANY,5,10,1.23196259841786e-10
AMMONIA,GERMANY,5,11,9.420890393550976e-11
AMMONIA,GERMANY,5,12,6.815111841168836e-11
AMMONIA,GERMANY,6,1,1.186334193220936e-10
AMMONIA,GERMANY,6,2,1.884177943561324e-10
AMMONIA,GERMANY,6,3,3.203102113599776e-10
AMMONIA,GERMANY,6,4,9.151721427009315e-11
AMMONIA,GERMANY,6,5,8.897507658751171e-11
AMMONIA,GERMANY,6,6,2.135401705169471e-10
AMMONIA,GERMANY,6,7,8.429219272678596e-11
AMMONIA,GERMANY,6,8,5.619479552255062e-11
AMMONIA,GERMANY,6,9,1.392653640004784e-10
AMMONIA,GERMANY,6,10,1.23196259837445e-10
AMMONIA,GERMANY,6,11,9.420890392437922e-11
AMMONIA,GERMANY,6,12,6.815111840386654e-11
AMMONIA,GERMANY,7,1,1.186334193141527e-10
AMMONIA,GERMANY,7,2,1.884177943360154e-10
AMMONIA,GERMANY,7,3,3.203102113575953e-10
AMMONIA,GERMANY,7,4,9.151721428132957e-11
AMMONIA,GERMANY,7,5,8.897507659768934e-11
AMMONIA,GERMANY,7,6,2.13540170541617e-10
AMMONIA,GERMANY,7,7,8.429219272603157e-11
AMMONIA,GERMANY,7,8,5.619479552506525e-11
AMMONIA,GERMANY,7,9,1.392653640066723e-10
AMMONIA,GERMANY,7,10,1.231962598331436e-10
AMMONIA,GERMANY,7,11,9.42089039132222e-11
AMMONIA,GERMANY,7,12,6.81511183960712e-11
AMMONIA,GERMANY,8,1,1.186334193062647e-10
AMMONIA,GERMANY,8,2,1.884177943158719e-10
AMMONIA,GERMANY,8,3,3.203102113551071e-10
