j,h,td,val
AMMONIA_STORAGE,1,1,4.498339690045539e-06
AMMONIA_STORAGE,1,2,4.49828092037325e-06
AMMONIA_STORAGE,1,3,4.498314103684384e-06
AMMONIA_STORAGE,1,4,4.498279147337539e-06
AMMONIA_STORAGE,1,5,4.498326158238787e-06
AMMONIA_STORAGE,1,6,4.498285358209633e-06
AMMONIA_STORAGE,1,7,4.498278363579931e-06
AMMONIA_STORAGE,1,8,4.498283593109415e-06
AMMONIA_STORAGE,1,9,4.498276026790315e-06
AMMONIA_STORAGE,1,10,4.498341126857146e-06
AMMONIA_STORAGE,1,11,4.498277216213008e-06
AMMONIA_STORAGE,1,12,4.49832406864293e-06
AMMONIA_STORAGE,2,1,4.498339690026457e-06
AMMONIA_STORAGE,2,2,4.498280920459986e-06
AMMONIA_STORAGE,2,3,4.498314103688721e-06
AMMONIA_STORAGE,2,4,4.498277493204111e-06
AMMONIA_STORAGE,2,5,4.498326113992063e-06
AMMONIA_STORAGE,2,6,4.498285358185347e-06
AMMONIA_STORAGE,2,7,4.498278363631973e-06
AMMONIA_STORAGE,2,8,4.498283592934207e-06
AMMONIA_STORAGE,2,9,4.498276026789448e-06
AMMONIA_STORAGE,2,10,4.498341126881432e-06
AMMONIA_STORAGE,2,11,4.498277216190456e-06
AMMONIA_STORAGE,2,12,4.498324068611705e-06
AMMONIA_STORAGE,3,1,4.498339690066355e-06
AMMONIA_STORAGE,3,2,4.498280920477334e-06
AMMONIA_STORAGE,3,3,4.498314103706068e-06
AMMONIA_STORAGE,3,4,4.49827749351376e-06
AMMONIA_STORAGE,3,5,4.498326069100889e-06
AMMONIA_STORAGE,3,6,4.498285358169735e-06
AMMONIA_STORAGE,3,7,4.498278363556513e-06
AMMONIA_STORAGE,3,8,4.498287092344171e-06
AMMONIA_STORAGE,3,9,4.498276026825877e-06
AMMONIA_STORAGE,3,10,4.498341126786889e-06
AMMONIA_STORAGE,3,11,4.498277216204334e-06
AMMONIA_STORAGE,3,12,4.498324068652471e-06
AMMONIA_STORAGE,4,1,4.498339690020385e-06
AMMONIA_STORAGE,4,2,4.49828092045218e-06
AMMONIA_STORAGE,4,3,4.498314103667904e-06
AMMONIA_STORAGE,4,4,4.498277493374982e-06
AMMONIA_STORAGE,4,5,4.498326023697971e-06
AMMONIA_STORAGE,4,6,4.498285358171469e-06
AMMONIA_STORAGE,4,7,4.498278363653657e-06
AMMONIA_STORAGE,4,8,4.498285992002131e-06
AMMONIA_STORAGE,4,9,4.498276026777305e-06
AMMONIA_STORAGE,4,10,4.498341126810308e-06
AMMONIA_STORAGE,4,11,4.498277216200865e-06
AMMONIA_STORAGE,4,12,4.498324068546652e-06
AMMONIA_STORAGE,5,1,4.498339689998701e-06
AMMONIA_STORAGE,5,2,4.498280920486007e-06
AMMONIA_STORAGE,5,3,4.4983141037052e-06
AMMONIA_STORAGE,5,4,4.498277493501616e-06
AMMONIA_STORAGE,5,5,4.498324088189794e-06
AMMONIA_STORAGE,5,6,4.498285358181878e-06
AMMONIA_STORAGE,5,7,4.498278363598146e-06
AMMONIA_STORAGE,5,8,4.498284827666142e-06
AMMONIA_STORAGE,5,9,4.498276026825877e-06
AMMONIA_STORAGE,5,10,4.498341126813778e-06
AMMONIA_STORAGE,5,11,4.498277216219947e-06
AMMONIA_STORAGE,5,12,4.49832406862298e-06
AMMONIA_STORAGE,6,1,4.498339690057682e-06
AMMONIA_STORAGE,6,2,4.498280920483405e-06
AMMONIA_STORAGE,6,3,4.498314103702598e-06
AMMONIA_STORAGE,6,4,4.498277493415748e-06
AMMONIA_STORAGE,6,5,4.498322290197483e-06
AMMONIA_STORAGE,6,6,4.498285358167133e-06
AMMONIA_STORAGE,6,7,4.498278363592942e-06
AMMONIA_STORAGE,6,8,4.498283593111149e-06
AMMONIA_STORAGE,6,9,4.498276026752152e-06
AMMONIA_STORAGE,6,10,4.49834112687536e-06
AMMONIA_STORAGE,6,11,4.498277216150558e-06
AMMONIA_STORAGE,6,12,4.498324068610837e-06
AMMONIA_STORAGE,7,1,4.498339690089774e-06
AMMONIA_STORAGE,7,2,4.498280920473864e-06
AMMONIA_STORAGE,7,3,4.498314103691323e-06
AMMONIA_STORAGE,7,4,4.498277493356767e-06
AMMONIA_STORAGE,7,5,4.498325883946046e-06
AMMONIA_STORAGE,7,6,4.498285358185347e-06
AMMONIA_STORAGE,7,7,4.498278363633708e-06
AMMONIA_STORAGE,7,8,4.498283593185742e-06
AMMONIA_STORAGE,7,9,4.498276026793785e-06
AMMONIA_STORAGE,7,10,4.498341126856278e-06
AMMONIA_STORAGE,7,11,4.498277216198263e-06
AMMONIA_STORAGE,7,12,4.498324068610837e-06
AMMONIA_STORAGE,8,1,4.498339690024722e-06
AMMONIA_STORAGE,8,2,4.49828092043917e-06
AMMONIA_STORAGE,8,3,4.498314103710405e-06
AMMONIA_STORAGE,8,4,4.498277493410544e-06
AMMONIA_STORAGE,8,5,4.498324086110728e-06
AMMONIA_STORAGE,8,6,4.498313900747758e-06
AMMONIA_STORAGE,8,7,4.498278363615493e-06
AMMONIA_STORAGE,8,8,4.498300619940748e-06
AMMONIA_STORAGE,8,9,4.498276026809397e-06
AMMONIA_STORAGE,8,10,4.498341126838931e-06
AMMONIA_STORAGE,8,11,4.498277216198263e-06
AMMONIA_STORAGE,8,12,4.498324068603031e-06
AMMONIA_STORAGE,9,1,4.498339689993497e-06
AMMONIA_STORAGE,9,2,4.498280920464323e-06
AMMONIA_STORAGE,9,3,4.498314103706935e-06
AMMONIA_STORAGE,9,4,4.49827749341835e-06
AMMONIA_STORAGE,9,5,4.498326067130243e-06
AMMONIA_STORAGE,9,6,4.49836130706361e-06
AMMONIA_STORAGE,9,7,4.498278363607687e-06
AMMONIA_STORAGE,9,8,4.498309049455647e-06
AMMONIA_STORAGE,9,9,4.498276026814602e-06
AMMONIA_STORAGE,9,10,4.498341126836329e-06
AMMONIA_STORAGE,9,11,4.498277216262447e-06
AMMONIA_STORAGE,9,12,4.498324068620378e-06
AMMONIA_STORAGE,10,1,4.498339690030793e-06
AMMONIA_STORAGE,10,2,4.498280920466925e-06
AMMONIA_STORAGE,10,3,4.498314103703466e-06
AMMONIA_STORAGE,10,4,4.498277493374114e-06
AMMONIA_STORAGE,10,5,4.498326113990328e-06
AMMONIA_STORAGE,10,6,4.498361488728189e-06
AMMONIA_STORAGE,10,7,4.498278363550441e-06
AMMONIA_STORAGE,10,8,4.498314087864573e-06
AMMONIA_STORAGE,10,9,4.498276026796387e-06
AMMONIA_STORAGE,10,10,4.498341126824186e-06
AMMONIA_STORAGE,10,11,4.498277216202599e-06
AMMONIA_STORAGE,10,12,4.498324068696706e-06
AMMONIA_STORAGE,11,1,4.49833969001865e-06
AMMONIA_STORAGE,11,2,4.498280920479936e-06
AMMONIA_STORAGE,11,3,4.498314103706935e-06
AMMONIA_STORAGE,11,4,4.4982774928988e-06
AMMONIA_STORAGE,11,5,4.49832611395997e-06
AMMONIA_STORAGE,11,6,4.498361398128786e-06
AMMONIA_STORAGE,11,7,4.498278363608554e-06
AMMONIA_STORAGE,11,8,4.498317597216236e-06
AMMONIA_STORAGE,11,9,4.498276026768631e-06
AMMONIA_STORAGE,11,10,4.498341126779083e-06
AMMONIA_STORAGE,11,11,4.498277216234692e-06
AMMONIA_STORAGE,11,12,4.498324068602164e-06
AMMONIA_STORAGE,12,1,4.498339690031661e-06
AMMONIA_STORAGE,12,2,4.498280920462588e-06
AMMONIA_STORAGE,12,3,4.498314103697394e-06
AMMONIA_STORAGE,12,4,4.498287870787453e-06
AMMONIA_STORAGE,12,5,4.498326113999869e-06
AMMONIA_STORAGE,12,6,4.498361306457324e-06
AMMONIA_STORAGE,12,7,4.498282128693153e-06
AMMONIA_STORAGE,12,8,4.498317597237921e-06
AMMONIA_STORAGE,12,9,4.498276026768631e-06
AMMONIA_STORAGE,12,10,4.498341126868421e-06
AMMONIA_STORAGE,12,11,4.498277216197395e-06
AMMONIA_STORAGE,12,12,4.498324068496345e-06
AMMONIA_STORAGE,13,1,4.498339690060284e-06
AMMONIA_STORAGE,13,2,4.498280920471262e-06
AMMONIA_STORAGE,13,3,4.49831410370867e-06
AMMONIA_STORAGE,13,4,4.498287861932557e-06
AMMONIA_STORAGE,13,5,4.498326288067227e-06
AMMONIA_STORAGE,13,6,4.49836148894503e-06
AMMONIA_STORAGE,13,7,4.498292121538246e-06
AMMONIA_STORAGE,13,8,4.498317597200624e-06
AMMONIA_STORAGE,13,9,4.498276026750417e-06
AMMONIA_STORAGE,13,10,4.498341126818114e-06
AMMONIA_STORAGE,13,11,4.498277216189589e-06
AMMONIA_STORAGE,13,12,4.498324068641195e-06
AMMONIA_STORAGE,14,1,4.498339690045539e-06
AMMONIA_STORAGE,14,2,4.498280920489477e-06
AMMONIA_STORAGE,14,3,4.498314103699129e-06
AMMONIA_STORAGE,14,4,4.498287853162662e-06
AMMONIA_STORAGE,14,5,4.498326245366141e-06
AMMONIA_STORAGE,14,6,4.49836148880365e-06
AMMONIA_STORAGE,14,7,4.49829114334329e-06
AMMONIA_STORAGE,14,8,4.498320444408337e-06
AMMONIA_STORAGE,14,9,4.49827602675909e-06
