j,n,h,td,val
BATT_LI,GERMANY,1,1,2.089110123135339e-09
BATT_LI,GERMANY,1,2,2.055915903185949e-09
BATT_LI,GERMANY,1,3,2.069892064833169e-09
BATT_LI,GERMANY,1,4,2.031197518056071e-09
BATT_LI,GERMANY,1,5,2.313886676924737e-09
BATT_LI,GERMANY,1,6,1.91957145293889e-09
BATT_LI,GERMANY,1,7,1.981165483881877e-09
BATT_LI,GERMANY,1,8,1.741599869010214e-09
BATT_LI,GERMANY,1,9,2.043842175719682e-09
BATT_LI,GERMANY,1,10,2.089110093964371e-09
BATT_LI,GERMANY,1,11,2.020743951730146e-09
BATT_LI,GERMANY,1,12,2.113086137417313e-09
BATT_LI,GERMANY,2,1,2.256085892776758e-09
BATT_LI,GERMANY,2,2,2.203887004019143e-09
BATT_LI,GERMANY,2,3,2.225756606293476e-09
BATT_LI,GERMANY,2,4,2.108256889838429e-09
BATT_LI,GERMANY,2,5,2.718561539395539e-09
BATT_LI,GERMANY,2,6,1.914529396829231e-09
BATT_LI,GERMANY,2,7,2.070416287759742e-09
BATT_LI,GERMANY,2,8,1.590738449407922e-09
BATT_LI,GERMANY,2,9,2.184926822922484e-09
BATT_LI,GERMANY,2,10,2.256085834314544e-09
BATT_LI,GERMANY,2,11,2.147473038084819e-09
BATT_LI,GERMANY,2,12,2.308071383194863e-09
BATT_LI,GERMANY,3,1,2.376753245459163e-09
BATT_LI,GERMANY,3,2,2.315227823079525e-09
BATT_LI,GERMANY,3,3,2.340752078044327e-09
BATT_LI,GERMANY,3,4,2.157721325206447e-09
BATT_LI,GERMANY,3,5,3.10101413255525e-09
BATT_LI,GERMANY,3,6,1.842278980418799e-09
BATT_LI,GERMANY,3,7,2.132080902613404e-09
BATT_LI,GERMANY,3,8,1.576746140398087e-09
BATT_LI,GERMANY,3,9,2.293026730173179e-09
BATT_LI,GERMANY,3,10,2.376753143402704e-09
BATT_LI,GERMANY,3,11,2.247253752276164e-09
BATT_LI,GERMANY,3,12,2.463361411657112e-09
BATT_LI,GERMANY,4,1,2.463711552161454e-09
BATT_LI,GERMANY,4,2,2.398930251904109e-09
BATT_LI,GERMANY,4,3,2.425292779592631e-09
BATT_LI,GERMANY,4,4,2.182492129392936e-09
BATT_LI,GERMANY,4,5,3.490244368208e-09
BATT_LI,GERMANY,4,6,1.693852372718909e-09
