k,ct,n,h,td,b
1,ELECTRICITY,GERMANY,1,1,0.1738086598383681
1,ELECTRICITY,GERMANY,1,2,0.174812095749994
1,ELECTRICITY,GERMANY,1,3,0.17504650585068687
1,ELECTRICITY,GERMANY,1,4,0.18298352694924414
1,ELECTRICITY,GERMANY,1,5,0.1848868224994401
1,ELECTRICITY,GERMANY,1,6,0.18933671614000464
1,ELECTRICITY,GERMANY,1,7,0.18790714441287004
1,ELECTRICITY,GERMANY,1,8,0.18809903182934137
1,ELECTRICITY,GERMANY,1,9,0.18413127482969197
1,ELECTRICITY,GERMANY,1,10,0.18317940235101965
1,ELECTRICITY,GERMANY,1,11,0.1843330060875202
1,ELECTRICITY,GERMANY,1,12,0.1802092103637425
1,ELECTRICITY,GERMANY,2,1,0.17525912585495923
1,ELECTRICITY,GERMANY,2,2,0.17663975634076207
1,ELECTRICITY,GERMANY,2,3,0.17619984501972674
1,ELECTRICITY,GERMANY,2,4,0.18273423035181874
1,ELECTRICITY,GERMANY,2,5,0.18473242212876104
1,ELECTRICITY,GERMANY,2,6,0.18820851244251344
1,ELECTRICITY,GERMANY,2,7,0.18772304882499483
1,ELECTRICITY,GERMANY,2,8,0.18797298037354093
1,ELECTRICITY,GERMANY,2,9,0.18404053304376375
1,ELECTRICITY,GERMANY,2,10,0.1827019768345383
1,ELECTRICITY,GERMANY,2,11,0.18577698464786005
1,ELECTRICITY,GERMANY,2,12,0.1812125911384757
1,ELECTRICITY,GERMANY,3,1,0.1752791257920167
1,ELECTRICITY,GERMANY,3,2,0.17750419703917117
1,ELECTRICITY,GERMANY,3,3,0.17578726375822776
1,ELECTRICITY,GERMANY,3,4,0.18124414841809977
1,ELECTRICITY,GERMANY,3,5,0.18267639247010456
1,ELECTRICITY,GERMANY,3,6,0.1866823469048958
1,ELECTRICITY,GERMANY,3,7,0.1857782531199865
1,ELECTRICITY,GERMANY,3,8,0.1870600474543333
1,ELECTRICITY,GERMANY,3,9,0.18292465273221253
1,ELECTRICITY,GERMANY,3,10,0.18081707620295942
1,ELECTRICITY,GERMANY,3,11,0.1862963279472424
1,ELECTRICITY,GERMANY,3,12,0.18083321390159784
1,ELECTRICITY,GERMANY,4,1,0.17469600726893625
1,ELECTRICITY,GERMANY,4,2,0.1773982199424972
1,ELECTRICITY,GERMANY,4,3,0.1751968971933763
1,ELECTRICITY,GERMANY,4,4,0.17702738958271635
1,ELECTRICITY,GERMANY,4,5,0.178086927339191
