index,capacity
AMMONIA_STORAGE,0.07897310763559595
BATT_LI,2.006574589479621e-07
CCGT,3.072085174384053e-08
CCGT_AMMONIA,1.487858619715316e-08
COAL_IGCC,0.0
COAL_US,0.0
DEC_ADVCOGEN_GAS,2.409670825728057e-09
DEC_ADVCOGEN_H2,1.730477909291232e-09
DEC_BOILER_GAS,4.98291079868431e-08
DEC_BOILER_OIL,4.208498560185084e-08
DEC_BOILER_WOOD,2.065903925866886e-08
DEC_COGEN_GAS,6.180924980940263e-09
DEC_COGEN_OIL,6.04291258512649e-09
DEC_DIRECT_ELEC,2.431200004564652e-07
DEC_HP_ELEC,73.60994168837988
DEC_SOLAR,1.328430669823125e-07
DEC_THHP_GAS,3.48161094002586e-08
DHN,39.82735723142707
DHN_BOILER_GAS,3.02220605494361e-08
DHN_BOILER_OIL,2.991098444455672e-08
DHN_BOILER_WOOD,2.761660950060405e-08
DHN_COGEN_BIO_HYDROLYSIS,4.170514714757611e-09
DHN_COGEN_GAS,9.47275044553331e-09
DHN_COGEN_WASTE,4.237453484345313e-09
DHN_COGEN_WET_BIOMASS,2.737984468573381
DHN_COGEN_WOOD,9.065839659218117e-09
DHN_DEEP_GEO,0.0
DHN_HP_ELEC,37.08937263242426
DHN_SOLAR,1.573321177163431e-08
EFFICIENCY,0.9852216748768474
GAS_STORAGE,0.03120270170921202
GEOTHERMAL,0.0
GRID,3.175395679680556
H2_STORAGE,5.942437465306007e-05
HYDRO_RIVER,6.780325727966829e-07
IND_BOILER_COAL,12.29945313925218
IND_BOILER_GAS,1.466524004314158e-07
IND_BOILER_OIL,1.522530142060639e-07
IND_BOILER_WASTE,4.862404093011787
IND_BOILER_WOOD,6.491110870180663
IND_COGEN_GAS,9.541005416477694e-09
IND_COGEN_WASTE,5.642639536619175e-09
IND_COGEN_WOOD,1.856477536983908e-08
IND_DIRECT_ELEC,23.65296839486107
LFO_STORAGE,0.07897310770733945
NUCLEAR,0.0
PHS,7.24199999947079
PV,97.86954868844562
TS_DEC_ADVCOGEN_GAS,2.377140834543376e-06
TS_DEC_ADVCOGEN_H2,2.356756101846297e-06
TS_DEC_BOILER_GAS,2.418405114519258e-06
TS_DEC_BOILER_OIL,2.409992578665402e-06
TS_DEC_BOILER_WOOD,2.424763082992251e-06
TS_DEC_COGEN_GAS,2.408438355577173e-06
TS_DEC_COGEN_OIL,2.39085811738212e-06
TS_DEC_DIRECT_ELEC,2.425594451018701e-06
TS_DEC_HP_ELEC,228.7754789220686
TS_DEC_THHP_GAS,2.424156286152208e-06
TS_DHN_DAILY,2.656044235035005e-05
TS_DHN_SEASONAL,4746.430439294468
TS_HIGH_TEMP,6.940764043112291e-06
WIND_OFFSHORE,4.415543144044373e-08
WIND_ONSHORE,345.2479049099447
