pt,n,h,td,val
CCGT,GERMANY,1,1,1.062789388676701e-09
CCGT,GERMANY,1,2,2.041710784314184e-08
CCGT,GERMANY,1,3,1.855922851503715e-08
CCGT,GERMANY,1,4,2.362699439097808e-08
CCGT,GERMANY,1,5,1.37134448303377e-09
CCGT,GERMANY,1,6,1.992706046083582e-08
CCGT,GERMANY,1,7,2.400281871768123e-08
CCGT,GERMANY,1,8,2.569898561598231e-08
CCGT,GERMANY,1,9,2.172192360313632e-08
CCGT,GERMANY,1,10,1.102153084475289e-09
CCGT,GERMANY,1,11,2.349137843985842e-08
CCGT,GERMANY,1,12,6.20537853994093e-10
CCGT,GERMANY,2,1,1.062787853811841e-09
CCGT,GERMANY,2,2,2.041719550686712e-08
CCGT,GERMANY,2,3,1.855929907005214e-08
CCGT,GERMANY,2,4,2.362701164166379e-08
CCGT,GERMANY,2,5,1.379403478999707e-09
CCGT,GERMANY,2,6,1.99271341036713e-08
CCGT,GERMANY,2,7,2.400284935308628e-08
CCGT,GERMANY,2,8,2.569893430742105e-08
CCGT,GERMANY,2,9,2.172199464945456e-08
CCGT,GERMANY,2,10,1.102152533504841e-09
CCGT,GERMANY,2,11,2.349135547177782e-08
CCGT,GERMANY,2,12,6.20534761478854e-10
CCGT,GERMANY,3,1,1.062786262976737e-09
CCGT,GERMANY,3,2,2.041728149063214e-08
CCGT,GERMANY,3,3,1.855936903531324e-08
CCGT,GERMANY,3,4,2.362701837502134e-08
CCGT,GERMANY,3,5,1.443832061569312e-09
CCGT,GERMANY,3,6,1.992720950104872e-08
CCGT,GERMANY,3,7,2.400288013564467e-08
CCGT,GERMANY,3,8,2.569887495023371e-08
CCGT,GERMANY,3,9,2.172206559434696e-08
CCGT,GERMANY,3,10,1.102151958892222e-09
CCGT,GERMANY,3,11,2.349133051988464e-08
CCGT,GERMANY,3,12,6.205315572402075e-10
CCGT,GERMANY,4,1,1.062784612733283e-09
CCGT,GERMANY,4,2,2.041736567000819e-08
CCGT,GERMANY,4,3,1.855943832680961e-08
CCGT,GERMANY,4,4,2.362702493539443e-08
CCGT,GERMANY,4,5,1.443832156880741e-09
CCGT,GERMANY,4,6,1.992728871747196e-08
CCGT,GERMANY,4,7,2.400291104559131e-08
CCGT,GERMANY,4,8,1.002733877775833e-08
CCGT,GERMANY,4,9,2.172213646788954e-08
CCGT,GERMANY,4,10,1.102151364601888e-09
CCGT,GERMANY,4,11,2.349130339638238e-08
CCGT,GERMANY,4,12,6.205282319941032e-10
CCGT,GERMANY,5,1,1.062782917784092e-09
CCGT,GERMANY,5,2,2.041744903660191e-08
CCGT,GERMANY,5,3,1.855950642749074e-08
CCGT,GERMANY,5,4,2.362703212696504e-08
CCGT,GERMANY,5,5,1.443832258057556e-09
CCGT,GERMANY,5,6,1.99273726581592e-08
CCGT,GERMANY,5,7,2.400294213798165e-08
CCGT,GERMANY,5,8,2.569878757220291e-08
CCGT,GERMANY,5,9,2.172220724768421e-08
CCGT,GERMANY,5,10,1.102150764154658e-09
CCGT,GERMANY,5,11,2.34912710516551e-08
CCGT,GERMANY,5,12,6.205247890540812e-10
CCGT,GERMANY,6,1,1.062781246697777e-09
CCGT,GERMANY,6,2,2.041753536202911e-08
CCGT,GERMANY,6,3,1.855957579251973e-08
CCGT,GERMANY,6,4,2.362704010848281e-08
CCGT,GERMANY,6,5,1.443832227128201e-09
CCGT,GERMANY,6,6,1.99274642115377e-08
CCGT,GERMANY,6,7,2.400297338846687e-08
CCGT,GERMANY,6,8,2.569875150243267e-08
CCGT,GERMANY,6,9,2.172227793593833e-08
CCGT,GERMANY,6,10,1.102150156383266e-09
CCGT,GERMANY,6,11,2.349124447312875e-08
CCGT,GERMANY,6,12,6.205212684468686e-10
CCGT,GERMANY,7,1,1.06277959661518e-09
CCGT,GERMANY,7,2,2.04176244894036e-08
CCGT,GERMANY,7,3,1.855964564502084e-08
CCGT,GERMANY,7,4,2.362704642739222e-08
CCGT,GERMANY,7,5,1.443831836014761e-09
CCGT,GERMANY,7,6,1.992756813849503e-08
CCGT,GERMANY,7,7,2.400300478224974e-08
CCGT,GERMANY,7,8,1.474943085678293e-08
CCGT,GERMANY,7,9,2.172234854051661e-08
CCGT,GERMANY,7,10,1.102149537736263e-09
CCGT,GERMANY,7,11,2.349121926314083e-08
CCGT,GERMANY,7,12,6.205176661163688e-10
CCGT,GERMANY,8,1,1.062777946506696e-09
CCGT,GERMANY,8,2,2.041771539805365e-08
