st,n,h,td,val
AMMONIA,GERMANY,1,1,3.537130015421991e-09
AMMONIA,GERMANY,1,2,5.61779496431944e-09
AMMONIA,GERMANY,1,3,9.550250633230644e-09
AMMONIA,GERMANY,1,4,2.728643236460814e-09
AMMONIA,GERMANY,1,5,2.65284774314276e-09
AMMONIA,GERMANY,1,6,6.366834298813451e-09
AMMONIA,GERMANY,1,7,2.513224510107258e-09
AMMONIA,GERMANY,1,8,1.6754830125575e-09
AMMONIA,GERMANY,1,9,4.152284013011294e-09
AMMONIA,GERMANY,1,10,3.673173828896385e-09
AMMONIA,GERMANY,1,11,2.808897622231282e-09
AMMONIA,GERMANY,1,12,2.031968417196196e-09
AMMONIA,GERMANY,2,1,3.537130015240831e-09
AMMONIA,GERMANY,2,2,5.61779496391657e-09
AMMONIA,GERMANY,2,3,9.550250633113542e-09
AMMONIA,GERMANY,2,4,2.728643236687978e-09
AMMONIA,GERMANY,2,5,2.652847743385858e-09
AMMONIA,GERMANY,2,6,6.366834299336282e-09
AMMONIA,GERMANY,2,7,2.51322451009667e-09
AMMONIA,GERMANY,2,8,1.67548301261539e-09
AMMONIA,GERMANY,2,9,4.152284013156666e-09
AMMONIA,GERMANY,2,10,3.673173828782406e-09
AMMONIA,GERMANY,2,11,2.808897621993372e-09
AMMONIA,GERMANY,2,12,2.031968417030283e-09
AMMONIA,GERMANY,3,1,3.537130015061155e-09
AMMONIA,GERMANY,3,2,5.617794963511159e-09
AMMONIA,GERMANY,3,3,9.550250632992205e-09
AMMONIA,GERMANY,3,4,2.72864323691583e-09
AMMONIA,GERMANY,3,5,2.652847743635574e-09
AMMONIA,GERMANY,3,6,6.366834299857207e-09
AMMONIA,GERMANY,3,7,2.513224510086824e-09
AMMONIA,GERMANY,3,8,1.675483012673411e-09
AMMONIA,GERMANY,3,9,4.152284013303626e-09
AMMONIA,GERMANY,3,10,3.673173828672874e-09
AMMONIA,GERMANY,3,11,2.808897621755832e-09
AMMONIA,GERMANY,3,12,2.031968416864953e-09
AMMONIA,GERMANY,4,1,3.537130014883172e-09
AMMONIA,GERMANY,4,2,5.617794963099395e-09
AMMONIA,GERMANY,4,3,9.550250632866632e-09
AMMONIA,GERMANY,4,4,2.728643237145005e-09
AMMONIA,GERMANY,4,5,2.652847743880578e-09
AMMONIA,GERMANY,4,6,6.366834300374533e-09
AMMONIA,GERMANY,4,7,2.513224510078353e-09
AMMONIA,GERMANY,4,8,1.675483012693978e-09
AMMONIA,GERMANY,4,9,4.152284013453657e-09
AMMONIA,GERMANY,4,10,3.673173828560854e-09
AMMONIA,GERMANY,4,11,2.80889762151951e-09
AMMONIA,GERMANY,4,12,2.031968416700205e-09
AMMONIA,GERMANY,5,1,3.53713001470683e-09
AMMONIA,GERMANY,5,2,5.617794962680538e-09
AMMONIA,GERMANY,5,3,9.550250632736612e-09
AMMONIA,GERMANY,5,4,2.728643237375715e-09
AMMONIA,GERMANY,5,5,2.652847744129024e-09
AMMONIA,GERMANY,5,6,6.366834300888576e-09
AMMONIA,GERMANY,5,7,2.513224510071365e-09
AMMONIA,GERMANY,5,8,1.67548301279189e-09
AMMONIA,GERMANY,5,9,4.152284013607817e-09
AMMONIA,GERMANY,5,10,3.673173828453175e-09
AMMONIA,GERMANY,5,11,2.8088976212834e-09
AMMONIA,GERMANY,5,12,2.031968416536251e-09
AMMONIA,GERMANY,6,1,3.537130014531494e-09
AMMONIA,GERMANY,6,2,5.617794962256492e-09
AMMONIA,GERMANY,6,3,9.550250632601299e-09
AMMONIA,GERMANY,6,4,2.728643237609179e-09
AMMONIA,GERMANY,6,5,2.652847744382816e-09
AMMONIA,GERMANY,6,6,6.366834301396901e-09
AMMONIA,GERMANY,6,7,2.513224510066548e-09
AMMONIA,GERMANY,6,8,1.675483012854226e-09
AMMONIA,GERMANY,6,9,4.152284013767694e-09
AMMONIA,GERMANY,6,10,3.673173828348778e-09
AMMONIA,GERMANY,6,11,2.80889762104766e-09
AMMONIA,GERMANY,6,12,2.031968416373145e-09
AMMONIA,GERMANY,7,1,3.5371300143578e-09
AMMONIA,GERMANY,7,2,5.617794961827681e-09
AMMONIA,GERMANY,7,3,9.550250632459844e-09
AMMONIA,GERMANY,7,4,2.728643237850583e-09
AMMONIA,GERMANY,7,5,2.652847744645555e-09
AMMONIA,GERMANY,7,6,6.36683430190078e-09
AMMONIA,GERMANY,7,7,2.513224510066124e-09
AMMONIA,GERMANY,7,8,1.675483012890861e-09
AMMONIA,GERMANY,7,9,4.152284013939007e-09
AMMONIA,GERMANY,7,10,3.673173828248034e-09
AMMONIA,GERMANY,7,11,2.808897620812184e-09
AMMONIA,GERMANY,7,12,2.031968416211097e-09
AMMONIA,GERMANY,8,1,3.537130014185376e-09
AMMONIA,GERMANY,8,2,5.617794961393259e-09
AMMONIA,GERMANY,8,3,9.550250632308437e-09
AMMONIA,GERMANY,8,4,2.728643238096276e-09
AMMONIA,GERMANY,8,5,2.652847744905276e-09
AMMONIA,GERMANY,8,6,6.366834300840295e-09
AMMONIA,GERMANY,8,7,2.513224510067554e-09
AMMONIA,GERMANY,8,8,1.675483012887208e-09
AMMONIA,GERMANY,8,9,4.152284014109578e-09
AMMONIA,GERMANY,8,10,3.673173828153749e-09
AMMONIA,GERMANY,8,11,2.808897620577715e-09
AMMONIA,GERMANY,8,12,2.031968416049949e-09
AMMONIA,GERMANY,9,1,3.537130014014434e-09
AMMONIA,GERMANY,9,2,5.61779496095079e-09
AMMONIA,GERMANY,9,3,9.550250632129713e-09
AMMONIA,GERMANY,9,4,2.728643238332757e-09
AMMONIA,GERMANY,9,5,2.652847745158169e-09
AMMONIA,GERMANY,9,6,6.366834299402668e-09
AMMONIA,GERMANY,9,7,2.513224510068612e-09
AMMONIA,GERMANY,9,8,1.675483012953223e-09
AMMONIA,GERMANY,9,9,4.152284014268926e-09
AMMONIA,GERMANY,9,10,3.673173828066822e-09
AMMONIA,GERMANY,9,11,2.808897620347058e-09
AMMONIA,GERMANY,9,12,2.03196841589113e-09
AMMONIA,GERMANY,10,1,3.537130013846192e-09
AMMONIA,GERMANY,10,2,5.617794960501439e-09
AMMONIA,GERMANY,10,3,9.550250631978094e-09
AMMONIA,GERMANY,10,4,2.72864323856262e-09
AMMONIA,GERMANY,10,5,2.652847745405238e-09
AMMONIA,GERMANY,10,6,6.366834299890877e-09
AMMONIA,GERMANY,10,7,2.513224510062207e-09
AMMONIA,GERMANY,10,8,1.675483013014104e-09
AMMONIA,GERMANY,10,9,4.152284014425204e-09
AMMONIA,GERMANY,10,10,3.673173827977248e-09
AMMONIA,GERMANY,10,11,2.808897620120582e-09
AMMONIA,GERMANY,10,12,2.031968415733847e-09
AMMONIA,GERMANY,11,1,3.537130013679114e-09
AMMONIA,GERMANY,11,2,5.617794960055053e-09
AMMONIA,GERMANY,11,3,9.550250631856122e-09
AMMONIA,GERMANY,11,4,2.72864323858279e-09
AMMONIA,GERMANY,11,5,2.652847745613025e-09
AMMONIA,GERMANY,11,6,6.366834300407461e-09
AMMONIA,GERMANY,11,7,2.513224510051672e-09
AMMONIA,GERMANY,11,8,1.675483013072734e-09
AMMONIA,GERMANY,11,9,4.152284014571317e-09
AMMONIA,GERMANY,11,10,3.673173827878993e-09
AMMONIA,GERMANY,11,11,2.808897619892995e-09
AMMONIA,GERMANY,11,12,2.031968415578257e-09
AMMONIA,GERMANY,12,1,3.537130013511402e-09
AMMONIA,GERMANY,12,2,5.617794959619466e-09
AMMONIA,GERMANY,12,3,9.550250631740925e-09
AMMONIA,GERMANY,12,4,2.72864323880736e-09
AMMONIA,GERMANY,12,5,2.652847745843312e-09
AMMONIA,GERMANY,12,6,6.366834300929657e-09
AMMONIA,GERMANY,12,7,2.513224509938222e-09
AMMONIA,GERMANY,12,8,1.675483013129142e-09
AMMONIA,GERMANY,12,9,4.152284014713195e-09
AMMONIA,GERMANY,12,10,3.67317382778116e-09
AMMONIA,GERMANY,12,11,2.808897619664031e-09
AMMONIA,GERMANY,12,12,2.031968415416421e-09
AMMONIA,GERMANY,13,1,3.537130013344113e-09
AMMONIA,GERMANY,13,2,5.617794959198703e-09
AMMONIA,GERMANY,13,3,9.55025063163187e-09
AMMONIA,GERMANY,13,4,2.72864323900943e-09
AMMONIA,GERMANY,13,5,2.652847746092023e-09
AMMONIA,GERMANY,13,6,6.366834301445923e-09
AMMONIA,GERMANY,13,7,2.513224509930652e-09
AMMONIA,GERMANY,13,8,1.67548301316837e-09
AMMONIA,GERMANY,13,9,4.15228401485232e-09
AMMONIA,GERMANY,13,10,3.673173827684281e-09
AMMONIA,GERMANY,13,11,2.808897619426544e-09
AMMONIA,GERMANY,13,12,2.031968415253526e-09
AMMONIA,GERMANY,14,1,3.5371300131764e-09
AMMONIA,GERMANY,14,2,5.617794958772222e-09
AMMONIA,GERMANY,14,3,9.550250631525567e-09
AMMONIA,GERMANY,14,4,2.728643239237547e-09
AMMONIA,GERMANY,14,5,2.652847746340574e-09
AMMONIA,GERMANY,14,6,6.366834301966002e-09
AMMONIA,GERMANY,14,7,2.513224509921811e-09
AMMONIA,GERMANY,14,8,1.675483013225333e-09
AMMONIA,GERMANY,14,9,4.152284014988692e-09
AMMONIA,GERMANY,14,10,3.673173827584966e-09
AMMONIA,GERMANY,14,11,2.808897619187575e-09
AMMONIA,GERMANY,14,12,2.03196841508629e-09
AMMONIA,GERMANY,15,1,3.5371300130089e-09
AMMONIA,GERMANY,15,2,5.617794958343623e-09
AMMONIA,GERMANY,15,3,9.550250631421805e-09
AMMONIA,GERMANY,15,4,2.728643239464763e-09
AMMONIA,GERMANY,15,5,2.652847746588807e-09
AMMONIA,GERMANY,15,6,6.36683430248915e-09
AMMONIA,GERMANY,15,7,2.513224509912441e-09
AMMONIA,GERMANY,15,8,1.675483013281396e-09
AMMONIA,GERMANY,15,9,4.152284015121782e-09
AMMONIA,GERMANY,15,10,3.673173827485069e-09
AMMONIA,GERMANY,15,11,2.808897618939501e-09
AMMONIA,GERMANY,15,12,2.031968414954417e-09
AMMONIA,GERMANY,16,1,3.537130012841664e-09
AMMONIA,GERMANY,16,2,5.617794957921906e-09
AMMONIA,GERMANY,16,3,9.550250631320373e-09
AMMONIA,GERMANY,16,4,2.728643239691133e-09
AMMONIA,GERMANY,16,5,2.652847746827406e-09
AMMONIA,GERMANY,16,6,6.366834303016323e-09
