j,h,td,val
AMMONIA_STORAGE,1,1,0.000156691645439952
AMMONIA_STORAGE,1,2,0.0001566934987851931
AMMONIA_STORAGE,1,3,0.000156692690230241
AMMONIA_STORAGE,1,4,0.0001566934734036352
AMMONIA_STORAGE,1,5,0.0001566921386172669
AMMONIA_STORAGE,1,6,0.0001566934036488846
AMMONIA_STORAGE,1,7,0.0001566934409248238
AMMONIA_STORAGE,1,8,0.0001566932669068606
AMMONIA_STORAGE,1,9,0.0001566935737487458
AMMONIA_STORAGE,1,10,0.0001566916042662451
AMMONIA_STORAGE,1,11,0.0001566934842737004
AMMONIA_STORAGE,1,12,0.000156692092983482
AMMONIA_STORAGE,2,1,0.0001566916454401948
AMMONIA_STORAGE,2,2,0.0001566934987851723
AMMONIA_STORAGE,2,3,0.000156692690230123
AMMONIA_STORAGE,2,4,0.0001566934734045372
AMMONIA_STORAGE,2,5,0.0001566921412925054
AMMONIA_STORAGE,2,6,0.0001566934036487735
AMMONIA_STORAGE,2,7,0.0001566934409247683
AMMONIA_STORAGE,2,8,0.0001566932669071486
AMMONIA_STORAGE,2,9,0.000156693573748555
AMMONIA_STORAGE,2,10,0.0001566916042660092
AMMONIA_STORAGE,2,11,0.0001566934842739363
AMMONIA_STORAGE,2,12,0.0001566920929835514
AMMONIA_STORAGE,3,1,0.0001566916454399034
AMMONIA_STORAGE,3,2,0.000156693498785207
AMMONIA_STORAGE,3,3,0.0001566926902301993
AMMONIA_STORAGE,3,4,0.0001566934734044297
AMMONIA_STORAGE,3,5,0.0001566921622127224
AMMONIA_STORAGE,3,6,0.0001566934036486452
AMMONIA_STORAGE,3,7,0.0001566934409244387
AMMONIA_STORAGE,3,8,0.0001566932669065831
AMMONIA_STORAGE,3,9,0.0001566935737485793
AMMONIA_STORAGE,3,10,0.000156691604266207
AMMONIA_STORAGE,3,11,0.0001566934842733604
AMMONIA_STORAGE,3,12,0.0001566920929833189
AMMONIA_STORAGE,4,1,0.0001566916454401532
AMMONIA_STORAGE,4,2,0.0001566934987851029
AMMONIA_STORAGE,4,3,0.0001566926902303346
AMMONIA_STORAGE,4,4,0.000156693473404905
AMMONIA_STORAGE,4,5,0.0001566921622127258
AMMONIA_STORAGE,4,6,0.000156693403648725
AMMONIA_STORAGE,4,7,0.0001566934409247232
AMMONIA_STORAGE,4,8,0.0001566929337499801
AMMONIA_STORAGE,4,9,0.0001566935737485411
AMMONIA_STORAGE,4,10,0.0001566916042663215
AMMONIA_STORAGE,4,11,0.0001566934842737525
AMMONIA_STORAGE,4,12,0.0001566920929833258
AMMONIA_STORAGE,5,1,0.0001566916454402122
AMMONIA_STORAGE,5,2,0.0001566934987851896
AMMONIA_STORAGE,5,3,0.0001566926902303346
AMMONIA_STORAGE,5,4,0.0001566934734049154
AMMONIA_STORAGE,5,5,0.0001566921622127328
AMMONIA_STORAGE,5,6,0.0001566934036487493
AMMONIA_STORAGE,5,7,0.0001566934409248065
AMMONIA_STORAGE,5,8,0.0001566932669069127
AMMONIA_STORAGE,5,9,0.0001566935737484093
AMMONIA_STORAGE,5,10,0.0001566916042663007
AMMONIA_STORAGE,5,11,0.0001566934842738843
AMMONIA_STORAGE,5,12,0.0001566920929833258
AMMONIA_STORAGE,6,1,0.0001566916454400942
