j,h,td,val
AMMONIA_STORAGE,1,1,2.314165920789049e-06
AMMONIA_STORAGE,1,2,2.314137810024031e-06
AMMONIA_STORAGE,1,3,2.314152673979584e-06
AMMONIA_STORAGE,1,4,2.314136739520536e-06
AMMONIA_STORAGE,1,5,2.314158617236755e-06
AMMONIA_STORAGE,1,6,2.314139725009129e-06
AMMONIA_STORAGE,1,7,2.314137162028919e-06
AMMONIA_STORAGE,1,8,2.314139603656548e-06
AMMONIA_STORAGE,1,9,2.314135837234478e-06
AMMONIA_STORAGE,1,10,2.314166612129263e-06
AMMONIA_STORAGE,1,11,2.314136602535929e-06
AMMONIA_STORAGE,1,12,2.314158401055082e-06
AMMONIA_STORAGE,2,1,2.314165920791218e-06
AMMONIA_STORAGE,2,2,2.314137810025766e-06
AMMONIA_STORAGE,2,3,2.314152673969609e-06
AMMONIA_STORAGE,2,4,2.314136739485408e-06
AMMONIA_STORAGE,2,5,2.314158585688206e-06
AMMONIA_STORAGE,2,6,2.31413972501043e-06
AMMONIA_STORAGE,2,7,2.314137162030654e-06
AMMONIA_STORAGE,2,8,2.314139603682135e-06
AMMONIA_STORAGE,2,9,2.314135837226672e-06
AMMONIA_STORAGE,2,10,2.314166612135335e-06
AMMONIA_STORAGE,2,11,2.314136602532893e-06
AMMONIA_STORAGE,2,12,2.314158401058985e-06
AMMONIA_STORAGE,3,1,2.314165920786447e-06
AMMONIA_STORAGE,3,2,2.314137810018393e-06
AMMONIA_STORAGE,3,3,2.314152673964839e-06
AMMONIA_STORAGE,3,4,2.314136739487577e-06
AMMONIA_STORAGE,3,5,2.314158553668681e-06
AMMONIA_STORAGE,3,6,2.314139725013032e-06
AMMONIA_STORAGE,3,7,2.314137162028485e-06
AMMONIA_STORAGE,3,8,2.314139603693411e-06
AMMONIA_STORAGE,3,9,2.314135837221034e-06
AMMONIA_STORAGE,3,10,2.31416661212536e-06
AMMONIA_STORAGE,3,11,2.314136602538531e-06
AMMONIA_STORAGE,3,12,2.314158401061587e-06
AMMONIA_STORAGE,4,1,2.314165920789049e-06
AMMONIA_STORAGE,4,2,2.314137810022297e-06
AMMONIA_STORAGE,4,3,2.314152673955298e-06
AMMONIA_STORAGE,4,4,2.314136739477168e-06
AMMONIA_STORAGE,4,5,2.314158289682365e-06
AMMONIA_STORAGE,4,6,2.3141397250152e-06
AMMONIA_STORAGE,4,7,2.314137162032388e-06
AMMONIA_STORAGE,4,8,2.314139603687773e-06
AMMONIA_STORAGE,4,9,2.314135837211493e-06
AMMONIA_STORAGE,4,10,2.314166612125794e-06
AMMONIA_STORAGE,4,11,2.314136602537663e-06
AMMONIA_STORAGE,4,12,2.31415840106072e-06
AMMONIA_STORAGE,5,1,2.314165920789917e-06
AMMONIA_STORAGE,5,2,2.314137810017092e-06
AMMONIA_STORAGE,5,3,2.314152673944889e-06
AMMONIA_STORAGE,5,4,2.314136739473699e-06
AMMONIA_STORAGE,5,5,2.314158289380957e-06
AMMONIA_STORAGE,5,6,2.314139725012165e-06
AMMONIA_STORAGE,5,7,2.314137162033689e-06
AMMONIA_STORAGE,5,8,2.314139603672161e-06
AMMONIA_STORAGE,5,9,2.314135837207156e-06
AMMONIA_STORAGE,5,10,2.314166612127529e-06
AMMONIA_STORAGE,5,11,2.314136602535495e-06
AMMONIA_STORAGE,5,12,2.31415840106072e-06
AMMONIA_STORAGE,6,1,2.314165920791651e-06
AMMONIA_STORAGE,6,2,2.314137810010154e-06
AMMONIA_STORAGE,6,3,2.314152673934047e-06
AMMONIA_STORAGE,6,4,2.31413673948324e-06
AMMONIA_STORAGE,6,5,2.314158289099498e-06
AMMONIA_STORAGE,6,6,2.314139725014333e-06
AMMONIA_STORAGE,6,7,2.31413716203846e-06
AMMONIA_STORAGE,6,8,2.314139603672594e-06
AMMONIA_STORAGE,6,9,2.314135837206723e-06
AMMONIA_STORAGE,6,10,2.314166612133167e-06
AMMONIA_STORAGE,6,11,2.314136602536362e-06
AMMONIA_STORAGE,6,12,2.314158401066357e-06
AMMONIA_STORAGE,7,1,2.314165920790784e-06
AMMONIA_STORAGE,7,2,2.314137810003648e-06
AMMONIA_STORAGE,7,3,2.314152673925374e-06
AMMONIA_STORAGE,7,4,2.314136739472398e-06
AMMONIA_STORAGE,7,5,2.314158288893933e-06
AMMONIA_STORAGE,7,6,2.314139725005659e-06
AMMONIA_STORAGE,7,7,2.314137162025449e-06
AMMONIA_STORAGE,7,8,2.314139603694712e-06
AMMONIA_STORAGE,7,9,2.314135837218866e-06
AMMONIA_STORAGE,7,10,2.314166612129263e-06
AMMONIA_STORAGE,7,11,2.31413660253376e-06
AMMONIA_STORAGE,7,12,2.31415840105725e-06
AMMONIA_STORAGE,8,1,2.314165920789049e-06
AMMONIA_STORAGE,8,2,2.314137810011888e-06
AMMONIA_STORAGE,8,3,2.314152673905858e-06
AMMONIA_STORAGE,8,4,2.314136739467627e-06
AMMONIA_STORAGE,8,5,2.314158288608571e-06
AMMONIA_STORAGE,8,6,2.314144298764566e-06
AMMONIA_STORAGE,8,7,2.314137162031087e-06
AMMONIA_STORAGE,8,8,2.314139605461094e-06
AMMONIA_STORAGE,8,9,2.314135837240983e-06
AMMONIA_STORAGE,8,10,2.314166612129263e-06
AMMONIA_STORAGE,8,11,2.314136602532893e-06
AMMONIA_STORAGE,8,12,2.314158401064189e-06
AMMONIA_STORAGE,9,1,2.314165920786013e-06
AMMONIA_STORAGE,9,2,2.314137810021863e-06
AMMONIA_STORAGE,9,3,2.314152673877235e-06
AMMONIA_STORAGE,9,4,2.31413673947977e-06
AMMONIA_STORAGE,9,5,2.314158352104655e-06
AMMONIA_STORAGE,9,6,2.314174812369663e-06
AMMONIA_STORAGE,9,7,2.314137162034123e-06
AMMONIA_STORAGE,9,8,2.314154779807683e-06
AMMONIA_STORAGE,9,9,2.314135837251392e-06
AMMONIA_STORAGE,9,10,2.314166612129263e-06
AMMONIA_STORAGE,9,11,2.31413660253723e-06
AMMONIA_STORAGE,9,12,2.314158401059852e-06
AMMONIA_STORAGE,10,1,2.314165920791651e-06
AMMONIA_STORAGE,10,2,2.314137810036608e-06
AMMONIA_STORAGE,10,3,2.314152673823892e-06
AMMONIA_STORAGE,10,4,2.314136739513164e-06
AMMONIA_STORAGE,10,5,2.31415861721377e-06
AMMONIA_STORAGE,10,6,2.314174812580866e-06
AMMONIA_STORAGE,10,7,2.314137162062312e-06
AMMONIA_STORAGE,10,8,2.314154780609125e-06
AMMONIA_STORAGE,10,9,2.314135837257463e-06
AMMONIA_STORAGE,10,10,2.314166612127529e-06
AMMONIA_STORAGE,10,11,2.314136602536796e-06
AMMONIA_STORAGE,10,12,2.314158401056383e-06
AMMONIA_STORAGE,11,1,2.314165920787314e-06
AMMONIA_STORAGE,11,2,2.314137810044848e-06
AMMONIA_STORAGE,11,3,2.314152673780091e-06
AMMONIA_STORAGE,11,4,2.314136739509694e-06
AMMONIA_STORAGE,11,5,2.314158617215505e-06
AMMONIA_STORAGE,11,6,2.314174812453364e-06
AMMONIA_STORAGE,11,7,2.314137162058843e-06
AMMONIA_STORAGE,11,8,2.314154780616064e-06
AMMONIA_STORAGE,11,9,2.314135837263101e-06
AMMONIA_STORAGE,11,10,2.314166612130564e-06
AMMONIA_STORAGE,11,11,2.314136602544169e-06
AMMONIA_STORAGE,11,12,2.314158401053347e-06
AMMONIA_STORAGE,12,1,2.314165920791218e-06
AMMONIA_STORAGE,12,2,2.314137810044414e-06
AMMONIA_STORAGE,12,3,2.314152673751468e-06
AMMONIA_STORAGE,12,4,2.314136739647171e-06
AMMONIA_STORAGE,12,5,2.314161474122924e-06
AMMONIA_STORAGE,12,6,2.31417481236923e-06
AMMONIA_STORAGE,12,7,2.314137162089201e-06
AMMONIA_STORAGE,12,8,2.314154780629074e-06
AMMONIA_STORAGE,12,9,2.314135837279581e-06
AMMONIA_STORAGE,12,10,2.314166612130564e-06
AMMONIA_STORAGE,12,11,2.314136602539398e-06
AMMONIA_STORAGE,12,12,2.314158401058551e-06
AMMONIA_STORAGE,13,1,2.314165920788615e-06
AMMONIA_STORAGE,13,2,2.314137810047016e-06
AMMONIA_STORAGE,13,3,2.314152673738024e-06
AMMONIA_STORAGE,13,4,2.314138920210193e-06
AMMONIA_STORAGE,13,5,2.314161474175833e-06
AMMONIA_STORAGE,13,6,2.314174812430812e-06
AMMONIA_STORAGE,13,7,2.314141504591253e-06
AMMONIA_STORAGE,13,8,2.314154841425494e-06
AMMONIA_STORAGE,13,9,2.314135837288255e-06
AMMONIA_STORAGE,13,10,2.314166612131865e-06
AMMONIA_STORAGE,13,11,2.314136602549373e-06
AMMONIA_STORAGE,13,12,2.314158401060286e-06
AMMONIA_STORAGE,14,1,2.314165920788615e-06
AMMONIA_STORAGE,14,2,2.314137810047016e-06
AMMONIA_STORAGE,14,3,2.314152673738024e-06
AMMONIA_STORAGE,14,4,2.314138915427127e-06
AMMONIA_STORAGE,14,5,2.314161474169327e-06
AMMONIA_STORAGE,14,6,2.31417481244469e-06
AMMONIA_STORAGE,14,7,2.314140970101266e-06
AMMONIA_STORAGE,14,8,2.314156654909753e-06
AMMONIA_STORAGE,14,9,2.314135837280448e-06
AMMONIA_STORAGE,14,10,2.314166612132299e-06
AMMONIA_STORAGE,14,11,2.314136602550674e-06
AMMONIA_STORAGE,14,12,2.314158401000438e-06
AMMONIA_STORAGE,15,1,2.314165920795121e-06
AMMONIA_STORAGE,15,2,2.314137810046149e-06
AMMONIA_STORAGE,15,3,2.314152673748432e-06
AMMONIA_STORAGE,15,4,2.314138882299113e-06
AMMONIA_STORAGE,15,5,2.314161474164991e-06
AMMONIA_STORAGE,15,6,2.314174812449461e-06
AMMONIA_STORAGE,15,7,2.314140410193243e-06
AMMONIA_STORAGE,15,8,2.314156654908885e-06
AMMONIA_STORAGE,15,9,2.314135837272208e-06
AMMONIA_STORAGE,15,10,2.314166612136202e-06
AMMONIA_STORAGE,15,11,2.314136602544602e-06
AMMONIA_STORAGE,15,12,2.314156158975296e-06
AMMONIA_STORAGE,16,1,2.314165920789917e-06
AMMONIA_STORAGE,16,2,2.314137810041812e-06
AMMONIA_STORAGE,16,3,2.314152673764044e-06
AMMONIA_STORAGE,16,4,2.314138203363039e-06
AMMONIA_STORAGE,16,5,2.31416147415545e-06
AMMONIA_STORAGE,16,6,2.314174812288131e-06
AMMONIA_STORAGE,16,7,2.314139823088226e-06
AMMONIA_STORAGE,16,8,2.314154780627773e-06
AMMONIA_STORAGE,16,9,2.314135837262234e-06
AMMONIA_STORAGE,16,10,2.314166612129263e-06
AMMONIA_STORAGE,16,11,2.314136602534628e-06
AMMONIA_STORAGE,16,12,2.314154622204152e-06
AMMONIA_STORAGE,17,1,2.314165920790784e-06
AMMONIA_STORAGE,17,2,2.31413781003444e-06
AMMONIA_STORAGE,17,3,2.314152673766647e-06
AMMONIA_STORAGE,17,4,2.314137489953239e-06
